# 2007/10/10 
# BOS , ANA 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,37,27,16,21,41,30,26,44,32,21,25,30
2,1,0,20:00,4,1,37,26,1,0,0,0,0,37,27,16,21,41,30,26,44,32,21,25,30
3,1,0,19:13,8,0,13,0,1,0,0,0,0,13,12,72,33,44,30,15,42,14,21,25,30
4,1,0,19:09,7,0,72,0,3,42,3,0,0,13,12,72,33,44,30,15,42,14,21,25,30
5,1,0,18:55,2,0,12,0,3,20,1,13,33,13,12,72,33,44,30,15,42,14,21,25,30
6,1,0,18:55,4,1,37,26,1,0,0,0,0,37,27,16,33,44,30,26,44,32,7,23,30
7,1, ,18:50,3,2,0,0,0,0,0,0,0,37,27,16,33,44,30,26,44,32,7,23,30
8,1,0,18:50,4,0,37,26,1,0,0,0,0,37,27,16,21,41,30,26,44,32,7,23,30
9,1,0,17:41,9,0,12,0,3,0,0,0,0,13,12,72,33,44,30,19,4,14,33,40,30
10,1, ,17:27,3,2,0,0,0,0,0,0,0,37,27,72,33,44,30,19,4,14,33,40,30
11,1,0,17:27,4,1,37,26,3,0,0,0,0,37,27,16,6,45,30,26,44,32,21,25,30
12,1,0,17:07,1,1,25,0,3,41,2,0,0,37,27,16,6,45,30,26,44,32,21,25,30
13,1,0,17:01,8,1,44,0,3,0,0,0,0,37,27,16,6,45,30,26,44,32,21,25,30
14,1,0,16:56,8,0,37,0,2,0,0,0,0,37,27,16,6,45,30,26,44,32,21,25,30
15,1,0,16:40,1,1,15,0,3,32,3,0,0,13,46,81,21,41,30,15,10,42,21,25,30
16,1,0,16:36,13,1,15,41,2,0,0,0,0,13,46,81,21,41,30,15,10,42,7,23,30
17,1,0,16:30,13,1,23,41,2,0,0,0,0,13,46,81,21,41,30,15,10,42,7,23,30
18,1,0,15:47,9,1,4,0,3,0,0,0,0,13,12,11,33,44,30,19,4,14,33,40,30
19,1,0,15:41,8,1,4,0,1,0,0,0,0,46,81,11,33,44,30,19,4,14,33,40,30
20,1,0,15:29,5,0,33,4,2,0,0,0,0,46,81,11,33,44,30,19,4,14,33,40,30
21,1,0,15:17,8,0,81,0,3,0,0,0,0,46,81,11,6,45,30,19,4,14,33,40,30
22,1,0,15:14,7,0,11,0,3,39,3,0,0,46,81,11,6,45,30,22,4,24,33,40,30
23,1,0,15:00,1,0,6,0,3,59,2,0,0,46,81,11,6,45,30,22,4,24,33,40,30
24,1, ,14:23,3,3,0,0,0,0,0,0,0,37,22,62,21,41,30,26,44,32,21,25,30
25,1,0,14:23,4,0,37,22,1,0,0,0,0,37,22,62,21,41,30,22,16,24,7,23,30
26,1,0,14:15,5,1,23,22,1,0,0,0,0,37,22,62,21,41,30,22,16,24,7,23,30
