# 2007/10/10 
# EDM , MIN 
# 0 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,10,27,83,23,44,35,9,92,19,5,55,32
2,1,0,20:00,4,1,10,9,1,0,0,0,0,10,27,83,23,44,35,9,92,19,5,55,32
3,1,0,19:45,5,1,92,83,3,0,0,0,0,10,27,83,23,44,35,9,92,19,5,55,32
4,1,0,19:16,1,1,10,0,3,40,3,0,0,10,78,22,23,44,35,9,10,19,8,55,32
5,1,0,19:00,1,1,37,0,3,26,1,0,0,10,78,22,23,44,35,37,10,38,8,41,32
6,1,0,18:51,7,1,10,0,3,16,5,0,0,10,78,22,23,44,35,37,10,38,8,41,32
7,1, ,18:30,3,1,0,0,0,0,0,0,0,16,78,22,24,25,35,25,96,12,26,33,32
8,1,0,18:30,4,1,8,25,3,0,0,0,0,19,51,8,24,25,35,25,96,12,26,33,32
9,1,0,18:25,1,1,26,0,3,68,2,0,0,19,51,8,24,25,35,25,96,12,26,33,32
10,1,0,17:56,13,1,26,19,2,0,0,0,0,19,51,8,24,25,35,25,96,12,26,33,32
11,1,0,17:51,6,1,26,51,2,0,0,0,0,19,51,8,24,77,35,25,96,12,26,33,32
12,1,-1,17:51,4,1,10,9,1,0,0,0,0,10,27,83,25,44,35,9,19,5,55,32,0
13,1,1,17:21,1,0,25,0,3,10,1,0,0,10,27,83,25,44,35,37,38,5,55,32,0
14,1,-1,17:21,13,0,25,5,2,0,0,0,0,10,27,83,25,44,35,37,38,5,55,32,0
15,1, ,17:21,3,1,0,0,0,0,0,0,0,10,27,83,25,44,35,37,38,5,55,32,0
16,1,-1,17:21,4,1,10,38,2,0,0,0,0,10,27,83,25,44,35,37,38,8,41,32,0
17,1, ,17:18,3,11,0,0,0,0,0,0,0,10,27,83,25,44,35,37,38,8,41,32,0
18,1,-1,17:18,4,1,10,38,1,0,0,0,0,10,27,83,25,44,35,37,38,8,41,32,0
19,1,1,17:07,7,0,44,0,3,65,2,0,0,10,27,83,25,44,35,37,38,8,41,32,0
20,1,1,16:54,1,0,83,0,3,32,1,0,0,10,27,83,25,44,35,37,38,8,41,32,0
21,1, ,16:54,3,1,0,0,0,0,0,0,0,10,27,83,25,44,35,37,38,8,41,32,0
22,1,1,16:54,4,0,16,25,3,0,0,0,0,12,13,16,14,44,35,25,12,5,55,32,0
23,1,-1,16:24,9,1,55,0,2,0,0,0,0,12,13,16,14,44,35,25,12,5,55,32,0
24,1,-1,16:19,13,0,44,12,2,0,0,0,0,12,13,16,14,44,35,25,12,5,55,32,0
25,1, ,15:45,3,2,0,0,0,0,0,0,0,19,51,8,24,25,35,15,19,24,26,33,32
26,1,0,15:45,4,1,10,37,1,0,0,0,0,10,27,83,2,77,35,37,10,38,5,55,32
27,1,0,15:10,1,1,10,0,3,52,2,0,0,10,27,83,2,77,35,37,10,38,5,55,32
28,1,0,14:56,1,0,27,0,3,30,3,0,0,10,27,83,24,25,35,9,10,38,5,55,32
29,1,0,14:54,13,0,83,38,2,0,0,0,0,10,27,83,24,25,35,9,10,38,5,55,32
30,1,0,14:45,7,1,9,0,3,52,1,0,0,16,78,22,24,25,35,9,10,38,5,55,32
31,1,0,14:13,8,0,16,0,2,0,0,0,0,16,78,22,24,25,35,9,21,92,26,33,32
32,1, ,13:43,3,0,0,0,0,0,0,0,0,12,13,14,23,44,35,15,10,19,8,41,32
33,1,0,13:43,4,0,13,15,1,0,0,0,0,12,13,14,23,44,35,15,10,19,8,41,32
34,1,0,13:05,1,1,19,0,3,26,1,0,0,12,13,14,23,44,35,15,10,19,8,41,32
35,1, ,13:05,3,1,0,0,0,0,0,0,0,12,13,14,23,44,35,15,10,19,8,41,32
36,1,0,13:05,4,0,19,12,2,0,0,0,0,19,51,8,24,25,35,25,96,12,26,33,32
37,1,0,12:39,1,1,33,0,3,34,1,0,0,19,51,8,24,25,35,25,96,12,26,33,32
38,1,0,12:30,7,0,51,0,3,16,2,0,0,19,51,8,24,25,35,25,96,12,26,33,32
39,1,0,12:27,7,0,19,0,3,55,3,0,0,19,51,8,24,25,35,25,96,12,26,33,32
40,1,0,12:25,9,1,25,0,2,0,0,0,0,19,51,8,24,25,35,25,96,12,26,33,32
41,1,0,11:56,8,1,37,0,1,0,0,0,0,10,27,83,2,77,35,37,10,38,5,55,32
42,1,0,11:17,13,0,10,10,2,0,0,0,0,10,27,83,2,77,35,37,10,38,5,55,32
43,1, ,10:42,3,6,0,0,0,0,0,0,0,16,78,22,23,44,35,9,21,92,26,33,32
44,1,0,10:42,4,1,14,9,2,0,0,0,0,12,13,14,23,44,35,9,21,92,26,33,32
45,1,0,10:28,9,1,41,0,3,0,0,0,0,12,13,14,23,44,35,9,21,92,8,41,32
46,1,0,10:06,9,0,12,0,3,0,0,0,0,12,13,14,2,77,35,15,21,92,8,41,32
47,1,0,10:03,1,1,15,0,3,41,1,0,0,12,13,14,2,77,35,15,92,24,8,41,32
48,1,0,9:50,1,1,19,0,3,33,1,0,0,12,13,14,2,77,35,15,19,24,26,33,32
49,1, ,9:48,3,0,0,0,0,0,0,0,0,12,13,14,2,77,35,15,19,24,26,33,32
50,1,0,9:48,4,0,19,15,2,0,0,0,0,19,51,8,2,77,35,15,10,24,26,33,32
51,1,0,9:29,13,0,19,15,2,0,0,0,0,19,51,8,2,77,35,15,10,24,26,33,32
52,1,0,9:18,8,1,26,0,2,0,0,0,0,19,51,8,2,77,35,15,10,24,26,33,32
53,1,0,9:08,9,1,10,0,3,0,0,0,0,19,51,8,2,77,35,15,10,24,5,55,32
54,1, ,8:57,3,6,0,0,0,0,0,0,0,10,51,27,24,25,35,25,96,12,5,55,32
55,1,0,8:57,4,0,10,25,3,0,0,0,0,10,27,83,24,25,35,25,96,12,5,33,32
56,1,0,8:33,1,0,25,0,3,30,6,0,0,10,27,83,24,25,35,25,96,12,5,55,32
57,1,0,8:10,8,1,25,0,2,0,0,0,0,10,27,83,24,25,35,25,10,38,5,55,32
58,1,0,7:38,2,1,8,0,3,52,2,10,38,16,78,22,24,25,35,37,10,38,8,41,32
59,1,0,7:38,4,1,13,9,1,0,0,0,0,12,13,14,23,44,35,9,21,92,5,41,32
60,1,0,7:22,13,1,5,14,2,0,0,0,0,12,13,14,23,44,35,9,21,92,5,41,32
61,1,0,7:08,8,0,12,0,2,0,0,0,0,12,13,14,23,44,35,9,21,92,5,41,32
62,1,0,6:48,7,0,14,0,3,30,3,0,0,12,13,14,2,77,35,15,19,24,5,33,32
