# 2007/10/18 
# N.J , PHI 
# 0 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,23,20,6,28,30,17,24,19,6,28,43
2,1,0,20:00,4,1,11,17,1,0,0,0,0,11,23,20,6,28,30,17,24,19,6,28,43
3,1,0,19:53,9,1,28,0,2,0,0,0,0,11,23,20,6,28,30,17,24,19,6,28,43
4,1,0,19:52,7,0,23,0,1,70,2,0,0,11,23,20,6,28,30,17,24,19,6,28,43
5,1,0,19:28,13,1,6,6,2,0,0,0,0,11,23,20,6,28,30,17,24,19,6,28,43
6,1, ,19:28,3,4,0,0,0,0,0,0,0,19,14,26,7,29,30,18,20,15,21,44,43
7,1,0,19:28,4,1,19,18,3,0,0,0,0,19,14,26,7,29,30,18,20,15,21,44,43
8,1,0,19:21,7,1,18,0,3,30,5,0,0,19,14,26,7,29,30,18,20,15,21,44,43
9,1,0,19:12,5,1,20,7,3,0,0,0,0,14,9,26,7,29,30,18,20,15,21,44,43
10,1,0,19:04,13,0,14,21,2,0,0,0,0,16,14,9,2,27,30,18,20,15,21,44,43
11,1,0,18:45,5,1,22,16,1,0,0,0,0,16,14,9,2,27,30,18,20,22,21,44,43
12,1,0,18:42,1,0,22,0,3,11,1,0,0,16,22,9,2,27,30,18,20,22,21,44,43
13,1, ,18:20,3,6,0,0,0,0,0,0,0,19,22,26,7,29,30,48,22,12,2,5,43
14,1,0,18:20,4,1,19,48,3,0,0,0,0,19,22,26,7,29,30,48,22,12,2,5,43
15,1, ,17:55,3,6,0,0,0,0,0,0,0,19,14,26,7,29,30,48,22,12,2,5,43
16,1,0,17:55,4,0,19,48,3,0,0,0,0,19,14,26,7,29,30,48,22,12,2,5,43
17,1,0,17:11,13,0,26,28,2,0,0,0,0,19,14,26,7,29,30,48,22,12,6,28,43
18,1,0,17:04,1,0,10,0,3,47,2,0,0,19,14,26,6,28,30,48,22,12,6,28,43
19,1,0,17:00,1,0,2,0,3,63,2,0,0,19,14,26,2,27,30,48,22,12,6,28,43
20,1,0,16:59,6,1,28,26,1,0,0,0,0,11,16,22,6,28,30,18,34,21,28,43,0
21,1,1,16:59,4,0,11,34,3,0,0,0,0,11,16,22,6,28,30,48,22,12,6,43,0
22,1,1,16:24,9,0,16,0,1,0,0,0,0,11,16,22,6,28,30,18,15,21,44,43,0
23,1,1,16:11,7,0,14,0,3,44,2,0,0,19,14,26,6,28,30,18,24,2,44,43,0
24,1,-1,16:06,5,1,2,19,2,0,0,0,0,16,19,14,26,7,30,18,24,2,44,43,0
25,1,-1,15:56,13,0,26,2,2,0,0,0,0,16,19,14,26,7,30,18,24,2,44,43,0
26,1, ,15:24,3,2,0,0,0,0,0,0,0,18,22,23,20,27,30,20,24,6,21,43,0
27,1,1,15:24,4,0,18,20,1,0,0,0,0,18,22,23,20,27,30,20,24,6,21,43,0
28,1,-1,15:15,5,1,21,18,2,0,0,0,0,18,22,23,20,27,30,20,24,6,21,43,0
29,1, ,15:06,3,2,0,0,0,0,0,0,0,18,22,23,20,27,30,20,34,6,21,43,0
30,1,-1,15:06,4,1,18,34,1,0,0,0,0,18,22,23,20,27,30,20,34,6,21,43,0
31,1,0,14:50,6,1,14,18,2,0,0,0,0,19,14,9,26,7,30,34,14,32,6,21,43
32,1,-1,14:50,4,1,19,18,2,0,0,0,0,19,14,9,26,7,30,18,15,6,28,43,0
33,1,1,14:20,7,0,14,0,3,39,1,0,0,19,14,9,26,7,30,18,15,2,28,43,0
34,1,-1,14:15,13,0,26,18,2,0,0,0,0,19,14,9,26,7,30,18,15,2,28,43,0
35,1,-1,13:48,13,0,22,44,2,0,0,0,0,11,16,22,6,28,30,34,12,21,44,43,0
36,1,1,13:39,7,0,6,0,3,40,2,0,0,11,14,26,6,28,30,34,12,21,44,43,0
37,1, ,13:37,3,5,0,0,0,0,0,0,0,11,16,22,6,28,30,20,24,2,5,43,0
38,1,-1,13:37,4,1,11,20,3,0,0,0,0,11,16,22,6,28,30,20,24,2,5,43,0
39,1,1,13:30,13,1,24,16,2,0,0,0,0,11,16,22,6,28,30,20,24,2,5,43,0
40,1,-1,13:18,5,1,2,16,2,0,0,0,0,11,16,22,6,28,30,20,24,2,5,43,0
41,1,1,13:10,7,0,28,0,3,54,2,0,0,11,16,22,6,28,30,20,24,2,5,43,0
42,1,1,12:52,6,0,22,2,3,0,0,0,0,18,22,20,7,29,30,18,48,12,44,43,0
43,1,0,12:52,4,1,18,48,1,0,0,0,0,18,20,7,29,30,0,18,48,12,44,43,0
44,1,1,12:22,1,1,44,0,3,40,2,0,0,18,20,7,29,30,0,18,48,22,12,44,43
