# 2007/10/25 
# STL , COL 
# 0 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,12,42,4,5,35,27,49,25,6,97,31
2,1,0,20:00,4,CBJ,18,27,1,0,0,0,0,18,12,42,4,5,35,27,49,25,6,97,31
3,1,0,19:22,8,CBJ,25,0,3,0,0,0,0,7,22,9,4,5,35,27,49,25,8,97,31
4,1,0,19:21,1,CBJ,25,0,3,38,1,0,0,7,22,9,4,5,35,19,49,25,8,52,31
5,1,0,19:06,8,CBJ,19,0,2,0,0,0,0,7,22,9,49,55,35,19,49,25,8,52,31
6,1, ,19:00,3,6,0,0,0,0,0,0,0,7,22,9,49,55,35,19,49,61,8,52,31
7,1,0,18:59,4,CBJ,17,19,2,0,0,0,0,17,13,21,28,77,35,19,49,61,8,52,31
8,1,0,18:35,1,CBJ,61,0,3,15,1,0,0,17,13,21,28,77,35,19,13,61,8,52,31
9,1,0,18:34,5,0,77,19,2,0,0,0,0,17,13,21,28,77,35,19,13,61,8,52,31
10,1,0,17:59,1,CBJ,61,0,3,22,1,0,0,39,13,21,28,77,35,91,13,61,2,55,31
11,1,0,17:27,1,0,62,0,3,53,2,0,0,39,9,62,49,55,35,17,27,9,8,52,31
12,1,0,17:22,5,CBJ,8,9,2,0,0,0,0,39,9,62,49,55,35,17,27,9,8,52,31
13,1,0,16:54,9,CBJ,25,0,3,0,0,0,0,18,12,42,4,5,35,27,49,25,8,52,31
14,1,0,16:45,9,CBJ,27,0,2,0,0,0,0,18,12,42,4,5,35,27,49,25,8,97,31
15,1,0,16:43,1,0,12,0,3,31,3,0,0,18,12,42,4,5,35,27,49,25,8,97,31
16,1,0,16:42,5,CBJ,8,42,2,0,0,0,0,18,12,42,4,5,35,27,49,25,8,97,31
17,1,0,16:18,8,0,22,0,1,0,0,0,0,7,22,9,49,55,35,12,49,45,6,97,31
18,1,0,15:59,1,0,7,0,3,17,3,0,0,7,22,9,49,55,35,12,40,45,6,97,31
19,1,0,15:24,7,0,21,0,3,36,1,0,0,17,21,62,4,5,35,19,13,61,2,55,31
20,1, ,15:22,3,1,0,0,0,0,0,0,0,17,21,62,4,5,35,19,13,61,2,55,31
21,1,0,15:22,4,CBJ,21,91,2,0,0,0,0,17,21,62,4,5,35,17,91,9,8,52,31
22,1,0,14:56,1,CBJ,17,0,3,38,3,0,0,17,21,62,28,77,35,17,91,9,2,55,31
23,1,0,14:47,5,CBJ,55,21,1,0,0,0,0,17,21,62,28,77,35,17,91,9,2,55,31
24,1,0,14:39,7,CBJ,17,0,3,22,3,0,0,39,21,19,28,77,35,17,91,9,2,55,31
25,1,0,14:11,5,0,19,8,3,0,0,0,0,39,13,19,4,5,35,19,13,61,8,52,31
26,1,0,14:05,5,CBJ,8,19,2,0,0,0,0,39,13,19,4,5,35,19,13,61,8,52,31
27,1,0,14:02,13,0,19,8,2,0,0,0,0,39,13,19,4,5,35,19,13,61,8,52,31
28,1,0,13:14,7,CBJ,25,0,3,34,2,0,0,18,12,42,28,77,35,27,49,25,6,97,31
29,1,0,12:46,5,0,22,8,3,0,0,0,0,7,22,9,28,49,35,17,91,9,8,52,31
30,1,0,12:37,5,CBJ,17,49,3,0,0,0,0,7,22,9,49,55,35,17,91,9,8,52,31
31,1,0,12:23,13,CBJ,91,55,2,0,0,0,0,17,22,9,49,55,35,17,91,9,52,55,31
32,1,0,12:15,1,CBJ,55,0,3,55,2,0,0,17,22,9,49,55,35,17,91,9,52,55,31
33,1,0,12:07,13,0,22,52,2,0,0,0,0,17,22,9,4,49,35,17,91,9,52,55,31
34,1,0,12:03,5,CBJ,9,49,2,0,0,0,0,17,22,9,4,49,35,17,91,9,52,55,31
35,1,0,11:44,1,0,21,0,3,53,2,0,0,17,21,62,4,5,35,12,40,45,2,55,31
36,1,0,11:19,8,CBJ,40,0,3,0,0,0,0,39,21,62,4,5,35,12,40,45,6,97,31
37,1,0,10:55,5,0,13,97,3,0,0,0,0,39,13,19,49,55,35,19,13,61,6,97,31
38,1, ,10:46,3,0,0,0,0,0,0,0,0,39,13,19,49,55,35,19,13,61,6,97,31
39,1,0,10:45,4,CBJ,39,12,1,0,0,0,0,39,13,19,49,55,35,12,40,45,2,55,31
40,1,0,10:26,5,0,13,12,2,0,0,0,0,39,13,19,49,55,35,12,40,45,2,55,31
41,1,0,10:21,1,0,49,0,3,59,2,0,0,39,13,19,28,49,35,12,40,45,2,55,31
42,1,0,9:57,5,CBJ,12,77,3,0,0,0,0,39,12,42,28,77,35,12,40,61,2,55,31
43,1,0,9:52,1,CBJ,61,0,3,9,6,0,0,18,12,42,28,77,35,12,40,61,6,97,31
44,1,0,9:45,1,0,42,0,3,53,2,0,0,18,12,42,4,5,35,12,40,61,6,97,31
45,1,0,9:31,1,0,5,0,3,55,2,0,0,18,12,42,4,5,35,12,40,61,6,97,31
46,1, ,9:30,3,0,0,0,0,0,0,0,0,18,12,42,4,5,35,12,40,61,6,97,31
47,1,0,9:30,4,CBJ,7,19,2,0,0,0,0,7,22,9,49,55,35,19,13,61,8,52,31
48,1, ,9:18,3,2,0,0,0,0,0,0,0,7,22,9,49,55,35,19,13,61,8,52,31
49,1,0,9:18,4,0,7,19,1,0,0,0,0,7,22,9,49,55,35,19,13,61,8,52,31
50,1,0,8:55,13,CBJ,19,49,2,0,0,0,0,7,22,9,49,55,35,19,13,61,8,52,31
51,1,0,8:46,8,0,9,0,2,0,0,0,0,7,22,9,49,55,35,19,13,61,8,52,31
52,1,0,8:19,5,CBJ,6,17,2,0,0,0,0,17,21,62,4,5,35,17,91,9,6,97,31
53,1,0,8:10,13,0,5,6,2,0,0,0,0,17,21,62,4,5,35,17,91,9,6,97,31
54,1,0,8:05,5,0,17,91,3,0,0,0,0,17,21,62,4,5,35,17,91,9,6,97,31
55,1,0,8:00,5,0,62,97,3,0,0,0,0,17,21,62,4,5,35,17,91,9,6,97,31
56,1, ,7:56,3,2,0,0,0,0,0,0,0,17,21,62,4,5,35,17,91,9,6,97,31
57,1,0,7:56,4,CBJ,39,12,1,0,0,0,0,39,13,19,28,77,35,12,40,45,2,55,31
58,1,0,7:34,5,CBJ,40,19,2,0,0,0,0,39,13,19,28,77,35,12,40,45,2,55,31
59,1,0,7:32,7,0,77,0,3,59,2,0,0,39,13,19,28,77,35,12,40,45,2,55,31
60,1,0,6:37,7,0,18,0,3,28,1,0,0,18,12,42,4,5,35,27,49,25,6,97,31
61,1,0,6:26,8,CBJ,27,0,2,0,0,0,0,18,12,42,4,5,35,27,49,25,6,97,31
62,1,0,6:18,1,0,18,0,3,21,3,0,0,18,12,42,4,5,35,27,49,25,6,97,31
63,1,0,6:04,5,CBJ,19,18,1,0,0,0,0,18,22,9,4,5,35,19,13,61,6,97,31
64,1,0,5:54,1,0,7,0,3,15,3,0,0,7,22,9,49,55,35,19,13,61,6,97,31
65,1,0,5:16,1,CBJ,13,0,1,65,1,0,0,17,21,62,49,55,35,19,13,61,8,52,31
66,1,0,5:02,9,0,17,0,3,0,0,0,0,17,21,62,4,5,35,17,91,9,2,55,31
67,1,0,4:54,1,0,5,0,3,53,1,0,0,17,21,62,4,5,35,17,91,9,2,55,31
68,1,0,4:23,1,CBJ,91,0,3,11,3,0,0,39,13,19,5,28,35,17,91,9,2,8,31
69,1, ,4:19,3,0,0,0,0,0,0,0,0,39,13,19,5,28,35,17,91,9,2,8,31
70,1,0,4:18,4,0,39,91,2,0,0,0,0,39,13,19,4,5,35,17,91,9,2,55,31
71,1, ,3:53,3,11,0,0,0,0,0,0,0,39,13,19,4,5,35,17,91,9,2,55,31
72,1,0,3:53,4,CBJ,18,27,1,0,0,0,0,18,12,42,49,55,35,27,49,25,6,97,31
73,1,0,3:31,5,0,42,6,1,0,0,0,0,18,12,42,28,49,35,27,49,25,6,97,31
74,1,0,3:09,5,0,42,97,3,0,0,0,0,18,12,42,4,5,35,19,13,61,8,97,31
75,1,0,3:01,1,CBJ,13,0,3,32,1,0,0,7,12,42,4,5,35,19,13,61,8,52,31
76,1, ,2:59,3,1,0,0,0,0,0,0,0,7,22,9,4,5,35,19,13,61,8,52,31
77,1,0,2:59,4,CBJ,7,19,3,0,0,0,0,7,22,9,4,5,35,19,13,61,8,52,31
78,1,0,2:30,1,0,9,0,3,21,3,0,0,7,22,9,4,5,35,19,13,61,8,52,31
79,1, ,2:29,3,1,0,0,0,0,0,0,0,7,22,9,4,5,35,19,13,61,8,52,31
80,1,0,2:28,4,CBJ,17,25,2,0,0,0,0,17,21,62,49,55,35,12,40,25,55,97,31
81,1,0,2:22,1,0,49,0,3,45,2,0,0,17,21,62,49,55,35,12,40,25,55,97,31
82,1, ,2:21,3,1,0,0,0,0,0,0,0,17,21,62,49,55,35,12,40,25,55,97,31
83,1,0,2:21,4,CBJ,17,27,2,0,0,0,0,17,21,62,28,77,35,27,49,25,52,97,31
84,1,0,1:53,5,0,77,49,2,0,0,0,0,17,21,62,28,77,35,27,49,25,2,55,31
85,1,0,1:38,5,0,17,25,2,0,0,0,0,17,21,62,28,77,35,27,49,25,2,55,31
86,1,0,0:54,1,0,49,0,3,65,1,0,0,39,13,9,49,55,35,17,91,9,2,55,31
87,1,0,0:41,8,CBJ,91,0,3,0,0,0,0,18,12,42,49,55,35,17,91,9,8,52,31
88,1,0,0:21,1,0,12,0,3,15,6,0,0,18,12,42,4,5,35,91,9,13,8,52,31
89,1, ,0:20,3,1,0,0,0,0,0,0,0,18,12,42,4,5,35,91,9,13,8,52,31
90,1,0,0:19,4,0,7,19,3,0,0,0,0,7,22,9,4,5,35,19,13,61,52,97,31
91,1,0,0:03,5,CBJ,13,5,1,0,0,0,0,7,22,9,4,5,35,19,13,61,52,97,31
92,1,0,0:01,5,0,5,13,1,0,0,0,0,7,22,9,4,5,35,19,13,61,52,97,31
93,1, ,0:00,11,0,0,0,0,0,0,0,0,7,22,9,4,5,35,19,13,61,52,97,31
94,2, ,20:00,10,0,0,0,0,0,0,0,0,18,12,42,4,5,35,27,49,25,6,97,31
95,2,0,20:00,4,CBJ,18,27,1,0,0,0,0,18,12,42,4,5,35,27,49,25,6,97,31
96,2,0,19:40,7,0,42,0,3,23,3,0,0,18,12,42,4,5,35,27,49,25,6,97,31
97,2, ,19:23,3,4,0,0,0,0,0,0,0,18,12,42,4,5,35,27,49,25,6,97,31
98,2,0,19:23,4,0,7,19,1,0,0,0,0,7,22,9,49,55,35,19,13,61,8,52,31
99,2,0,19:15,9,0,9,0,1,0,0,0,0,7,22,9,49,55,35,19,13,61,8,52,31
100,2,0,19:08,1,CBJ,61,0,3,13,1,0,0,17,22,9,49,55,35,19,13,61,8,52,31
101,2, ,19:06,3,1,0,0,0,0,0,0,0,17,22,9,49,55,35,19,13,61,8,52,31
