# 2007/10/30 
# PIT , MIN 
# 4 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,71,87,12,4,19,30,37,92,19,5,8,29
2,1,0,20:00,4,0,87,37,1,0,0,0,0,71,87,12,4,19,30,37,92,19,5,8,29
3,1,0,19:38,7,0,71,0,3,39,1,0,0,71,87,12,4,19,30,37,92,19,5,8,29
4,1,0,19:19,1,0,20,0,3,48,1,0,0,25,20,10,4,19,30,37,92,19,5,8,29
5,1, ,19:18,3,1,0,0,0,0,0,0,0,25,20,10,4,19,30,9,21,83,26,55,29
6,1,0,19:18,4,0,25,9,3,0,0,0,0,25,20,10,5,44,30,9,21,83,26,55,29
7,1,0,19:13,7,0,5,0,3,58,3,0,0,25,20,10,5,44,30,9,21,83,26,55,29
8,1,0,18:52,1,1,83,0,3,7,4,0,0,25,20,10,5,44,30,9,21,83,26,55,29
9,1,0,18:33,1,1,12,0,3,51,2,0,0,48,8,18,3,55,30,25,96,12,33,41,29
10,1, ,18:31,3,1,0,0,0,0,0,0,0,48,8,18,3,55,30,25,96,12,33,41,29
11,1,0,18:31,4,1,18,25,3,0,0,0,0,48,8,18,3,55,30,25,96,12,33,41,29
12,1,0,18:24,9,1,41,0,3,0,0,0,0,48,8,18,3,55,30,25,96,12,33,41,29
13,1,0,18:00,1,0,3,0,3,58,1,0,0,48,8,18,3,55,30,25,96,12,33,41,29
14,1, ,17:59,3,1,0,0,0,0,0,0,0,48,8,18,3,55,30,25,96,12,33,41,29
15,1,0,17:59,4,1,87,37,2,0,0,0,0,71,87,12,5,44,30,37,92,19,5,8,29
16,1,0,17:51,13,0,44,92,2,0,0,0,0,71,87,12,5,44,30,37,92,19,5,8,29
17,1, ,17:28,3,4,0,0,0,0,0,0,0,71,87,12,5,44,30,37,92,19,5,8,29
18,1,0,17:28,4,0,11,15,1,0,0,0,0,11,16,17,4,19,30,15,96,12,26,55,29
19,1,0,16:58,1,1,26,0,1,84,2,0,0,11,16,17,4,19,30,15,12,22,26,55,29
20,1, ,16:55,3,1,0,0,0,0,0,0,0,11,16,17,4,19,30,12,26,55,29,0,0
21,1,0,16:55,4,0,25,21,2,0,0,0,0,25,20,10,5,44,30,9,21,24,33,41,29
22,1,0,16:48,13,1,21,44,2,0,0,0,0,25,20,10,5,44,30,9,21,24,33,41,29
23,1,0,16:46,1,1,9,0,3,38,1,0,0,25,20,10,5,44,30,9,21,24,33,41,29
24,1,0,16:43,5,1,9,44,3,0,0,0,0,25,20,10,5,44,30,9,21,24,33,41,29
25,1, ,16:35,3,4,0,0,0,0,0,0,0,25,20,10,5,44,30,9,21,24,33,41,29
26,1,0,16:35,4,0,87,37,1,0,0,0,0,71,87,12,3,55,30,37,92,19,5,8,29
27,1,0,16:20,5,1,19,55,3,0,0,0,0,71,87,12,3,55,30,37,92,19,5,8,29
28,1,0,16:19,13,1,37,3,2,0,0,0,0,71,87,12,3,55,30,37,92,19,5,8,29
29,1,0,15:56,1,0,71,0,3,28,1,0,0,71,87,12,4,19,30,37,92,19,5,8,29
30,1, ,15:39,3,6,0,0,0,0,0,0,0,48,8,18,4,19,30,25,96,12,26,55,29
31,1,0,15:39,4,1,18,25,3,0,0,0,0,48,8,18,4,19,30,25,96,12,26,55,29
