# 2007/10/31 
# CAR , FLA 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,59,11,6,7,30,11,54,14,4,24,29
2,1,0,20:00,4,1,17,54,1,0,0,0,0,17,59,11,6,7,30,11,54,14,4,24,29
3,1,0,19:40,9,1,4,0,2,0,0,0,0,17,59,11,6,7,30,11,54,14,4,24,29
4,1,0,19:34,1,0,6,0,3,36,1,0,0,17,59,11,6,7,30,11,54,14,4,24,29
5,1,0,19:17,8,0,12,0,3,0,0,0,0,12,51,61,2,22,30,12,16,18,4,24,29
6,1,0,18:54,9,1,5,0,2,0,0,0,0,12,51,61,2,22,30,12,16,18,5,26,29
7,1,0,18:45,9,1,16,0,1,0,0,0,0,12,51,61,2,22,30,12,16,18,5,26,29
8,1,0,18:39,1,0,51,0,3,42,1,0,0,12,51,61,2,22,30,12,16,18,5,26,29
9,1,0,18:11,1,1,20,0,3,47,2,0,0,8,13,26,5,42,30,9,15,20,5,26,29
10,1, ,18:10,3,1,0,0,0,0,0,0,0,8,13,26,5,42,30,9,15,20,5,26,29
11,1,0,18:10,4,1,8,15,3,0,0,0,0,8,13,26,4,6,30,9,15,20,2,21,29
12,1,0,18:06,1,1,9,0,3,15,5,0,0,8,13,26,4,6,30,9,15,20,2,21,29
13,1, ,18:06,3,1,0,0,0,0,0,0,0,8,13,26,4,6,30,9,15,20,2,21,29
14,1,0,18:06,4,1,26,9,3,0,0,0,0,8,13,26,4,6,30,9,15,20,2,21,29
15,1,0,18:01,1,1,2,0,3,62,2,0,0,8,13,26,4,6,30,9,15,20,2,21,29
16,1,0,17:46,13,0,6,20,2,0,0,0,0,8,13,26,4,6,30,9,15,20,2,21,29
17,1,0,17:14,1,0,12,0,3,49,3,0,0,12,19,27,7,22,30,53,10,4,7,24,29
18,1,0,17:08,1,0,27,0,3,41,1,0,0,12,19,27,7,22,30,53,10,4,7,24,29
19,1,0,17:01,13,0,27,10,2,0,0,0,0,12,19,27,7,22,30,53,10,4,7,24,29
20,1, ,16:47,3,2,0,0,0,0,0,0,0,17,59,11,7,22,30,11,54,14,5,26,29
21,1,0,16:47,4,1,17,54,1,0,0,0,0,17,59,11,2,5,30,11,54,14,5,26,29
22,1,0,16:29,5,0,11,26,3,0,0,0,0,17,59,11,2,5,30,11,54,14,5,26,29
23,1,0,16:26,1,0,59,0,3,36,3,0,0,17,59,11,2,5,30,11,54,14,5,26,29
24,1,0,16:05,9,0,59,0,1,0,0,0,0,17,59,11,2,5,30,11,54,14,5,26,29
25,1,0,15:55,1,0,12,0,3,27,3,0,0,12,51,61,4,42,30,11,12,16,2,21,29
26,1, ,14:38,3,6,0,0,0,0,0,0,0,8,13,26,6,7,30,9,15,20,4,24,29
27,1,0,14:38,4,1,8,15,3,0,0,0,0,8,13,26,6,7,30,9,15,20,4,24,29
28,1,0,14:32,7,1,4,0,3,59,2,0,0,8,13,26,6,7,30,9,15,20,4,24,29
29,1,0,13:24,1,1,7,0,3,31,6,0,0,17,59,11,2,6,30,53,10,2,7,21,29
30,1,0,13:16,13,1,21,6,2,0,0,0,0,17,59,11,2,6,30,53,10,2,7,21,29
