# 2007/11/04 
# OTT , BOS 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,20,15,4,24,29,13,12,72,33,44,30
2,1,0,20:00,4,0,12,13,1,0,0,0,0,12,20,15,4,24,29,13,12,72,33,44,30
3,1,0,19:50,5,1,72,4,1,0,0,0,0,12,20,15,4,24,29,13,12,72,33,44,30
4,1,0,19:48,8,1,13,0,2,0,0,0,0,12,20,15,4,24,29,13,12,72,33,44,30
5,1,0,19:28,9,0,24,0,2,0,0,0,0,12,20,15,4,24,29,13,12,72,33,44,30
6,1,0,19:00,6,0,4,12,2,0,0,0,0,12,20,15,4,24,29,13,12,72,6,41,30
7,1,1,19:00,4,1,22,91,3,0,0,0,0,22,11,6,14,29,0,91,27,16,6,33,30
8,1,1,18:23,13,0,22,6,3,0,0,0,0,22,11,6,14,29,0,91,27,16,6,33,30
9,1,1,18:15,1,1,91,0,3,47,2,0,0,12,20,5,24,29,0,91,27,16,6,33,30
10,1,-1,17:37,13,1,6,5,2,0,0,0,0,12,20,5,24,29,0,91,27,72,6,33,30
11,1, ,16:44,3,6,0,0,0,0,0,0,0,25,44,37,6,14,29,81,10,16,44,45,30
12,1,0,16:44,4,1,37,56,3,0,0,0,0,25,44,37,6,14,29,56,22,53,38,45,30
13,1,0,16:14,13,0,6,22,2,0,0,0,0,25,44,37,6,14,29,56,22,53,38,45,30
14,1,0,15:56,8,0,2,0,2,0,0,0,0,25,37,2,5,7,29,81,12,16,6,41,30
15,1,0,15:47,2,1,12,0,3,21,1,81,16,25,37,2,5,7,29,81,12,16,6,41,30
16,1,0,15:47,4,1,71,91,1,0,0,0,0,10,71,4,5,24,29,91,27,11,6,41,30
17,1,0,15:37,7,0,4,0,3,30,1,0,0,10,71,4,5,24,29,91,27,11,6,41,30
18,1,0,15:27,5,0,71,11,3,0,0,0,0,10,71,4,5,24,29,91,27,11,6,41,30
19,1,0,15:20,8,1,11,0,1,0,0,0,0,10,71,4,5,24,29,91,27,11,6,41,30
20,1,0,14:46,9,1,33,0,1,0,0,0,0,12,20,15,6,14,29,13,12,72,33,44,30
21,1, ,14:43,3,1,0,0,0,0,0,0,0,12,20,15,6,14,29,13,10,72,33,44,30
22,1,0,14:43,1,0,12,0,3,35,1,0,0,12,20,15,6,14,29,13,10,72,33,44,30
23,1,0,14:43,4,0,12,13,3,0,0,0,0,12,20,15,6,14,29,13,10,72,33,44,30
24,1,0,14:33,13,0,14,44,2,0,0,0,0,12,20,15,6,14,29,13,10,72,33,44,30
25,1,0,14:32,7,0,14,0,1,67,2,0,0,12,20,15,6,14,29,13,10,72,33,44,30
26,1,0,14:20,1,0,6,0,1,82,1,0,0,12,20,15,6,14,29,13,10,72,33,44,30
27,1,0,14:14,5,1,44,20,2,0,0,0,0,12,20,15,6,14,29,13,10,72,33,44,30
28,1,0,13:34,5,1,12,24,2,0,0,0,0,22,27,11,6,24,29,81,12,16,6,41,30
29,1,0,12:39,7,0,7,0,3,38,6,0,0,22,27,11,2,7,29,56,12,53,38,45,30
30,1, ,10:58,3,0,0,0,0,0,0,0,0,10,71,5,6,14,29,13,10,72,33,44,30
31,1,0,10:58,4,1,12,81,1,0,0,0,0,12,20,15,4,14,29,81,12,16,33,44,30
32,1,0,9:57,8,1,6,0,1,0,0,0,0,20,22,15,6,24,29,91,27,11,6,41,30
33,1, ,9:35,3,0,0,0,0,0,0,0,0,22,27,11,4,24,29,91,27,11,6,41,30
34,1,0,9:35,4,1,22,91,1,0,0,0,0,22,27,11,4,24,29,91,27,11,6,41,30
35,1,0,9:20,1,1,27,0,3,10,6,0,0,22,27,11,4,24,29,91,27,11,6,41,30
36,1,0,8:45,7,1,56,0,3,53,3,0,0,22,27,11,6,14,29,56,22,53,38,45,30
37,1, ,8:37,3,6,0,0,0,0,0,0,0,22,27,11,6,14,29,56,22,53,38,45,30
38,1,0,8:37,4,0,22,56,2,0,0,0,0,22,27,11,6,14,29,56,22,53,38,45,30
39,1,0,8:20,6,1,53,11,2,0,0,0,0,20,22,11,6,14,29,56,22,53,38,45,30
40,1,1,8:20,4,0,12,13,3,0,0,0,0,12,11,15,6,7,29,13,12,33,44,30,0
41,1,-1,7:58,8,1,33,0,2,0,0,0,0,12,11,15,6,7,29,13,72,33,44,30,0
42,1,1,7:11,9,0,15,0,3,0,0,0,0,12,11,15,5,14,29,13,12,6,41,30,0
43,1,1,7:00,9,0,5,0,3,0,0,0,0,20,27,44,5,14,29,56,16,33,44,30,0
44,1,-1,6:35,5,1,33,44,2,0,0,0,0,20,27,44,5,14,29,56,16,33,44,30,0
45,1,-1,6:31,1,1,33,0,1,77,2,0,0,20,27,44,5,14,29,56,16,33,44,30,0
46,1,0,6:17,5,1,41,20,2,0,0,0,0,20,10,37,5,24,29,56,53,72,41,44,30
47,1,0,6:04,1,1,27,0,3,19,1,0,0,20,10,37,5,24,29,91,27,11,6,41,30
48,1,0,5:22,5,1,72,4,3,0,0,0,0,20,10,25,4,7,29,81,12,72,44,45,30
49,1,0,4:27,13,0,6,13,2,0,0,0,0,22,27,11,6,14,29,13,10,16,33,44,30
50,1,0,4:26,1,1,16,0,3,10,3,0,0,22,27,11,6,14,29,13,10,16,33,44,30
51,1,0,3:32,1,0,12,0,3,27,3,0,0,12,20,15,4,24,29,91,10,53,6,41,30
52,1, ,3:32,3,0,0,0,0,0,0,0,0,12,20,15,4,24,29,91,10,53,6,41,30
53,1,0,3:32,4,0,71,91,3,0,0,0,0,10,71,5,6,7,29,91,10,53,6,41,30
