# 2007/11/05 
# BUF , MTL 
# 0 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,55,29,44,51,30,14,27,46,44,71,39
2,1,0,20:00,4,1,19,14,1,0,0,0,0,19,55,29,44,51,30,14,27,46,44,71,39
3,1,0,19:30,7,1,27,0,3,39,1,0,0,19,55,29,44,51,30,14,27,46,44,71,39
4,1,0,18:59,7,0,21,0,3,21,6,0,0,9,21,26,5,10,30,11,73,21,8,79,39
5,1,0,18:55,5,1,8,21,2,0,0,0,0,9,21,26,5,10,30,11,73,21,8,79,39
6,1,0,18:48,1,0,26,0,3,13,5,0,0,9,21,26,5,10,30,11,73,21,8,79,39
7,1,0,18:17,9,0,38,0,2,0,0,0,0,28,12,61,34,38,30,20,84,25,26,32,39
8,1,0,17:52,9,0,38,0,2,0,0,0,0,28,12,61,34,38,30,28,84,25,26,71,39
9,1,0,17:38,13,0,28,28,2,0,0,0,0,28,12,61,38,51,30,28,6,22,44,71,39
10,1,0,17:29,5,0,28,28,3,0,0,0,0,28,12,61,44,51,30,28,6,22,44,71,39
11,1, ,17:16,3,6,0,0,0,0,0,0,0,28,61,20,44,51,30,28,6,22,44,71,39
12,1,0,17:15,4,0,28,14,2,0,0,0,0,28,61,20,44,51,30,14,27,46,8,79,39
13,1,0,16:55,6,0,28,46,1,0,0,0,0,28,61,20,44,51,30,14,27,46,8,79,39
14,1,-1,16:55,4,0,19,11,2,0,0,0,0,19,55,5,10,30,0,11,73,21,32,79,39
15,1,-1,16:31,9,0,5,0,2,0,0,0,0,19,55,5,10,30,0,11,73,21,32,79,39
16,1,-1,16:31,13,1,79,5,2,0,0,0,0,19,55,5,10,30,0,11,73,21,32,79,39
17,1,1,15:56,8,1,32,0,3,0,0,0,0,9,29,5,10,30,0,11,73,21,32,79,39
18,1,1,15:54,5,1,32,5,3,0,0,0,0,9,29,5,10,30,0,11,73,21,32,79,39
19,1,1,15:42,13,0,9,79,2,0,0,0,0,9,29,10,51,30,0,14,73,84,32,79,39
20,1,-1,15:31,5,0,51,84,2,0,0,0,0,9,29,44,51,30,0,14,27,84,44,71,39
21,1,0,14:50,7,1,44,0,3,58,6,0,0,22,28,20,44,51,30,14,27,84,44,71,39
22,1,0,14:39,5,1,44,28,2,0,0,0,0,22,28,20,34,38,30,14,27,84,44,71,39
23,1,0,14:31,7,0,20,0,3,12,1,0,0,22,28,20,34,38,30,14,27,84,44,71,39
24,1,0,14:28,5,1,44,20,2,0,0,0,0,22,28,20,34,38,30,14,27,84,44,71,39
25,1,0,14:05,1,1,25,0,3,24,3,0,0,19,21,26,34,38,30,20,46,8,25,79,39
26,1,0,13:59,9,0,26,0,2,0,0,0,0,19,21,26,34,38,30,20,46,8,25,79,39
27,1,0,13:21,13,0,12,28,2,0,0,0,0,19,12,21,34,38,30,28,6,22,44,71,39
28,1,0,13:09,13,0,44,6,2,0,0,0,0,19,28,61,44,51,30,28,6,22,44,71,39
29,1,0,12:53,5,0,12,22,1,0,0,0,0,28,12,61,44,51,30,28,6,22,44,71,39
30,1, ,12:49,3,0,0,0,0,0,0,0,0,28,12,61,44,51,30,28,6,22,44,71,39
31,1,0,12:49,4,1,19,14,1,0,0,0,0,19,55,29,5,10,30,14,27,84,26,32,39
32,1,0,12:35,1,0,29,0,3,30,2,0,0,19,55,29,5,10,30,14,27,84,26,32,39
33,1,0,12:28,9,1,14,0,2,0,0,0,0,19,55,29,5,10,30,14,27,84,26,32,39
34,1,0,12:26,13,0,5,14,2,0,0,0,0,19,55,29,5,10,30,14,27,84,26,32,39
35,1,0,12:19,13,1,27,5,2,0,0,0,0,19,55,29,5,10,30,14,27,84,26,32,39
36,1,0,12:09,1,0,19,0,3,35,1,0,0,19,55,29,5,10,30,14,27,84,26,32,39
37,1,0,12:04,1,0,29,0,3,6,1,0,0,19,55,29,5,10,30,14,27,84,26,32,39
38,1,0,11:36,5,0,44,21,2,0,0,0,0,9,21,26,44,51,30,11,73,21,8,79,39
39,1,0,11:11,13,1,79,9,2,0,0,0,0,9,21,26,44,51,30,11,73,21,8,79,39
40,1,0,11:07,9,0,26,0,2,0,0,0,0,9,21,26,44,51,30,11,73,21,8,79,39
41,1,0,10:51,5,1,73,9,2,0,0,0,0,9,61,26,34,38,30,11,73,21,8,79,39
42,1,0,10:43,1,0,61,0,3,12,1,0,0,9,61,26,34,38,30,11,73,21,8,79,39
43,1, ,10:42,3,1,0,0,0,0,0,0,0,9,61,26,34,38,30,11,73,21,8,79,39
44,1,0,10:42,4,0,28,20,3,0,0,0,0,28,12,61,34,38,30,20,46,25,44,71,39
45,1,0,10:06,9,0,61,0,2,0,0,0,0,28,12,61,34,38,30,20,46,25,44,71,39
46,1,0,9:46,5,1,6,5,3,0,0,0,0,22,61,20,5,10,30,6,22,46,8,44,39
47,1,0,9:37,8,1,22,0,3,0,0,0,0,22,61,20,5,10,30,28,6,22,8,79,39
48,1,0,9:22,1,0,9,0,3,38,1,0,0,9,22,20,5,10,30,28,6,22,8,79,39
49,1,0,9:19,9,1,28,0,2,0,0,0,0,9,22,20,5,10,30,28,6,22,8,79,39
50,1,0,9:16,1,0,22,0,3,16,1,0,0,9,22,20,5,10,30,28,6,22,8,79,39
51,1,0,9:15,7,0,22,0,3,12,1,0,0,9,22,20,5,10,30,28,6,22,8,79,39
52,1, ,9:14,3,0,0,0,0,0,0,0,0,9,22,20,5,10,30,28,6,22,8,79,39
53,1,0,9:14,4,0,19,14,3,0,0,0,0,19,55,29,44,51,30,14,27,84,8,79,39
54,1,0,9:05,8,0,29,0,3,0,0,0,0,19,55,29,44,51,30,14,27,84,8,79,39
55,1,0,8:34,1,0,19,0,3,17,1,0,0,19,55,29,10,51,30,14,27,84,8,79,39
56,1,0,8:26,1,0,29,0,3,64,2,0,0,19,55,29,10,51,30,14,27,84,8,79,39
57,1, ,8:25,3,1,0,0,0,0,0,0,0,19,55,29,10,51,30,14,27,84,8,79,39
58,1,0,8:25,4,1,9,11,2,0,0,0,0,9,21,26,5,10,30,11,73,21,44,71,39
59,1,0,8:14,9,1,11,0,2,0,0,0,0,9,21,26,5,10,30,11,73,21,44,71,39
60,1,0,8:04,7,0,10,0,3,54,1,0,0,9,21,26,5,10,30,11,73,21,44,71,39
61,1,0,7:53,6,0,9,21,2,0,0,0,0,9,21,26,5,10,30,11,73,21,44,71,39
62,1,-1,7:53,4,0,28,14,2,0,0,0,0,28,20,5,10,30,0,14,27,46,32,79,39
63,1,1,7:28,1,1,14,0,3,21,1,0,0,28,20,5,10,30,0,14,27,46,32,79,39
64,1, ,7:26,3,4,0,0,0,0,0,0,0,28,20,5,10,30,0,14,27,46,32,79,39
65,1,1,7:26,4,1,19,14,3,0,0,0,0,19,55,5,10,30,0,14,27,46,32,79,39
66,1,1,6:58,9,1,27,0,3,0,0,0,0,19,55,5,10,30,0,14,27,46,32,79,39
67,1,-1,6:52,1,0,19,0,3,43,1,0,0,19,55,44,51,30,0,14,27,46,32,79,39
68,1,1,6:41,1,1,11,0,3,22,1,0,0,19,55,44,51,30,0,11,27,46,32,79,39
69,1,1,6:16,1,1,71,0,3,66,2,0,0,28,29,44,51,30,0,11,73,21,44,71,39
70,1, ,6:14,3,1,0,0,0,0,0,0,0,28,29,44,51,30,0,11,73,21,44,71,39
71,1,1,6:14,4,1,28,21,3,0,0,0,0,28,29,5,10,30,0,11,73,21,44,71,39
72,1,-1,5:54,9,0,5,0,2,0,0,0,0,28,29,5,10,30,0,11,73,21,44,71,39
73,1,0,5:48,1,1,11,0,3,19,1,0,0,9,28,29,5,10,30,11,73,21,44,71,39
74,1,0,5:40,1,0,9,0,3,45,1,0,0,9,55,29,34,38,30,20,73,21,44,71,39
75,1,0,5:30,1,1,73,0,3,37,2,0,0,9,55,29,34,38,30,20,73,21,8,44,39
76,1, ,5:29,3,0,0,0,0,0,0,0,0,9,55,29,34,38,30,20,73,21,8,44,39
77,1,0,5:29,4,0,9,20,2,0,0,0,0,9,21,26,34,38,30,20,84,8,25,79,39
78,1,0,4:51,1,0,26,0,3,16,1,0,0,9,21,26,34,38,30,20,84,8,25,79,39
79,1,0,4:50,1,0,26,0,3,12,1,0,0,9,21,26,34,38,30,20,84,8,25,79,39
80,1,0,4:43,5,1,8,26,2,0,0,0,0,9,21,26,34,38,30,20,84,8,25,79,39
81,1,0,4:37,13,0,34,79,2,0,0,0,0,9,21,26,34,38,30,20,84,8,25,79,39
82,1, ,4:31,3,6,0,0,0,0,0,0,0,9,21,26,34,38,30,20,84,8,25,79,39
83,1,0,4:31,4,1,28,20,2,0,0,0,0,28,12,61,44,51,30,20,84,8,25,79,39
84,1,0,3:56,7,0,61,0,3,44,1,0,0,28,12,61,44,51,30,28,6,22,26,32,39
85,1,0,3:54,7,0,51,0,3,64,2,0,0,28,12,61,44,51,30,28,6,22,26,32,39
86,1, ,3:36,3,6,0,0,0,0,0,0,0,28,12,61,44,51,30,28,6,22,26,32,39
87,1,0,3:36,4,1,28,14,3,0,0,0,0,28,12,61,44,51,30,14,27,46,44,71,39
88,1,0,3:30,7,1,46,0,3,51,1,0,0,28,12,61,44,51,30,14,27,46,44,71,39
89,1,0,3:08,1,1,27,0,3,30,1,0,0,19,55,29,34,38,30,14,27,46,44,71,39
90,1,0,3:00,8,0,55,0,2,0,0,0,0,19,55,29,34,38,30,14,27,46,44,71,39
91,1,0,2:53,8,0,55,0,1,0,0,0,0,19,55,29,34,38,30,14,27,46,44,71,39
92,1,0,2:51,5,1,27,19,1,0,0,0,0,19,55,29,34,38,30,14,27,46,44,71,39
93,1, ,2:19,3,6,0,0,0,0,0,0,0,9,22,20,5,10,30,11,73,21,8,79,39
94,1,0,2:19,4,1,9,11,2,0,0,0,0,9,21,26,5,10,30,11,73,21,8,79,39
95,1,0,2:02,1,0,21,0,3,28,1,0,0,9,21,26,5,10,30,11,73,21,8,79,39
96,1, ,2:01,3,1,0,0,0,0,0,0,0,9,21,26,5,10,30,11,73,21,8,79,39
97,1,0,2:01,4,0,22,11,3,0,0,0,0,22,28,20,5,10,30,11,73,21,32,44,39
98,1,0,1:56,5,1,21,5,2,0,0,0,0,22,28,20,5,10,30,11,73,21,32,44,39
99,1,0,1:52,7,0,22,0,3,27,3,0,0,22,28,20,5,10,30,11,73,21,32,44,39
100,1,0,1:43,5,0,28,32,3,0,0,0,0,22,28,20,5,10,30,11,73,21,32,44,39
101,1,0,1:35,1,0,22,0,1,83,2,0,0,22,28,20,5,10,30,20,84,25,32,44,39
102,1,0,1:24,9,0,51,0,2,0,0,0,0,22,28,20,44,51,30,20,84,25,32,44,39
103,1,0,1:23,1,1,44,0,3,66,2,0,0,22,28,20,44,51,30,20,84,25,32,44,39
104,1, ,1:20,3,1,0,0,0,0,0,0,0,22,28,20,44,51,30,20,84,25,32,44,39
105,1,0,1:20,4,1,19,14,3,0,0,0,0,19,55,29,44,51,30,14,27,46,8,79,39
106,1,0,1:11,8,0,29,0,2,0,0,0,0,19,55,29,44,51,30,14,27,46,8,79,39
107,1,0,1:02,7,0,19,0,3,16,5,0,0,19,55,29,44,51,30,14,27,46,8,79,39
108,1,0,0:59,5,1,8,55,2,0,0,0,0,19,55,29,44,51,30,14,27,46,8,79,39
109,1,0,0:48,5,0,55,8,3,0,0,0,0,19,55,29,44,51,30,14,27,46,8,79,39
110,1,0,0:47,9,1,8,0,2,0,0,0,0,19,55,29,44,51,30,14,27,46,8,79,39
111,1,0,0:25,5,1,44,28,2,0,0,0,0,28,12,29,44,51,30,20,46,25,32,44,39
112,1,0,0:05,1,0,12,0,3,38,6,0,0,28,12,61,5,10,30,20,84,25,32,44,39
113,1, ,0:00,11,0,0,0,0,0,0,0,0,28,12,61,5,10,30,20,84,25,32,44,39
114,2, ,20:00,10,0,0,0,0,0,0,0,0,19,55,29,44,51,30,14,27,46,44,71,39
115,2,0,20:00,4,1,19,14,1,0,0,0,0,19,55,29,44,51,30,14,27,46,44,71,39
116,2,0,19:45,1,1,27,0,2,21,1,0,0,19,55,29,44,51,30,14,27,46,44,71,39
117,2, ,19:42,3,1,0,0,0,0,0,0,0,19,55,29,44,51,30,14,27,46,44,71,39
118,2,0,19:42,4,1,9,14,2,0,0,0,0,9,21,26,5,10,30,14,27,46,8,79,39
119,2,0,19:27,13,1,8,10,3,0,0,0,0,9,21,26,5,10,30,14,27,46,8,79,39
120,2,0,19:07,13,1,8,26,2,0,0,0,0,9,21,26,5,10,30,14,27,46,8,79,39
121,2,0,18:39,13,0,10,44,2,0,0,0,0,9,21,26,5,10,30,11,73,21,44,71,39
122,2,0,18:39,5,0,26,71,3,0,0,0,0,9,21,26,5,10,30,11,73,21,44,71,39
123,2,0,18:20,5,1,73,61,3,0,0,0,0,28,12,61,10,51,30,11,73,21,44,71,39
124,2,0,18:20,1,1,11,0,3,16,3,0,0,28,12,61,10,51,30,11,73,21,44,71,39
125,2, ,18:19,3,1,0,0,0,0,0,0,0,28,12,61,10,51,30,11,73,21,44,71,39
126,2,0,18:19,4,0,19,20,2,0,0,0,0,19,55,29,44,51,30,20,84,25,26,32,39
127,2,0,17:42,9,0,44,0,2,0,0,0,0,19,55,29,44,51,30,20,84,25,26,32,39
128,2,0,17:40,13,1,26,19,2,0,0,0,0,19,55,29,44,51,30,20,84,25,26,32,39
129,2,0,17:35,9,1,39,0,2,0,0,0,0,19,55,29,34,51,30,20,84,25,26,32,39
130,2,0,17:24,8,0,29,0,3,0,0,0,0,19,55,29,34,38,30,20,84,25,26,32,39
131,2,0,17:23,13,0,19,26,2,0,0,0,0,19,55,29,34,38,30,20,84,25,26,32,39
132,2,0,17:16,13,0,29,26,2,0,0,0,0,19,55,29,34,38,30,20,84,25,26,32,39
133,2,0,17:06,8,1,84,0,2,0,0,0,0,19,55,29,34,38,30,20,84,25,26,32,39
134,2,0,16:45,13,1,22,38,2,0,0,0,0,22,55,29,34,38,30,28,6,22,32,79,39
135,2,0,16:38,5,1,6,29,3,0,0,0,0,22,55,29,34,38,30,28,6,22,8,79,39
136,2, ,16:37,3,6,0,0,0,0,0,0,0,22,55,29,34,38,30,11,73,21,8,79,39
137,2,0,16:37,4,1,55,11,3,0,0,0,0,22,55,29,34,38,30,11,73,21,8,79,39
138,2,0,16:34,1,1,11,0,3,8,1,0,0,22,55,29,34,38,30,11,73,21,8,79,39
139,2,0,16:22,5,0,28,11,2,0,0,0,0,22,28,20,34,38,30,11,73,21,8,79,39
140,2,0,15:22,8,0,9,0,1,0,0,0,0,9,21,20,5,10,30,14,27,21,8,79,39
141,2, ,15:15,3,3,0,0,0,0,0,0,0,9,21,26,5,10,30,14,27,46,8,79,39
142,2,0,15:15,4,1,9,14,1,0,0,0,0,9,21,26,5,10,30,14,27,46,44,71,39
143,2,0,14:45,8,1,14,0,1,0,0,0,0,9,21,26,5,10,30,14,27,46,44,71,39
144,2, ,14:44,3,2,0,0,0,0,0,0,0,9,21,26,5,10,30,14,27,46,44,71,39
145,2,0,14:44,4,0,19,14,1,0,0,0,0,19,55,29,44,51,30,14,27,46,8,79,39
146,2,0,14:20,8,0,44,0,2,0,0,0,0,19,55,29,44,51,30,14,27,46,8,79,39
