# 2007/11/05 
# PIT , N.J 
# 5 , 0 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,71,87,12,4,44,30,11,16,20,6,7,30
2,1,0,20:00,4,0,87,11,1,0,0,0,0,71,87,12,4,44,30,11,16,20,6,7,30
3,1,0,19:43,1,1,16,0,3,43,3,0,0,71,87,12,4,44,30,11,16,20,6,7,30
4,1, ,19:42,3,1,0,0,0,0,0,0,0,71,87,12,4,44,30,11,16,20,6,7,30
5,1,0,19:42,4,0,16,19,2,0,0,0,0,16,8,10,3,55,30,19,14,9,27,29,30
6,1,0,19:27,1,1,14,0,3,26,3,0,0,16,8,10,3,55,30,19,14,9,27,29,30
7,1,0,18:56,5,0,17,8,1,0,0,0,0,11,48,17,3,55,30,18,23,26,2,8,30
8,1,0,18:39,13,1,8,11,2,0,0,0,0,11,48,17,44,55,30,18,23,26,2,8,30
9,1, ,18:35,3,10,0,0,0,0,0,0,0,11,48,17,44,55,30,18,23,26,2,8,30
10,1,0,18:35,6,0,55,26,0,0,0,0,0,11,48,17,44,55,30,19,14,9,26,7,30
11,1,1,18:35,4,1,11,19,1,0,0,0,0,11,18,4,32,30,0,19,14,9,26,7,30
12,1,-1,17:26,5,0,25,7,3,0,0,0,0,25,12,3,44,30,0,11,16,23,20,7,30
13,1,0,16:28,1,0,55,0,3,49,2,0,0,11,18,5,32,55,30,10,18,22,6,27,30
14,1, ,16:27,3,1,0,0,0,0,0,0,0,11,18,5,32,55,30,19,14,9,6,7,30
15,1,0,16:27,4,0,87,19,3,0,0,0,0,71,87,27,5,44,30,19,14,9,6,7,30
16,1, ,16:14,3,2,0,0,0,0,0,0,0,71,87,27,5,44,30,19,14,9,6,7,30
17,1,0,16:14,4,1,87,11,1,0,0,0,0,71,87,10,3,55,30,11,16,20,6,7,30
18,1,0,15:51,5,0,55,20,2,0,0,0,0,71,87,10,3,55,30,11,16,20,6,7,30
19,1,0,15:28,1,0,71,0,3,45,3,0,0,71,87,10,3,55,30,11,16,20,6,7,30
