# 2007/11/08 
# DAL , PHX 
# 2 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,20:00,4,1,9,11,1,0,0,0,0,9,65,36,5,56,35,11,17,13,5,44,32
3,1,0,19:38,1,0,65,0,3,26,3,0,0,9,65,36,5,56,35,11,17,13,5,44,32
4,1,0,19:26,7,0,65,0,3,17,3,0,0,9,65,36,5,56,35,11,17,13,5,44,32
5,1,0,18:54,5,1,53,63,2,0,0,0,0,63,26,10,6,43,35,39,12,16,2,53,32
6,1,0,18:31,13,1,4,43,2,0,0,0,0,63,26,10,6,43,35,39,12,16,2,4,32
7,1,0,17:56,8,1,19,0,1,0,0,0,0,11,14,15,2,3,35,28,88,19,5,44,32
8,1,0,17:43,13,1,44,2,2,0,0,0,0,11,14,15,2,3,35,28,88,19,5,44,32
9,1,0,17:25,5,0,5,20,2,0,0,0,0,29,13,92,5,56,35,15,20,22,5,44,32
10,1,0,17:09,6,0,29,22,2,0,0,0,0,29,13,92,5,56,35,15,20,22,4,55,32
11,1,1,17:09,4,1,9,11,3,0,0,0,0,9,26,5,56,35,0,11,39,17,13,53,32
12,1,-1,17:01,1,0,9,0,3,30,2,0,0,9,26,5,56,35,0,11,39,17,13,53,32
13,1,1,16:24,1,1,55,0,3,56,2,0,0,14,15,5,56,35,0,11,39,17,13,55,32
14,1,-1,16:08,13,1,11,56,2,0,0,0,0,14,15,5,56,35,0,11,39,17,13,55,32
15,1,-1,15:47,13,1,16,43,2,0,0,0,0,11,10,6,43,35,0,28,88,19,16,55,32
16,1,-1,15:23,13,1,19,9,3,0,0,0,0,9,26,6,43,35,0,28,88,19,16,55,32
17,1,0,15:07,1,1,2,0,3,41,3,0,0,9,29,26,6,43,35,28,88,19,2,4,32
18,1,0,15:01,1,1,19,0,3,31,3,0,0,9,29,26,6,43,35,28,88,19,2,4,32
