# 2007/11/13 
# MTL , TOR 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,73,21,8,79,31,13,23,55,24,56,1
2,1,0,20:00,4,0,11,13,1,0,0,0,0,11,73,21,8,79,31,13,23,55,24,56,1
3,1,0,19:44,5,1,24,21,2,0,0,0,0,11,73,21,8,79,31,13,23,55,24,56,1
4,1,0,19:41,7,0,21,0,3,19,4,0,0,11,73,21,8,79,31,13,23,55,24,56,1
5,1,0,19:28,8,0,73,0,1,0,0,0,0,11,73,21,8,79,31,13,23,55,24,56,1
6,1, ,19:11,3,6,0,0,0,0,0,0,0,14,27,21,8,79,31,10,14,22,7,25,1
7,1,0,19:11,4,1,14,14,3,0,0,0,0,14,27,21,8,79,31,10,14,22,7,25,1
8,1,0,18:52,1,0,46,0,3,23,1,0,0,14,27,46,44,71,31,10,14,22,7,25,1
9,1,0,18:24,9,0,20,0,2,0,0,0,0,20,27,46,44,71,31,41,42,80,15,44,1
10,1,0,18:18,1,0,44,0,1,90,2,0,0,20,84,25,44,71,31,41,42,80,15,44,1
11,1,0,18:13,9,1,1,0,2,0,0,0,0,20,84,25,32,51,31,41,42,80,15,44,1
12,1,0,18:02,1,1,41,0,3,23,1,0,0,20,84,25,32,51,31,41,42,80,15,44,1
13,1, ,18:02,3,1,0,0,0,0,0,0,0,20,84,25,32,51,31,41,42,80,15,44,1
14,1,0,18:02,4,1,28,9,3,0,0,0,0,28,6,22,8,79,31,16,9,33,15,44,1
15,1,0,17:56,1,1,44,0,3,27,1,0,0,28,6,22,8,79,31,16,9,33,15,44,1
16,1,0,17:55,6,0,79,44,2,0,0,0,0,28,6,22,8,79,31,16,9,33,15,44,1
17,1,-1,17:55,4,0,28,13,2,0,0,0,0,28,6,8,51,31,0,13,42,16,15,24,1
18,1,1,17:34,8,1,16,0,3,0,0,0,0,28,6,8,51,31,0,13,42,16,15,24,1
19,1,1,17:27,7,1,13,0,3,45,1,0,0,28,6,8,51,31,0,13,42,16,15,24,1
20,1,1,17:24,7,1,13,0,3,45,1,0,0,28,6,8,51,31,0,13,42,16,15,24,1
21,1,1,17:16,13,0,51,42,3,0,0,0,0,28,6,8,51,31,0,13,42,16,15,24,1
