# 2007/11/25 
# L.A , ANA 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,26,73,41,4,17,35,22,16,24,11,23,35
2,1,0,20:00,4,1,73,22,1,0,0,0,0,26,73,41,4,17,35,22,16,24,11,23,35
3,1,0,19:44,5,1,22,41,3,0,0,0,0,21,73,41,4,17,35,22,16,24,11,23,35
4,1,0,19:18,1,0,21,0,3,33,3,0,0,21,73,41,3,44,35,22,16,24,11,23,35
5,1, ,19:18,3,1,0,0,0,0,0,0,0,21,73,41,3,44,35,22,16,24,11,23,35
6,1,0,19:18,4,1,11,26,2,0,0,0,0,11,12,23,3,44,35,26,44,32,21,25,35
7,1,0,18:17,5,0,25,40,3,0,0,0,0,26,28,3,25,44,35,15,17,10,7,40,35
8,1,0,17:53,5,0,26,40,3,0,0,0,0,26,28,3,25,44,35,15,17,10,7,40,35
9,1, ,17:49,3,10,0,0,0,0,0,0,0,26,28,3,25,44,35,15,17,10,7,40,35
10,1,0,17:49,4,1,7,4,1,0,0,0,0,7,13,19,4,17,35,19,4,14,21,25,35
11,1,0,17:39,8,0,7,0,3,0,0,0,0,7,13,19,4,17,35,19,4,14,21,25,35
12,1,0,17:25,5,0,7,19,1,0,0,0,0,7,13,19,4,17,35,19,4,14,21,25,35
13,1,0,17:18,6,0,7,19,1,0,0,0,0,7,13,19,4,17,35,19,4,14,21,25,35
14,1,1,17:18,4,1,26,15,3,0,0,0,0,12,26,4,44,35,0,15,10,14,11,25,35
15,1,1,17:09,1,1,25,0,3,56,2,0,0,12,26,4,44,35,0,15,10,14,11,25,35
16,1,1,17:07,7,1,25,0,3,56,2,0,0,12,26,4,44,35,0,15,10,14,11,25,35
17,1, ,17:06,3,1,0,0,0,0,0,0,0,12,26,4,44,35,0,15,10,14,11,25,35
