# 2007/12/04 
# STL , CGY 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,18,12,21,4,27,35,24,11,40,6,28,34
2,1,0,20:00,4,1,18,24,1,0,0,0,0,18,12,21,4,27,35,24,11,40,6,28,34
3,1, ,19:49,3,2,0,0,0,0,0,0,0,18,12,21,4,27,35,24,11,40,6,28,34
4,1,0,19:49,4,1,18,24,1,0,0,0,0,18,12,21,5,77,35,24,11,40,6,28,34
5,1, ,19:47,3,10,0,0,0,0,0,0,0,18,12,21,5,77,35,24,11,40,6,28,34
6,1,0,19:47,4,1,18,24,1,0,0,0,0,18,12,21,5,77,35,24,11,40,6,28,34
7,1,0,19:24,2,0,12,0,3,29,1,21,5,18,12,21,5,77,35,24,11,40,6,28,34
8,1,0,19:24,4,1,7,22,1,0,0,0,0,7,20,42,4,27,35,22,12,20,3,8,34
9,1,0,19:03,13,1,3,4,2,0,0,0,0,7,20,42,4,27,35,22,12,20,3,8,34
10,1,0,18:50,8,0,4,0,2,0,0,0,0,7,20,42,4,27,35,22,12,20,3,8,34
11,1,0,18:43,5,0,42,8,2,0,0,0,0,7,20,42,4,27,35,22,12,20,3,8,34
12,1, ,18:31,3,6,0,0,0,0,0,0,0,7,20,42,4,27,35,22,12,20,3,8,34
13,1,0,18:31,4,0,7,18,2,0,0,0,0,7,20,42,4,27,35,18,41,23,21,33,34
14,1,0,17:51,5,1,21,9,2,0,0,0,0,39,22,9,49,55,35,18,41,23,21,33,34
15,1,0,17:45,1,0,49,0,3,58,2,0,0,39,22,9,49,55,35,18,41,23,21,33,34
16,1, ,17:45,3,1,0,0,0,0,0,0,0,39,22,9,49,55,35,18,41,23,21,33,34
17,1,0,17:45,4,0,17,16,3,0,0,0,0,17,13,19,5,77,35,16,17,26,6,28,34
18,1,0,17:38,1,0,13,0,3,40,1,0,0,17,13,19,5,77,35,16,17,26,6,28,34
19,1,0,17:30,5,0,13,28,3,0,0,0,0,17,13,19,5,77,35,16,17,26,6,28,34
20,1,0,17:23,5,0,17,28,3,0,0,0,0,17,13,19,5,77,35,16,17,26,6,28,34
21,1, ,17:09,3,6,0,0,0,0,0,0,0,17,12,21,5,77,35,16,11,26,6,28,34
22,1,0,17:09,4,1,17,24,3,0,0,0,0,17,12,21,5,77,35,24,11,40,3,8,34
23,1,0,16:57,7,0,21,0,3,52,1,0,0,18,12,21,49,55,35,24,11,40,3,8,34
24,1,0,16:48,7,1,24,0,3,52,1,0,0,18,12,21,49,55,35,24,11,40,3,8,34
25,1,0,16:07,7,1,33,0,3,25,1,0,0,7,20,42,49,55,35,22,12,20,21,33,34
26,1,0,16:03,5,0,42,21,2,0,0,0,0,7,20,42,49,55,35,22,12,20,21,33,34
27,1,0,15:41,9,0,27,0,1,0,0,0,0,7,20,42,4,27,35,22,12,20,21,33,34
28,1,0,15:34,7,1,28,0,3,41,3,0,0,39,20,42,4,27,35,18,12,20,6,28,34
29,1,0,15:27,9,1,20,0,3,0,0,0,0,39,20,42,4,27,35,18,12,20,6,28,34
30,1,0,15:07,13,1,26,77,2,0,0,0,0,39,22,9,4,77,35,18,23,26,6,28,34
31,1,0,15:04,5,1,28,22,1,0,0,0,0,39,22,9,4,77,35,18,23,26,6,28,34
32,1,0,14:48,8,0,22,0,2,0,0,0,0,17,22,9,4,77,35,41,23,26,3,8,34
33,1,0,14:41,1,0,17,0,3,9,1,0,0,17,13,9,49,55,35,41,23,26,3,8,34
34,1, ,14:40,3,1,0,0,0,0,0,0,0,17,13,9,49,55,35,41,23,26,3,8,34
35,1,0,14:40,4,0,17,41,3,0,0,0,0,17,13,19,49,55,35,16,41,17,3,8,34
36,1,0,14:12,5,1,41,55,3,0,0,0,0,18,13,19,49,55,35,16,41,17,3,8,34
37,1,0,14:01,1,0,19,0,3,61,2,0,0,18,21,19,5,77,35,16,41,17,3,8,34
38,1,0,13:40,1,0,12,0,3,18,1,0,0,18,12,21,5,77,35,24,11,40,21,33,34
39,1, ,13:37,3,0,0,0,0,0,0,0,0,18,12,21,5,77,35,24,11,40,21,33,34
40,1,0,13:37,4,1,18,18,2,0,0,0,0,18,12,21,5,77,35,18,23,26,21,33,34
41,1,0,13:27,5,1,23,77,3,0,0,0,0,18,12,21,5,77,35,18,23,26,21,33,34
42,1,0,12:44,8,1,12,0,3,0,0,0,0,7,20,42,4,27,35,22,12,20,21,33,34
43,1,0,12:28,5,1,3,42,2,0,0,0,0,7,20,42,4,27,35,22,12,20,3,8,34
44,1,0,12:16,8,0,27,0,2,0,0,0,0,7,20,42,4,27,35,22,12,20,3,8,34
