# 2007/12/16 
# PHX , NYR 
# 5 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,17,20,4,55,30,17,82,68,3,8,40
2,1,0,20:00,4,0,11,17,1,0,0,0,0,11,17,20,4,55,30,17,82,68,3,8,40
3,1, ,19:49,3,6,0,0,0,0,0,0,0,11,17,20,4,55,30,17,82,68,3,8,40
4,1,0,19:49,4,1,11,17,3,0,0,0,0,11,17,20,4,55,30,17,82,68,3,8,40
5,1,0,19:35,6,0,4,82,2,0,0,0,0,11,17,20,4,55,30,17,82,68,3,8,40
6,1,1,19:35,4,1,19,17,3,0,0,0,0,19,22,2,53,30,0,17,82,25,68,3,40
7,1,1,19:27,7,1,82,0,3,53,2,0,0,19,22,2,53,30,0,17,82,25,68,3,40
8,1,1,19:13,1,1,17,0,3,42,1,0,0,19,22,2,53,30,0,17,82,25,68,3,40
9,1,1,18:58,1,1,3,0,3,28,2,0,0,19,22,2,53,30,0,17,82,25,68,3,40
10,1,1,18:46,1,1,17,0,3,12,1,0,0,19,22,2,53,30,0,17,82,25,68,3,40
11,1, ,18:46,3,1,0,0,0,0,0,0,0,19,22,2,53,30,0,17,82,25,68,3,40
12,1,1,18:46,4,1,11,23,3,0,0,0,0,11,34,44,55,30,0,19,23,14,5,51,40
13,1,1,18:12,1,1,23,0,3,25,5,0,0,11,34,44,55,30,0,19,23,14,5,51,40
14,1, ,18:11,3,1,0,0,0,0,0,0,0,11,34,44,55,30,0,19,23,14,5,51,40
15,1,-1,18:11,4,0,39,17,2,0,0,0,0,39,17,2,53,30,0,17,82,25,68,3,40
16,1,1,17:51,1,1,17,0,3,12,3,0,0,17,20,2,53,30,0,17,82,25,68,3,40
17,1,1,17:44,6,1,17,20,3,0,0,0,0,17,20,2,53,30,0,17,82,25,68,3,40
18,1,0,17:44,4,1,26,23,2,0,0,0,0,26,13,16,55,30,0,23,14,5,51,40,0
19,1,1,17:32,5,0,13,14,3,0,0,0,0,26,13,16,4,55,30,23,14,5,51,40,0
20,1,1,17:19,7,0,55,0,3,56,1,0,0,26,88,13,4,55,30,23,14,5,51,40,0
21,1,-1,17:08,8,1,51,0,2,0,0,0,0,26,88,13,16,55,30,23,14,5,51,40,0
22,1,1,16:49,2,0,26,0,3,31,1,16,55,26,88,13,16,55,30,15,14,18,51,40,0
23,1,0,16:49,4,1,28,23,1,0,0,0,0,28,19,22,3,44,30,23,49,10,18,27,40
24,1,0,16:40,5,1,49,3,3,0,0,0,0,28,19,22,3,44,30,23,49,10,18,27,40
25,1, ,16:34,3,6,0,0,0,0,0,0,0,28,19,22,3,44,30,23,49,10,18,27,40
26,1,0,16:34,4,0,28,23,2,0,0,0,0,28,19,22,3,44,30,23,49,10,18,27,40
27,1,0,16:26,8,1,10,0,3,0,0,0,0,28,19,22,3,44,30,23,49,10,18,27,40
28,1,0,16:19,5,0,44,10,2,0,0,0,0,28,19,22,3,44,30,23,49,10,18,27,40
29,1,0,16:00,13,1,49,4,2,0,0,0,0,28,19,22,4,55,30,19,49,10,5,51,40
30,1,0,15:33,9,1,5,0,2,0,0,0,0,11,17,20,4,55,30,19,25,14,5,51,40
31,1,0,15:31,1,0,17,0,3,13,1,0,0,11,17,20,4,55,30,19,25,14,5,51,40
32,1,0,14:52,1,1,68,0,3,10,6,0,0,11,34,17,2,53,30,17,82,68,3,8,40
33,1,0,14:47,5,0,34,68,2,0,0,0,0,11,34,17,2,53,30,17,82,68,3,8,40
34,1,0,14:36,9,1,8,0,2,0,0,0,0,26,34,13,4,55,30,17,82,68,3,8,40
35,1,0,14:18,1,0,26,0,3,25,3,0,0,26,34,13,4,55,30,17,82,68,3,8,40
36,1, ,14:17,3,1,0,0,0,0,0,0,0,26,34,13,4,55,30,17,82,68,3,8,40
37,1,0,14:17,4,0,39,15,3,0,0,0,0,39,16,22,3,44,30,15,28,18,27,34,40
38,1, ,14:14,3,1,0,0,0,0,0,0,0,39,16,22,3,44,30,15,28,18,27,34,40
39,1,0,14:14,1,0,44,0,3,63,2,0,0,39,16,22,3,44,30,15,28,18,27,34,40
40,1,0,14:14,4,1,39,15,2,0,0,0,0,39,16,22,3,44,30,15,28,18,27,34,40
41,1,0,14:05,13,0,3,28,2,0,0,0,0,39,16,22,3,44,30,15,28,18,27,34,40
42,1,0,13:14,5,1,51,28,2,0,0,0,0,28,88,19,2,53,30,23,49,10,5,51,40
43,1,0,13:09,13,0,53,23,2,0,0,0,0,28,88,19,2,53,30,23,49,10,5,51,40
