# 2007/12/21 
# N.J , EDM 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,14,9,6,7,30,10,27,83,25,77,32
2,1,0,20:00,4,1,19,10,1,0,0,0,0,19,14,9,6,7,30,10,27,83,25,77,32
3,1, ,19:08,3,6,0,0,0,0,0,0,0,11,18,15,5,27,30,10,27,83,25,77,32
4,1,0,19:08,4,0,19,19,2,0,0,0,0,19,14,9,5,27,30,16,19,28,5,24,32
5,1,0,18:38,5,1,24,14,3,0,0,0,0,19,14,9,5,27,30,16,19,28,5,24,32
6,1, ,18:22,3,6,0,0,0,0,0,0,0,16,23,26,28,29,30,16,19,28,5,24,32
7,1,0,18:22,4,0,26,19,3,0,0,0,0,16,23,26,28,29,30,16,19,28,5,24,32
8,1,0,18:11,7,0,16,0,3,32,3,0,0,16,23,26,28,29,30,16,19,28,5,24,32
9,1,0,18:09,7,0,26,0,3,57,3,0,0,16,23,26,28,29,30,16,19,28,5,24,32
10,1,0,18:00,1,0,23,0,3,35,2,0,0,16,23,26,28,29,30,10,27,83,23,44,32
11,1,0,17:45,7,1,27,0,3,23,3,0,0,16,15,26,7,29,30,10,27,83,23,44,32
12,1,0,17:24,13,0,18,23,2,0,0,0,0,11,18,15,7,29,30,10,27,34,23,44,32
13,1,0,17:15,8,0,15,0,3,0,0,0,0,11,18,15,6,7,30,10,27,34,23,44,32
14,1,0,17:04,5,1,34,18,2,0,0,0,0,11,18,15,5,27,30,12,89,34,23,44,32
15,1,0,16:24,1,1,12,0,3,41,2,0,0,10,22,26,5,27,30,12,89,34,25,77,32
16,1,0,15:14,13,1,24,2,2,0,0,0,0,16,23,26,2,7,30,16,19,28,23,24,32
17,1,0,15:11,13,1,28,26,2,0,0,0,0,16,23,26,2,7,30,16,19,28,23,24,32
18,1,0,14:57,5,0,2,16,2,0,0,0,0,16,23,26,2,7,30,16,19,28,23,24,32
19,1,0,14:45,5,0,23,24,3,0,0,0,0,16,23,26,2,7,30,16,19,28,23,24,32
20,1, ,14:39,3,6,0,0,0,0,0,0,0,11,16,23,6,7,30,16,19,28,23,24,32
21,1,0,14:39,4,0,11,16,3,0,0,0,0,11,18,15,5,6,30,16,19,28,23,24,32
22,1,0,14:35,7,0,15,0,3,48,2,0,0,11,18,15,5,6,30,16,19,28,23,24,32
23,1,0,14:26,8,0,11,0,3,0,0,0,0,11,18,15,5,6,30,16,19,28,23,24,32
24,1, ,14:13,3,8,0,0,0,0,0,0,0,11,18,15,5,6,30,12,89,34,23,24,32
25,1,0,14:13,4,0,19,10,3,0,0,0,0,19,14,9,5,27,30,10,27,83,23,44,32
26,1,0,12:50,8,1,89,0,1,0,0,0,0,19,23,9,28,29,30,12,89,34,25,77,32
27,1,0,12:48,8,0,19,0,1,0,0,0,0,19,23,9,28,29,30,12,89,34,25,77,32
28,1, ,12:30,3,0,0,0,0,0,0,0,0,16,23,26,6,7,30,13,51,46,5,24,32
29,1,0,12:30,4,0,26,13,1,0,0,0,0,16,23,26,2,27,30,13,51,46,5,24,32
30,1,0,12:19,6,1,46,22,1,0,0,0,0,10,16,22,2,27,30,13,51,46,5,24,32
31,1,1,12:19,6,0,22,46,1,0,0,0,0,10,16,22,2,27,30,13,51,5,24,32,0
32,1,0,12:19,4,1,26,10,2,0,0,0,0,16,23,26,2,27,30,10,27,83,23,44,32
33,1,0,12:09,8,0,15,0,3,0,0,0,0,11,16,15,6,7,30,10,27,83,23,44,32
34,1,0,11:58,7,1,10,0,3,24,2,0,0,11,18,15,6,7,30,10,27,83,23,44,32
35,1,0,11:46,13,1,44,6,2,0,0,0,0,11,18,15,6,7,30,10,27,83,23,44,32
36,1,0,11:34,13,0,15,83,2,0,0,0,0,11,18,15,6,7,30,10,19,83,23,44,32
37,1,0,11:26,7,1,19,0,3,21,5,0,0,11,18,15,6,7,30,10,19,83,25,77,32
38,1,0,11:01,13,0,23,16,2,0,0,0,0,16,23,26,5,27,30,16,19,28,25,77,32
39,1, ,11:00,3,4,0,0,0,0,0,0,0,16,23,26,5,27,30,16,19,28,25,77,32
40,1,0,11:00,4,0,26,19,3,0,0,0,0,16,23,26,5,27,30,16,19,28,25,77,32
41,1,0,10:56,13,0,5,28,2,0,0,0,0,16,23,26,5,27,30,16,19,28,25,77,32
42,1,0,10:44,1,0,26,0,3,38,1,0,0,16,23,26,5,27,30,16,19,28,25,77,32
43,1, ,10:44,3,1,0,0,0,0,0,0,0,16,23,26,5,27,30,16,19,28,25,77,32
44,1,0,10:43,4,0,19,10,3,0,0,0,0,19,14,9,2,29,30,10,27,83,5,24,32
45,1,0,10:41,1,0,2,0,3,68,1,0,0,19,14,9,2,29,30,10,27,83,5,24,32
46,1,0,10:29,5,1,24,9,2,0,0,0,0,19,14,9,2,29,30,10,27,83,5,24,32
47,1,0,9:45,13,0,6,24,2,0,0,0,0,19,14,9,6,7,30,10,27,83,5,24,32
