# 2007/12/27 
# TOR , PHI 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,13,80,23,15,31,1,18,15,19,2,5,43
2,1,0,20:00,4,1,13,18,1,0,0,0,0,13,80,23,15,31,1,18,15,19,2,5,43
3,1, ,19:32,3,3,0,0,0,0,0,0,0,13,80,23,15,31,1,18,15,19,2,5,43
4,1,0,19:32,4,0,14,48,1,0,0,0,0,10,14,22,7,25,1,20,48,9,26,44,43
5,1,0,19:21,1,0,10,0,1,83,6,0,0,10,14,22,7,25,1,20,48,9,26,44,43
6,1,0,19:18,7,0,22,0,3,32,3,0,0,10,14,22,7,25,1,20,48,9,26,44,43
7,1,0,19:00,5,0,22,26,3,0,0,0,0,10,14,22,7,25,1,20,48,9,26,44,43
8,1,0,18:46,5,0,10,9,3,0,0,0,0,10,14,22,7,25,1,20,48,9,26,44,43
9,1, ,18:44,3,11,0,0,0,0,0,0,0,11,42,18,8,31,1,20,48,9,26,44,43
10,1,0,18:44,4,0,42,17,1,0,0,0,0,11,42,18,8,31,1,17,22,24,6,21,43
11,1,0,18:27,8,0,42,0,1,0,0,0,0,11,42,18,8,31,1,17,22,24,6,21,43
12,1,0,18:23,13,0,42,21,2,0,0,0,0,11,42,18,8,31,1,17,22,24,6,21,43
13,1,0,18:18,5,1,22,8,2,0,0,0,0,11,42,18,8,31,1,17,22,24,6,21,43
14,1,0,18:12,5,1,24,31,2,0,0,0,0,11,42,18,8,31,1,17,22,24,6,21,43
15,1, ,17:29,3,1,0,0,0,0,0,0,0,10,9,55,15,36,1,11,53,32,26,44,43
16,1,0,17:29,4,0,13,18,2,0,0,0,0,13,80,23,7,25,1,18,15,19,2,5,43
17,1,0,17:16,9,1,2,0,3,0,0,0,0,13,80,23,7,25,1,18,15,19,2,5,43
18,1,0,17:09,5,1,2,23,3,0,0,0,0,13,80,23,7,25,1,18,15,19,2,5,43
19,1,0,17:06,9,1,18,0,3,0,0,0,0,13,80,23,7,25,1,18,15,19,2,5,43
20,1, ,16:20,3,6,0,0,0,0,0,0,0,10,14,22,15,31,1,17,22,24,6,21,43
21,1,0,16:20,4,1,14,17,3,0,0,0,0,10,14,22,15,31,1,17,22,24,26,44,43
22,1,0,16:14,1,1,24,0,3,43,2,0,0,10,14,22,15,31,1,17,22,24,26,44,43
23,1, ,16:13,3,1,0,0,0,0,0,0,0,10,14,22,15,31,1,17,22,24,26,44,43
24,1,0,16:13,4,1,14,17,3,0,0,0,0,10,14,22,7,25,1,17,22,24,26,44,43
25,1,0,16:06,1,1,24,0,3,54,2,0,0,10,14,22,7,25,1,17,22,24,26,44,43
26,1, ,15:52,3,11,0,0,0,0,0,0,0,10,14,22,7,25,1,17,22,24,26,44,43
27,1,0,15:52,4,0,42,48,1,0,0,0,0,11,42,18,8,31,1,20,48,9,6,21,43
