# 2007/12/28 
# BOS , CAR 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,13,12,16,6,33,30,17,24,61,7,22,30
2,1,0,20:00,4,1,13,17,1,0,0,0,0,13,12,16,6,33,30,17,24,61,7,22,30
3,1,0,19:43,1,0,16,0,3,34,3,0,0,13,12,16,6,33,30,17,24,61,7,22,30
4,1, ,19:42,3,1,0,0,0,0,0,0,0,13,12,16,6,33,30,17,24,61,7,22,30
5,1,0,19:42,4,1,81,17,2,0,0,0,0,81,17,72,6,33,30,17,24,61,7,22,30
6,1, ,19:27,3,2,0,0,0,0,0,0,0,81,17,72,6,33,30,17,24,61,7,22,30
7,1,0,19:27,4,0,91,12,2,0,0,0,0,81,91,72,6,33,30,12,13,26,4,6,30
8,1,0,19:20,13,1,13,33,2,0,0,0,0,81,91,72,6,33,30,12,13,26,4,6,30
9,1,0,18:39,13,0,91,6,2,0,0,0,0,91,10,11,21,45,30,12,13,26,4,6,30
10,1,0,18:32,5,0,91,4,3,0,0,0,0,91,10,11,21,45,30,12,13,26,4,6,30
11,1,0,18:10,5,1,27,45,3,0,0,0,0,56,60,53,21,45,30,51,27,16,2,42,30
12,1,0,18:08,13,1,51,21,2,0,0,0,0,56,60,53,21,45,30,51,27,16,2,42,30
13,1,0,17:21,13,0,72,7,2,0,0,0,0,81,17,72,33,48,30,12,59,19,5,7,30
14,1, ,17:16,3,8,0,0,0,0,0,0,0,81,17,72,33,48,30,12,59,19,5,7,30
15,1,0,17:16,4,1,13,17,2,0,0,0,0,13,12,16,21,45,30,17,24,61,5,7,30
16,1,0,16:20,1,1,6,0,3,63,2,0,0,13,12,16,21,45,30,17,24,61,6,22,30
17,1,0,16:16,1,1,22,0,3,61,1,0,0,13,12,16,21,45,30,17,24,61,6,22,30
18,1, ,16:15,3,1,0,0,0,0,0,0,0,13,12,16,21,45,30,17,24,61,6,22,30
19,1,0,16:15,4,1,91,12,3,0,0,0,0,91,10,11,6,33,30,12,13,26,2,42,30
20,1,0,16:11,13,1,2,10,2,0,0,0,0,91,10,11,6,33,30,12,13,26,2,42,30
21,1,0,16:07,7,0,10,0,3,41,2,0,0,91,10,11,6,33,30,12,13,26,2,42,30
22,1,0,15:57,5,1,12,33,3,0,0,0,0,91,10,11,6,33,30,12,13,26,2,42,30
23,1, ,15:31,3,11,0,0,0,0,0,0,0,56,60,53,21,49,30,51,27,16,4,5,30
24,1,0,15:31,4,1,60,51,2,0,0,0,0,56,60,53,21,49,30,51,27,16,4,5,30
25,1,0,15:21,9,0,30,0,2,0,0,0,0,56,60,53,21,49,30,51,27,16,4,5,30
26,1,0,15:16,13,1,4,60,2,0,0,0,0,56,60,53,21,49,30,51,27,16,4,5,30
27,1,0,15:06,5,0,49,27,2,0,0,0,0,56,60,53,21,49,30,51,27,16,4,5,30
28,1,0,14:56,5,1,16,21,3,0,0,0,0,56,60,53,21,49,30,51,27,16,4,5,30
29,1,0,14:27,8,1,6,0,1,0,0,0,0,81,17,72,6,33,30,17,24,61,6,22,30
30,1,0,14:22,7,1,61,0,3,62,2,0,0,81,17,72,6,45,30,17,24,61,6,22,30
31,1,0,14:06,1,1,7,0,3,55,2,0,0,81,17,72,6,45,30,17,24,61,6,7,30
32,1,0,14:04,2,1,17,0,3,31,1,7,61,81,17,72,6,45,30,17,24,61,6,7,30
33,1,0,14:04,4,0,13,12,1,0,0,0,0,13,12,16,6,33,30,12,13,26,2,42,30
34,1,0,13:57,1,1,26,0,3,59,1,0,0,13,12,16,6,33,30,12,13,26,2,42,30
35,1,0,13:43,5,1,26,6,3,0,0,0,0,13,12,16,6,33,30,12,13,26,2,42,30
36,1, ,13:39,3,0,0,0,0,0,0,0,0,13,12,16,6,33,30,12,13,26,2,42,30
37,1,0,13:39,4,1,13,17,3,0,0,0,0,13,12,16,6,33,30,17,59,19,7,22,30
38,1,0,13:31,7,0,16,0,3,34,1,0,0,13,12,16,6,33,30,17,59,19,7,22,30
39,1,0,13:14,1,1,17,0,3,67,1,0,0,13,12,16,6,33,30,17,59,19,7,22,30
40,1,0,12:50,7,1,12,0,3,5,5,0,0,91,10,11,21,48,30,12,13,26,4,7,30
41,1,0,12:28,1,1,12,0,3,25,6,0,0,91,10,11,21,48,30,12,13,26,4,6,30
42,1,0,12:14,7,1,4,0,3,63,2,0,0,91,10,11,21,48,30,12,17,13,26,4,6
43,1,0,12:06,6,0,48,12,2,0,0,0,0,91,10,11,21,48,30,17,51,24,61,5,30
44,1,-1,12:06,4,0,91,17,2,0,0,0,0,91,12,33,45,30,0,17,51,24,61,5,30
45,1,-1,11:53,2,0,12,0,3,23,1,91,0,91,12,33,45,30,0,17,51,24,61,5,30
46,1,1,11:53,4,1,11,17,1,0,0,0,0,11,16,33,45,30,0,17,51,24,61,5,30
47,1,-1,11:35,5,0,33,17,2,0,0,0,0,13,11,33,45,30,0,17,51,24,61,5,30
48,1,-1,10:36,5,0,53,26,1,0,0,0,0,13,53,33,45,30,0,12,13,26,4,6,30
49,1,-1,10:30,7,0,33,0,2,161,2,0,0,13,53,33,45,30,0,12,13,26,4,6,30
50,1, ,10:28,3,8,0,0,0,0,0,0,0,13,53,33,45,30,0,12,13,26,4,6,30
51,1,-1,10:28,4,0,53,26,3,0,0,0,0,11,53,6,33,30,0,12,13,26,4,6,30
52,1,0,10:03,7,0,11,0,1,74,2,0,0,11,53,6,33,48,30,12,13,26,4,6,30
53,1,0,9:49,8,1,59,0,1,0,0,0,0,91,10,11,21,45,30,59,19,16,2,42,30
54,1, ,9:44,3,0,0,0,0,0,0,0,0,91,10,11,21,45,30,59,19,16,2,42,30
55,1,0,9:44,4,1,81,51,1,0,0,0,0,81,17,72,21,45,30,51,27,16,2,42,30
56,1,0,9:30,5,1,27,45,3,0,0,0,0,81,17,72,21,45,30,51,27,16,2,42,30
57,1,0,9:15,1,1,27,0,3,48,3,0,0,91,10,11,21,49,30,51,27,16,2,42,30
58,1, ,9:14,3,1,0,0,0,0,0,0,0,91,10,11,21,49,30,51,27,16,2,42,30
59,1,0,9:14,4,1,91,12,3,0,0,0,0,91,10,11,21,49,30,12,13,26,7,22,30
60,1,0,9:09,2,1,22,0,3,61,2,12,0,91,10,11,21,49,30,12,13,26,7,22,30
61,1,0,9:09,4,0,91,12,1,0,0,0,0,91,10,11,6,33,30,12,13,26,7,22,30
62,1,0,8:43,1,0,91,0,3,14,3,0,0,91,10,11,6,33,30,12,13,26,7,22,30
63,1,0,8:42,5,1,22,91,2,0,0,0,0,91,10,11,6,33,30,12,13,26,7,22,30
64,1,0,8:10,5,1,4,72,2,0,0,0,0,81,17,72,21,45,30,17,24,61,4,6,30
65,1,0,8:05,8,1,17,0,2,0,0,0,0,81,17,72,21,45,30,17,24,61,4,6,30
66,1,0,8:01,8,0,81,0,3,0,0,0,0,81,17,72,21,45,30,17,24,61,4,6,30
67,1,0,7:57,6,1,6,81,2,0,0,0,0,81,17,72,21,45,30,17,24,61,4,6,30
68,1,-1,7:57,4,1,91,19,2,0,0,0,0,91,10,16,6,33,30,59,19,2,42,30,0
69,1,1,7:43,1,0,10,0,3,22,1,0,0,91,10,16,6,33,30,59,19,2,42,30,0
70,1, ,7:42,3,1,0,0,0,0,0,0,0,91,10,16,6,33,30,59,19,2,42,30,0
71,1,-1,7:42,4,1,91,17,2,0,0,0,0,91,10,16,6,33,30,17,61,7,22,30,0
72,1,1,7:23,7,0,91,0,3,18,3,0,0,91,10,16,6,33,30,17,61,7,22,30,0
73,1,1,7:13,1,0,33,0,3,60,2,0,0,91,10,16,6,33,30,17,61,7,22,30,0
74,1,1,7:03,7,0,33,0,3,62,2,0,0,91,10,16,6,33,30,17,61,7,22,30,0
75,1, ,7:02,3,8,0,0,0,0,0,0,0,91,10,16,6,33,30,17,61,7,22,30,0
76,1,-1,7:02,4,1,12,19,2,0,0,0,0,81,12,72,21,45,30,19,24,2,42,30,0
77,1,-1,6:18,13,0,21,42,2,0,0,0,0,81,12,72,21,45,30,19,24,2,42,30,0
78,1,-1,6:13,5,1,42,72,2,0,0,0,0,81,12,72,21,45,30,19,24,2,42,30,0
79,1,0,5:14,5,0,33,12,2,0,0,0,0,91,10,16,6,33,30,12,13,26,4,5,30
80,1,0,5:07,5,1,26,6,3,0,0,0,0,91,10,16,6,33,30,12,13,26,4,5,30
81,1,0,5:04,1,1,12,0,3,32,1,0,0,91,10,16,6,33,30,12,13,26,4,5,30
82,1,0,4:54,7,0,21,0,3,64,1,0,0,91,12,16,21,45,30,12,27,16,4,5,30
83,1,0,4:38,13,0,11,5,2,0,0,0,0,13,12,11,21,45,30,51,27,16,4,5,30
84,1,0,4:36,13,0,12,16,2,0,0,0,0,13,12,11,21,45,30,51,27,16,4,5,30
85,1,0,4:24,13,0,21,4,2,0,0,0,0,13,12,11,21,45,30,51,27,16,4,5,30
86,1,0,4:12,5,1,27,13,2,0,0,0,0,13,12,11,21,45,30,51,27,16,4,7,30
87,1, ,4:07,3,0,0,0,0,0,0,0,0,13,12,16,6,49,30,51,27,16,4,7,30
88,1,0,4:07,4,0,91,17,1,0,0,0,0,91,10,11,6,33,30,17,24,61,7,22,30
89,1,0,4:00,9,1,17,0,3,0,0,0,0,91,10,11,6,33,30,17,24,61,7,22,30
90,1,0,3:45,7,0,10,0,3,46,1,0,0,91,10,11,6,45,30,17,24,61,7,22,30
91,1, ,3:26,3,6,0,0,0,0,0,0,0,91,10,11,6,45,30,17,24,61,7,22,30
92,1,0,3:26,4,1,81,17,2,0,0,0,0,81,17,72,21,45,30,17,24,61,7,22,30
93,1,0,3:14,1,0,21,0,3,62,2,0,0,81,17,72,21,45,30,17,24,61,7,22,30
94,1,0,3:10,13,0,72,22,2,0,0,0,0,81,17,72,21,45,30,17,24,61,7,22,30
95,1,0,3:08,1,0,81,0,3,31,1,0,0,81,17,72,21,45,30,17,24,61,7,22,30
96,1, ,2:31,3,8,0,0,0,0,0,0,0,12,17,21,45,30,0,12,13,26,4,6,30
97,1,0,2:31,4,0,13,12,2,0,0,0,0,13,12,16,6,33,30,12,13,26,2,42,30
98,1,0,2:26,5,1,26,33,3,0,0,0,0,13,12,16,6,33,30,12,13,26,2,42,30
99,1, ,2:10,3,2,0,0,0,0,0,0,0,13,12,16,6,33,30,12,13,26,2,42,30
100,1,0,2:10,4,1,60,61,1,0,0,0,0,56,60,53,6,33,30,59,19,61,4,5,30
101,1,0,1:39,7,0,60,0,3,41,5,0,0,56,60,53,6,48,30,59,19,61,4,5,30
102,1,0,1:24,5,0,60,61,2,0,0,0,0,56,60,53,6,48,30,59,19,13,61,4,5
103,1,0,1:23,5,0,53,4,3,0,0,0,0,56,60,53,6,48,30,59,19,13,61,4,5
