# 2007/12/29 
# ANA , CGY 
# 3 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,22,44,32,21,25,35,24,11,40,6,28,34
2,1,0,20:00,4,1,22,24,1,0,0,0,0,22,44,32,21,25,35,24,11,40,6,28,34
3,1,0,19:42,1,0,32,0,1,78,1,0,0,22,44,32,21,25,35,24,11,40,6,28,34
4,1,0,19:31,7,1,28,0,3,68,1,0,0,22,44,32,21,25,35,24,11,40,3,28,34
5,1,0,19:15,9,1,12,0,2,0,0,0,0,15,44,4,23,27,35,22,12,20,3,8,34
6,1,0,18:49,8,0,10,0,2,0,0,0,0,15,4,10,23,27,35,22,12,20,3,8,34
7,1,0,18:18,2,1,41,0,3,10,1,23,18,39,54,14,11,40,35,18,41,23,21,33,34
8,1,0,18:18,4,0,52,19,1,0,0,0,0,52,16,18,11,40,35,16,19,17,6,28,34
9,1,0,17:56,7,1,6,0,3,71,2,0,0,52,16,18,11,40,35,16,19,17,6,28,34
10,1,0,17:05,5,1,11,15,2,0,0,0,0,15,4,10,23,27,35,24,11,40,3,8,34
11,1,0,17:00,9,0,23,0,3,0,0,0,0,15,4,10,23,27,35,24,11,40,3,8,34
12,1, ,16:50,3,6,0,0,0,0,0,0,0,15,4,10,23,27,35,22,12,20,21,33,34
13,1,0,16:50,4,1,4,22,3,0,0,0,0,15,4,10,23,27,35,22,12,20,21,33,34
14,1,0,16:05,1,0,32,0,3,10,4,0,0,22,44,32,21,25,35,22,12,20,28,33,34
15,1,0,15:59,13,0,22,33,2,0,0,0,0,22,44,32,21,25,35,22,12,23,28,33,34
16,1,0,15:37,1,0,39,0,3,64,1,0,0,39,54,14,11,40,35,18,41,23,6,28,34
17,1, ,15:37,3,1,0,0,0,0,0,0,0,39,54,14,11,40,35,18,41,23,6,28,34
18,1,0,15:37,4,0,39,18,3,0,0,0,0,39,54,14,11,40,35,18,41,23,3,8,34
19,1, ,15:32,3,1,0,0,0,0,0,0,0,39,54,14,11,40,35,18,41,23,3,8,34
20,1,0,15:32,1,0,54,0,3,56,1,0,0,39,54,14,11,40,35,18,41,23,3,8,34
21,1,0,15:32,4,0,39,24,3,0,0,0,0,39,54,14,11,40,35,24,11,40,3,8,34
22,1,0,15:11,7,0,14,0,3,43,1,0,0,39,54,14,11,40,35,24,11,40,3,8,34
23,1,0,14:56,5,1,8,14,2,0,0,0,0,39,54,14,11,40,35,16,24,11,3,8,34
24,1,0,14:50,1,0,14,0,3,20,3,0,0,39,54,14,11,40,35,16,24,11,3,8,34
25,1, ,14:50,3,1,0,0,0,0,0,0,0,39,54,14,11,40,35,16,24,11,3,8,34
26,1,0,14:50,4,1,18,19,2,0,0,0,0,52,16,18,23,27,35,16,19,17,21,33,34
27,1,0,14:35,9,1,21,0,2,0,0,0,0,52,16,18,23,27,35,16,19,17,21,33,34
28,1,0,14:34,7,0,52,0,3,35,1,0,0,52,16,18,23,27,35,16,19,17,21,33,34
29,1,0,14:31,6,1,19,52,2,0,0,0,0,52,16,18,23,27,35,16,19,17,21,33,34
30,1,1,14:31,4,0,15,24,3,0,0,0,0,15,4,10,11,25,35,24,40,6,28,34,0
31,1,1,14:23,1,0,4,0,3,9,6,0,0,15,4,10,11,25,35,24,40,6,28,34,0
32,1,1,14:21,1,0,10,0,3,5,6,0,0,15,4,10,11,25,35,24,40,6,28,34,0
33,1, ,14:21,3,1,0,0,0,0,0,0,0,15,4,10,11,25,35,24,40,6,28,34,0
34,1,1,14:21,4,0,15,11,3,0,0,0,0,15,4,10,11,25,35,24,11,6,28,34,0
35,1,1,14:09,9,0,10,0,3,0,0,0,0,15,4,10,11,25,35,24,11,6,28,34,0
36,1,1,14:01,5,0,10,11,2,0,0,0,0,15,4,10,11,25,35,18,11,3,8,34,0
37,1,-1,13:41,9,1,3,0,2,0,0,0,0,15,4,10,11,27,35,18,11,3,8,34,0
