# 2007/12/29 
# L.A , COL 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,26,21,19,4,42,37,11,14,28,4,22,60
2,1,0,20:00,4,1,26,28,1,0,0,0,0,26,21,19,4,42,37,11,14,28,4,22,60
3,1,0,19:31,5,1,11,26,2,0,0,0,0,26,21,19,6,42,37,11,14,28,4,22,60
4,1,0,19:21,13,1,4,42,2,0,0,0,0,11,12,23,6,42,37,14,28,94,4,22,60
5,1,0,18:51,9,0,37,0,2,0,0,0,0,11,12,23,3,4,37,26,23,94,3,5,60
6,1,0,18:47,1,1,5,0,3,66,2,0,0,11,12,23,3,4,37,26,23,55,3,5,60
7,1,0,18:01,7,0,47,0,3,32,6,0,0,7,24,47,17,44,37,17,40,55,44,48,60
8,1,0,17:27,13,1,22,4,2,0,0,0,0,27,29,41,3,4,37,26,8,15,4,22,60
9,1,0,17:15,1,1,8,0,3,14,1,0,0,27,29,41,3,4,37,26,8,15,4,22,60
10,1, ,17:12,3,1,0,0,0,0,0,0,0,27,29,41,3,4,37,26,8,15,4,22,60
11,1,0,17:12,4,0,11,28,2,0,0,0,0,11,12,23,6,17,37,11,14,28,3,5,60
12,1,0,16:47,1,1,5,0,3,53,1,0,0,11,12,23,6,17,37,11,14,28,3,5,60
13,1,0,16:39,5,0,6,11,2,0,0,0,0,11,12,23,6,17,37,11,14,28,3,5,60
14,1,0,16:03,1,0,42,0,3,64,2,0,0,26,21,19,42,44,37,26,23,94,4,22,60
15,1,0,15:47,9,1,4,0,2,0,0,0,0,26,21,19,42,44,37,26,23,94,4,22,60
16,1,0,15:42,5,0,21,22,3,0,0,0,0,26,21,19,42,44,37,26,23,94,4,22,60
17,1, ,15:29,3,6,0,0,0,0,0,0,0,26,21,19,42,44,37,26,23,94,6,48,60
18,1,0,15:29,4,1,26,17,3,0,0,0,0,26,21,19,42,44,37,17,40,55,6,48,60
19,1,0,15:19,9,0,19,0,2,0,0,0,0,26,21,19,42,44,37,17,40,55,6,48,60
20,1,0,14:45,5,0,41,55,1,0,0,0,0,27,29,41,3,4,37,17,40,55,6,48,60
21,1,0,14:26,7,1,8,0,3,55,2,0,0,27,29,41,3,4,37,28,8,15,22,44,60
22,1,0,14:13,1,1,28,0,3,52,2,0,0,7,24,41,3,4,37,28,8,15,22,44,60
23,1,0,13:56,5,1,5,3,2,0,0,0,0,7,24,41,3,4,37,28,8,15,5,44,60
24,1,0,13:32,1,0,11,0,3,52,1,0,0,11,12,24,6,17,37,26,23,94,3,5,60
25,1, ,13:32,3,0,0,0,0,0,0,0,0,11,12,24,6,17,37,26,23,94,3,5,60
26,1,0,13:32,4,1,11,26,2,0,0,0,0,11,12,23,42,44,37,26,23,94,3,5,60
27,1,0,13:21,5,0,23,94,3,0,0,0,0,11,12,23,42,44,37,26,23,94,3,5,60
28,1,0,13:17,1,0,12,0,3,46,2,0,0,11,12,23,42,44,37,26,23,94,3,5,60
29,1, ,13:17,3,1,0,0,0,0,0,0,0,11,12,23,42,44,37,26,23,94,3,5,60
30,1,0,13:17,4,0,27,17,3,0,0,0,0,27,29,41,42,44,37,17,8,15,44,48,60
31,1,0,12:52,5,0,27,17,3,0,0,0,0,27,29,41,42,44,37,17,8,15,44,48,60
32,1,0,11:58,5,0,7,14,3,0,0,0,0,7,24,47,6,17,37,11,14,28,4,22,60
33,1,0,11:44,7,1,14,0,3,29,0,0,0,26,24,47,6,17,37,11,14,28,4,5,60
34,1, ,11:26,3,6,0,0,0,0,0,0,0,26,21,19,3,4,37,26,23,94,5,6,60
35,1,0,11:26,4,1,11,26,2,0,0,0,0,11,12,23,3,4,37,26,23,94,5,6,60
36,1,0,11:16,1,1,26,0,3,42,3,0,0,11,12,23,3,4,37,26,23,94,5,6,60
37,1,0,11:14,5,0,3,23,2,0,0,0,0,11,12,23,3,4,37,26,23,94,5,6,60
38,1,0,10:48,1,1,23,0,3,29,1,0,0,26,21,19,3,4,37,26,23,94,5,6,60
39,1,0,10:20,5,1,55,26,2,0,0,0,0,26,21,19,42,44,37,17,40,55,4,22,60
40,1,0,9:41,5,1,55,17,3,0,0,0,0,27,29,41,6,17,37,17,40,55,44,48,60
41,1,0,9:28,7,1,11,0,3,20,3,0,0,24,27,29,6,17,37,11,8,15,6,48,60
42,1,0,8:55,5,0,3,23,2,0,0,0,0,7,24,47,3,4,37,26,23,8,4,6,60
43,1,0,8:25,13,1,26,3,2,0,0,0,0,11,12,23,3,4,37,26,23,94,3,5,60
44,1, ,7:57,3,0,0,0,0,0,0,0,0,11,12,23,42,44,37,11,14,28,3,5,60
45,1,0,7:57,1,1,11,0,3,46,2,0,0,11,12,23,42,44,37,11,14,28,3,5,60
46,1,0,7:57,4,1,26,14,3,0,0,0,0,26,21,19,6,17,37,14,8,15,22,44,60
47,1,0,7:30,1,1,8,0,3,8,4,0,0,26,21,19,6,17,37,14,8,15,22,44,60
48,1,0,7:25,2,1,44,0,3,20,1,8,22,26,21,19,6,17,37,14,8,15,22,44,60
49,1,0,7:25,4,0,7,17,1,0,0,0,0,7,24,47,3,4,37,17,40,55,4,6,60
50,1,0,7:09,9,0,4,0,2,0,0,0,0,7,24,47,3,4,37,17,40,55,4,6,60
51,1,0,6:29,5,1,6,23,2,0,0,0,0,11,12,23,42,44,37,26,23,94,4,6,60
52,1,0,6:15,1,0,11,0,3,52,1,0,0,11,12,23,42,44,37,26,23,94,4,6,60
53,1, ,6:15,3,1,0,0,0,0,0,0,0,11,12,23,42,44,37,26,23,94,4,6,60
54,1,0,6:15,4,1,29,14,2,0,0,0,0,27,29,41,3,4,37,11,14,28,3,5,60
55,1,0,5:47,5,1,3,29,2,0,0,0,0,27,29,41,3,4,37,11,14,28,3,5,60
56,1,0,5:23,5,1,44,7,2,0,0,0,0,7,24,47,42,44,37,23,28,94,44,48,60
57,1,0,4:56,7,0,7,0,3,29,0,0,0,7,24,47,42,44,37,23,28,94,44,48,60
58,1,0,4:44,1,1,94,0,3,33,1,0,0,11,12,23,42,44,37,26,23,94,44,48,60
59,1,0,4:39,1,1,94,0,3,9,6,0,0,11,12,23,42,44,37,26,23,94,44,48,60
60,1,0,4:02,1,0,21,0,3,40,2,0,0,26,21,19,6,17,37,40,15,94,44,48,60
61,1, ,4:02,3,0,0,0,0,0,0,0,0,26,21,19,6,17,37,40,15,94,44,48,60
62,1,0,4:02,4,0,26,17,3,0,0,0,0,26,21,19,3,4,37,17,8,15,4,22,60
63,1,0,3:52,8,0,26,0,3,0,0,0,0,26,21,19,3,4,37,17,8,15,4,22,60
64,1,0,3:42,7,0,19,0,3,10,0,0,0,26,21,19,3,4,37,17,8,15,4,22,60
65,1,0,3:22,8,0,3,0,2,0,0,0,0,26,21,19,3,4,37,17,8,15,4,22,60
66,1,0,2:58,13,0,42,22,2,0,0,0,0,7,24,47,42,44,37,17,8,15,4,22,60
67,1, ,2:57,3,4,0,0,0,0,0,0,0,7,24,47,42,44,37,17,8,15,4,22,60
68,1,0,2:57,4,1,7,28,2,0,0,0,0,7,24,47,42,44,37,11,14,28,44,48,60
69,1,0,2:30,5,0,7,48,3,0,0,0,0,7,24,47,42,44,37,11,14,28,44,48,60
70,1, ,2:11,3,2,0,0,0,0,0,0,0,11,12,23,4,44,37,26,23,94,3,5,60
71,1,0,2:11,4,1,11,26,1,0,0,0,0,11,12,23,3,4,37,26,23,94,3,5,60
72,1,0,1:46,9,0,12,0,2,0,0,0,0,11,12,23,3,4,37,26,23,94,3,5,60
73,1,0,1:41,1,1,5,0,3,53,2,0,0,11,12,23,3,4,37,26,23,94,3,5,60
74,1,0,1:38,7,1,94,0,3,50,0,0,0,11,12,23,3,4,37,26,23,94,3,5,60
75,1,0,1:12,13,0,6,23,2,0,0,0,0,11,12,23,6,17,37,26,23,94,3,5,60
76,1,0,0:46,8,1,6,0,2,0,0,0,0,27,29,41,17,44,37,17,40,55,4,6,60
77,1, ,0:43,3,6,0,0,0,0,0,0,0,27,29,41,17,44,37,17,40,55,4,6,60
78,1,0,0:42,4,0,7,17,3,0,0,0,0,7,24,47,42,44,37,17,40,55,4,6,60
79,1,0,0:21,9,0,24,0,2,0,0,0,0,7,24,47,42,44,37,17,40,55,4,6,60
80,1,0,0:19,1,1,55,0,3,40,3,0,0,7,24,47,42,44,37,17,40,55,4,6,60
81,1, ,0:18,3,1,0,0,0,0,0,0,0,7,24,47,42,44,37,17,40,55,4,6,60
82,1,0,0:18,4,1,12,14,3,0,0,0,0,11,12,23,3,4,37,14,8,15,3,5,60
83,1,0,0:11,13,0,11,5,1,0,0,0,0,11,12,23,3,4,37,14,8,15,3,5,60
84,1, ,0:11,3,4,0,0,0,0,0,0,0,11,12,23,3,4,37,14,8,15,3,5,60
85,1,0,0:11,4,1,11,28,1,0,0,0,0,11,12,23,3,4,37,11,14,28,3,5,60
86,1, ,0:00,11,0,0,0,0,0,0,0,0,11,12,23,3,4,37,11,14,28,3,5,60
87,2, ,20:00,10,0,0,0,0,0,0,0,0,26,21,19,3,4,37,11,14,28,4,22,60
88,2,0,20:00,4,1,26,28,1,0,0,0,0,26,21,19,3,4,37,11,14,28,4,22,60
89,2,0,19:27,5,1,11,26,2,0,0,0,0,26,21,19,3,42,37,11,14,28,4,22,60
90,2,0,18:57,5,1,94,24,3,0,0,0,0,7,24,47,42,44,37,26,23,94,4,22,60
91,2,0,18:29,7,1,40,0,3,8,0,0,0,11,12,23,42,44,37,17,40,94,44,48,60
92,2, ,18:24,3,4,0,0,0,0,0,0,0,11,12,23,42,44,37,17,40,94,44,48,60
93,2,0,18:24,4,0,11,17,2,0,0,0,0,11,12,23,6,17,37,17,40,55,3,5,60
94,2,0,18:16,5,1,55,6,3,0,0,0,0,11,12,23,6,17,37,17,40,55,3,5,60
95,2,0,17:57,13,1,17,17,2,0,0,0,0,11,12,23,6,17,37,17,40,55,3,5,60
96,2,0,17:45,5,0,12,3,1,0,0,0,0,11,12,23,6,17,37,17,40,55,3,5,60
97,2,0,16:43,1,1,44,0,3,52,2,0,0,27,29,41,3,4,37,26,8,15,4,44,60
98,2,0,15:58,7,0,42,0,3,63,2,0,0,7,24,47,42,44,37,11,14,28,4,22,60
99,2,0,15:22,7,1,94,0,3,50,2,0,0,26,21,19,42,44,37,26,23,94,6,48,60
100,2,0,14:58,7,0,4,0,3,62,2,0,0,12,26,23,3,4,37,26,23,94,6,48,60
101,2,0,14:51,1,0,12,0,3,25,1,0,0,11,12,26,23,3,4,26,23,94,6,48,60
102,2,0,14:51,6,1,26,26,2,0,0,0,0,11,12,26,23,3,4,26,23,94,6,48,60
103,2,1,14:51,4,0,11,28,3,0,0,0,0,11,12,23,4,17,37,14,28,5,22,60,0
104,2,1,14:34,7,0,23,0,3,12,0,0,0,11,12,23,4,17,37,14,28,5,22,60,0
105,2,1,14:31,1,0,4,0,3,50,2,0,0,11,12,23,4,17,37,14,28,5,22,60,0
106,2,1,14:30,1,0,23,0,3,14,1,0,0,11,12,23,4,17,37,14,28,5,22,60,0
107,2, ,14:29,3,1,0,0,0,0,0,0,0,11,12,23,4,17,37,14,28,5,22,60,0
108,2,1,14:29,4,0,11,23,3,0,0,0,0,11,12,23,4,17,37,17,23,3,6,60,0
109,2,-1,14:24,13,0,4,6,2,0,0,0,0,11,12,23,4,17,37,17,23,3,6,60,0
110,2, ,14:22,3,11,0,0,0,0,0,0,0,11,12,23,4,17,37,17,23,3,6,60,0
111,2,-1,14:22,4,1,11,17,1,0,0,0,0,11,12,23,4,17,37,17,23,5,22,60,0
112,2,1,14:01,9,0,11,0,3,0,0,0,0,11,12,23,4,17,37,17,23,5,22,60,0
113,2,-1,13:39,13,0,24,14,2,0,0,0,0,19,24,47,4,17,37,14,28,5,22,60,0
114,2,1,13:16,1,0,19,0,3,13,1,0,0,19,24,47,4,17,37,14,28,5,22,60,0
115,2, ,13:15,3,8,0,0,0,0,0,0,0,19,24,47,4,17,37,14,28,5,22,60,0
116,2,1,13:15,4,0,12,17,3,0,0,0,0,11,12,23,6,42,37,17,23,3,6,60,0
117,2,-1,13:08,13,0,42,6,2,0,0,0,0,11,12,23,6,42,37,17,23,3,6,60,0
118,2,0,12:42,9,0,11,0,3,0,0,0,0,11,12,23,6,42,37,17,26,23,3,6,60
119,2,0,12:37,7,1,17,0,3,41,6,0,0,11,12,23,6,42,37,17,26,23,44,48,60
120,2,0,12:29,1,1,17,0,3,8,6,0,0,11,12,23,6,42,37,17,26,23,44,48,60
121,2,0,12:28,7,1,94,0,3,15,1,0,0,11,12,23,6,42,37,17,26,94,44,48,60
122,2,0,12:04,1,0,21,0,3,45,1,0,0,26,21,19,3,44,37,26,8,94,44,48,60
123,2, ,12:04,3,0,0,0,0,0,0,0,0,26,21,19,3,44,37,26,8,94,44,48,60
124,2,0,12:04,4,1,27,8,2,0,0,0,0,27,29,41,6,17,37,40,8,15,4,22,60
125,2,0,11:07,8,0,7,0,1,0,0,0,0,7,24,47,3,4,37,40,8,15,4,22,60
126,2,0,10:50,7,1,94,0,3,38,1,0,0,7,24,47,3,4,37,23,8,94,4,22,60
127,2,0,10:28,8,0,3,0,2,0,0,0,0,7,24,47,3,4,37,26,23,94,3,5,60
128,2, ,10:22,3,6,0,0,0,0,0,0,0,7,24,47,3,4,37,26,23,94,3,5,60
129,2,0,10:22,4,1,7,28,3,0,0,0,0,7,24,47,3,4,37,11,14,28,44,48,60
130,2,0,10:18,1,1,14,0,3,38,1,0,0,7,24,47,3,4,37,11,14,28,44,48,60
131,2,0,10:15,13,1,44,4,2,0,0,0,0,7,24,47,3,4,37,11,14,28,44,48,60
132,2,0,9:41,7,0,6,0,3,69,2,0,0,11,12,23,6,17,37,11,14,28,3,44,60
133,2,0,9:36,5,1,14,6,2,0,0,0,0,11,12,23,6,17,37,11,14,28,3,44,60
134,2, ,9:33,3,0,0,0,0,0,0,0,0,11,12,23,6,17,37,11,14,28,3,44,60
135,2,0,9:33,4,0,29,28,3,0,0,0,0,27,29,41,6,17,37,11,14,28,3,44,60
136,2, ,9:29,3,3,0,0,0,0,0,0,0,27,29,41,6,17,37,11,14,28,3,44,60
137,2,0,9:29,4,0,26,28,3,0,0,0,0,26,21,19,42,44,37,11,14,28,6,48,60
138,2,0,9:15,5,1,6,26,2,0,0,0,0,26,21,19,42,44,37,11,14,28,6,48,60
139,2, ,8:56,3,5,0,0,0,0,0,0,0,26,21,19,42,44,37,11,14,28,4,22,60
140,2,0,8:56,4,0,7,26,1,0,0,0,0,7,24,47,3,4,37,26,23,94,4,22,60
141,2,0,8:45,13,0,24,4,2,0,0,0,0,7,24,47,3,4,37,26,23,94,4,22,60
142,2,0,8:15,9,0,7,0,3,0,0,0,0,7,24,47,3,4,37,26,23,94,4,22,60
143,2,0,8:09,13,1,94,4,2,0,0,0,0,7,24,47,3,4,37,26,23,94,4,22,60
144,2,0,8:04,8,1,26,0,3,0,0,0,0,7,24,47,3,4,37,26,23,94,3,5,60
145,2,0,7:56,7,1,40,0,3,9,1,0,0,7,24,47,3,4,37,26,40,94,3,5,60
146,2,0,7:33,13,1,48,41,2,0,0,0,0,27,29,41,42,44,37,17,40,55,44,48,60
147,2,0,7:26,6,0,41,55,2,0,0,0,0,27,29,41,42,44,37,17,40,55,44,48,60
148,2,1,7:26,6,1,55,41,3,0,0,0,0,27,29,42,44,37,0,17,40,55,44,48,60
149,2,0,7:26,4,1,11,26,1,0,0,0,0,11,12,23,42,44,37,26,23,94,3,5,60
150,2, ,6:46,3,6,0,0,0,0,0,0,0,11,12,23,6,17,37,26,23,94,3,5,60
151,2,0,6:46,4,1,26,26,2,0,0,0,0,26,21,19,6,17,37,26,23,94,3,5,60
152,2,0,6:26,9,1,3,0,2,0,0,0,0,26,21,19,6,17,37,17,40,8,3,5,60
153,2,0,6:08,13,0,6,5,2,0,0,0,0,26,21,19,6,17,37,17,40,8,3,5,60
154,2,0,5:56,8,1,14,0,3,0,0,0,0,26,27,29,6,17,37,17,14,8,44,48,60
155,2,0,5:55,1,1,8,0,3,42,2,0,0,26,27,29,6,17,37,17,14,8,44,48,60
156,2,0,5:31,13,0,3,44,2,0,0,0,0,11,27,29,3,4,37,17,14,8,44,48,60
157,2,0,5:07,13,1,28,4,2,0,0,0,0,7,24,47,3,4,37,11,14,28,3,5,60
158,2,0,5:01,1,1,28,0,3,5,4,0,0,7,24,47,3,4,37,11,14,28,3,5,60
159,2, ,5:01,3,0,0,0,0,0,0,0,0,7,24,47,3,4,37,11,14,28,3,5,60
160,2,0,5:01,4,1,7,28,3,0,0,0,0,7,24,47,42,44,37,11,14,28,4,22,60
161,2,0,4:35,13,0,44,28,2,0,0,0,0,7,24,47,42,44,37,11,14,28,4,22,60
162,2,0,4:00,13,1,23,4,2,0,0,0,0,11,12,23,4,44,37,26,23,94,3,5,60
163,2,0,3:27,6,0,23,5,3,0,0,0,0,11,12,23,3,17,37,17,26,23,94,3,6
164,2,1,3:27,4,1,26,17,3,0,0,0,0,12,26,4,44,37,0,17,40,8,15,4,60
165,2,1,3:14,1,1,15,0,3,10,1,0,0,12,26,4,44,37,0,17,40,8,15,4,60
166,2,1,2:33,1,1,40,0,3,36,1,0,0,12,26,4,44,37,0,17,40,8,15,4,60
167,2, ,2:27,3,8,0,0,0,0,0,0,0,12,26,4,44,37,0,17,40,8,15,4,60
168,2,-1,2:27,4,0,11,26,2,0,0,0,0,11,29,3,6,37,0,26,23,94,4,5,60
169,2,-1,1:28,13,1,5,42,2,0,0,0,0,12,3,6,42,37,0,26,23,94,4,5,60
170,2,0,1:07,7,1,26,0,3,20,6,0,0,12,23,3,6,42,37,26,23,94,6,22,60
171,2,0,1:04,1,1,6,0,3,37,1,0,0,12,23,3,6,42,37,26,23,94,6,22,60
172,2,0,1:01,6,0,6,0,2,0,0,0,0,12,23,3,6,42,37,26,23,94,6,22,60
173,2,1,1:01,6,1,55,0,1,0,0,0,0,26,23,4,44,37,0,17,40,8,15,4,60
174,2,-1,1:01,4,0,26,17,2,0,0,0,0,26,23,4,44,37,0,17,40,8,15,4,60
175,2,1,0:13,1,1,4,0,3,12,5,0,0,12,29,4,44,37,0,17,40,8,15,4,60
176,2, ,0:00,11,0,0,0,0,0,0,0,0,12,29,4,44,37,0,17,40,8,15,4,60
177,3, ,20:00,10,0,0,0,0,0,0,0,0,26,29,4,44,37,0,26,23,94,4,5,60
178,3,-1,20:00,4,0,26,26,1,0,0,0,0,26,29,4,44,37,0,26,23,94,4,5,60
179,3,0,18:49,1,0,17,0,3,57,2,0,0,11,12,23,3,17,37,11,14,28,5,22,60
180,3, ,18:48,3,1,0,0,0,0,0,0,0,11,12,23,3,17,37,11,14,28,5,22,60
181,3,0,18:48,1,0,12,0,3,10,1,0,0,11,12,23,3,17,37,11,14,28,5,22,60
182,3,0,18:48,4,0,7,17,3,0,0,0,0,7,24,47,6,17,37,17,40,8,3,22,60
183,3,0,18:40,1,0,17,0,3,63,2,0,0,7,24,47,6,17,37,17,40,8,3,22,60
184,3,0,18:28,8,0,17,0,3,0,0,0,0,7,24,47,6,17,37,17,40,8,3,22,60
185,3,0,17:50,6,1,11,12,2,0,0,0,0,11,12,23,42,44,37,11,14,28,4,6,60
186,3,1,17:50,4,0,11,28,3,0,0,0,0,11,12,23,4,17,37,14,28,4,6,60,0
187,3, ,17:36,3,10,0,0,0,0,0,0,0,11,12,23,4,17,37,14,28,5,22,60,0
188,3,-1,17:36,4,1,47,28,1,0,0,0,0,19,24,47,6,42,37,14,28,5,22,60,0
189,3,-1,17:04,13,0,24,5,2,0,0,0,0,19,24,47,6,42,37,14,28,5,22,60,0
190,3,1,16:53,7,0,6,0,3,57,2,0,0,19,24,47,6,42,37,14,28,5,22,60,0
191,3,1,16:47,7,0,24,0,3,52,2,0,0,19,24,47,6,42,37,14,28,5,22,60,0
192,3,1,16:20,1,0,12,0,3,42,1,0,0,11,12,23,4,17,37,26,23,3,6,60,0
193,3,1,16:18,5,0,23,6,3,0,0,0,0,11,12,23,4,17,37,26,23,3,6,60,0
194,3, ,16:00,3,1,0,0,0,0,0,0,0,11,12,23,4,17,37,8,94,3,6,60,0
195,3,1,15:59,1,0,17,0,3,45,2,0,0,11,12,23,4,17,37,8,94,3,6,60,0
196,3,-1,15:59,4,1,11,28,2,0,0,0,0,11,12,23,3,44,37,14,28,5,22,60,0
197,3,0,15:29,5,0,21,5,1,0,0,0,0,26,21,19,3,44,37,26,23,94,5,22,60
198,3,0,15:27,1,1,23,0,3,35,1,0,0,26,21,19,3,44,37,26,23,94,5,44,60
199,3,0,15:11,1,1,23,0,3,70,0,0,0,26,21,19,3,44,37,26,23,94,44,48,60
200,3,0,15:09,13,1,94,44,2,0,0,0,0,26,21,19,3,44,37,26,23,94,44,48,60
201,3,0,15:02,1,1,94,0,3,13,1,0,0,26,21,19,3,44,37,26,23,94,44,48,60
202,3,0,14:37,7,1,23,0,3,37,3,0,0,26,21,19,3,44,37,26,23,94,44,48,60
203,3,0,14:28,8,1,48,0,3,0,0,0,0,26,27,41,17,44,37,26,23,94,44,48,60
204,3,0,14:01,5,1,6,29,2,0,0,0,0,27,29,41,6,17,37,17,40,15,4,6,60
205,3,0,13:54,9,0,27,0,3,0,0,0,0,27,29,41,6,17,37,17,40,15,4,6,60
206,3,0,13:24,8,1,6,0,2,0,0,0,0,24,29,47,3,4,37,17,40,15,4,6,60
207,3, ,13:11,3,0,0,0,0,0,0,0,0,7,24,47,3,4,37,11,14,28,22,44,60
208,3,0,13:11,4,0,11,26,1,0,0,0,0,11,12,23,42,44,37,26,23,94,3,5,60
209,3,0,12:45,9,0,42,0,2,0,0,0,0,11,12,23,42,44,37,26,23,94,3,5,60
210,3,0,12:27,1,1,3,0,3,56,2,0,0,11,12,23,42,44,37,26,23,94,3,5,60
211,3, ,12:27,3,1,0,0,0,0,0,0,0,11,12,23,42,44,37,26,23,94,3,5,60
212,3,0,12:27,4,1,7,28,3,0,0,0,0,7,24,47,3,4,37,11,14,28,4,22,60
213,3,0,12:21,13,1,11,4,2,0,0,0,0,7,24,47,3,4,37,11,14,28,4,22,60
214,3,0,11:59,8,1,11,0,2,0,0,0,0,7,24,47,3,4,37,11,14,28,4,22,60
215,3, ,11:53,3,1,0,0,0,0,0,0,0,7,24,47,3,4,37,11,14,28,4,22,60
216,3,0,11:53,4,1,26,17,3,0,0,0,0,26,21,19,6,17,37,17,40,8,44,48,60
