# 2008/01/18 
# ANA , MIN 
# 4 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,15,4,10,21,25,1,9,10,17,5,55,29
2,1,0,20:00,4,1,15,9,1,0,0,0,0,15,4,10,21,25,1,9,10,17,5,55,29
3,1,0,19:50,9,1,10,0,2,0,0,0,0,15,4,10,21,25,1,9,10,17,5,55,29
4,1,0,19:45,13,0,25,17,2,0,0,0,0,15,4,10,21,25,1,9,10,17,5,55,29
5,1,0,19:39,1,0,4,0,3,36,6,0,0,15,4,10,21,25,1,9,10,17,5,55,29
6,1, ,19:37,3,1,0,0,0,0,0,0,0,39,12,14,23,27,1,9,10,17,5,55,29
7,1,0,19:37,4,0,14,38,3,0,0,0,0,39,12,14,23,27,1,96,38,34,26,41,29
8,1,0,19:22,1,0,27,0,3,61,1,0,0,39,12,14,23,27,1,96,38,34,26,41,29
9,1,0,19:21,1,0,14,0,3,13,6,0,0,39,12,14,23,27,1,96,38,34,26,41,29
10,1, ,19:20,3,1,0,0,0,0,0,0,0,39,12,14,23,27,1,96,38,34,26,41,29
11,1,0,19:20,4,0,17,25,3,0,0,0,0,17,22,24,23,27,1,25,12,21,3,8,29
12,1,0,18:18,9,1,5,0,2,0,0,0,0,15,4,10,11,40,1,9,10,17,5,55,29
13,1,0,18:05,5,0,15,17,2,0,0,0,0,15,4,10,11,40,1,9,10,17,5,55,29
14,1,0,17:54,7,1,10,0,3,42,3,0,0,15,4,10,11,40,1,9,10,17,5,55,29
15,1,0,17:44,5,1,5,52,2,0,0,0,0,52,4,10,21,25,1,9,10,17,5,55,29
16,1,0,17:20,13,0,52,26,2,0,0,0,0,44,52,32,21,25,1,15,19,24,26,41,29
17,1,0,17:16,1,0,21,0,3,61,2,0,0,44,52,32,21,25,1,15,19,24,26,41,29
18,1,0,16:52,8,0,27,0,1,0,0,0,0,17,44,32,23,27,1,38,24,34,26,41,29
19,1,0,16:51,1,0,27,0,3,35,6,0,0,17,44,24,23,27,1,38,24,34,26,41,29
20,1, ,16:49,3,1,0,0,0,0,0,0,0,17,44,24,23,27,1,38,24,34,3,8,29
21,1,0,16:49,4,1,39,38,2,0,0,0,0,39,12,14,23,27,1,96,38,34,3,8,29
22,1,0,16:31,5,0,39,96,3,0,0,0,0,39,12,14,23,27,1,96,38,34,3,8,29
23,1,0,16:30,1,0,39,0,3,17,6,0,0,39,12,14,23,27,1,96,38,34,3,8,29
24,1, ,16:29,3,1,0,0,0,0,0,0,0,39,12,14,23,27,1,96,38,34,3,8,29
25,1,0,16:29,4,1,15,9,2,0,0,0,0,15,4,10,23,27,1,9,10,17,5,55,29
26,1,0,15:47,2,0,4,0,3,17,6,15,10,15,4,10,23,27,1,9,10,17,5,55,29
27,1,0,15:47,4,1,17,15,1,0,0,0,0,17,22,24,11,40,1,15,19,24,3,8,29
28,1,0,15:33,5,1,19,40,3,0,0,0,0,17,22,24,11,40,1,15,19,24,3,8,29
29,1,0,15:22,1,1,8,0,3,65,3,0,0,17,22,24,11,40,1,15,19,24,3,8,29
30,1,0,14:49,5,0,40,21,2,0,0,0,0,39,12,24,11,40,1,25,12,21,26,41,29
31,1,0,14:27,5,1,12,25,3,0,0,0,0,39,12,14,11,25,1,25,96,12,26,41,29
32,1,0,13:57,13,1,96,21,2,0,0,0,0,44,52,32,21,25,1,96,38,34,5,55,29
33,1,0,13:51,7,1,38,0,3,36,1,0,0,44,52,32,21,25,1,96,38,34,5,55,29
34,1,0,13:49,5,0,44,34,2,0,0,0,0,44,52,32,21,25,1,96,38,34,5,55,29
35,1,0,13:12,5,0,32,55,3,0,0,0,0,44,52,32,23,27,1,9,10,17,5,55,29
36,1,0,12:57,1,1,10,0,3,32,1,0,0,17,22,24,23,27,1,9,10,17,3,8,29
37,1,0,12:39,7,1,10,0,3,46,3,0,0,17,22,24,23,27,1,9,10,17,26,41,29
38,1,0,12:26,7,0,24,0,3,40,1,0,0,17,22,24,23,27,1,9,10,24,3,8,29
39,1,0,12:07,1,1,19,0,3,40,1,0,0,15,22,4,11,40,1,15,19,24,3,8,29
40,1,0,11:51,5,1,15,11,3,0,0,0,0,15,4,10,11,40,1,15,12,21,5,55,29
41,1, ,11:32,3,0,0,0,0,0,0,0,0,15,4,10,11,40,1,25,12,21,5,55,29
42,1,0,11:32,4,1,52,9,1,0,0,0,0,44,52,32,11,40,1,9,12,21,3,8,29
