# 2008/01/22 
# EDM , T.B 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,10,27,83,24,44,35,4,20,26,54,71,40
2,1,0,20:00,4,1,10,4,1,0,0,0,0,10,27,83,24,44,35,4,20,26,54,71,40
3,1,0,19:46,5,0,10,4,2,0,0,0,0,10,27,83,24,44,35,4,20,26,54,71,40
4,1,0,19:43,7,1,20,0,3,20,5,0,0,10,27,83,24,44,35,4,20,26,54,71,40
5,1,0,19:27,9,0,10,0,1,0,0,0,0,10,27,83,24,44,35,4,20,26,54,71,40
6,1,0,19:11,13,1,26,27,2,0,0,0,0,10,27,83,24,44,35,4,20,26,54,71,40
7,1,0,18:27,9,1,39,0,2,0,0,0,0,12,13,89,5,77,35,19,16,17,39,55,40
8,1,0,18:08,5,1,16,5,3,0,0,0,0,12,13,89,5,77,35,19,16,17,39,55,40
9,1,0,17:58,5,1,16,77,3,0,0,0,0,13,89,18,5,77,35,19,16,36,39,55,40
10,1, ,17:27,3,6,0,0,0,0,0,0,0,51,34,18,2,25,35,77,36,21,39,55,40
11,1,0,17:27,4,1,10,77,2,0,0,0,0,10,27,83,2,25,35,77,36,21,39,55,40
12,1,0,17:01,8,1,26,0,LOUIS Def. Zone,0,0,0,0,10,27,83,2,25,35,4,20,26,54,71,40
13,1,0,16:48,13,1,20,24,2,0,0,0,0,10,27,83,24,25,35,4,20,26,54,71,40
14,1,0,16:47,1,1,20,0,3,22,3,0,0,10,27,83,24,25,35,4,20,26,54,71,40
15,1,0,16:46,1,1,4,0,3,19,1,0,0,10,27,83,24,25,35,4,20,26,54,71,40
16,1, ,16:46,3,1,0,0,0,0,0,0,0,10,27,83,24,25,35,4,20,26,54,71,40
17,1,0,16:46,4,0,19,19,2,0,0,0,0,16,19,46,24,44,35,19,16,26,3,37,40
18,1, ,16:14,3,6,0,0,0,0,0,0,0,16,19,46,24,44,35,19,16,26,3,37,40
19,1,0,16:14,4,0,19,4,2,0,0,0,0,16,19,46,24,44,35,4,20,21,39,55,40
20,1,0,15:58,8,0,51,0,3,0,0,0,0,19,51,34,24,44,35,4,20,21,39,55,40
21,1,0,15:57,1,0,51,0,3,31,1,0,0,19,51,34,24,44,35,4,20,21,39,55,40
22,1,0,15:24,5,1,21,51,2,0,0,0,0,51,34,18,5,77,35,4,74,21,39,55,40
23,1,0,15:11,5,1,74,77,3,0,0,0,0,51,34,18,5,77,35,24,29,74,54,71,40
24,1,0,14:52,13,1,24,5,2,0,0,0,0,13,89,18,5,77,35,24,29,74,3,54,40
25,1,0,14:24,9,0,13,0,2,0,0,0,0,12,13,89,2,25,35,19,16,17,3,37,40
26,1,0,14:09,9,1,17,0,2,0,0,0,0,12,13,89,2,25,35,19,16,17,3,37,40
27,1,0,14:07,6,1,3,13,2,0,0,0,0,10,16,27,83,44,35,19,16,17,3,37,40
28,1,-1,14:07,4,1,16,19,2,0,0,0,0,10,16,27,83,44,35,19,16,54,71,40,0
29,1,1,13:58,5,0,16,16,3,0,0,0,0,10,16,27,83,44,35,19,16,54,71,40,0
30,1,-1,13:55,13,0,44,16,2,0,0,0,0,10,16,27,83,44,35,19,16,54,71,40,0
31,1,-1,13:37,8,1,19,0,2,0,0,0,0,10,16,27,83,44,35,19,16,54,71,40,0
32,1,1,13:01,1,0,44,0,3,55,3,0,0,10,16,27,83,44,35,4,26,54,71,40,0
33,1,-1,12:22,8,1,55,0,2,0,0,0,0,12,13,89,25,77,35,24,29,37,55,40,0
34,1,0,11:56,5,0,12,3,2,0,0,0,0,12,13,89,25,77,35,19,16,3,54,71,40
35,1,0,11:51,1,0,25,0,3,41,1,0,0,12,51,89,2,25,35,19,16,3,54,71,40
36,1, ,11:51,3,0,0,0,0,0,0,0,0,12,51,89,2,25,35,19,16,3,54,71,40
37,1,0,11:51,4,1,51,77,2,0,0,0,0,51,34,18,2,25,35,77,36,21,39,55,40
38,1,0,11:44,5,0,18,55,3,0,0,0,0,51,34,18,2,25,35,77,36,21,39,55,40
39,1,0,11:11,9,0,2,0,2,0,0,0,0,51,34,18,2,25,35,77,36,21,39,54,40
40,1,0,10:39,1,1,26,0,3,43,0,0,0,16,19,34,5,77,35,4,20,26,3,54,40
41,1,0,10:25,5,0,16,3,3,0,0,0,0,16,19,46,5,77,35,4,20,26,3,37,40
42,1,0,9:59,5,1,37,16,2,0,0,0,0,16,19,46,24,44,35,4,20,26,3,37,40
43,1,0,9:38,1,0,83,0,3,54,2,0,0,10,27,83,24,44,35,19,20,26,3,37,40
44,1,0,9:03,6,0,44,17,2,0,0,0,0,10,27,83,24,44,35,19,16,17,54,71,40
45,1,1,9:03,4,1,19,20,3,0,0,0,0,10,19,24,25,35,0,4,19,20,26,71,40
46,1, ,8:49,3,10,0,0,0,0,0,0,0,10,19,24,25,35,0,4,19,20,26,71,40
47,1,-1,8:49,4,0,18,4,1,0,0,0,0,34,18,24,25,35,0,4,19,20,26,71,40
48,1, ,8:29,3,2,0,0,0,0,0,0,0,34,18,24,25,35,0,4,19,20,26,71,40
49,1,-1,8:29,4,0,16,4,1,0,0,0,0,10,16,5,77,35,0,4,19,20,26,71,40
50,1,-1,8:09,13,1,4,10,2,0,0,0,0,10,16,5,77,35,0,4,19,20,26,71,40
51,1, ,8:08,3,4,0,0,0,0,0,0,0,10,16,5,77,35,0,4,19,20,26,71,40
52,1,-1,8:08,4,0,19,4,2,0,0,0,0,10,19,5,77,35,0,4,19,20,26,71,40
