# 2008/01/24 
# ATL , NYR 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,18,49,28,39,1,23,82,25,5,51,30
2,1,0,20:00,4,1,11,23,1,0,0,0,0,11,18,49,28,39,1,23,82,25,5,51,30
3,1,0,19:44,1,1,23,0,3,44,1,0,0,11,18,49,28,39,1,23,82,25,5,51,30
4,1, ,19:44,3,1,0,0,0,0,0,0,0,11,18,49,28,39,1,23,82,25,5,51,30
5,1,0,19:44,4,1,11,23,3,0,0,0,0,11,18,49,28,39,1,23,82,25,5,51,30
6,1,0,19:39,7,1,51,0,3,55,2,0,0,11,18,49,28,39,1,23,82,25,5,51,30
7,1,0,19:35,5,1,25,49,3,0,0,0,0,11,18,49,28,39,1,23,82,25,5,51,30
8,1, ,19:07,3,2,0,0,0,0,0,0,0,12,8,21,22,77,1,19,68,16,3,18,30
9,1,0,19:07,4,1,16,17,1,0,0,0,0,16,9,13,22,77,1,17,10,14,27,34,30
10,1,0,18:48,13,0,9,34,2,0,0,0,0,16,9,13,22,77,1,17,10,14,27,34,30
11,1,0,18:40,5,0,9,34,3,0,0,0,0,16,9,13,22,77,1,17,10,14,27,34,30
12,1,0,18:18,5,0,23,27,3,0,0,0,0,23,9,13,22,77,1,19,68,16,27,34,30
13,1,0,18:02,7,0,23,0,3,44,1,0,0,23,27,36,28,39,1,19,68,16,27,34,30
14,1,0,17:45,5,1,16,28,3,0,0,0,0,23,27,36,28,39,1,19,68,16,3,18,30
15,1,0,17:37,5,0,27,16,2,0,0,0,0,23,27,36,28,39,1,19,68,16,3,18,30
16,1,0,17:10,5,0,8,3,3,0,0,0,0,12,8,21,2,3,1,15,28,44,3,18,30
17,1,0,17:04,5,0,8,3,3,0,0,0,0,12,8,21,2,3,1,15,28,44,3,18,30
18,1,0,16:34,5,0,49,44,1,0,0,0,0,11,18,49,2,3,1,15,28,44,5,51,30
19,1,0,16:15,9,1,82,0,1,0,0,0,0,11,18,49,22,77,1,23,82,25,27,34,30
20,1,0,16:00,8,1,25,0,1,0,0,0,0,11,18,49,22,77,1,23,82,25,3,18,30
21,1, ,15:38,3,8,0,0,0,0,0,0,0,16,9,13,28,39,1,17,68,10,3,18,30
22,1,0,15:38,4,0,16,17,3,0,0,0,0,16,9,13,28,39,1,17,68,10,3,18,30
23,1,0,15:12,1,1,68,0,3,7,6,0,0,16,9,13,28,39,1,17,68,10,3,18,30
24,1,0,14:12,5,1,44,23,3,0,0,0,0,23,27,36,2,3,1,15,28,44,5,51,30
25,1,0,14:06,5,0,36,5,3,0,0,0,0,23,8,36,2,3,1,15,28,44,5,51,30
26,1,0,13:44,5,0,21,3,3,0,0,0,0,12,8,21,22,77,1,19,14,16,3,18,30
27,1,0,13:41,13,0,22,3,2,0,0,0,0,12,8,21,22,77,1,19,14,16,3,18,30
28,1,0,13:08,6,0,49,16,0,0,0,0,0,11,18,49,22,77,1,19,14,16,27,34,30
29,1,1,13:08,4,1,16,19,3,0,0,0,0,16,18,28,39,1,0,19,68,14,3,27,30
30,1,1,13:00,5,1,3,16,2,0,0,0,0,16,18,28,39,1,0,19,68,14,3,27,30
31,1,1,12:39,1,1,19,0,3,40,1,0,0,11,9,2,22,1,0,19,68,14,3,27,30
32,1, ,12:39,3,1,0,0,0,0,0,0,0,11,9,2,22,1,0,19,68,14,3,27,30
33,1,1,12:39,4,1,11,19,3,0,0,0,0,11,9,2,22,1,0,19,68,14,3,27,30
34,1,-1,12:32,13,1,27,22,2,0,0,0,0,11,9,2,22,1,0,19,68,14,3,27,30
35,1,-1,12:17,1,0,9,0,3,31,6,0,0,11,9,2,22,1,0,19,68,14,3,27,30
36,1,1,12:03,7,1,19,0,3,36,1,0,0,12,9,2,22,1,0,19,68,14,5,51,30
37,1,1,11:31,5,1,17,18,2,0,0,0,0,12,18,28,39,1,0,17,23,82,5,51,30
38,1,-1,11:21,5,0,12,5,3,0,0,0,0,12,18,28,39,1,0,17,23,82,5,51,30
39,1,-1,11:20,8,0,12,0,3,0,0,0,0,12,18,28,39,1,0,17,23,82,5,51,30
40,1,1,11:19,13,0,28,17,2,0,0,0,0,12,18,28,39,1,0,17,23,82,5,51,30
41,1,0,10:51,8,0,49,0,2,0,0,0,0,11,18,49,28,39,1,15,28,44,18,34,30
42,1,0,10:41,1,0,49,0,3,60,2,0,0,23,27,49,28,39,1,15,28,44,18,34,30
43,1,0,10:38,5,1,34,27,2,0,0,0,0,23,27,49,2,3,1,15,28,44,18,34,30
44,1,0,10:25,13,0,3,44,2,0,0,0,0,23,27,49,3,77,1,15,28,44,18,34,30
45,1, ,10:07,3,6,0,0,0,0,0,0,0,23,27,21,2,3,1,15,28,44,18,34,30
46,1,0,10:07,4,1,12,15,2,0,0,0,0,12,8,21,2,3,1,15,28,44,18,34,30
47,1,0,9:55,1,0,12,0,3,43,1,0,0,12,8,21,2,3,1,19,28,44,18,34,30
48,1,0,9:22,1,0,21,0,3,11,0,0,0,12,8,21,22,77,1,19,68,16,5,51,30
49,1,0,9:18,5,1,5,21,2,0,0,0,0,12,8,21,22,77,1,19,68,16,5,51,30
50,1,0,8:22,5,1,25,28,2,0,0,0,0,16,9,13,28,39,1,23,82,25,3,18,30
51,1,0,8:00,13,1,23,39,2,0,0,0,0,16,18,49,28,39,1,23,82,14,3,18,30
52,1,0,7:56,5,1,14,39,3,0,0,0,0,16,18,49,28,39,1,23,82,14,27,34,30
53,1, ,7:53,3,0,0,0,0,0,0,0,0,16,18,49,28,39,1,23,82,14,27,34,30
54,1,0,7:53,4,0,11,23,2,0,0,0,0,11,18,49,2,3,1,23,82,25,27,34,30
