# 2008/02/05 
# OTT , MTL 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,25,37,4,24,29,20,6,22,8,79,39
2,1,0,20:00,4,1,12,20,1,0,0,0,0,12,25,37,4,24,29,20,6,22,8,79,39
3,1,0,19:35,5,0,12,8,3,0,0,0,0,12,25,37,6,7,29,20,6,22,8,79,39
4,1,0,19:02,8,0,71,0,3,0,0,0,0,19,27,71,6,7,29,14,27,46,26,32,39
5,1,0,18:41,13,0,27,14,2,0,0,0,0,19,27,71,6,24,29,14,27,46,26,32,39
6,1,0,18:27,7,0,24,0,3,63,2,0,0,19,27,71,6,24,29,14,27,46,26,32,39
7,1, ,17:59,3,6,0,0,0,0,0,0,0,20,22,10,4,24,29,11,21,74,51,71,39
8,1,0,17:59,4,1,20,11,3,0,0,0,0,20,22,10,4,24,29,11,21,74,51,71,39
9,1,0,17:49,9,0,4,0,2,0,0,0,0,20,22,10,4,24,29,11,21,74,51,71,39
10,1,0,17:45,5,0,4,74,2,0,0,0,0,20,22,10,4,24,29,11,21,74,51,71,39
11,1,0,17:35,5,0,4,74,2,0,0,0,0,20,22,10,4,24,29,11,21,74,51,71,39
12,1,0,17:23,8,0,20,0,3,0,0,0,0,20,22,10,2,14,29,11,21,74,51,71,39
13,1,0,17:20,1,0,20,0,3,31,1,0,0,20,22,10,2,14,29,11,21,74,51,71,39
14,1,0,17:18,2,0,22,0,3,19,1,20,0,20,22,10,2,14,29,11,21,74,51,71,39
15,1,0,17:18,4,1,36,40,1,0,0,0,0,36,16,2,5,14,29,40,84,25,26,32,39
16,1, ,17:05,3,2,0,0,0,0,0,0,0,36,16,2,5,14,29,40,84,25,26,32,39
17,1,0,17:05,4,0,36,14,1,0,0,0,0,36,16,4,5,24,29,14,27,46,26,32,39
18,1,0,16:41,6,0,24,46,2,0,0,0,0,19,16,37,4,24,29,11,21,74,32,79,39
19,1,-1,16:41,4,0,20,11,2,0,0,0,0,20,22,4,14,29,0,11,21,74,32,79,39
20,1, ,16:25,3,2,0,0,0,0,0,0,0,20,22,4,14,29,0,11,21,74,32,79,39
21,1,-1,16:25,4,0,20,11,1,0,0,0,0,20,22,4,14,29,0,11,21,74,32,79,39
22,1, ,16:09,3,10,0,0,0,0,0,0,0,20,22,4,14,29,0,11,21,74,32,79,39
23,1,1,16:09,4,1,12,14,3,0,0,0,0,12,37,4,14,29,0,14,27,46,32,79,39
24,1,1,16:00,1,1,32,0,3,61,2,0,0,12,37,4,14,29,0,14,27,46,32,79,39
25,1,1,15:54,1,1,32,0,3,66,2,0,0,12,37,4,14,29,0,14,27,46,32,79,39
