# 2008/02/07 
# ANA , NYR 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,20:00,4,0,15,15,1,0,0,0,0,15,10,14,23,27,35,15,28,44,3,18,30
3,1,0,19:23,5,0,14,44,2,0,0,0,0,15,10,14,23,27,35,15,28,44,5,51,30
4,1,0,18:49,7,0,22,0,3,13,6,0,0,22,44,52,21,25,35,19,82,68,5,51,30
5,1, ,18:45,3,2,0,0,0,0,0,0,0,22,44,52,21,25,35,19,82,68,5,51,30
6,1,0,18:45,4,0,4,19,1,0,0,0,0,39,4,8,21,25,35,19,82,68,3,18,30
7,1,0,17:47,1,1,68,0,3,17,1,0,0,15,10,14,23,27,35,23,68,10,27,34,30
8,1, ,17:47,3,1,0,0,0,0,0,0,0,15,10,14,23,27,35,23,68,10,27,34,30
9,1,0,17:47,4,0,15,23,2,0,0,0,0,15,10,14,23,27,35,23,25,10,27,34,30
10,1,0,17:35,1,1,23,0,3,10,6,0,0,15,10,14,23,27,35,23,25,10,27,34,30
11,1, ,17:35,3,1,0,0,0,0,0,0,0,15,10,14,23,27,35,23,25,10,27,34,30
12,1,0,17:35,4,1,52,23,3,0,0,0,0,22,44,52,11,27,35,23,25,10,27,34,30
13,1,0,17:22,8,0,27,0,2,0,0,0,0,22,44,52,11,27,35,23,25,10,27,34,30
14,1, ,17:15,3,6,0,0,0,0,0,0,0,15,22,44,11,27,35,23,25,10,27,34,30
15,1,0,17:15,4,0,52,19,2,0,0,0,0,22,44,52,11,27,35,19,82,68,3,18,30
16,1,0,16:58,8,0,11,0,1,0,0,0,0,22,44,52,11,25,35,19,82,68,3,18,30
17,1,0,16:37,7,1,82,0,3,37,2,0,0,22,44,52,11,25,35,19,82,68,3,18,30
18,1,0,16:34,5,0,52,18,2,0,0,0,0,22,44,52,11,25,35,19,82,68,3,18,30
19,1,0,16:23,5,0,22,18,3,0,0,0,0,22,44,52,11,25,35,19,82,68,3,18,30
20,1,0,16:17,1,1,19,0,1,73,1,0,0,17,22,16,11,25,35,19,82,68,5,51,30
21,1,0,15:52,5,1,5,24,1,0,0,0,0,17,16,24,11,25,35,17,24,16,5,51,30
22,1, ,15:41,3,6,0,0,0,0,0,0,0,17,16,24,11,25,35,17,24,28,5,51,30
23,1,0,15:41,4,1,16,15,3,0,0,0,0,17,16,24,11,25,35,15,28,44,27,34,30
24,1,0,15:37,1,1,27,0,3,44,2,0,0,17,16,24,11,25,35,15,28,44,27,34,30
25,1,0,15:26,1,1,15,0,3,36,2,0,0,17,16,24,11,21,35,15,28,44,27,34,30
26,1,0,15:23,5,0,17,44,2,0,0,0,0,17,16,24,11,21,35,15,28,44,27,34,30
27,1, ,15:07,3,6,0,0,0,0,0,0,0,17,16,24,11,21,35,15,28,44,27,34,30
28,1,0,15:07,4,1,17,23,3,0,0,0,0,17,16,24,11,21,35,23,25,10,5,51,30
29,1,0,14:57,1,1,25,0,3,22,3,0,0,17,16,24,11,21,35,23,25,10,5,51,30
30,1, ,14:50,3,2,0,0,0,0,0,0,0,39,4,8,21,27,35,23,25,10,5,51,30
31,1,0,14:50,4,1,39,23,1,0,0,0,0,39,4,8,23,27,35,23,25,10,5,51,30
32,1,0,14:28,5,1,25,23,3,0,0,0,0,39,4,8,23,27,35,23,25,10,5,51,30
33,1,0,13:51,1,1,82,0,3,36,2,0,0,39,4,8,21,25,35,19,82,68,3,18,30
34,1,0,13:44,9,1,68,0,3,0,0,0,0,39,4,8,21,25,35,19,82,68,3,18,30
35,1,0,13:32,8,1,3,0,2,0,0,0,0,22,39,44,21,25,35,19,82,68,3,18,30
36,1,0,13:32,1,0,22,0,3,14,6,0,0,22,39,44,21,25,35,19,82,68,3,18,30
37,1,0,13:28,5,0,44,3,3,0,0,0,0,22,39,44,21,25,35,19,82,68,3,18,30
