# 2008/02/07 
# VAN , ATL 
# 2 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,33,19,22,6,23,1,16,9,13,39,77,32
2,1,0,20:00,4,0,33,16,1,0,0,0,0,33,19,22,6,23,1,16,9,13,39,77,32
3,1,0,19:48,8,1,16,0,1,0,0,0,0,33,19,22,6,23,1,16,9,13,39,77,32
4,1,0,19:43,7,1,13,0,3,11,5,0,0,33,19,22,6,23,1,16,9,13,39,77,32
5,1,0,19:42,1,1,9,0,3,22,1,0,0,33,19,22,6,23,1,16,9,13,39,77,32
6,1,0,19:23,5,1,16,45,3,0,0,0,0,17,9,14,18,45,1,16,9,13,39,77,32
7,1,0,18:40,5,1,11,9,3,0,0,0,0,17,9,14,18,45,1,11,23,18,2,22,32
8,1,0,18:29,8,0,17,0,3,0,0,0,0,17,9,14,6,28,1,12,18,17,2,22,32
9,1,0,17:43,1,0,33,0,3,20,5,0,0,33,19,22,23,45,1,12,8,17,39,77,32
10,1, ,17:43,3,1,0,0,0,0,0,0,0,33,19,22,23,45,1,12,8,17,39,77,32
11,1,0,17:43,4,1,16,16,2,0,0,0,0,15,16,20,23,45,1,16,27,36,5,7,32
12,1,0,17:12,13,0,20,5,3,0,0,0,0,15,16,20,23,45,1,27,29,36,5,7,32
13,1,0,16:25,7,1,11,0,3,13,5,0,0,29,21,24,2,18,1,11,23,18,2,22,32
14,1, ,16:19,3,1,0,0,0,0,0,0,0,29,21,24,2,18,1,11,23,18,2,22,32
15,1,0,16:19,4,1,33,16,3,0,0,0,0,33,19,22,2,18,1,16,9,13,39,77,32
16,1,0,16:04,1,0,19,0,3,8,6,0,0,33,19,22,2,18,1,16,9,13,39,77,32
17,1,0,15:52,5,1,13,19,3,0,0,0,0,33,19,22,2,18,1,16,9,13,39,77,32
18,1,0,15:50,8,1,9,0,1,0,0,0,0,33,19,22,2,18,1,16,9,13,39,77,32
19,1,0,15:23,1,1,17,0,3,15,3,0,0,17,9,14,2,18,1,12,8,17,2,22,32
20,1,0,15:04,13,1,17,9,2,0,0,0,0,17,9,14,2,18,1,12,8,17,2,22,32
21,1,0,14:58,13,1,22,17,2,0,0,0,0,17,9,14,2,18,1,12,8,17,2,22,32
22,1,0,14:48,13,1,2,9,2,0,0,0,0,17,9,14,2,18,1,12,8,17,2,22,32
23,1,0,14:45,8,1,12,0,1,0,0,0,0,17,9,14,2,18,1,12,8,17,2,22,32
24,1,0,14:15,5,1,36,20,2,0,0,0,0,15,16,20,23,28,1,27,29,36,5,7,32
25,1,0,14:00,5,0,20,7,3,0,0,0,0,15,16,20,23,45,1,27,29,36,5,7,32
26,1,0,13:48,9,0,1,0,2,0,0,0,0,15,16,20,23,45,1,27,29,36,5,7,32
27,1,0,13:42,6,1,36,20,3,0,0,0,0,15,16,20,23,45,1,27,29,36,5,7,32
28,1,1,13:42,6,0,20,36,2,0,0,0,0,15,16,20,23,45,1,27,29,5,7,32,0
29,1, ,13:42,3,9,0,0,0,0,0,0,0,15,16,23,45,1,0,27,29,5,7,32,0
30,1,0,13:42,4,0,17,11,2,0,0,0,0,17,29,24,23,45,1,11,23,18,5,7,32
31,1,0,13:20,5,1,5,21,2,0,0,0,0,29,21,24,2,18,1,11,23,18,5,7,32
32,1,0,13:12,7,0,21,0,3,14,1,0,0,29,21,24,2,18,1,11,23,18,5,7,32
33,1,0,12:59,8,0,18,0,2,0,0,0,0,29,21,24,2,18,1,11,23,18,5,7,32
34,1,0,12:06,5,0,45,9,1,0,0,0,0,33,19,22,23,45,1,16,9,13,39,77,32
35,1,0,11:15,13,1,17,17,2,0,0,0,0,17,9,14,6,28,1,12,8,17,2,22,32
36,1,0,11:01,5,1,12,28,3,0,0,0,0,17,9,14,6,28,1,12,8,17,2,22,32
37,1, ,10:54,3,10,0,0,0,0,0,0,0,17,9,14,6,28,1,12,8,17,2,22,32
38,1,0,10:54,4,0,16,29,1,0,0,0,0,15,16,24,2,18,1,27,9,29,5,7,32
39,1,0,10:36,5,0,24,27,2,0,0,0,0,15,16,24,2,18,1,27,9,29,5,7,32
40,1,0,10:10,6,0,24,32,3,0,0,0,0,15,16,24,2,18,1,27,9,17,29,5,7
41,1,-1,10:10,4,0,17,12,2,0,0,0,0,17,14,6,23,1,0,12,8,18,17,39,32
42,1,1,9:11,7,1,18,0,3,39,2,0,0,15,9,2,18,1,0,12,8,18,17,39,32
43,1,1,9:06,5,1,18,18,2,0,0,0,0,15,9,2,18,1,0,12,8,18,17,39,32
44,1,-1,9:01,1,0,9,0,3,31,1,0,0,17,9,6,23,1,0,16,8,13,17,39,32
45,1,-1,8:59,8,0,9,0,3,0,0,0,0,17,9,6,23,1,0,16,8,13,17,39,32
46,1,1,8:26,9,1,13,0,1,0,0,0,0,17,14,6,23,1,0,11,16,13,17,39,32
47,1,1,8:25,1,1,17,0,3,28,1,0,0,17,14,6,23,1,0,11,16,13,17,39,32
48,1, ,8:25,3,1,0,0,0,0,0,0,0,17,14,6,23,1,0,11,16,13,17,39,32
49,1,1,8:25,4,1,16,16,3,0,0,0,0,15,16,2,18,1,0,16,18,36,2,22,32
50,1, ,8:13,3,1,0,0,0,0,0,0,0,15,16,2,18,1,0,16,18,36,2,22,32
51,1,1,8:13,4,1,33,12,2,0,0,0,0,33,22,23,45,1,0,12,27,36,39,77,32
52,1,0,7:52,1,0,22,0,3,60,2,0,0,33,19,22,23,45,1,27,29,36,39,77,32
53,1,0,7:40,5,1,29,23,1,0,0,0,0,33,19,22,23,45,1,27,29,36,39,77,32
54,1,0,7:29,1,1,36,0,3,16,5,0,0,33,19,22,23,45,1,27,29,36,2,77,32
55,1,0,6:55,5,0,24,2,3,0,0,0,0,29,21,24,2,18,1,11,23,18,2,22,32
56,1,0,5:57,6,1,2,33,2,0,0,0,0,33,19,21,22,6,1,11,23,18,2,22,32
57,1, ,5:57,3,9,0,0,0,0,0,0,0,33,19,21,22,6,1,11,23,18,22,32,0
58,1,-1,5:57,4,1,33,16,2,0,0,0,0,33,19,21,22,6,1,16,18,39,77,32,0
59,1, ,5:51,3,10,0,0,0,0,0,0,0,33,19,21,22,6,1,16,18,39,77,32,0
60,1,-1,5:51,4,1,33,16,2,0,0,0,0,33,19,21,22,6,1,16,18,39,77,32,0
61,1,-1,5:40,1,1,18,0,3,37,3,0,0,33,19,21,22,6,1,16,18,39,77,32,0
62,1,-1,5:23,5,1,16,22,2,0,0,0,0,33,19,21,22,6,1,16,18,39,77,32,0
63,1,1,4:50,1,0,6,0,3,59,2,0,0,33,19,21,22,6,1,12,9,39,77,32,0
64,1,1,4:48,1,0,21,0,3,34,1,0,0,33,19,21,22,6,1,12,9,39,77,32,0
