# 2008/02/09 
# STL , DAL 
# 2 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,7,12,42,4,27,35,63,20,10,4,5,41
2,1,0,20:00,4,1,7,63,1,0,0,0,0,7,12,42,4,27,35,63,20,10,4,5,41
3,1,0,19:46,9,1,5,0,2,0,0,0,0,7,42,9,4,27,35,63,20,10,4,5,41
4,1,0,19:31,5,1,10,4,3,0,0,0,0,7,42,9,4,27,35,63,20,10,4,5,41
5,1,0,19:19,9,0,9,0,1,0,0,0,0,18,42,9,4,27,35,63,20,10,4,5,41
6,1,0,19:06,8,0,18,0,2,0,0,0,0,18,12,21,4,27,35,63,26,10,2,3,41
7,1,0,18:57,13,1,2,27,2,0,0,0,0,18,12,21,4,27,35,63,26,10,2,3,41
8,1,0,18:50,7,0,18,0,3,43,1,0,0,18,12,21,5,29,35,63,26,10,2,3,41
9,1,0,18:41,5,1,26,5,3,0,0,0,0,18,12,22,5,29,35,9,29,26,3,6,41
10,1, ,18:38,3,3,0,0,0,0,0,0,0,18,12,22,5,29,35,9,29,26,3,6,41
11,1,0,18:38,4,0,10,9,1,0,0,0,0,10,22,57,6,77,35,9,29,26,6,28,41
12,1,0,18:25,5,1,29,6,3,0,0,0,0,10,22,57,6,77,35,9,29,26,6,28,41
13,1,0,18:17,13,0,22,28,2,0,0,0,0,10,22,57,6,77,35,9,29,26,6,28,41
14,1,0,18:11,9,1,29,0,2,0,0,0,0,10,22,57,6,77,35,9,29,26,6,28,41
15,1,0,17:34,7,1,21,0,3,20,5,0,0,17,13,19,6,29,35,15,21,36,4,5,41
16,1,0,17:31,5,0,13,4,3,0,0,0,0,17,13,19,6,29,35,15,21,36,4,5,41
17,1,0,17:21,5,0,13,4,2,0,0,0,0,17,13,19,6,29,35,15,21,36,4,5,41
18,1,0,17:15,1,1,5,0,3,63,1,0,0,17,13,19,6,29,35,15,21,36,4,5,41
19,1, ,17:15,3,1,0,0,0,0,0,0,0,17,13,19,6,29,35,15,21,36,4,5,41
20,1,0,17:15,4,1,18,11,3,0,0,0,0,18,12,21,4,27,35,11,14,13,2,3,41
21,1,0,16:42,1,0,18,0,3,46,1,0,0,18,12,21,6,77,35,11,14,13,2,3,41
22,1, ,16:42,3,1,0,0,0,0,0,0,0,18,12,21,6,77,35,11,14,13,2,3,41
23,1,0,16:42,4,0,7,9,3,0,0,0,0,7,42,9,4,27,35,9,29,26,4,5,41
24,1,0,16:32,7,0,7,0,3,30,5,0,0,7,42,9,5,29,35,9,29,26,4,5,41
25,1,0,16:27,1,1,9,0,3,24,1,0,0,7,42,9,5,29,35,9,29,26,4,5,41
26,1,0,16:26,1,1,29,0,3,15,6,0,0,7,42,9,5,29,35,9,29,26,4,5,41
27,1, ,16:26,3,0,0,0,0,0,0,0,0,7,10,22,5,29,35,9,29,26,4,5,41
28,1,0,16:26,4,1,7,9,3,0,0,0,0,7,10,22,5,29,35,9,29,26,4,5,41
29,1,0,16:23,1,1,26,0,3,13,5,0,0,7,10,22,5,29,35,9,29,26,4,5,41
30,1,0,16:22,1,1,26,0,3,12,6,0,0,7,10,22,5,29,35,9,29,26,4,5,41
31,1, ,16:21,3,1,0,0,0,0,0,0,0,7,10,22,5,29,35,9,29,26,4,5,41
32,1,0,16:21,4,1,21,63,3,0,0,0,0,10,21,22,5,29,35,63,20,10,4,5,41
33,1,0,16:12,7,1,20,0,3,40,2,0,0,10,21,22,5,29,35,63,20,10,4,5,41
34,1,0,16:05,6,0,21,10,2,0,0,0,0,10,21,22,5,29,35,9,63,26,10,3,41
35,1,-1,16:05,4,0,18,63,2,0,0,0,0,18,13,4,27,35,0,9,63,26,10,3,41
36,1,1,15:28,7,1,3,0,3,64,2,0,0,18,13,4,27,35,0,9,63,26,10,3,41
37,1, ,15:28,3,4,0,0,0,0,0,0,0,18,13,4,27,35,0,9,63,26,10,3,41
38,1,-1,15:28,4,0,10,63,1,0,0,0,0,10,42,5,77,35,0,9,63,26,10,3,41
39,1,1,14:58,2,1,10,0,3,24,1,63,9,10,42,5,77,35,0,9,63,26,10,3,41
40,1,0,14:58,4,0,7,14,1,0,0,0,0,7,42,9,6,77,35,11,14,13,2,6,41
41,1,0,14:46,9,0,6,0,1,0,0,0,0,7,42,9,6,77,35,11,14,13,2,6,41
42,1,0,14:00,5,0,22,28,3,0,0,0,0,10,22,57,5,29,35,15,21,36,3,28,41
43,1,0,13:41,6,1,36,22,3,0,0,0,0,10,22,57,5,29,35,15,21,36,3,28,41
44,1, ,13:41,3,9,0,0,0,0,0,0,0,10,22,57,5,29,35,15,21,3,28,41,0
45,1,-1,13:41,4,1,10,29,2,0,0,0,0,10,22,42,9,4,35,11,29,4,5,41,0
46,1,1,13:21,5,0,42,29,3,0,0,0,0,10,22,42,9,4,35,11,29,4,5,41,0
47,1,1,13:01,5,0,10,4,3,0,0,0,0,10,22,42,9,4,35,14,15,4,5,41,0
48,1,-1,12:47,8,1,15,0,2,0,0,0,0,7,10,9,4,6,35,14,15,2,3,41,0
49,1,1,12:29,1,0,6,0,3,66,2,0,0,7,12,57,6,29,35,9,26,2,3,41,0
50,1, ,12:29,3,1,0,0,0,0,0,0,0,7,12,57,6,29,35,9,26,2,3,41,0
51,1,-1,12:29,4,1,7,29,2,0,0,0,0,7,12,57,6,29,35,11,29,6,28,41,0
52,1,0,11:30,5,1,5,17,2,0,0,0,0,17,13,21,4,27,35,9,26,36,4,5,41
53,1,0,11:03,13,0,13,5,2,0,0,0,0,17,13,21,4,27,35,63,20,10,4,5,41
54,1,0,10:47,1,0,13,0,3,55,1,0,0,17,13,21,4,27,35,63,20,10,4,5,41
55,1, ,10:32,3,2,0,0,0,0,0,0,0,7,42,9,5,29,35,63,20,10,2,3,41
