# 2008/02/12 
# DET , NSH 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,13,40,96,5,28,30,12,38,23,2,7,30
2,1,0,20:00,4,0,40,12,1,0,0,0,0,13,40,96,5,28,30,12,38,23,2,7,30
3,1,0,19:49,9,0,28,0,2,0,0,0,0,13,40,96,5,28,30,12,38,23,2,7,30
4,1,0,19:38,5,1,2,13,2,0,0,0,0,13,40,96,22,28,30,12,38,23,2,7,30
5,1,0,19:34,5,1,12,28,1,0,0,0,0,13,40,96,22,28,30,12,38,23,2,7,30
6,1,0,18:38,9,1,10,0,3,0,0,0,0,51,93,37,22,24,30,11,37,10,3,20,30
7,1,0,17:43,9,0,3,0,2,0,0,0,0,13,40,96,3,5,30,19,47,71,5,6,30
8,1,0,17:35,2,1,47,0,3,14,1,19,71,13,40,96,3,5,30,19,47,71,5,6,30
9,1,0,17:35,4,1,33,25,1,0,0,0,0,26,33,82,3,5,30,14,25,41,3,20,30
10,1,0,17:09,5,0,33,20,3,0,0,0,0,26,33,82,3,5,30,14,25,41,3,20,30
11,1,0,16:49,1,0,3,0,1,72,1,0,0,26,33,82,3,5,30,11,37,10,2,7,30
12,1,0,16:44,5,0,18,10,3,0,0,0,0,17,8,18,22,28,30,11,37,10,2,7,30
13,1,0,16:25,7,1,7,0,3,54,0,0,0,17,8,18,22,28,30,11,37,10,2,7,30
14,1,0,16:23,5,0,17,7,2,0,0,0,0,17,8,18,22,28,30,11,37,10,2,7,30
15,1,0,16:18,2,1,10,0,3,11,1,37,2,17,8,18,22,28,30,11,37,10,2,7,30
16,1,0,16:18,4,0,93,19,1,0,0,0,0,51,93,37,3,5,30,19,47,71,5,6,30
17,1,0,15:54,5,1,5,37,2,0,0,0,0,51,93,37,3,5,30,19,47,71,5,6,30
18,1,0,15:42,8,1,6,0,2,0,0,0,0,51,93,37,3,5,30,19,47,71,5,6,30
19,1,0,15:10,7,0,96,0,3,29,6,0,0,13,40,96,14,28,30,12,38,23,2,7,30
20,1,0,15:01,1,0,28,0,3,53,2,0,0,13,40,96,14,28,30,12,38,23,2,7,30
21,1,0,14:57,7,0,14,0,3,32,1,0,0,13,40,96,14,28,30,12,38,23,2,7,30
22,1,0,14:49,8,1,38,0,1,0,0,0,0,13,40,96,14,28,30,12,38,23,2,7,30
23,1, ,14:45,3,6,0,0,0,0,0,0,0,13,40,96,14,28,30,12,38,23,2,7,30
24,1,0,14:45,4,1,33,38,2,0,0,0,0,26,33,82,22,24,30,12,38,23,2,7,30
25,1,0,13:58,5,0,3,25,2,0,0,0,0,26,33,82,3,22,30,14,25,41,3,20,30
26,1,0,13:46,5,1,25,18,3,0,0,0,0,17,8,18,3,5,30,19,25,47,5,6,30
27,1,0,13:40,7,0,3,0,1,70,2,0,0,17,8,18,3,5,30,19,25,47,5,6,30
28,1, ,13:39,3,0,0,0,0,0,0,0,0,17,8,18,3,5,30,19,25,47,5,6,30
29,1,0,13:39,4,1,40,19,2,0,0,0,0,93,37,40,3,5,30,19,47,71,5,6,30
30,1,0,13:05,7,1,19,0,3,27,1,0,0,93,37,40,3,5,30,19,47,71,5,6,30
31,1,0,12:58,1,0,93,0,3,29,1,0,0,93,40,96,5,28,30,19,47,71,5,6,30
32,1, ,12:57,3,1,0,0,0,0,0,0,0,93,40,96,5,28,30,19,47,71,5,6,30
33,1,0,12:57,4,0,13,11,3,0,0,0,0,13,51,96,14,28,30,11,37,10,2,7,30
34,1,0,12:46,13,0,14,37,2,0,0,0,0,13,51,96,14,28,30,11,37,10,2,7,30
35,1,0,12:42,8,0,51,0,1,0,0,0,0,13,51,96,14,28,30,11,37,10,2,7,30
36,1,0,12:19,5,1,10,28,3,0,0,0,0,13,51,96,14,28,30,11,37,10,2,7,30
37,1,0,11:57,8,0,13,0,3,0,0,0,0,13,26,82,22,24,30,12,37,23,2,7,30
38,1,0,11:56,1,0,13,0,3,26,1,0,0,13,26,82,22,24,30,12,37,23,2,7,30
39,1, ,11:55,3,1,0,0,0,0,0,0,0,13,26,82,22,24,30,12,37,23,2,7,30
40,1,0,11:55,4,1,33,38,2,0,0,0,0,26,33,82,22,24,30,12,38,23,3,20,30
41,1, ,11:45,3,2,0,0,0,0,0,0,0,26,33,82,22,24,30,12,38,23,3,20,30
42,1,0,11:45,4,1,33,12,1,0,0,0,0,26,33,82,22,24,30,12,38,23,3,20,30
43,1,0,11:40,1,1,3,0,1,72,2,0,0,26,33,82,22,24,30,12,38,23,3,20,30
44,1,0,11:35,5,1,12,22,3,0,0,0,0,26,33,82,22,24,30,12,38,23,3,20,30
45,1, ,11:29,3,2,0,0,0,0,0,0,0,26,33,82,22,24,30,12,38,23,3,20,30
46,1,0,11:29,4,0,17,19,1,0,0,0,0,17,8,18,3,5,30,19,47,71,3,20,30
47,1,0,11:18,9,0,8,0,1,0,0,0,0,17,8,18,3,5,30,19,47,71,3,20,30
48,1,0,11:11,2,1,71,0,3,9,5,19,3,93,18,40,3,5,30,19,47,71,3,20,30
49,1,0,11:11,4,0,40,25,1,0,0,0,0,93,37,40,3,5,35,14,25,41,5,6,30
50,1,0,11:00,1,0,5,0,3,55,2,0,0,93,37,40,3,5,35,14,25,41,5,6,30
51,1, ,10:57,3,8,0,0,0,0,0,0,0,93,37,40,3,5,35,14,25,41,5,6,30
52,1,0,10:57,4,1,17,25,2,0,0,0,0,17,8,18,22,24,35,14,25,41,5,6,30
53,1,0,10:47,1,1,41,0,3,45,2,0,0,17,8,18,22,24,35,14,25,41,5,6,30
54,1,0,10:06,5,0,96,37,1,0,0,0,0,13,51,96,14,28,35,11,37,10,5,6,30
55,1,0,9:55,5,0,14,37,1,0,0,0,0,13,51,96,14,28,35,11,37,10,2,7,30
56,1,0,9:42,5,1,10,96,1,0,0,0,0,13,51,96,14,28,35,11,37,10,2,7,30
57,1,0,9:34,5,0,96,2,3,0,0,0,0,13,51,96,3,5,35,12,37,10,2,7,30
58,1,0,9:19,9,0,5,0,1,0,0,0,0,33,51,82,3,5,35,12,38,23,2,7,30
59,1,0,8:54,6,0,5,12,2,0,0,0,0,26,33,82,3,5,35,12,38,23,3,20,30
60,1, ,8:54,3,9,0,0,0,0,0,0,0,26,33,82,3,35,0,12,38,23,3,20,30
61,1,1,8:54,4,1,93,19,3,0,0,0,0,93,17,3,24,35,0,11,19,71,3,20,30
62,1,1,8:40,1,1,71,0,3,18,1,0,0,93,17,3,24,35,0,11,19,71,3,20,30
63,1,-1,8:33,13,1,3,17,2,0,0,0,0,93,17,3,24,35,0,11,19,71,3,20,30
64,1,1,8:24,8,1,3,0,2,0,0,0,0,93,17,24,28,35,0,11,19,71,3,20,30
65,1,1,8:16,1,1,19,0,3,21,2,0,0,33,18,24,28,35,0,11,19,71,3,20,30
66,1,1,7:39,1,1,6,0,3,55,2,0,0,33,18,22,28,35,0,11,19,47,2,6,30
67,1,1,7:34,5,1,6,33,3,0,0,0,0,33,18,22,28,35,0,11,19,47,2,6,30
68,1,-1,7:20,8,0,13,0,2,0,0,0,0,13,40,3,24,35,0,11,19,47,2,6,30
69,1,1,7:03,5,1,10,3,3,0,0,0,0,13,40,3,24,35,0,14,10,47,2,6,30
70,1,0,6:22,1,0,14,0,3,42,2,0,0,26,51,82,14,28,35,12,38,23,5,7,30
71,1,0,6:15,13,0,82,5,2,0,0,0,0,26,51,82,14,28,35,12,38,23,5,7,30
72,1, ,6:14,3,4,0,0,0,0,0,0,0,26,51,82,14,28,35,12,38,23,5,7,30
73,1,0,6:14,4,0,33,25,3,0,0,0,0,33,93,37,22,24,35,14,25,41,5,6,30
74,1,0,5:55,1,1,5,0,3,58,2,0,0,33,93,37,22,24,35,14,25,41,5,6,30
75,1,0,5:51,7,1,6,0,3,47,2,0,0,33,93,37,22,24,35,14,25,41,5,6,30
76,1,0,5:41,9,1,25,0,3,0,0,0,0,33,93,37,22,24,35,14,25,41,5,6,30
77,1,0,5:38,1,0,37,0,3,57,2,0,0,33,93,37,5,24,35,14,25,41,5,6,30
78,1,0,5:16,5,1,2,96,2,0,0,0,0,13,40,96,3,5,35,19,47,71,2,6,30
79,1,0,4:43,13,0,13,2,2,0,0,0,0,13,51,96,14,28,35,11,10,47,2,7,30
80,1,0,4:13,7,0,82,0,3,21,5,0,0,26,51,82,14,28,35,12,37,10,3,20,30
81,1,0,4:07,8,0,51,0,1,0,0,0,0,26,51,82,14,28,35,12,37,10,3,20,30
82,1,0,3:56,9,0,51,0,1,0,0,0,0,26,51,82,14,28,35,12,37,10,3,20,30
83,1,0,3:39,5,0,82,37,3,0,0,0,0,26,17,82,22,24,35,12,37,23,3,20,30
84,1,0,3:37,13,0,22,3,2,0,0,0,0,26,17,82,22,24,35,12,37,23,3,20,30
85,1,0,3:27,5,1,38,17,3,0,0,0,0,17,8,18,22,24,35,12,38,23,5,6,30
86,1,0,3:24,6,1,23,18,2,0,0,0,0,17,8,18,22,24,35,12,38,23,5,6,30
87,1, ,3:24,3,9,0,0,0,0,0,0,0,17,8,18,22,24,35,12,38,5,6,30,0
88,1,1,3:24,4,0,40,25,3,0,0,0,0,13,40,96,5,28,35,25,41,2,5,30,0
89,1,1,3:13,7,0,40,0,3,38,3,0,0,13,40,96,5,28,35,25,41,2,5,30,0
90,1,-1,2:58,13,0,28,41,2,0,0,0,0,13,40,96,5,28,35,25,41,2,5,30,0
91,1, ,2:57,3,4,0,0,0,0,0,0,0,13,40,96,5,28,35,25,41,2,5,30,0
92,1,1,2:57,4,0,40,38,3,0,0,0,0,13,40,96,5,28,35,12,38,2,5,30,0
93,1,1,2:51,1,0,5,0,3,55,2,0,0,13,40,96,5,28,35,12,38,2,5,30,0
94,1,1,2:21,1,0,40,0,3,33,1,0,0,13,40,96,5,28,35,11,12,2,5,30,0
95,1,1,2:08,1,0,28,0,3,14,5,0,0,13,40,96,5,28,35,11,12,2,5,30,0
96,1,-1,2:03,13,0,5,5,2,0,0,0,0,13,40,96,5,28,35,11,12,2,5,30,0
97,1,1,2:02,1,0,28,0,3,23,3,0,0,13,40,96,5,28,35,11,12,2,5,30,0
98,1, ,2:01,3,1,0,0,0,0,0,0,0,13,40,96,5,28,35,11,12,2,5,30,0
99,1,-1,2:01,4,1,93,38,2,0,0,0,0,26,51,93,37,22,35,25,38,7,20,30,0
100,1,1,1:55,1,0,22,0,3,64,2,0,0,26,51,93,37,22,35,25,38,7,20,30,0
101,1,1,1:54,1,0,93,0,3,12,1,0,0,26,51,93,37,22,35,25,38,7,20,30,0
102,1, ,1:53,3,1,0,0,0,0,0,0,0,26,51,93,37,22,35,25,38,7,20,30,0
103,1,-1,1:53,4,1,51,38,2,0,0,0,0,26,51,93,37,22,35,25,38,7,20,30,0
104,1,-1,1:35,5,1,25,37,3,0,0,0,0,26,51,93,37,22,35,25,71,7,20,30,0
105,1,0,1:17,1,0,93,0,3,15,1,0,0,26,51,93,5,22,35,25,71,23,7,20,30
106,1, ,1:15,3,1,0,0,0,0,0,0,0,26,51,93,5,22,35,25,71,23,7,20,30
107,1,0,1:15,4,0,33,19,3,0,0,0,0,33,82,18,3,5,35,19,47,71,3,6,30
108,1,0,1:01,5,1,71,5,3,0,0,0,0,33,82,18,3,5,35,19,47,71,3,6,30
109,1,0,0:43,6,0,33,19,2,0,0,0,0,33,82,18,3,5,35,11,19,47,71,3,6
110,1,-1,0:43,4,0,40,14,2,0,0,0,0,93,40,24,28,35,0,14,10,47,3,20,30
111,1,-1,0:30,13,1,14,24,2,0,0,0,0,93,40,24,28,35,0,14,10,47,3,20,30
112,1, ,0:25,3,2,0,0,0,0,0,0,0,93,40,24,28,35,0,14,10,47,3,20,30
113,1,-1,0:25,4,0,17,14,1,0,0,0,0,17,18,5,24,35,0,14,10,47,3,20,30
114,1,-1,0:08,5,0,24,14,2,0,0,0,0,17,18,5,24,35,0,14,10,47,3,20,30
115,1,1,0:01,1,1,20,0,3,49,2,0,0,17,18,5,24,35,0,14,10,47,3,20,30
116,1, ,0:00,11,0,0,0,0,0,0,0,0,17,18,5,24,35,0,14,10,47,3,20,30
117,2, ,20:00,10,0,0,0,0,0,0,0,0,93,40,5,24,35,0,11,19,71,3,20,30
118,2,-1,20:00,4,0,40,19,1,0,0,0,0,93,40,5,24,35,0,11,19,71,3,20,30
