# 2008/02/16 
# FLA , CAR 
# 4 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,16,10,4,5,29,19,14,16,5,77,30
2,1,0,20:00,4,1,9,19,1,0,0,0,0,9,16,10,4,5,29,19,14,16,5,77,30
3,1,0,19:31,13,1,5,5,2,0,0,0,0,9,16,10,5,24,29,19,14,16,5,77,30
4,1,0,19:27,7,1,77,0,3,53,2,0,0,9,16,10,5,24,29,19,14,16,5,77,30
5,1,0,19:12,5,0,24,77,2,0,0,0,0,9,16,10,5,24,29,12,13,16,5,77,30
6,1,0,19:03,1,1,13,0,3,25,6,0,0,9,16,10,5,24,29,12,13,16,2,77,30
7,1, ,19:01,3,1,0,0,0,0,0,0,0,9,16,10,5,24,29,12,13,16,2,77,30
8,1,0,19:01,4,1,53,12,3,0,0,0,0,12,53,18,4,22,29,12,13,26,2,7,30
9,1,0,18:54,7,1,13,0,3,46,1,0,0,12,53,18,4,22,29,12,13,26,2,7,30
10,1, ,18:45,3,6,0,0,0,0,0,0,0,12,53,18,4,22,29,12,13,26,2,7,30
11,1,0,18:45,4,0,12,12,2,0,0,0,0,12,53,18,4,22,29,12,13,26,2,7,30
12,1,0,18:16,7,1,13,0,3,38,6,0,0,12,53,18,4,22,29,12,13,26,2,7,30
13,1,0,18:13,13,1,13,4,2,0,0,0,0,12,53,18,4,22,29,12,13,26,2,7,30
14,1,0,17:39,13,0,2,24,2,0,0,0,0,11,54,85,2,6,29,24,37,18,42,53,30
15,1,0,17:31,7,1,24,0,3,51,2,0,0,11,54,85,2,6,29,24,37,18,42,53,30
16,1,0,17:24,8,1,37,0,3,0,0,0,0,11,54,85,2,6,29,24,37,28,42,53,30
17,1,0,17:22,1,1,24,0,3,25,5,0,0,11,54,85,2,6,29,24,37,28,42,53,30
18,1,0,17:10,8,0,7,0,1,0,0,0,0,45,37,5,7,24,29,8,24,28,42,53,30
19,1,0,17:07,13,0,24,8,2,0,0,0,0,45,37,5,7,24,29,8,26,28,42,53,30
20,1, ,17:06,3,4,0,0,0,0,0,0,0,45,37,5,7,24,29,8,26,28,42,53,30
21,1,0,17:06,4,1,45,8,2,0,0,0,0,45,37,5,7,24,29,8,26,28,5,38,30
22,1,0,16:47,8,1,8,0,1,0,0,0,0,45,37,5,7,24,29,8,26,28,5,38,30
23,1,0,16:39,2,1,28,0,3,7,6,8,0,45,37,5,7,24,29,8,26,28,5,38,30
24,1,0,16:39,4,0,9,19,1,0,0,0,0,9,16,10,4,22,29,19,14,16,42,53,30
25,1,0,16:03,13,1,14,6,2,0,0,0,0,9,16,10,6,22,29,19,14,16,2,7,30
26,1,0,15:44,8,1,13,0,1,0,0,0,0,12,53,18,6,22,29,12,13,26,2,77,30
27,1,0,15:38,5,1,12,53,1,0,0,0,0,12,53,18,6,22,29,12,13,26,2,77,30
28,1, ,15:17,3,6,0,0,0,0,0,0,0,12,53,18,4,5,29,12,13,26,2,77,30
29,1,0,15:17,4,1,54,12,2,0,0,0,0,11,54,85,4,5,29,12,13,26,2,77,30
30,1,0,14:58,8,0,5,0,2,0,0,0,0,11,54,85,4,5,29,12,13,26,5,42,30
31,1, ,14:37,3,6,0,0,0,0,0,0,0,11,54,85,4,5,29,24,37,18,5,42,30
32,1,0,14:37,4,1,9,37,2,0,0,0,0,9,16,10,2,6,29,37,18,26,5,77,30
33,1,0,13:51,13,1,14,24,2,0,0,0,0,12,53,18,22,24,29,19,14,16,2,7,30
34,1,0,13:37,5,1,26,12,3,0,0,0,0,12,53,18,22,24,29,12,14,26,2,7,30
35,1,0,13:23,9,1,26,0,3,0,0,0,0,12,53,18,22,24,29,12,14,26,2,7,30
36,1,0,13:16,2,0,53,0,3,39,1,18,12,12,53,18,22,24,29,12,14,26,2,7,30
37,1,0,13:16,4,1,54,37,1,0,0,0,0,11,54,85,4,5,29,24,37,18,53,77,30
38,1, ,13:07,3,0,0,0,0,0,0,0,0,11,54,85,4,5,29,24,37,18,53,77,30
39,1,0,13:07,4,0,54,37,3,0,0,0,0,11,54,85,4,5,29,24,37,18,53,77,30
40,1,0,13:01,13,0,11,53,2,0,0,0,0,11,54,85,4,5,29,24,37,18,53,77,30
41,1, ,13:00,3,8,0,0,0,0,0,0,0,11,54,85,4,5,29,24,37,18,42,77,30
42,1,0,13:00,4,1,54,24,2,0,0,0,0,11,54,85,2,6,29,24,37,18,42,77,30
43,1,0,12:13,1,1,19,0,3,43,1,0,0,9,16,10,22,24,29,19,14,16,42,77,30
44,1,0,12:04,13,1,53,9,2,0,0,0,0,9,16,10,22,24,29,19,14,16,5,53,30
45,1,0,11:47,13,1,19,22,2,0,0,0,0,12,16,10,22,24,29,19,14,16,5,53,30
46,1,0,11:15,13,0,12,2,2,0,0,0,0,12,16,53,4,5,29,12,13,26,2,7,30
47,1, ,10:41,3,10,0,0,0,0,0,0,0,11,54,85,2,6,29,12,13,26,2,7,30
48,1,0,10:41,4,1,54,37,1,0,0,0,0,11,54,85,2,6,29,24,37,18,42,77,30
49,1, ,10:23,3,6,0,0,0,0,0,0,0,11,54,85,2,6,29,24,37,18,42,77,30
50,1,0,10:23,4,1,45,37,2,0,0,0,0,45,37,2,6,7,29,24,37,18,42,77,30
51,1,0,10:01,1,1,77,0,1,115,3,0,0,45,37,2,6,7,29,8,28,5,38,77,30
52,1,0,9:47,7,0,24,0,3,62,1,0,0,45,37,7,22,24,29,8,28,5,38,77,30
53,1, ,9:18,3,0,0,0,0,0,0,0,0,9,16,10,22,24,29,19,14,16,2,7,30
54,1,0,9:18,4,0,9,16,1,0,0,0,0,9,16,10,22,24,29,19,14,16,5,53,30
55,1,0,8:40,7,1,16,0,3,52,1,0,0,12,53,10,22,24,29,19,14,16,5,7,30
56,1,0,8:27,1,1,14,0,1,87,2,0,0,12,53,18,4,6,29,12,14,26,2,7,30
57,1,0,6:16,7,1,38,0,3,19,0,0,0,45,37,2,6,7,29,8,28,5,38,53,30
58,1,0,5:21,13,0,24,19,2,0,0,0,0,9,16,10,22,24,29,19,14,16,2,7,30
59,1,0,5:19,6,1,7,16,2,0,0,0,0,9,16,10,22,24,29,19,14,16,2,7,30
60,1,1,5:19,4,0,12,12,3,0,0,0,0,12,53,18,4,6,29,12,13,2,42,30,0
61,1,-1,4:40,13,0,12,5,2,0,0,0,0,12,16,85,4,6,29,19,13,5,53,30,0
62,1,1,4:34,1,0,85,0,3,15,6,0,0,12,16,85,4,6,29,19,13,5,53,30,0
63,1, ,4:32,3,1,0,0,0,0,0,0,0,9,16,85,4,6,29,19,13,5,53,30,0
64,1,-1,4:32,4,1,9,26,2,0,0,0,0,9,16,85,7,24,29,19,26,5,53,30,0
65,1,1,3:30,1,0,12,0,3,9,6,0,0,12,16,53,4,5,29,24,18,2,42,30,0
66,1,1,3:25,8,0,5,0,3,0,0,0,0,12,16,53,4,5,29,24,18,2,42,30,0
67,1,1,3:20,1,0,12,0,3,23,3,0,0,12,16,53,4,5,29,24,18,2,42,30,0
68,1,0,3:12,13,1,7,5,2,0,0,0,0,12,16,53,4,5,29,24,18,7,53,77,30
69,1, ,3:11,3,4,0,0,0,0,0,0,0,12,16,53,4,5,29,24,18,7,53,77,30
70,1,0,3:11,4,0,54,8,2,0,0,0,0,11,54,18,2,6,29,8,14,16,7,77,30
71,1,0,2:46,5,0,6,16,2,0,0,0,0,11,54,18,2,6,29,8,14,16,7,77,30
72,1,0,2:34,7,1,7,0,3,67,2,0,0,11,54,18,2,6,29,8,14,16,7,77,30
73,1,0,2:33,6,1,16,29,3,0,0,0,0,11,54,18,2,6,29,8,14,16,7,77,30
74,1,1,2:33,4,0,9,12,1,0,0,0,0,9,16,10,4,7,29,12,13,2,7,30,0
75,1, ,2:21,3,8,0,0,0,0,0,0,0,9,16,10,4,7,29,12,13,2,7,30,0
76,1,1,2:21,4,0,9,13,3,0,0,0,0,9,16,10,4,6,29,12,13,2,7,30,0
77,1,1,1:51,1,0,9,0,3,49,2,0,0,9,16,10,4,7,29,12,13,2,7,30,0
78,1,-1,1:49,13,0,10,2,2,0,0,0,0,9,16,10,4,7,29,12,13,2,7,30,0
79,1,1,1:46,1,0,10,0,3,21,1,0,0,9,16,10,4,7,29,12,13,2,7,30,0
80,1,1,1:08,7,0,7,0,3,57,2,0,0,12,53,18,7,24,29,19,26,5,42,30,0
81,1,-1,1:02,8,1,26,0,2,0,0,0,0,12,53,18,7,24,29,19,26,5,42,30,0
82,1,1,1:01,6,0,24,26,0,0,0,0,0,12,53,18,7,24,29,19,26,5,42,30,0
83,1,0,1:01,4,0,11,37,1,0,0,0,0,11,54,4,5,29,0,24,37,53,77,30,0
84,1,0,0:45,1,1,37,0,3,54,1,0,0,11,54,4,5,29,0,24,37,7,53,30,0
85,1, ,0:44,3,1,0,0,0,0,0,0,0,11,54,4,5,29,0,24,37,7,53,30,0
86,1,0,0:44,4,0,53,12,2,0,0,0,0,53,10,4,5,29,0,8,12,13,77,30,0
87,1,0,0:39,5,1,77,5,3,0,0,0,0,53,10,4,5,29,0,8,12,13,77,30,0
88,1,1,0:03,7,1,12,0,3,18,6,0,0,11,54,2,22,29,0,8,12,13,16,77,30
89,1, ,0:00,11,0,0,0,0,0,0,0,0,11,54,2,22,29,0,8,12,13,16,77,30
90,2, ,20:00,10,0,0,0,0,0,0,0,0,11,54,4,5,29,0,8,12,13,26,77,30
91,2,-1,20:00,4,0,11,12,1,0,0,0,0,11,54,4,5,29,0,8,12,13,26,77,30
92,2,-1,19:55,1,0,5,0,2,132,2,0,0,11,54,4,5,29,0,8,12,13,26,77,30
93,2, ,19:19,3,2,0,0,0,0,0,0,0,54,10,4,5,29,0,8,12,13,26,77,30
94,2,1,19:19,4,1,53,12,1,0,0,0,0,53,10,4,22,29,0,12,13,26,5,77,30
95,2,-1,19:05,8,0,22,0,2,0,0,0,0,53,10,4,22,29,0,12,13,26,5,77,30
96,2, ,19:00,3,2,0,0,0,0,0,0,0,53,10,4,22,24,29,12,13,26,5,77,30
97,2,0,19:00,4,1,12,19,1,0,0,0,0,12,53,18,22,24,29,19,14,16,2,7,30
98,2,0,18:54,7,1,7,0,3,60,3,0,0,12,53,18,22,24,29,19,14,16,2,7,30
99,2,0,18:35,9,1,7,0,2,0,0,0,0,12,53,18,22,24,29,19,14,16,2,7,30
100,2,0,18:23,5,1,16,18,1,0,0,0,0,12,10,18,22,24,29,19,14,16,2,7,30
101,2,0,18:06,9,0,6,0,2,0,0,0,0,9,16,10,2,6,29,19,14,26,42,53,30
102,2,0,18:00,1,1,13,0,3,60,3,0,0,9,16,10,2,6,29,12,13,26,42,53,30
103,2,0,17:47,5,1,53,10,1,0,0,0,0,9,16,10,2,6,29,12,13,26,42,53,30
104,2,0,17:40,5,1,26,6,3,0,0,0,0,9,16,10,2,6,29,12,13,26,42,53,30
105,2,0,17:32,1,1,26,0,3,9,0,0,0,9,16,10,2,6,29,12,13,26,42,53,30
106,2,0,17:10,13,1,5,10,2,0,0,0,0,9,16,10,2,6,29,12,24,13,5,38,30
107,2,0,16:57,1,1,24,0,3,53,2,0,0,11,54,85,4,5,29,24,37,18,5,38,30
108,2, ,16:56,3,1,0,0,0,0,0,0,0,11,54,85,4,5,29,24,37,18,5,38,30
109,2,0,16:56,4,0,11,37,2,0,0,0,0,11,54,85,4,5,29,24,37,18,5,38,30
110,2,0,16:46,9,0,85,0,1,0,0,0,0,11,54,85,4,5,29,24,37,18,5,38,30
111,2,0,16:37,5,1,18,4,3,0,0,0,0,11,54,85,4,5,29,24,37,18,5,38,30
112,2,0,16:28,9,1,5,0,2,0,0,0,0,11,54,85,4,5,29,24,37,18,5,38,30
113,2,0,16:19,7,0,5,0,3,60,1,0,0,11,54,85,4,5,29,24,37,18,5,38,30
114,2,0,16:10,6,0,4,18,2,0,0,0,0,11,54,85,4,5,29,24,37,18,53,77,30
115,2,-1,16:10,4,0,53,12,2,0,0,0,0,53,10,2,24,29,0,8,12,13,26,77,30
116,2, ,15:58,3,4,0,0,0,0,0,0,0,53,10,2,24,29,0,8,12,13,26,77,30
117,2,-1,15:58,4,0,53,12,1,0,0,0,0,53,10,2,24,29,0,8,12,13,26,77,30
118,2,1,15:51,5,1,26,24,3,0,0,0,0,53,10,2,24,29,0,8,12,13,26,77,30
119,2,1,15:34,9,1,13,0,3,0,0,0,0,11,54,2,24,29,0,8,12,13,26,77,30
120,2,1,15:24,7,1,8,0,3,52,2,0,0,11,54,2,24,29,0,8,12,13,26,77,30
121,2,1,15:16,9,1,26,0,3,0,0,0,0,11,54,2,24,29,0,8,12,13,26,77,30
122,2,1,14:49,7,1,37,0,3,16,5,0,0,85,18,5,22,29,0,8,12,24,37,14,30
123,2, ,14:48,3,4,0,0,0,0,0,0,0,53,10,5,22,29,0,24,37,14,16,5,30
124,2,1,14:48,4,1,53,37,1,0,0,0,0,53,10,5,22,29,0,24,37,14,16,5,30
125,2,0,14:05,13,1,14,24,2,0,0,0,0,9,16,4,5,24,29,37,14,16,5,7,30
126,2,0,13:56,1,1,7,0,3,60,2,0,0,9,16,4,5,24,29,37,14,16,5,7,30
127,2,0,13:46,8,0,85,0,3,0,0,0,0,9,16,85,2,6,29,37,14,16,5,7,30
128,2,0,13:43,1,0,85,0,3,34,1,0,0,9,16,85,2,6,29,37,14,16,5,7,30
129,2, ,13:42,3,0,0,0,0,0,0,0,0,9,16,85,2,6,29,37,14,16,5,7,30
130,2,0,13:42,4,0,12,12,3,0,0,0,0,12,53,18,4,5,29,12,13,26,2,7,30
131,2, ,13:12,3,5,0,0,0,0,0,0,0,12,53,18,4,5,29,12,13,26,2,7,30
132,2,0,13:12,4,0,9,19,1,0,0,0,0,9,16,10,22,24,29,19,14,16,42,53,30
133,2, ,13:04,3,6,0,0,0,0,0,0,0,9,16,10,22,24,29,19,14,16,42,53,30
134,2,0,13:03,4,0,9,19,2,0,0,0,0,9,16,10,22,24,29,19,14,16,42,53,30
135,2, ,12:49,3,2,0,0,0,0,0,0,0,9,16,10,22,24,29,19,14,16,42,53,30
136,2,0,12:49,4,0,54,37,1,0,0,0,0,11,54,85,2,6,29,24,37,18,5,77,30
137,2,0,12:32,5,1,18,85,1,0,0,0,0,11,54,85,2,6,29,24,37,18,5,77,30
138,2,0,12:24,6,1,77,11,2,0,0,0,0,11,54,85,2,6,29,24,37,18,5,77,30
139,2,1,12:24,4,0,9,12,1,0,0,0,0,9,16,85,4,6,29,12,13,2,7,30,0
140,2,1,12:14,9,0,4,0,3,0,0,0,0,9,16,85,4,6,29,12,13,2,7,30,0
141,2,1,11:52,2,0,85,0,3,11,1,9,4,9,16,85,4,6,29,12,13,2,7,30,0
142,2,0,11:52,4,1,12,12,1,0,0,0,0,12,53,18,4,5,29,12,13,26,2,7,30
143,2,0,11:39,1,0,18,0,3,39,1,0,0,12,53,18,4,5,29,12,13,26,2,7,30
144,2, ,11:29,3,3,0,0,0,0,0,0,0,12,53,18,4,5,29,12,13,26,2,7,30
145,2,0,11:29,4,0,54,37,1,0,0,0,0,11,54,85,2,6,29,24,37,18,5,42,30
146,2,0,11:17,5,0,11,5,3,0,0,0,0,11,54,85,2,6,29,24,37,18,5,42,30
147,2, ,11:08,3,10,0,0,0,0,0,0,0,11,54,85,2,6,29,24,37,18,5,42,30
148,2,0,11:08,4,1,9,19,1,0,0,0,0,9,16,10,22,24,29,19,14,16,5,42,30
149,2,0,10:49,1,0,10,0,3,18,3,0,0,9,16,10,22,24,29,19,14,16,5,42,30
150,2,0,10:44,8,0,16,0,3,0,0,0,0,9,16,10,22,24,29,19,14,16,5,42,30
151,2,0,10:32,13,0,10,42,2,0,0,0,0,9,16,10,22,24,29,19,14,16,5,42,30
152,2, ,10:22,3,6,0,0,0,0,0,0,0,12,53,18,4,5,29,19,14,16,5,42,30
153,2,0,10:22,4,1,12,19,2,0,0,0,0,12,53,18,4,5,29,19,14,16,5,42,30
154,2,0,10:11,2,1,14,0,3,7,0,19,16,12,53,18,4,5,29,19,14,16,2,42,30
155,2,0,10:11,4,0,12,12,1,0,0,0,0,12,53,18,4,5,29,12,13,26,2,7,30
156,2,0,9:43,5,1,26,4,3,0,0,0,0,12,53,18,4,5,29,12,13,26,2,7,30
157,2,0,9:13,8,1,37,0,1,0,0,0,0,11,12,85,22,24,29,24,37,18,53,77,30
158,2,0,8:58,1,1,18,0,3,55,3,0,0,11,54,85,22,24,29,24,37,18,53,77,30
159,2,0,8:55,1,1,24,0,3,48,1,0,0,11,54,85,22,24,29,24,37,18,53,77,30
160,2,0,8:37,9,1,53,0,3,0,0,0,0,11,54,85,22,24,29,24,37,18,53,77,30
161,2,0,8:24,7,1,18,0,3,68,3,0,0,45,37,2,7,24,29,24,37,18,53,77,30
162,2,0,8:19,5,0,7,38,2,0,0,0,0,45,37,2,7,24,29,8,12,28,5,38,30
163,2,0,8:09,13,1,28,24,2,0,0,0,0,45,37,2,7,24,29,8,12,28,5,38,30
164,2,0,7:51,5,1,38,37,2,0,0,0,0,45,37,4,5,7,29,8,12,28,5,38,30
165,2,0,7:00,5,0,9,19,2,0,0,0,0,9,16,10,4,5,29,19,14,16,2,7,30
166,2,0,6:46,1,1,16,0,2,147,3,0,0,9,16,10,5,24,29,19,14,16,2,7,30
167,2,0,6:45,1,0,5,0,3,42,1,0,0,9,16,10,5,24,29,19,14,16,2,7,30
168,2,0,6:37,2,0,16,0,3,31,3,9,0,9,16,10,5,24,29,19,14,16,2,7,30
169,2,0,6:37,4,0,12,12,1,0,0,0,0,12,53,18,22,24,29,12,13,26,2,7,47
170,2, ,6:29,3,0,0,0,0,0,0,0,0,12,53,18,22,24,29,12,13,26,2,7,47
171,2,0,6:29,4,1,12,12,3,0,0,0,0,12,53,18,22,24,29,12,13,26,2,7,47
172,2,0,6:23,7,1,13,0,3,18,6,0,0,12,53,18,22,24,29,12,13,26,2,7,47
173,2,0,5:55,13,1,7,24,2,0,0,0,0,12,53,18,22,24,29,12,13,26,2,7,47
174,2,0,5:43,6,0,12,12,2,0,0,0,0,12,53,18,22,24,29,12,13,26,2,7,47
175,2,-1,5:43,4,0,11,37,2,0,0,0,0,11,54,4,5,29,0,8,37,14,16,77,47
176,2,1,5:32,1,1,8,0,3,58,2,0,0,11,54,4,5,29,0,8,37,14,16,77,47
177,2,1,5:28,8,1,14,0,3,0,0,0,0,11,54,4,5,29,0,8,37,14,16,77,47
178,2,1,5:12,7,1,37,0,3,10,5,0,0,11,54,4,5,29,0,8,37,14,16,77,47
179,2,1,4:54,7,1,37,0,3,34,3,0,0,53,10,4,5,29,0,8,37,14,16,77,47
180,2,1,4:40,7,1,8,0,3,55,2,0,0,53,10,4,5,29,0,8,37,14,16,77,47
181,2,1,4:04,1,1,13,0,3,57,1,0,0,10,18,22,24,29,0,12,24,13,26,5,47
182,2,-1,3:43,5,0,22,13,2,0,0,0,0,9,18,22,24,29,0,12,24,13,26,5,47
183,2,0,3:32,1,1,7,0,3,56,2,0,0,9,12,18,22,24,29,12,13,26,5,7,47
