# 2008/02/17 
# PIT , BUF 
# 4 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,25,71,17,44,58,35,28,12,20,5,10,30
2,1,0,20:00,4,0,71,28,1,0,0,0,0,25,71,17,44,58,35,28,12,20,5,10,30
3,1,0,19:19,5,0,44,20,2,0,0,0,0,25,71,17,44,58,35,55,12,20,6,51,30
4,1,0,19:17,7,1,55,0,3,57,2,0,0,25,71,17,44,58,35,55,12,20,6,51,30
5,1,0,19:09,1,1,55,0,3,7,4,0,0,25,71,17,44,58,35,55,29,20,6,51,30
6,1,0,17:59,1,1,19,0,3,46,1,0,0,11,20,12,4,55,35,9,19,26,4,45,30
7,1,0,17:48,8,1,9,0,3,0,0,0,0,11,20,12,4,55,35,9,19,26,4,45,30
8,1,0,17:37,1,1,9,0,3,45,6,0,0,11,20,12,4,55,35,9,19,26,4,45,30
9,1,0,17:32,1,1,19,0,3,18,5,0,0,11,20,12,4,55,35,9,19,26,4,45,30
10,1,0,17:30,5,0,20,9,2,0,0,0,0,11,20,12,4,55,35,9,19,26,4,45,30
11,1,0,17:28,1,1,4,0,3,56,2,0,0,11,20,12,4,55,35,9,19,26,4,45,30
12,1, ,17:27,3,1,0,0,0,0,0,0,0,11,20,12,4,55,35,9,19,26,4,45,30
13,1,0,17:27,4,1,41,22,3,0,0,0,0,41,27,37,44,58,35,22,37,36,6,51,30
14,1,0,17:09,5,1,36,44,3,0,0,0,0,41,27,37,44,58,35,22,37,36,6,51,30
15,1,0,17:06,7,1,37,0,3,57,2,0,0,41,27,37,44,58,35,22,37,36,6,51,30
16,1,0,16:55,6,0,27,36,2,0,0,0,0,41,27,37,44,58,35,22,37,36,6,51,30
17,1,-1,16:55,4,0,11,9,2,0,0,0,0,11,12,4,55,35,0,9,19,26,6,51,30
18,1,1,16:23,1,1,6,0,3,59,2,0,0,11,12,4,55,35,0,9,19,26,6,51,30
19,1,1,16:01,1,1,26,0,3,26,6,0,0,11,12,4,55,35,0,9,19,26,6,51,30
20,1, ,16:00,3,1,0,0,0,0,0,0,0,11,12,4,55,35,0,9,19,26,6,51,30
