# 2008/02/23 
# ATL , TOR 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,23,9,28,39,32,10,19,18,7,25,35
2,1,0,20:00,4,0,16,19,1,0,0,0,0,16,23,9,28,39,32,10,19,18,7,25,35
3,1,0,19:44,9,1,35,0,2,0,0,0,0,16,23,9,28,39,32,10,19,18,7,25,35
4,1,0,19:26,9,0,32,0,2,0,0,0,0,16,23,9,28,39,32,10,19,23,7,25,35
5,1,0,19:07,5,0,9,7,3,0,0,0,0,12,23,9,2,22,32,10,19,23,7,25,35
6,1,0,18:59,6,0,2,23,2,0,0,0,0,12,8,17,2,22,32,13,80,23,15,31,35
7,1,-1,18:59,4,0,11,13,2,0,0,0,0,11,9,28,39,32,0,13,42,80,15,24,35
8,1,1,17:52,1,1,42,0,3,28,1,0,0,11,9,28,39,32,0,13,42,80,15,24,35
9,1,1,17:51,1,1,80,0,3,11,1,0,0,11,9,28,39,32,0,13,42,80,15,24,35
10,1, ,17:50,3,1,0,0,0,0,0,0,0,11,9,28,39,32,0,13,42,80,15,24,35
11,1,-1,17:50,4,0,16,14,2,0,0,0,0,16,18,5,22,32,0,14,16,55,7,31,35
12,1,1,17:40,1,1,7,0,3,49,2,0,0,16,18,5,22,32,0,14,16,55,7,31,35
13,1,-1,17:33,5,0,16,55,2,0,0,0,0,16,18,5,22,32,0,14,16,55,7,31,35
14,1,-1,17:14,13,1,31,22,2,0,0,0,0,16,18,5,22,32,0,14,16,55,7,31,35
15,1, ,16:38,3,5,0,0,0,0,0,0,0,12,8,17,2,7,32,11,19,18,8,24,35
16,1,0,16:38,4,1,12,19,3,0,0,0,0,12,8,17,2,7,32,11,19,18,8,24,35
17,1,0,16:31,13,1,24,7,2,0,0,0,0,12,8,17,2,7,32,11,19,18,8,24,35
18,1,0,15:36,9,1,15,0,2,0,0,0,0,11,9,13,28,39,32,10,13,80,15,31,35
19,1,0,15:22,7,0,9,0,3,22,1,0,0,11,9,13,28,39,32,10,13,80,15,31,35
20,1,0,15:12,6,1,31,9,2,0,0,0,0,11,9,13,28,39,32,10,13,80,15,31,35
21,1,-1,15:12,4,1,12,14,2,0,0,0,0,12,8,18,17,39,32,14,16,24,25,35,0
22,1,-1,14:12,8,1,10,0,2,0,0,0,0,12,8,18,17,39,32,10,19,8,25,35,0
23,1,-1,13:31,1,1,16,0,3,47,1,0,0,11,16,13,17,39,32,14,16,7,15,35,0
24,1,0,13:01,5,1,25,36,2,0,0,0,0,27,29,36,2,22,32,11,13,80,24,25,35
25,1,0,12:35,7,1,25,0,3,64,2,0,0,27,29,36,2,22,32,11,13,80,7,25,35
26,1,0,12:29,1,1,7,0,3,52,1,0,0,27,29,36,2,22,32,11,13,55,7,25,35
27,1,0,12:26,1,1,13,0,3,13,6,0,0,27,29,36,2,22,32,11,13,55,7,25,35
28,1,0,11:36,5,1,18,16,3,0,0,0,0,16,23,9,5,7,32,19,3,18,15,31,35
29,1,0,11:16,9,1,35,0,2,0,0,0,0,16,9,17,28,39,32,19,3,18,15,31,35
30,1,0,10:56,7,1,15,0,3,54,1,0,0,12,8,17,28,39,32,10,19,80,15,24,35
31,1,0,10:52,5,1,19,12,3,0,0,0,0,12,8,17,28,39,32,10,19,80,15,24,35
32,1,0,10:36,1,1,80,0,3,11,4,0,0,12,8,17,28,39,32,10,19,80,8,24,35
33,1,0,10:35,1,1,80,0,3,11,4,0,0,12,8,17,28,39,32,10,19,80,8,24,35
34,1, ,10:35,3,0,0,0,0,0,0,0,0,12,8,17,28,39,32,10,19,80,8,24,35
35,1,0,10:35,4,1,11,13,3,0,0,0,0,11,18,13,2,22,32,11,13,42,8,24,35
36,1,0,10:31,1,1,8,0,3,56,1,0,0,11,18,13,2,22,32,11,13,42,8,24,35
37,1,0,10:26,6,0,13,8,1,0,0,0,0,11,18,13,2,22,32,11,13,42,8,24,35
38,1,1,10:26,4,1,11,13,1,0,0,0,0,11,18,28,39,32,0,13,42,80,15,24,35
39,1,-1,9:59,13,1,24,11,2,0,0,0,0,11,18,28,39,32,0,13,42,80,15,24,35
40,1,-1,9:34,1,0,2,0,3,50,2,0,0,12,9,2,22,32,0,13,42,80,15,24,35
41,1, ,9:33,3,1,0,0,0,0,0,0,0,12,9,2,22,32,0,13,42,80,15,24,35
42,1,-1,9:33,4,0,12,14,3,0,0,0,0,12,9,2,22,32,0,14,16,55,7,31,35
43,1,1,9:02,6,1,7,22,3,0,0,0,0,12,9,2,22,32,0,14,16,55,7,31,35
44,1,0,9:02,4,1,11,13,2,0,0,0,0,11,8,5,28,32,0,13,80,8,24,35,0
45,1,0,8:53,9,1,8,0,2,0,0,0,0,11,8,5,28,32,0,13,80,8,24,35,0
46,1,0,8:28,9,1,8,0,2,0,0,0,0,11,8,5,28,32,0,13,80,8,24,35,0
