# 2008/03/01 
# N.J , MTL 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,17,22,8,29,30,14,27,46,3,44,31
2,1,0,19:59,4,1,17,14,1,0,0,0,0,16,17,22,8,29,30,14,27,46,3,44,31
3,1,0,19:50,5,0,17,3,1,0,0,0,0,16,17,22,8,27,30,14,27,46,3,44,31
4,1,0,19:35,8,1,27,0,1,0,0,0,0,16,17,22,5,27,30,14,27,46,3,44,31
5,1,0,19:18,5,1,21,15,1,0,0,0,0,18,15,26,5,27,30,11,21,74,3,44,31
6,1, ,18:47,3,6,0,0,0,0,0,0,0,18,15,26,5,27,30,11,21,74,3,44,31
7,1,0,18:47,4,1,11,11,2,0,0,0,0,11,14,20,24,28,30,11,21,74,3,44,31
8,1,0,18:43,1,0,14,0,3,16,6,0,0,11,14,20,24,28,30,11,21,74,3,44,31
9,1, ,18:43,3,1,0,0,0,0,0,0,0,11,14,20,24,28,30,11,21,74,3,44,31
10,1,0,18:43,4,0,11,20,3,0,0,0,0,11,14,20,24,28,30,20,40,84,8,79,31
11,1,0,18:28,9,1,40,0,2,0,0,0,0,11,14,20,24,28,30,20,40,84,8,79,31
12,1,0,18:19,13,0,11,20,2,0,0,0,0,11,14,20,24,28,30,20,40,84,8,79,31
13,1,0,18:14,13,1,20,24,2,0,0,0,0,11,14,20,24,28,30,20,40,84,8,79,31
14,1,0,17:39,9,0,8,0,2,0,0,0,0,19,23,9,8,29,30,14,27,46,26,51,31
15,1,0,17:38,1,1,27,0,3,34,1,0,0,19,23,9,8,29,30,14,27,46,26,51,31
16,1, ,17:38,3,1,0,0,0,0,0,0,0,19,23,9,8,29,30,14,27,46,26,51,31
17,1,0,17:38,4,1,26,11,3,0,0,0,0,18,15,26,5,27,30,11,21,74,26,51,31
18,1,0,17:27,1,1,51,0,3,62,1,0,0,18,15,26,5,27,30,11,21,74,26,51,31
19,1,0,17:19,1,0,15,0,1,75,2,0,0,18,15,26,5,27,30,11,21,74,26,51,31
20,1,0,17:05,7,0,18,0,3,6,1,0,0,18,15,26,27,28,30,11,21,74,26,51,31
21,1,0,17:02,5,0,15,11,2,0,0,0,0,18,15,26,27,28,30,11,21,74,26,51,31
22,1,0,16:18,5,0,23,3,3,0,0,0,0,19,23,9,8,29,30,54,73,3,32,44,31
23,1,0,15:53,8,1,20,0,3,0,0,0,0,16,17,22,8,29,30,20,40,8,32,79,31
24,1,0,15:44,5,1,40,8,3,0,0,0,0,16,17,22,8,29,30,20,40,84,8,79,31
25,1,0,15:42,13,1,84,17,2,0,0,0,0,16,17,22,8,29,30,20,40,84,8,79,31
26,1,0,15:33,9,0,22,0,2,0,0,0,0,16,17,22,8,29,30,20,40,84,8,79,31
27,1, ,15:32,3,1,0,0,0,0,0,0,0,16,17,22,8,29,30,20,40,84,8,79,31
28,1,0,15:32,4,1,11,20,3,0,0,0,0,11,14,20,5,27,30,20,40,84,8,79,31
29,1,0,15:25,5,0,5,8,2,0,0,0,0,11,14,20,5,27,30,20,40,84,8,79,31
30,1,0,15:07,1,0,14,0,3,31,1,0,0,11,14,20,27,28,30,20,40,84,8,79,31
31,1, ,14:38,3,6,0,0,0,0,0,0,0,11,14,20,24,28,30,20,27,84,8,79,31
32,1,0,14:38,4,1,26,20,2,0,0,0,0,18,15,26,5,27,30,20,27,84,8,79,31
33,1,0,14:20,6,0,27,84,2,0,0,0,0,18,15,26,5,27,30,14,27,84,8,51,31
34,1,1,14:20,1,1,84,0,3,20,1,0,0,18,15,26,5,30,0,14,27,84,8,51,31
35,1,-1,14:20,4,0,11,14,2,0,0,0,0,11,20,24,28,30,0,14,27,46,32,79,31
36,1,1,13:50,7,1,32,0,3,57,2,0,0,11,20,24,28,30,0,14,27,46,32,79,31
37,1,1,13:43,7,1,32,0,3,61,2,0,0,11,20,24,28,30,0,14,27,46,32,79,31
38,1,1,13:40,8,1,14,0,3,0,0,0,0,11,20,24,28,30,0,14,27,46,32,79,31
39,1,1,13:20,1,1,79,0,3,57,2,0,0,11,20,24,28,30,0,14,27,46,32,79,31
40,1,-1,13:04,13,1,79,11,2,0,0,0,0,11,20,24,28,30,0,14,27,46,32,79,31
41,1,1,12:49,7,1,11,0,3,20,1,0,0,15,26,5,29,30,0,11,73,21,44,79,31
