# 2008/03/01 
# NSH , DAL 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,10,17,6,20,39,63,10,21,2,3,35
2,1,0,20:00,4,0,11,63,1,0,0,0,0,11,10,17,6,20,39,63,10,21,2,3,35
3,1,0,19:24,9,1,63,0,3,0,0,0,0,11,10,17,6,20,39,63,10,21,2,3,35
4,1,0,19:10,5,0,17,2,3,0,0,0,0,11,10,17,3,4,39,63,10,21,2,3,35
5,1,0,19:05,7,0,10,0,3,40,1,0,0,11,10,17,3,4,39,63,10,21,2,3,35
6,1,0,18:57,5,1,10,3,1,0,0,0,0,12,38,22,3,4,39,9,26,10,2,3,35
7,1, ,18:43,3,2,0,0,0,0,0,0,0,12,38,22,3,4,39,9,29,26,2,6,35
8,1,0,18:43,4,0,12,91,1,0,0,0,0,12,38,22,3,4,39,91,20,15,6,28,35
9,1,0,18:22,8,1,15,0,3,0,0,0,0,19,47,71,3,4,39,91,20,15,6,28,35
10,1,0,18:12,8,0,71,0,3,0,0,0,0,19,47,71,3,4,39,91,20,15,6,28,35
11,1,0,18:07,7,0,19,0,3,43,1,0,0,19,47,71,3,4,39,91,20,15,6,28,35
12,1, ,18:03,3,2,0,0,0,0,0,0,0,19,47,71,3,4,39,91,20,15,28,43,35
13,1,0,18:03,4,0,25,14,1,0,0,0,0,14,25,16,2,7,39,14,13,16,4,43,35
14,1,0,17:38,6,0,7,14,1,0,0,0,0,14,25,16,2,7,39,14,13,16,4,43,35
15,1,1,17:38,4,1,38,63,1,0,0,0,0,12,38,2,20,39,0,9,63,26,10,3,35
16,1,-1,17:23,1,0,12,0,3,52,3,0,0,12,38,2,20,39,0,9,63,26,10,3,35
17,1,1,16:59,9,1,63,0,3,0,0,0,0,12,38,2,20,39,0,9,63,26,10,3,35
18,1, ,16:44,3,2,0,0,0,0,0,0,0,11,25,6,20,39,0,9,63,26,10,3,35
19,1,1,16:44,4,1,25,91,1,0,0,0,0,11,25,2,6,39,0,9,91,20,15,3,35
20,1,1,16:27,1,1,3,0,3,62,2,0,0,11,25,2,6,39,0,9,91,20,15,3,35
21,1, ,16:27,3,1,0,0,0,0,0,0,0,11,25,2,6,39,0,9,91,20,15,3,35
22,1,-1,16:27,4,0,38,91,2,0,0,0,0,12,38,2,20,39,0,9,91,20,15,3,35
23,1,1,16:09,8,1,3,0,3,0,0,0,0,12,38,2,20,39,0,9,91,20,15,3,35
24,1,-1,15:53,13,1,20,20,2,0,0,0,0,12,38,2,20,39,0,9,91,20,15,3,35
25,1,0,15:34,8,0,19,0,2,0,0,0,0,19,71,4,6,7,39,29,91,26,6,43,35
26,1,0,15:27,8,1,6,0,2,0,0,0,0,19,71,4,6,7,39,14,29,26,6,43,35
27,1,0,14:58,9,1,4,0,2,0,0,0,0,19,47,71,3,7,39,14,29,26,4,43,35
28,1,0,14:28,5,0,16,28,3,0,0,0,0,14,25,16,3,7,39,14,10,21,6,28,35
