# 2008/03/16 
# ATL , FLA 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,16,27,17,3,22,1,9,16,10,3,4,29
2,1,0,20:00,4,1,16,9,1,0,0,0,0,16,27,17,3,22,1,9,16,10,3,4,29
3,1,0,19:46,1,0,27,0,3,18,6,0,0,16,27,17,3,22,1,9,16,10,3,4,29
4,1, ,19:44,3,0,0,0,0,0,0,0,0,16,27,17,3,22,1,9,16,10,3,4,29
5,1,0,19:44,4,1,16,9,2,0,0,0,0,16,27,17,28,39,1,9,16,10,3,4,29
6,1,0,19:24,5,1,4,27,2,0,0,0,0,16,27,17,28,39,1,9,16,10,3,4,29
7,1, ,19:19,3,2,0,0,0,0,0,0,0,16,27,17,28,39,1,9,16,10,3,4,29
8,1,0,19:19,4,1,10,12,1,0,0,0,0,10,8,13,3,22,1,12,53,85,6,22,29
9,1, ,19:01,3,6,0,0,0,0,0,0,0,10,8,13,3,22,1,12,53,85,6,22,29
10,1,0,19:01,4,1,10,53,3,0,0,0,0,10,8,13,3,22,1,12,53,85,6,22,29
11,1,0,18:58,7,1,85,0,3,31,2,0,0,10,8,13,3,22,1,12,53,85,6,22,29
12,1, ,18:57,3,4,0,0,0,0,0,0,0,10,8,13,3,22,1,12,53,85,6,22,29
13,1,0,18:57,4,0,9,53,2,0,0,0,0,9,11,19,3,22,1,12,53,85,6,22,29
14,1,0,18:21,5,1,54,9,2,0,0,0,0,9,11,19,2,5,1,54,14,18,6,22,29
15,1,0,18:10,1,0,9,0,3,27,2,0,0,9,11,19,2,5,1,54,14,18,6,22,29
16,1,0,17:57,7,1,54,0,3,31,2,0,0,9,29,36,2,5,1,54,14,18,6,22,29
17,1,0,17:53,2,1,14,0,3,26,2,18,54,9,29,36,2,5,1,54,14,18,2,21,29
18,1,0,17:53,4,0,23,11,1,0,0,0,0,23,29,36,28,39,1,11,85,33,2,21,29
19,1,0,17:50,6,1,33,36,0,0,0,0,0,23,29,36,28,39,1,11,85,33,2,21,29
20,1,1,17:50,6,0,36,33,1,0,0,0,0,23,29,36,28,39,1,11,85,2,21,29,0
21,1,0,17:50,4,0,16,9,1,0,0,0,0,16,27,17,28,39,1,9,16,10,3,4,29
22,1,0,17:39,5,0,27,3,3,0,0,0,0,16,27,17,28,39,1,9,16,10,3,4,29
23,1,0,17:10,6,1,3,16,2,0,0,0,0,16,8,27,17,28,39,9,16,10,3,4,29
24,1,1,17:10,4,0,9,53,1,0,0,0,0,9,10,8,17,39,1,53,85,4,22,29,0
25,1,-1,16:15,13,0,17,6,2,0,0,0,0,9,10,8,17,39,1,11,14,2,6,29,0
26,1,1,16:05,7,0,17,0,3,42,2,0,0,9,10,8,17,39,1,11,14,2,6,29,0
27,1,1,15:35,7,0,17,0,3,51,2,0,0,16,19,13,17,39,1,54,18,4,22,29,0
