# 2008/03/21 
# NYR , PHI 
# 3 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,68,16,3,8,40,17,9,22,21,26,43
2,1,0,20:00,4,0,17,17,1,0,0,0,0,17,68,16,3,8,40,17,9,22,21,26,43
3,1, ,19:41,3,6,0,0,0,0,0,0,0,17,68,16,3,8,40,17,9,22,21,26,43
4,1,0,19:41,4,0,17,17,2,0,0,0,0,17,68,16,3,8,40,17,9,22,21,26,43
5,1,0,19:35,13,1,21,17,2,0,0,0,0,17,68,16,3,8,40,17,9,22,21,26,43
6,1, ,19:34,3,4,0,0,0,0,0,0,0,17,68,16,3,8,40,17,9,22,21,26,43
7,1,0,19:34,4,0,17,17,2,0,0,0,0,17,68,16,3,8,40,17,9,22,21,26,43
8,1,0,18:53,5,0,10,18,2,0,0,0,0,19,10,14,5,51,40,18,15,25,5,44,43
9,1,0,18:14,1,0,14,0,3,26,3,0,0,19,10,14,18,55,40,18,15,25,5,21,43
10,1, ,17:34,3,8,0,0,0,0,0,0,0,23,82,24,5,51,40,40,48,19,28,77,43
11,1,0,17:34,4,1,23,48,2,0,0,0,0,23,82,24,5,51,40,40,48,19,26,28,43
12,1,0,17:14,9,1,28,0,2,0,0,0,0,23,82,24,5,51,40,40,48,19,26,28,43
13,1,0,17:06,5,0,5,40,3,0,0,0,0,23,82,24,5,51,40,40,48,19,26,28,43
14,1,0,16:08,1,1,44,0,1,91,1,0,0,17,68,16,18,55,40,34,9,32,5,44,43
15,1,0,15:54,1,0,14,0,3,44,2,0,0,17,14,16,18,55,40,17,22,25,5,21,43
16,1, ,15:53,3,1,0,0,0,0,0,0,0,17,14,16,3,8,40,17,22,25,5,21,43
17,1,0,15:53,4,0,19,18,3,0,0,0,0,19,10,14,3,8,40,18,15,25,26,77,43
18,1,0,15:40,1,1,15,0,3,14,1,0,0,19,10,14,3,8,40,18,15,25,26,77,43
19,1, ,15:39,3,1,0,0,0,0,0,0,0,19,10,14,3,8,40,18,15,25,26,77,43
20,1,0,15:39,4,0,19,18,2,0,0,0,0,19,10,14,3,8,40,18,15,25,26,28,43
21,1,0,15:28,13,0,8,18,2,0,0,0,0,19,10,14,3,8,40,18,15,25,26,28,43
