# 2008/10/18 
# N.J , WSH 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,15,9,7,24,30,21,92,28,26,52,1
2,1,0,20:00,4,1,19,92,1,0,0,0,0,19,15,9,7,24,30,21,92,28,26,52,1
3,1,0,19:45,9,0,30,0,2,0,0,0,0,19,15,9,7,24,30,21,92,28,26,52,1
4,1,0,19:42,5,0,24,92,2,0,0,0,0,19,15,9,7,24,30,21,92,28,26,52,1
5,1, ,19:22,3,10,0,0,0,0,0,0,0,11,19,9,5,27,30,21,92,28,26,52,1
6,1,0,19:22,4,1,11,19,1,0,0,0,0,11,14,20,7,24,30,19,17,8,4,55,1
7,1,0,19:05,13,1,19,24,2,0,0,0,0,11,14,20,7,24,30,19,17,8,4,55,1
8,1,0,18:58,5,1,8,20,3,0,0,0,0,11,14,20,7,24,30,19,17,8,4,55,1
9,1,0,18:43,1,0,14,0,3,52,3,0,0,11,14,20,7,24,30,19,17,8,4,55,1
10,1, ,18:43,3,1,0,0,0,0,0,0,0,11,14,20,7,24,30,19,17,8,4,55,1
11,1,0,18:43,4,0,8,14,3,0,0,0,0,8,22,26,5,27,30,15,91,14,16,23,1
12,1,0,18:37,7,0,5,0,3,57,1,0,0,8,22,26,5,27,30,15,91,14,16,23,1
13,1,0,18:05,9,1,16,0,2,0,0,0,0,8,22,26,5,27,30,15,91,14,16,23,1
14,1,0,17:54,1,1,91,0,3,56,2,0,0,16,17,23,5,27,30,39,91,10,14,23,1
15,1,0,17:52,5,1,91,5,3,0,0,0,0,16,17,23,5,27,30,39,91,10,14,23,1
16,1,0,17:49,13,1,91,27,2,0,0,0,0,16,17,23,5,27,30,39,91,10,56,55,1
17,1,0,17:38,5,0,17,39,2,0,0,0,0,16,17,23,5,27,30,39,10,56,4,55,1
18,1,0,17:10,5,1,56,6,2,0,0,0,0,16,17,23,6,29,30,39,10,56,4,55,1
19,1,0,17:02,7,0,6,0,3,55,1,0,0,16,17,23,6,29,30,39,10,56,4,55,1
20,1,0,16:57,1,0,17,0,3,56,2,0,0,16,17,23,6,29,30,39,10,56,4,55,1
21,1,0,16:57,9,1,39,0,2,0,0,0,0,16,17,23,6,29,30,39,10,56,4,55,1
22,1,0,16:51,5,0,17,56,3,0,0,0,0,16,17,23,6,29,30,39,10,56,4,55,1
23,1,0,16:20,7,1,19,0,3,39,1,0,0,19,15,9,5,27,30,19,17,8,26,52,1
24,1,0,16:14,9,1,19,0,3,0,0,0,0,19,15,9,5,27,30,19,17,8,26,52,1
25,1,0,16:02,9,1,52,0,2,0,0,0,0,19,15,9,7,24,30,19,17,8,26,52,1
26,1,0,16:02,7,0,9,0,3,12,5,0,0,19,15,9,7,24,30,19,17,8,26,52,1
27,1,0,15:56,1,0,24,0,3,60,2,0,0,19,15,9,7,24,30,19,17,8,26,52,1
28,1, ,15:52,3,6,0,0,0,0,0,0,0,19,15,9,7,24,30,19,17,8,26,52,1
29,1,0,15:52,4,1,11,17,2,0,0,0,0,11,14,20,7,24,30,19,17,8,26,52,1
30,1,0,15:36,1,0,20,0,3,44,1,0,0,11,14,20,7,24,30,19,17,8,26,52,1
31,1,0,15:27,9,1,52,0,1,0,0,0,0,11,14,20,7,24,30,92,8,28,26,52,1
32,1,0,15:23,1,0,11,0,3,52,1,0,0,11,14,20,7,24,30,92,8,28,26,52,1
33,1,0,15:20,9,1,92,0,2,0,0,0,0,11,14,20,5,7,30,92,8,28,26,52,1
34,1,0,15:12,7,0,14,0,3,42,1,0,0,11,14,20,5,27,30,92,8,28,26,52,1
35,1,0,14:56,2,1,28,0,3,24,3,91,26,8,22,26,5,27,30,21,91,92,28,52,1
36,1,0,14:56,4,1,8,92,1,0,0,0,0,8,22,26,6,29,30,21,91,92,28,23,1
37,1,0,14:13,9,0,30,0,2,0,0,0,0,8,22,26,6,29,30,21,91,92,28,23,1
38,1,0,14:06,13,0,22,4,2,0,0,0,0,8,22,26,6,29,30,21,92,28,4,23,1
39,1,0,14:05,1,1,28,0,3,57,1,0,0,8,22,26,6,29,30,21,92,28,4,23,1
40,1, ,14:04,3,4,0,0,0,0,0,0,0,16,17,23,7,24,30,15,21,28,4,23,1
41,1,0,14:04,4,0,16,15,3,0,0,0,0,16,17,23,7,24,30,15,14,16,4,55,1
42,1,0,13:56,13,0,24,16,2,0,0,0,0,16,17,23,7,24,30,15,14,16,4,55,1
43,1,0,13:55,9,1,16,0,2,0,0,0,0,16,17,23,7,24,30,15,14,16,4,55,1
44,1,0,13:52,1,0,24,0,3,45,1,0,0,16,17,23,7,24,30,15,14,16,4,55,1
45,1,0,13:34,5,0,7,16,2,0,0,0,0,16,17,23,7,24,30,15,14,16,4,55,1
46,1,0,13:13,1,0,23,0,3,31,1,0,0,16,23,20,5,27,30,15,14,16,4,55,1
47,1,0,12:59,1,0,14,0,3,51,2,0,0,11,14,20,5,27,30,19,17,8,4,55,1
48,1,0,12:48,7,1,17,0,3,42,1,0,0,11,14,20,5,27,30,19,91,17,8,23,1
49,1,0,12:40,9,0,5,0,2,0,0,0,0,11,14,20,5,27,30,19,91,17,8,23,1
50,1,0,12:32,5,0,5,8,2,0,0,0,0,11,14,20,5,27,30,19,91,17,8,23,1
51,1,0,12:19,13,1,8,24,2,0,0,0,0,11,14,9,7,24,30,19,91,10,8,23,1
52,1,0,11:42,9,0,29,0,2,0,0,0,0,19,15,9,6,29,30,39,10,56,26,52,1
53,1,0,11:34,5,0,6,10,2,0,0,0,0,19,15,9,6,29,30,39,10,56,26,52,1
54,1,0,10:38,5,0,8,55,3,0,0,0,0,8,11,14,7,24,30,19,21,28,4,55,1
55,1, ,10:30,3,0,0,0,0,0,0,0,0,8,11,14,7,24,30,19,21,28,26,52,1
56,1,0,10:30,4,1,11,39,1,0,0,0,0,11,23,20,7,24,30,39,14,16,26,52,1
57,1, ,10:24,3,2,0,0,0,0,0,0,0,16,17,23,6,7,30,39,14,16,26,52,1
58,1,0,10:24,4,0,16,19,1,0,0,0,0,16,17,23,6,7,30,19,17,8,26,52,1
59,1,0,10:04,5,1,17,7,3,0,0,0,0,11,14,20,7,24,30,19,17,8,26,52,1
60,1,0,8:41,9,0,6,0,1,0,0,0,0,16,17,23,6,29,30,15,91,10,14,23,1
61,1,0,8:31,5,0,29,10,2,0,0,0,0,16,15,9,6,29,30,39,10,14,26,52,1
62,1,0,8:23,9,1,14,0,3,0,0,0,0,16,15,9,6,29,30,39,10,14,26,52,1
63,1,0,8:17,7,1,14,0,3,38,1,0,0,16,15,9,6,29,30,39,10,14,26,52,1
64,1,0,7:57,7,1,39,0,3,23,5,0,0,16,15,9,6,29,30,39,10,56,26,52,1
65,1,0,7:55,5,0,16,56,2,0,0,0,0,16,15,9,6,29,30,39,10,56,26,52,1
66,1,0,7:37,1,0,19,0,3,50,2,0,0,19,15,9,5,27,30,39,10,56,26,52,1
67,1,0,7:27,1,0,9,0,3,42,3,0,0,19,22,9,5,27,30,21,92,28,4,55,1
68,1, ,7:26,3,0,0,0,0,0,0,0,0,19,22,9,5,27,30,21,92,28,4,55,1
69,1,0,7:26,4,1,8,92,2,0,0,0,0,8,22,26,5,29,30,21,92,28,4,55,1
