# 2008/11/16 
# MTL , STL 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,27,13,26,79,31,18,25,42,4,46,34
2,1,0,20:00,4,1,11,18,1,0,0,0,0,11,27,13,26,79,31,18,25,42,4,46,34
3,1,0,19:25,9,0,79,0,2,0,0,0,0,11,27,13,26,79,31,18,25,42,4,46,34
4,1,0,19:23,1,1,18,0,3,8,1,0,0,11,27,13,26,79,31,18,25,42,4,46,34
5,1,0,19:22,6,0,79,42,2,0,0,0,0,11,27,13,26,79,31,18,25,42,4,46,34
6,1,-1,19:22,4,0,20,22,2,0,0,0,0,20,6,3,44,31,0,7,10,12,22,4,34
7,1, ,19:07,3,4,0,0,0,0,0,0,0,20,6,3,44,31,0,7,10,12,22,4,34
8,1,1,19:07,4,1,20,10,1,0,0,0,0,20,6,3,44,31,0,7,10,12,22,4,34
9,1,1,18:53,7,1,10,0,3,12,5,0,0,20,6,3,44,31,0,7,10,12,22,4,34
10,1,1,18:28,6,1,22,21,3,0,0,0,0,20,21,3,44,31,0,7,10,12,22,4,34
11,1,0,18:28,4,0,46,21,3,0,0,0,0,14,46,26,51,31,0,21,57,5,29,34,0
12,1, ,17:17,3,2,0,0,0,0,0,0,0,11,27,13,71,79,31,18,42,46,77,34,0
13,1,-1,17:17,4,1,11,18,1,0,0,0,0,11,27,13,71,79,31,18,42,4,5,34,0
14,1,1,16:41,7,0,79,0,3,55,2,0,0,11,27,13,71,79,31,18,42,4,5,34,0
15,1,1,16:29,7,0,71,0,3,45,2,0,0,11,27,13,71,79,31,18,42,4,5,34,0
16,1,0,16:23,9,0,31,0,2,0,0,0,0,11,27,13,71,79,31,21,22,57,43,77,34
17,1,0,16:20,7,1,22,0,3,71,2,0,0,11,27,13,44,71,31,21,22,57,43,77,34
18,1,0,16:17,13,1,57,44,2,0,0,0,0,27,13,22,44,71,31,21,12,57,43,77,34
19,1, ,16:16,3,4,0,0,0,0,0,0,0,27,13,22,44,71,31,21,12,57,43,77,34
20,1,0,16:16,4,1,22,65,3,0,0,0,0,25,84,22,3,44,31,65,55,41,43,77,34
21,1,0,16:12,2,1,41,0,3,10,0,55,65,25,84,22,3,44,31,65,55,41,43,77,34
22,1,0,16:12,4,0,20,21,1,0,0,0,0,20,46,74,3,44,31,21,12,57,4,46,34
23,1,0,15:48,6,0,20,21,3,0,0,0,0,20,46,74,3,44,31,21,12,57,5,29,34
24,1,-1,15:48,4,0,14,10,2,0,0,0,0,14,21,26,79,31,0,7,10,12,22,4,34
25,1,1,15:19,1,1,4,0,3,49,1,0,0,14,21,26,79,31,0,7,10,12,22,4,34
26,1, ,15:18,3,1,0,0,0,0,0,0,0,14,21,26,79,31,0,7,10,12,22,4,34
27,1,1,15:18,4,1,11,10,3,0,0,0,0,11,27,44,51,31,0,7,10,12,22,4,34
28,1,1,15:13,1,1,12,0,3,52,1,0,0,11,27,44,51,31,0,7,10,12,22,4,34
29,1, ,14:11,3,10,0,0,0,0,0,0,0,6,25,26,79,31,0,21,42,57,29,46,34
30,1,-1,14:11,4,0,6,21,1,0,0,0,0,6,25,26,79,31,0,21,42,57,29,46,34
31,1,1,13:48,1,1,46,0,3,60,2,0,0,6,25,26,79,31,0,21,42,57,29,46,34
32,1,0,13:35,5,0,20,29,3,0,0,0,0,20,6,25,3,44,31,21,42,57,29,46,34
33,1,0,13:31,13,0,25,42,2,0,0,0,0,20,6,25,3,44,31,21,42,57,29,46,34
34,1,0,12:37,9,0,11,0,3,0,0,0,0,11,46,74,51,71,31,7,10,22,5,77,34
35,1,0,12:26,5,0,51,10,2,0,0,0,0,11,13,74,51,71,31,7,10,22,4,46,34
36,1,0,12:21,5,1,10,11,3,0,0,0,0,11,27,13,51,71,31,7,10,22,4,46,34
37,1,0,12:16,1,0,27,0,3,35,1,0,0,11,27,13,51,71,31,7,10,22,4,46,34
38,1,0,11:58,8,1,4,0,2,0,0,0,0,11,27,13,26,79,31,65,55,41,4,46,34
39,1,0,11:52,1,1,65,0,3,39,1,0,0,11,27,13,26,79,31,65,55,41,43,77,34
40,1,0,11:50,5,1,55,13,3,0,0,0,0,11,27,13,26,79,31,65,55,41,43,77,34
41,1,0,11:37,5,0,22,43,3,0,0,0,0,25,84,22,26,79,31,65,55,41,43,77,34
42,1,0,11:36,8,0,22,0,3,0,0,0,0,25,84,22,26,79,31,65,55,41,43,77,34
43,1,0,11:13,5,0,22,55,3,0,0,0,0,25,84,22,26,79,31,65,55,41,43,77,34
44,1,0,11:10,7,0,79,0,3,58,2,0,0,25,84,22,26,79,31,21,12,57,43,77,34
45,1,0,10:37,5,0,3,29,2,0,0,0,0,6,84,22,3,79,31,21,12,57,5,29,34
46,1,0,9:17,5,1,5,46,2,0,0,0,0,20,46,74,51,71,31,21,12,57,5,29,34
47,1,0,9:12,5,0,46,5,3,0,0,0,0,20,46,74,51,71,31,21,12,57,5,29,34
48,1,0,9:03,1,1,21,0,3,47,1,0,0,20,46,74,51,71,31,21,12,57,5,29,34
49,1, ,9:02,3,0,0,0,0,0,0,0,0,20,46,74,51,71,31,21,12,57,5,29,34
50,1,0,9:02,4,1,11,18,3,0,0,0,0,11,27,13,26,79,31,18,25,42,4,46,34
51,1,0,8:59,6,1,42,79,3,0,0,0,0,11,27,13,26,79,31,18,25,42,4,46,34
52,1,1,8:59,4,0,11,18,3,0,0,0,0,11,20,27,13,79,31,18,25,4,5,34,0
53,1,1,8:14,1,0,11,0,3,12,5,0,0,11,20,27,13,79,31,10,18,4,5,34,0
54,1,-1,8:13,13,0,11,4,2,0,0,0,0,11,20,27,13,79,31,10,18,4,5,34,0
55,1, ,7:44,3,8,0,0,0,0,0,0,0,11,20,27,13,79,31,65,12,46,77,34,0
56,1,-1,7:44,4,1,14,18,2,0,0,0,0,14,21,46,74,71,31,18,25,4,5,34,0
57,1,1,7:22,1,0,46,0,3,13,6,0,0,14,21,46,74,71,31,18,25,4,5,34,0
58,1, ,7:21,3,4,0,0,0,0,0,0,0,14,21,46,74,71,31,18,25,4,5,34,0
59,1,1,7:21,4,0,14,18,3,0,0,0,0,14,21,46,74,71,31,18,25,4,5,34,0
60,1,0,6:51,1,1,42,0,3,29,1,0,0,14,21,46,74,71,31,10,25,42,43,77,34
61,1,0,6:45,13,1,10,14,2,0,0,0,0,14,21,46,74,71,31,10,25,42,43,77,34
62,1,0,6:37,1,1,7,0,3,40,2,0,0,25,84,22,26,51,31,7,10,42,43,77,34
63,1,0,6:33,5,1,7,51,3,0,0,0,0,25,84,22,26,51,31,7,10,22,43,77,34
64,1,0,6:12,5,0,22,77,3,0,0,0,0,25,84,22,26,51,31,65,22,41,43,77,34
65,1,0,6:04,1,0,22,0,3,49,1,0,0,25,84,22,26,51,31,65,55,41,43,77,34
66,1,0,5:52,7,1,55,0,3,31,1,0,0,25,84,22,26,51,31,65,12,55,5,29,34
67,1,0,5:51,5,0,51,55,2,0,0,0,0,25,84,22,26,51,31,65,12,55,5,29,34
68,1,0,5:18,1,1,21,0,3,39,1,0,0,11,27,13,3,44,31,21,12,57,29,46,34
69,1,0,4:51,13,0,14,4,2,0,0,0,0,14,6,21,26,79,31,18,25,42,4,46,34
70,1,0,4:39,8,1,18,0,2,0,0,0,0,14,6,21,26,79,31,18,25,42,4,46,34
71,1,0,4:33,7,1,18,0,3,42,1,0,0,14,6,21,26,79,31,7,18,42,5,46,34
72,1, ,4:32,3,0,0,0,0,0,0,0,0,14,6,21,26,79,31,7,18,42,5,46,34
73,1,0,4:32,4,0,14,22,2,0,0,0,0,14,6,21,26,79,31,7,10,22,5,29,34
74,1,0,4:26,7,1,22,0,3,27,1,0,0,14,6,21,26,79,31,7,10,22,5,29,34
75,1,0,4:13,1,0,21,0,3,11,6,0,0,14,6,21,26,79,31,7,10,22,5,29,34
76,1, ,4:11,3,1,0,0,0,0,0,0,0,14,6,21,26,79,31,7,10,22,5,29,34
77,1,0,4:11,6,1,10,6,2,0,0,0,0,14,6,21,26,79,31,7,10,22,5,29,34
78,1,1,4:11,4,0,20,18,3,0,0,0,0,11,20,27,13,79,31,18,42,4,5,34,0
79,1,-1,3:45,5,1,42,27,2,0,0,0,0,11,20,27,13,79,31,18,42,4,5,34,0
80,1,1,3:22,6,0,27,5,3,0,0,0,0,11,20,27,13,79,31,18,42,4,5,34,0
81,1,0,3:22,4,0,14,21,2,0,0,0,0,14,46,26,51,31,0,21,57,29,46,34,0
82,1,0,2:50,1,0,14,0,3,11,1,0,0,14,46,26,51,31,0,21,57,29,46,34,0
83,1,0,2:38,13,1,57,51,2,0,0,0,0,46,74,26,51,31,0,25,57,4,77,34,0
84,1,0,2:32,5,1,57,74,2,0,0,0,0,6,74,3,44,31,0,25,57,4,77,34,0
85,1,-1,2:01,5,0,74,7,2,0,0,0,0,6,74,3,44,31,0,7,10,12,22,4,34
86,1, ,1:34,3,0,0,0,0,0,0,0,0,25,22,3,44,31,0,7,10,12,22,4,34
87,1,1,1:34,4,1,11,18,1,0,0,0,0,11,13,26,51,31,0,18,25,42,5,77,34
88,1,0,1:08,5,1,42,27,2,0,0,0,0,11,27,13,26,51,31,18,25,42,5,77,34
89,1,0,1:07,7,0,11,0,3,24,5,0,0,11,27,13,26,51,31,18,25,42,5,77,34
90,1,0,0:40,5,1,55,3,1,0,0,0,0,14,27,13,3,51,31,65,55,41,4,46,34
91,1,0,0:05,13,1,4,21,2,0,0,0,0,14,84,21,3,44,31,65,55,41,4,46,34
92,1,0,0:02,5,1,41,84,3,0,0,0,0,14,84,21,3,44,31,65,55,41,4,46,34
93,1, ,0:00,11,0,0,0,0,0,0,0,0,14,84,21,3,44,31,65,55,41,4,46,34
94,2, ,20:00,10,0,0,0,0,0,0,0,0,14,6,21,26,79,31,7,65,22,5,29,34
95,2,0,20:00,4,1,14,65,1,0,0,0,0,14,6,21,26,79,31,7,65,22,5,29,34
96,2,0,19:47,5,1,29,6,2,0,0,0,0,14,6,21,26,79,31,7,65,22,5,29,34
97,2,0,18:44,1,0,44,0,3,49,1,0,0,11,27,13,3,44,31,18,25,42,4,46,34
98,2,0,18:38,6,1,42,13,3,0,0,0,0,11,14,27,13,3,44,18,25,42,4,46,34
99,2,1,18:38,4,0,11,65,3,0,0,0,0,11,27,13,71,79,31,65,12,4,5,34,0
100,2, ,18:15,3,2,0,0,0,0,0,0,0,11,27,13,71,79,31,25,12,4,5,34,0
101,2,-1,18:15,4,1,11,18,1,0,0,0,0,11,27,13,71,79,31,18,25,4,5,34,0
102,2,1,17:47,6,0,13,5,3,0,0,0,0,11,27,13,71,79,31,18,25,5,77,34,0
103,2,0,17:47,4,0,20,21,2,0,0,0,0,20,74,26,51,31,0,21,57,5,29,34,0
104,2,0,16:58,1,1,57,0,3,39,1,0,0,20,74,3,44,31,0,21,57,5,29,34,0
105,2, ,16:57,3,1,0,0,0,0,0,0,0,20,74,3,44,31,0,21,57,5,29,34,0
106,2,0,16:57,4,1,14,65,3,0,0,0,0,14,21,3,44,31,0,65,41,4,46,34,0
107,2,0,16:41,13,1,46,14,2,0,0,0,0,14,21,3,44,31,0,65,41,4,46,34,0
108,2,1,16:29,5,1,42,21,1,0,0,0,0,14,21,3,44,31,0,65,42,41,4,46,34
109,2,0,14:52,1,0,20,0,3,42,1,0,0,20,84,46,71,79,31,18,25,42,43,77,34
110,2,0,14:42,5,1,25,71,2,0,0,0,0,20,84,46,71,79,31,18,25,42,43,77,34
111,2,0,14:40,5,0,84,43,3,0,0,0,0,20,84,46,71,79,31,18,25,42,43,77,34
