# 2008/11/28 
# COL , DET 
# 3 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,14,33,8,22,31,26,51,11,3,22,30
2,1,0,20:00,4,CBJ,19,51,1,0,0,0,0,19,14,33,8,22,31,26,51,11,3,22,30
3,1,0,19:43,13,1,51,22,3,0,0,0,0,19,14,33,8,22,31,26,51,11,3,22,30
4,1,0,19:23,1,CBJ,33,0,3,12,4,0,0,19,14,33,5,10,31,26,51,11,3,22,30
5,1,0,18:54,13,1,93,20,2,0,0,0,0,16,20,61,5,10,31,93,37,40,5,28,30
6,1,0,18:45,5,1,93,20,3,0,0,0,0,16,20,61,5,10,31,93,37,40,5,28,30
7,1, ,18:43,3,2,0,0,0,0,0,0,0,18,93,25,8,22,31,93,37,40,5,28,30
8,1,0,18:43,4,CBJ,18,13,1,0,0,0,0,18,93,25,8,22,31,13,81,82,23,55,30
9,1,0,18:10,5,CBJ,93,82,2,0,0,0,0,18,93,25,8,22,31,13,81,82,23,55,30
10,1,0,17:56,5,CBJ,22,82,2,0,0,0,0,17,27,40,10,22,31,13,26,81,82,22,55
11,1,0,17:56,6,CBJ,22,82,3,0,0,0,0,17,27,40,10,22,31,13,26,81,82,22,55
12,1,1,17:56,4,1,19,40,3,0,0,0,0,19,61,3,51,31,0,26,93,37,40,55,30
13,1,1,17:46,1,1,55,0,3,53,2,0,0,19,61,3,51,31,0,26,93,37,40,55,30
14,1,1,17:32,5,1,26,3,3,0,0,0,0,19,61,3,51,31,0,26,93,37,40,55,30
15,1,-1,16:38,8,CBJ,61,0,2,0,0,0,0,19,61,3,51,31,0,13,11,81,5,28,30
16,1,1,16:12,7,1,26,0,3,38,2,0,0,27,61,3,51,31,0,26,93,40,23,55,30
17,1,1,16:03,1,1,23,0,3,47,2,0,0,27,25,3,51,31,0,93,37,40,23,55,30
18,1,0,15:29,5,1,93,5,3,0,0,0,0,18,14,33,5,8,31,93,18,40,3,22,30
19,1,0,15:19,5,1,33,18,3,0,0,0,0,18,14,33,5,8,31,33,93,18,3,22,30
20,1, ,15:15,3,2,0,0,0,0,0,0,0,18,14,33,5,8,31,33,18,3,14,22,30
21,1,0,15:15,4,1,16,13,1,0,0,0,0,16,20,61,10,22,31,13,81,82,5,28,30
22,1,0,14:46,13,1,5,22,2,0,0,0,0,16,20,61,10,22,31,13,81,82,5,28,30
23,1,0,14:45,6,1,82,31,3,0,0,0,0,16,20,61,10,22,31,13,81,82,5,28,30
24,1,1,14:45,4,CBJ,18,33,3,0,0,0,0,18,93,25,5,10,31,33,51,3,5,30,0
25,1,-1,14:04,13,CBJ,5,18,2,0,0,0,0,18,93,25,5,10,31,18,40,3,5,30,0
