# 2008/11/28 
# MTL , WSH 
# 0 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,40,25,22,3,44,41,15,56,87,43,89,60
2,1,0,20:00,4,0,40,15,1,0,0,0,0,40,25,22,3,44,41,15,56,87,43,89,60
3,1, ,19:51,3,1,0,0,0,0,0,0,0,40,25,22,3,44,41,15,56,87,43,89,60
4,1,0,19:51,4,0,40,15,3,0,0,0,0,40,25,22,3,44,41,15,56,87,43,89,60
5,1,0,19:33,9,1,56,0,2,0,0,0,0,40,25,22,3,44,41,15,56,87,43,89,60
6,1,0,19:21,5,1,56,3,3,0,0,0,0,40,25,22,3,44,41,15,56,87,26,42,60
7,1,0,19:19,9,0,44,0,2,0,0,0,0,40,25,22,3,44,41,15,56,87,26,42,60
8,1,0,19:18,1,1,87,0,3,28,1,0,0,40,25,22,3,44,41,15,56,87,26,42,60
9,1, ,19:18,3,1,0,0,0,0,0,0,0,40,25,22,3,44,41,19,25,8,26,42,60
10,1,0,19:18,4,1,11,19,3,0,0,0,0,11,6,21,26,79,41,19,25,8,26,42,60
11,1,0,19:12,13,1,8,26,2,0,0,0,0,11,6,21,26,79,41,19,25,8,26,42,60
12,1,0,19:09,5,1,8,6,1,0,0,0,0,11,6,21,26,79,41,19,25,8,26,42,60
13,1, ,19:09,3,2,0,0,0,0,0,0,0,11,6,21,26,79,41,19,25,8,26,42,60
14,1,0,19:09,4,0,11,19,1,0,0,0,0,11,6,21,26,79,41,19,25,8,26,42,60
15,1,0,18:54,5,0,6,42,3,0,0,0,0,11,6,21,26,79,41,19,25,8,26,42,60
16,1,0,18:46,5,1,8,6,2,0,0,0,0,11,6,21,26,79,41,19,25,8,26,42,60
17,1,0,18:31,13,1,8,26,2,0,0,0,0,11,6,21,26,79,41,19,25,8,26,42,60
18,1, ,18:17,3,2,0,0,0,0,0,0,0,14,27,46,26,79,41,92,14,16,23,26,60
19,1,0,18:17,4,1,14,39,1,0,0,0,0,14,27,46,51,71,41,21,39,10,23,27,60
20,1,0,17:40,7,0,46,0,3,14,5,0,0,14,27,46,51,71,41,21,39,10,23,27,60
21,1,0,17:39,6,1,23,14,2,0,0,0,0,14,27,46,51,71,41,21,39,10,23,27,60
22,1,1,17:39,4,0,11,15,3,0,0,0,0,11,20,21,74,79,41,15,21,26,27,60,0
23,1,-1,17:28,9,1,27,0,2,0,0,0,0,11,20,21,74,79,41,15,21,26,27,60,0
24,1,-1,17:02,13,0,74,89,2,0,0,0,0,11,20,21,74,79,41,39,8,43,89,60,0
25,1,-1,16:53,13,0,20,43,2,0,0,0,0,11,20,21,74,79,41,39,8,43,89,60,0
26,1,-1,16:37,1,1,8,0,3,13,1,0,0,11,20,21,74,79,41,39,8,26,27,60,0
27,1, ,16:36,3,1,0,0,0,0,0,0,0,11,20,21,74,79,41,39,8,26,27,60,0
28,1,-1,16:36,4,1,14,15,3,0,0,0,0,14,27,46,26,71,41,15,14,26,27,60,0
29,1,-1,16:33,7,1,14,0,3,46,1,0,0,14,27,46,26,71,41,15,14,26,27,60,0
30,1,-1,16:29,5,1,15,27,3,0,0,0,0,14,27,46,26,71,41,15,14,26,27,60,0
31,1,-1,16:04,8,1,89,0,2,0,0,0,0,14,27,46,26,71,41,15,14,43,89,60,0
32,1,0,14:45,13,1,42,25,2,0,0,0,0,40,25,22,3,44,41,19,25,8,23,42,60
33,1,0,14:45,5,0,25,19,2,0,0,0,0,40,25,22,3,44,41,19,25,8,23,42,60
34,1,0,14:38,7,1,19,0,3,17,5,0,0,40,25,22,3,44,41,19,25,8,23,42,60
35,1,0,14:26,7,1,23,0,3,48,1,0,0,40,25,22,3,44,41,19,25,8,23,42,60
36,1,0,14:15,7,1,25,0,3,31,1,0,0,40,25,22,3,44,41,19,25,8,23,42,60
37,1,0,14:09,1,1,23,0,3,58,1,0,0,40,25,22,3,44,41,25,92,8,23,42,60
38,1,0,14:09,9,0,44,0,2,0,0,0,0,40,25,22,3,44,41,25,92,8,23,42,60
39,1, ,13:36,3,0,0,0,0,0,0,0,0,20,84,74,26,79,41,92,14,16,43,89,60
40,1,0,13:36,4,0,20,14,3,0,0,0,0,20,84,74,26,79,41,92,14,16,23,27,60
41,1,0,13:15,5,1,16,26,3,0,0,0,0,20,84,74,26,79,41,92,14,16,23,27,60
42,1,0,13:12,8,1,23,0,3,0,0,0,0,20,84,74,26,79,41,92,14,16,23,27,60
43,1,0,12:51,13,0,84,26,2,0,0,0,0,20,84,74,71,79,41,92,14,16,26,42,60
44,1,0,12:30,9,1,92,0,1,0,0,0,0,11,6,21,51,71,41,92,56,87,26,42,60
45,1,0,12:23,13,0,51,56,2,0,0,0,0,11,6,21,51,71,41,92,56,87,42,89,60
46,1,0,11:56,8,1,15,0,2,0,0,0,0,11,6,21,51,71,41,15,56,87,43,89,60
47,1,0,11:53,7,1,56,0,3,18,1,0,0,11,6,21,51,71,41,15,56,87,43,89,60
48,1,0,11:38,5,0,46,15,2,0,0,0,0,14,27,46,3,44,41,15,25,87,43,89,60
49,1,0,11:23,9,1,43,0,2,0,0,0,0,14,27,46,3,44,41,15,25,87,43,89,60
