# 2008/11/30 
# STL , ATL 
# 4 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,7,20,22,5,29,50,10,12,13,28,39,31
2,1,0,20:00,4,0,20,12,1,0,0,0,0,7,20,22,5,29,50,10,12,13,28,39,31
3,1, ,19:23,3,6,0,0,0,0,0,0,0,18,22,42,5,29,50,11,14,13,28,39,31
4,1,0,19:23,4,0,18,14,2,0,0,0,0,18,26,42,5,29,50,11,14,17,2,6,31
5,1,0,18:48,7,0,26,0,3,39,1,0,0,18,26,42,4,46,50,11,14,17,2,6,31
6,1,0,18:33,5,0,41,18,3,0,0,0,0,18,41,57,4,46,50,19,27,17,7,18,31
7,1,0,18:27,9,1,27,0,2,0,0,0,0,21,41,57,28,77,50,19,20,27,7,18,31
8,1,0,18:17,1,0,77,0,3,63,2,0,0,21,41,57,28,77,50,19,20,27,7,18,31
9,1,0,17:51,7,1,20,0,3,38,1,0,0,25,65,15,28,77,50,19,20,27,7,28,31
10,1,0,17:11,5,1,42,22,3,0,0,0,0,7,20,22,5,29,50,23,42,36,28,39,31
11,1,0,16:37,5,1,2,22,2,0,0,0,0,7,20,22,4,46,50,23,42,36,2,6,31
12,1,0,16:04,8,0,57,0,2,0,0,0,0,21,41,57,4,46,50,10,12,13,2,6,31
13,1,0,16:00,1,0,41,0,3,37,1,0,0,21,41,57,4,46,50,10,12,13,2,6,31
14,1, ,15:59,3,1,0,0,0,0,0,0,0,21,41,57,4,46,50,10,12,13,2,6,31
15,1,0,15:59,4,0,18,12,3,0,0,0,0,18,26,42,5,29,50,10,12,13,7,39,31
16,1,0,15:24,1,0,26,0,3,37,1,0,0,18,26,42,5,29,50,10,12,13,7,39,31
17,1,0,15:22,2,0,42,0,3,11,1,26,29,18,26,42,5,29,50,10,12,13,7,39,31
18,1,0,15:22,4,0,65,14,1,0,0,0,0,25,65,15,4,46,50,11,14,17,2,28,31
19,1, ,15:14,3,3,0,0,0,0,0,0,0,25,65,15,4,46,50,11,14,17,2,28,31
20,1,0,15:14,4,0,18,14,1,0,0,0,0,18,26,42,4,46,50,11,14,17,2,28,31
21,1,0,14:40,7,0,26,0,3,53,1,0,0,18,26,42,4,46,50,11,14,17,2,28,31
22,1,0,14:34,13,0,46,11,2,0,0,0,0,18,26,42,4,46,50,11,14,17,2,28,31
23,1, ,14:22,3,6,0,0,0,0,0,0,0,18,26,42,4,46,50,11,14,17,2,28,31
24,1,0,14:22,4,1,20,14,2,0,0,0,0,7,20,22,28,77,50,11,14,17,2,28,31
25,1,0,14:03,5,0,20,7,3,0,0,0,0,7,20,22,28,77,50,19,20,27,6,7,31
26,1,0,13:41,7,1,6,0,3,60,2,0,0,7,20,22,28,77,50,19,20,27,6,7,31
27,1,0,13:40,1,1,20,0,3,9,1,0,0,7,20,22,28,77,50,19,20,27,6,7,31
28,1,0,13:29,1,1,6,0,3,56,2,0,0,65,22,15,28,77,50,19,20,42,6,39,31
29,1,0,13:28,2,1,20,0,3,8,6,6,0,65,22,15,28,77,50,19,20,42,6,39,31
30,1,0,13:28,4,0,65,23,1,0,0,0,0,25,65,15,5,29,50,23,42,36,28,39,31
31,1,0,12:19,7,1,13,0,3,18,5,0,0,21,41,57,4,46,50,10,12,13,7,18,31
32,1,0,12:02,8,0,21,0,1,0,0,0,0,21,26,41,4,46,50,10,12,13,6,18,31
33,1,0,12:00,13,0,21,18,2,0,0,0,0,21,26,41,4,46,50,10,12,13,6,18,31
34,1,0,11:41,5,1,6,26,2,0,0,0,0,18,26,42,28,77,50,10,14,13,6,18,31
35,1,0,11:31,8,1,14,0,2,0,0,0,0,18,26,42,28,77,50,10,14,13,6,18,31
36,1,0,10:59,1,0,5,0,3,39,1,0,0,7,20,22,5,29,50,11,14,17,2,28,31
37,1,0,10:53,1,0,22,0,3,16,3,0,0,7,20,22,5,29,50,11,14,17,2,28,31
38,1,0,10:45,13,0,20,28,2,0,0,0,0,7,20,22,5,29,50,11,14,17,2,28,31
39,1,0,10:31,1,1,14,0,3,26,3,0,0,7,20,22,5,29,50,11,14,17,28,39,31
40,1,0,10:07,7,1,19,0,3,19,5,0,0,21,41,57,4,46,50,19,20,27,7,39,31
41,1,0,9:45,13,1,39,4,2,0,0,0,0,21,41,57,4,46,50,19,20,27,18,39,31
42,1,0,9:42,7,1,39,0,3,50,1,0,0,21,41,57,4,46,50,19,20,27,18,39,31
43,1,0,9:24,1,1,18,0,3,20,6,0,0,25,65,15,28,77,50,19,42,36,18,39,31
44,1, ,9:23,3,0,0,0,0,0,0,0,0,25,65,15,28,77,50,19,42,36,18,39,31
