# 2008/12/02 
# TOR , S.J 
# 2 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,12,55,4,15,35,8,9,29,22,37,20
2,1,0,20:00,4,1,19,8,1,0,0,0,0,19,12,55,4,15,35,8,9,29,22,37,20
3,1,0,19:29,5,0,4,9,2,0,0,0,0,19,12,55,4,15,35,8,9,29,22,44,20
4,1,0,19:24,5,1,9,12,3,0,0,0,0,19,12,55,4,15,35,8,9,29,22,44,20
5,1,0,19:17,5,1,22,19,2,0,0,0,0,19,12,55,2,77,35,8,9,29,22,44,20
6,1, ,18:58,3,2,0,0,0,0,0,0,0,14,80,23,2,77,35,12,19,16,4,44,20
7,1,0,18:58,4,1,14,12,1,0,0,0,0,14,80,23,4,77,35,12,19,16,4,44,20
8,1,0,18:45,2,1,16,0,3,10,6,19,4,14,80,23,4,77,35,12,19,16,4,44,20
9,1,0,18:45,4,0,84,8,1,0,0,0,0,84,9,41,2,15,35,8,9,29,3,10,20
10,1,0,18:31,9,0,84,0,2,0,0,0,0,84,9,41,2,15,35,8,9,29,3,10,20
11,1,0,18:26,1,1,8,0,3,13,1,0,0,84,9,41,2,15,35,8,9,29,3,10,20
12,1,0,18:21,13,1,3,41,2,0,0,0,0,84,9,41,2,15,35,8,9,29,3,10,20
13,1,0,18:09,13,0,84,10,2,0,0,0,0,84,9,41,7,36,35,8,9,29,3,10,20
14,1,0,17:43,13,1,22,36,2,0,0,0,0,19,12,55,7,36,35,11,25,39,22,37,20
15,1,0,17:24,5,0,36,11,2,0,0,0,0,19,12,55,7,36,35,11,25,45,22,37,20
16,1,0,17:15,8,1,45,0,2,0,0,0,0,19,12,55,2,15,35,27,40,45,22,37,20
17,1,0,17:08,5,0,44,22,3,0,0,0,0,39,56,44,2,15,35,27,40,45,22,37,20
18,1,0,16:39,5,1,3,56,2,0,0,0,0,39,56,44,4,77,35,12,27,16,3,10,20
19,1,0,16:20,1,1,12,0,3,54,1,0,0,14,80,23,4,77,35,12,19,16,10,44,20
20,1,0,16:18,5,1,16,14,3,0,0,0,0,14,80,23,4,77,35,12,19,16,10,44,20
21,1,0,16:07,13,1,16,4,2,0,0,0,0,14,80,23,4,77,35,12,19,16,4,44,20
22,1,0,15:58,13,0,80,4,2,0,0,0,0,14,80,23,2,7,35,12,19,16,4,44,20
23,1,0,15:49,13,1,16,7,2,0,0,0,0,14,23,41,2,7,35,19,16,9,4,44,20
24,1,0,15:46,5,0,14,44,2,0,0,0,0,14,23,41,2,7,35,19,16,9,4,44,20
25,1,0,15:31,1,0,41,0,3,34,1,0,0,84,9,41,7,36,35,8,9,29,4,44,20
