# 2008/12/04 
# BOS , T.B 
# 3 , 1 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,81,91,17,33,48,30,20,91,8,44,54,41
2,1,0,20:00,4,0,91,91,1,0,0,0,0,81,91,17,33,48,30,20,91,8,44,54,41
3,1,0,19:33,9,1,44,0,1,0,0,0,0,81,91,17,34,48,30,20,91,8,44,54,41
4,1,0,18:44,5,0,37,14,3,0,0,0,0,37,12,11,33,45,30,4,26,12,14,22,41
5,1,0,18:39,2,1,26,0,3,23,0,4,12,37,12,11,33,45,30,4,26,12,14,22,41
6,1,0,18:39,4,1,46,36,1,0,0,0,0,46,26,73,34,49,30,34,18,36,2,32,41
7,1,0,17:40,13,1,12,22,2,0,0,0,0,18,29,22,33,55,30,4,26,12,44,54,41
8,1,0,17:37,6,0,29,4,2,0,0,0,0,18,29,22,33,55,30,4,8,26,12,44,54
9,1,1,17:37,4,1,37,36,3,0,0,0,0,37,11,33,48,30,0,20,8,36,14,54,41
10,1,1,17:31,1,1,14,0,3,57,3,0,0,37,11,33,48,30,0,20,8,36,14,54,41
11,1, ,17:31,3,1,0,0,0,0,0,0,0,37,11,33,48,30,0,20,8,36,14,54,41
12,1,-1,17:31,4,0,91,36,2,0,0,0,0,18,91,33,48,30,0,20,8,36,14,54,41
13,1, ,17:25,3,3,0,0,0,0,0,0,0,18,91,33,48,30,0,20,8,36,14,54,41
14,1,-1,17:25,4,0,91,4,1,0,0,0,0,18,91,33,48,30,0,4,91,26,12,44,41
15,1,1,16:54,1,1,44,0,3,54,1,0,0,37,11,33,48,30,0,4,91,26,12,44,41
16,1,1,16:47,7,1,44,0,3,54,2,0,0,37,11,33,48,30,0,4,91,26,12,44,41
17,1,1,16:01,7,1,14,0,3,58,2,0,0,18,91,34,45,30,0,20,8,36,14,54,41
18,1,-1,15:44,13,1,20,34,2,0,0,0,0,18,91,34,45,30,0,20,8,36,14,54,41
19,1, ,15:29,3,1,0,0,0,0,0,0,0,18,29,91,34,45,30,20,8,36,14,54,41
20,1,0,15:29,1,1,8,0,3,13,6,0,0,46,26,73,48,55,30,20,8,36,14,54,41
21,1,0,15:29,4,1,46,38,3,0,0,0,0,46,26,73,48,55,30,38,9,52,2,32,41
22,1, ,15:13,3,1,0,0,0,0,0,0,0,46,26,73,48,55,30,38,9,52,2,32,41
23,1,0,15:13,4,1,46,4,3,0,0,0,0,46,26,73,48,55,30,4,26,12,14,22,41
24,1,0,15:03,5,1,12,73,3,0,0,0,0,46,26,73,48,55,30,4,26,12,14,22,41
25,1,0,15:01,9,0,48,0,2,0,0,0,0,46,26,73,48,55,30,4,26,12,14,22,41
