# 2008/12/04 
# PIT , CAR 
# 5 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,71,17,26,44,58,30,12,15,14,7,25,49
2,1,0,20:00,4,0,71,12,1,0,0,0,0,71,17,26,44,58,30,12,15,14,7,25,49
3,1,0,19:52,5,1,15,58,3,0,0,0,0,71,17,26,44,58,30,12,15,14,7,25,49
4,1,0,19:45,7,0,71,0,3,31,1,0,0,71,17,26,44,58,30,12,15,14,7,25,49
5,1,0,19:44,5,1,15,26,2,0,0,0,0,71,17,26,44,58,30,12,15,14,7,25,49
6,1,0,19:43,1,0,26,0,3,37,1,0,0,71,17,26,44,58,30,12,15,14,7,25,49
7,1, ,19:42,3,1,0,0,0,0,0,0,0,11,24,32,44,58,30,12,15,14,7,25,49
8,1,0,19:42,4,0,11,17,3,0,0,0,0,11,24,32,44,58,30,17,59,13,22,33,49
9,1, ,19:29,3,2,0,0,0,0,0,0,0,11,24,32,44,58,30,17,59,13,22,33,49
10,1,0,19:29,4,1,11,17,1,0,0,0,0,11,24,32,2,4,30,17,59,13,22,33,49
11,1,0,19:17,5,1,33,11,2,0,0,0,0,11,24,32,2,4,30,17,59,13,22,33,49
12,1,0,19:06,5,0,24,59,3,0,0,0,0,11,24,32,2,4,30,17,59,13,22,33,49
13,1,0,18:51,5,1,44,4,3,0,0,0,0,11,71,17,2,4,30,8,44,18,5,77,49
14,1,0,18:47,13,1,44,2,2,0,0,0,0,11,71,17,2,4,30,8,44,18,5,77,49
15,1, ,18:46,3,4,0,0,0,0,0,0,0,11,71,17,2,4,30,8,44,18,5,77,49
16,1,0,18:46,4,1,87,18,3,0,0,0,0,87,81,9,7,13,30,8,44,18,5,77,49
17,1,0,18:38,5,0,7,18,2,0,0,0,0,87,81,9,7,13,30,8,44,18,5,77,49
18,1,0,18:32,13,1,77,13,2,0,0,0,0,87,81,9,7,13,30,8,44,18,5,77,49
19,1,0,18:29,13,1,18,7,2,0,0,0,0,87,81,9,7,13,30,8,44,18,5,77,49
20,1,0,18:17,5,0,81,5,2,0,0,0,0,87,81,9,7,13,30,8,11,18,5,77,49
21,1,0,17:59,8,1,25,0,1,0,0,0,0,87,81,9,7,13,30,16,11,39,25,77,49
22,1,0,17:42,1,1,39,0,3,63,2,0,0,25,81,9,2,13,30,16,11,39,7,25,49
23,1, ,17:41,3,1,0,0,0,0,0,0,0,25,81,9,2,13,30,16,11,39,7,25,49
24,1,0,17:41,4,1,20,15,3,0,0,0,0,25,28,20,2,4,30,12,15,14,7,25,49
25,1,0,17:39,7,1,14,0,3,26,2,0,0,25,28,20,2,4,30,12,15,14,7,25,49
26,1,0,17:28,1,0,20,0,3,24,6,0,0,25,28,20,2,4,30,12,15,14,7,25,49
27,1,0,17:23,8,0,28,0,1,0,0,0,0,25,28,20,2,4,30,12,15,14,7,25,49
28,1, ,17:22,3,10,0,0,0,0,0,0,0,25,28,20,2,4,30,12,15,14,7,25,49
29,1,0,17:22,4,0,87,17,1,0,0,0,0,71,87,17,44,58,30,17,59,13,5,77,49
30,1,0,17:04,1,1,59,0,3,41,2,0,0,71,87,17,44,58,30,17,59,13,5,77,49
31,1, ,16:50,3,2,0,0,0,0,0,0,0,71,87,17,44,58,30,17,59,13,5,77,49
32,1,0,16:50,4,0,11,12,1,0,0,0,0,11,24,32,2,4,30,12,15,14,22,33,49
33,1,0,16:43,7,0,32,0,3,17,6,0,0,11,24,32,2,4,30,12,15,14,22,33,49
34,1,0,16:32,5,0,32,15,2,0,0,0,0,11,24,32,2,4,30,12,15,14,22,33,49
35,1,0,16:31,1,1,12,0,3,14,1,0,0,11,24,32,2,4,30,12,15,14,22,33,49
36,1,0,16:20,1,1,33,0,1,81,2,0,0,11,24,32,2,4,30,12,15,14,22,33,49
37,1, ,16:19,3,1,0,0,0,0,0,0,0,11,24,32,2,4,30,12,15,14,22,33,49
38,1,0,16:19,4,1,87,8,3,0,0,0,0,87,81,9,7,13,30,8,44,18,7,25,49
39,1,0,16:04,9,0,30,0,2,0,0,0,0,87,81,9,7,13,30,8,44,18,7,25,49
40,1,0,16:01,1,1,44,0,3,30,1,0,0,87,81,9,7,13,30,8,44,18,7,25,49
41,1,0,15:50,5,1,44,13,3,0,0,0,0,87,81,9,7,13,30,8,44,18,7,25,49
42,1,0,15:49,5,1,44,87,3,0,0,0,0,87,81,9,7,13,30,8,44,18,7,25,49
43,1,0,15:40,5,1,44,7,3,0,0,0,0,87,81,9,7,13,30,8,44,18,7,25,49
44,1,0,15:27,5,0,7,8,2,0,0,0,0,87,81,9,7,13,30,8,44,18,7,25,49
45,1,0,15:25,6,0,87,44,2,0,0,0,0,87,81,9,7,13,30,8,44,18,7,25,49
46,1,1,15:25,4,1,11,17,3,0,0,0,0,11,71,2,4,30,0,17,11,13,25,77,49
47,1,1,15:09,8,1,13,0,2,0,0,0,0,11,71,2,4,30,0,17,11,13,25,77,49
48,1,1,15:05,7,1,13,0,3,28,1,0,0,11,71,2,4,30,0,17,11,13,25,77,49
49,1,1,14:39,1,1,17,0,3,19,0,0,0,11,71,2,4,30,0,17,11,13,25,77,49
50,1, ,14:37,3,1,0,0,0,0,0,0,0,11,71,2,4,30,0,17,11,13,25,77,49
51,1,1,14:37,4,1,25,8,3,0,0,0,0,25,9,44,58,30,0,8,12,15,14,5,49
52,1,1,14:32,7,1,14,0,3,14,5,0,0,25,9,44,58,30,0,8,12,15,14,5,49
53,1,1,14:20,5,1,15,25,2,0,0,0,0,25,9,44,58,30,0,8,12,15,14,5,49
54,1,1,13:34,9,1,16,0,1,0,0,0,0,11,24,4,7,30,0,16,11,18,25,77,49
55,1,0,13:23,1,1,11,0,3,52,2,0,0,11,87,24,4,7,30,16,11,18,25,77,49
