# 2008/12/06 
# CHI , DET 
# 4 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,32,33,2,7,38,93,37,40,23,55,29
2,1,0,20:00,4,1,19,40,1,0,0,0,0,19,32,33,2,7,38,93,37,40,23,55,29
3,1,0,19:43,5,1,40,33,2,0,0,0,0,19,32,33,2,7,38,93,37,40,23,55,29
4,1,0,19:34,8,1,93,0,3,0,0,0,0,19,32,33,2,7,38,93,81,40,23,55,29
5,1,0,18:58,1,0,24,0,3,8,1,0,0,36,24,16,25,51,38,51,11,96,3,22,29
6,1,0,18:28,2,1,51,0,3,50,3,11,0,36,24,16,25,51,38,26,51,11,3,22,29
7,1,0,18:28,4,1,10,13,1,0,0,0,0,10,22,88,5,8,38,13,81,96,5,28,29
8,1,0,17:57,5,0,10,28,3,0,0,0,0,10,22,88,5,8,38,13,81,96,5,28,29
9,1,0,17:37,5,1,82,22,2,0,0,0,0,10,22,88,5,8,38,13,82,5,14,28,29
10,1,0,16:37,1,1,37,0,3,35,3,0,0,19,32,33,25,51,38,93,37,40,23,55,29
11,1,0,16:31,9,1,40,0,3,0,0,0,0,19,32,33,25,51,38,93,37,40,23,55,29
12,1,0,16:28,1,0,33,0,3,56,3,0,0,19,32,33,25,51,38,93,37,40,23,55,29
13,1,0,16:25,9,1,29,0,2,0,0,0,0,19,32,33,8,51,38,93,37,40,23,55,29
14,1,0,16:16,13,0,8,37,2,0,0,0,0,19,32,33,8,51,38,93,37,40,23,55,29
15,1, ,15:56,3,0,0,0,0,0,0,0,0,36,24,32,5,8,38,51,93,11,23,55,29
16,1,0,15:56,4,1,36,51,2,0,0,0,0,36,24,16,5,8,38,26,51,11,3,22,29
17,1,0,15:50,9,1,3,0,2,0,0,0,0,36,24,16,5,8,38,26,51,11,3,22,29
18,1,0,15:40,13,0,24,22,2,0,0,0,0,36,24,16,5,8,38,26,51,11,3,22,29
19,1,0,15:27,2,1,26,0,3,29,3,51,3,36,24,16,5,8,38,26,51,11,3,22,29
20,1,0,15:27,4,0,10,13,1,0,0,0,0,10,22,88,25,51,38,13,81,96,5,28,29
21,1,0,15:13,13,0,10,28,2,0,0,0,0,10,22,88,25,51,38,13,81,96,5,28,29
22,1,0,15:13,4,1,10,13,2,0,0,0,0,10,22,88,25,51,38,13,81,96,5,28,29
23,1,0,14:17,8,1,81,0,1,0,0,0,0,46,28,55,5,8,38,13,81,3,14,22,29
24,1,0,13:19,5,1,23,33,2,0,0,0,0,19,32,33,2,7,38,93,37,40,23,55,29
25,1,0,13:10,7,1,37,0,3,43,1,0,0,19,32,33,2,7,38,93,37,40,23,55,29
