# 2008/12/10 
# PHX , DAL 
# 5 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,12,88,89,4,44,30,63,37,18,5,6,35
2,1,0,20:00,4,0,12,63,1,0,0,0,0,12,88,89,4,44,30,63,37,18,5,6,35
3,1,0,19:51,9,0,4,0,1,0,0,0,0,12,88,89,4,44,30,63,37,18,5,6,35
4,1,0,19:45,7,1,37,0,3,27,1,0,0,12,88,89,4,44,30,63,37,18,5,6,35
5,1,0,19:39,8,1,18,0,3,0,0,0,0,12,88,89,4,44,30,63,37,18,5,6,35
6,1,0,19:36,7,1,18,0,3,33,1,0,0,12,88,89,4,44,30,63,37,18,5,6,35
7,1,0,19:18,5,0,17,18,2,0,0,0,0,11,41,17,2,55,30,63,18,21,5,6,35
8,1,0,19:07,5,1,18,17,3,0,0,0,0,11,41,17,2,55,30,63,18,21,6,55,35
9,1, ,19:06,3,2,0,0,0,0,0,0,0,11,41,17,2,55,30,63,18,21,6,55,35
10,1,0,19:06,4,0,11,17,1,0,0,0,0,11,41,17,2,55,30,17,25,96,27,55,35
11,1,0,18:43,9,0,36,0,1,0,0,0,0,36,91,19,4,44,30,9,91,96,2,3,35
12,1,0,18:33,7,1,9,0,3,45,1,0,0,36,91,19,4,44,30,9,91,96,2,3,35
13,1,0,18:20,7,1,2,0,3,61,2,0,0,36,91,19,3,4,30,9,91,96,2,3,35
14,1,0,17:56,6,0,4,0,2,0,0,0,0,36,91,19,3,4,30,9,91,96,2,3,35
15,1,1,17:56,4,1,11,63,3,0,0,0,0,11,17,44,53,30,0,63,37,18,6,27,35
16,1,1,17:37,1,1,37,0,3,55,2,0,0,11,17,44,53,30,0,63,37,18,6,27,35
17,1,-1,16:17,5,0,44,9,2,0,0,0,0,19,89,2,44,30,0,9,91,21,96,3,35
18,1,1,16:01,13,0,12,3,2,0,0,0,0,12,19,2,3,30,0,9,91,21,96,3,35
19,1,0,15:51,13,0,2,6,2,0,0,0,0,12,19,2,3,4,30,91,22,21,3,6,35
20,1,0,15:26,2,1,6,0,3,45,1,17,25,12,88,13,53,55,30,17,22,25,3,6,35
21,1,0,15:26,4,0,28,23,1,0,0,0,0,28,18,13,2,55,30,23,13,22,27,55,35
22,1,0,15:13,5,0,13,55,3,0,0,0,0,28,18,13,2,55,30,23,13,22,27,55,35
23,1,0,15:10,6,1,55,0,2,0,0,0,0,12,88,91,19,55,30,23,13,22,27,55,35
24,1,1,15:10,4,0,91,63,3,0,0,0,0,12,88,91,19,55,30,63,18,2,3,35,0
25,1,-1,15:00,8,1,18,0,3,0,0,0,0,12,88,91,19,55,30,63,18,2,3,35,0
26,1,1,14:18,1,0,19,0,3,30,1,0,0,12,88,91,19,55,30,17,63,5,6,35,0
27,1,1,14:12,5,0,19,63,3,0,0,0,0,12,88,91,19,55,30,17,63,5,6,35,0
28,1,-1,14:08,1,1,6,0,1,69,2,0,0,12,88,91,19,55,30,9,17,5,6,35,0
29,1, ,14:08,3,1,0,0,0,0,0,0,0,12,88,91,19,55,30,9,17,5,6,35,0
30,1,1,14:08,4,0,28,9,2,0,0,0,0,28,36,89,3,53,30,9,17,2,3,35,0
31,1,0,13:05,1,1,21,0,3,20,1,0,0,11,41,17,44,53,30,91,21,5,6,55,35
32,1,0,12:57,1,0,11,0,3,61,1,0,0,11,41,17,44,53,30,91,18,21,5,6,35
33,1,0,12:41,2,0,11,0,3,11,1,41,4,11,41,17,4,44,30,91,18,21,5,6,35
34,1,0,12:41,4,0,28,63,1,0,0,0,0,28,18,13,2,55,30,63,37,18,2,3,35
35,1,0,12:07,7,1,3,0,3,46,1,0,0,28,18,13,2,3,30,63,37,18,2,3,35
36,1,0,11:59,5,0,18,37,2,0,0,0,0,28,18,13,2,3,30,63,37,18,2,3,35
37,1, ,11:55,3,0,0,0,0,0,0,0,0,28,18,13,2,3,30,63,37,18,2,3,35
38,1,0,11:55,4,1,11,91,1,0,0,0,0,11,36,19,4,44,30,9,91,21,2,3,35
39,1,0,11:50,6,1,91,11,0,0,0,0,0,11,36,19,4,44,30,9,91,21,2,3,35
40,1,-1,11:50,4,1,11,63,2,0,0,0,0,11,36,88,19,3,30,63,18,2,3,35,0
41,1,1,11:42,7,0,11,0,3,22,0,0,0,11,36,88,19,3,30,63,18,2,3,35,0
42,1,1,11:31,5,0,11,63,2,0,0,0,0,11,36,88,19,3,30,63,18,2,3,35,0
43,1,-1,11:11,8,1,18,0,1,0,0,0,0,11,36,88,19,3,30,9,18,2,3,35,0
44,1,-1,11:07,1,1,9,0,3,44,6,0,0,11,36,88,19,3,30,9,18,5,6,35,0
45,1,1,10:11,2,0,12,0,3,8,5,55,53,12,91,89,53,55,30,63,21,27,55,35,0
46,1,0,10:11,4,0,28,17,1,0,0,0,0,28,18,13,4,44,30,17,25,96,5,6,35
47,1, ,9:45,3,6,0,0,0,0,0,0,0,28,18,13,2,55,30,17,25,96,5,6,35
48,1,0,9:45,4,0,12,17,3,0,0,0,0,12,88,89,2,55,30,17,25,96,2,3,35
49,1,0,9:41,1,0,55,0,3,60,2,0,0,12,88,89,2,55,30,17,25,96,2,3,35
50,1,0,9:34,6,0,89,25,2,0,0,0,0,12,88,89,2,55,30,17,25,96,2,3,35
51,1,1,9:34,4,1,19,63,3,0,0,0,0,11,19,4,44,30,0,9,63,37,18,3,35
52,1,1,9:02,2,1,18,0,3,11,6,3,9,11,19,4,44,30,0,9,63,37,18,3,35
53,1,0,9:02,4,0,28,23,1,0,0,0,0,28,18,13,3,53,30,23,13,22,5,6,35
54,1,0,8:48,8,0,13,0,3,0,0,0,0,28,18,13,3,53,30,23,13,22,5,6,35
55,1, ,8:19,3,3,0,0,0,0,0,0,0,36,91,13,3,53,30,23,13,22,5,55,35
56,1,0,8:19,4,0,91,91,1,0,0,0,0,36,91,19,2,55,30,9,91,21,2,3,35
57,1,0,8:03,9,0,11,0,3,0,0,0,0,11,41,17,4,44,30,9,91,21,2,3,35
58,1,0,7:44,5,0,17,3,3,0,0,0,0,11,41,17,4,44,30,9,91,21,2,3,35
59,1,0,7:33,6,0,41,91,2,0,0,0,0,11,41,17,4,44,30,9,91,21,2,55,35
60,1,1,7:33,4,1,28,63,3,0,0,0,0,28,89,2,53,30,0,9,63,37,18,3,35
61,1,1,7:06,7,1,37,0,3,16,5,0,0,28,89,2,53,30,0,9,63,37,18,3,35
62,1,1,6:52,1,1,3,0,3,54,2,0,0,28,89,2,53,30,0,9,63,37,18,3,35
63,1,-1,6:39,5,0,89,63,2,0,0,0,0,28,89,2,53,30,0,9,63,37,18,3,35
64,1,1,6:10,1,1,18,0,3,41,1,0,0,11,19,4,44,30,0,9,91,18,21,27,35
65,1,1,5:38,7,1,21,0,3,13,5,0,0,11,19,4,44,30,0,91,21,96,6,27,35
66,1,0,5:23,8,0,44,0,2,0,0,0,0,11,19,41,4,44,30,91,21,96,6,27,35
67,1,0,5:17,8,1,21,0,1,0,0,0,0,11,12,41,4,55,30,17,21,96,6,27,35
68,1,0,5:15,7,1,21,0,3,66,1,0,0,11,12,41,4,55,30,17,21,96,6,27,35
69,1, ,5:14,3,0,0,0,0,0,0,0,0,11,12,41,4,55,30,17,21,96,6,27,35
70,1,0,5:14,4,0,12,23,2,0,0,0,0,12,88,13,4,44,30,23,13,22,5,6,35
71,1,0,4:51,9,0,12,0,2,0,0,0,0,12,88,13,4,44,30,23,13,22,5,6,35
72,1,0,4:47,5,1,13,4,3,0,0,0,0,12,88,13,4,44,30,23,13,22,5,6,35
