# 2008/12/10 
# T.B , BUF 
# 2 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,38,8,26,14,22,41,9,42,21,6,52,30
2,1,0,20:00,4,1,38,9,1,0,0,0,0,38,8,26,14,22,41,9,42,21,6,52,30
3,1,0,19:02,1,0,20,0,3,69,1,0,0,4,20,91,44,54,41,55,29,26,5,44,30
4,1,0,18:51,7,0,4,0,3,41,1,0,0,4,20,91,44,54,41,55,29,26,5,44,30
5,1,0,18:41,5,1,55,91,2,0,0,0,0,4,20,91,44,54,41,55,29,26,5,44,30
6,1,0,18:24,9,1,55,0,3,0,0,0,0,20,91,36,44,54,41,55,29,26,10,27,30
7,1, ,18:04,3,2,0,0,0,0,0,0,0,9,36,52,2,39,41,22,12,61,10,27,30
8,1,0,18:04,4,0,34,22,1,0,0,0,0,34,26,76,2,39,41,22,12,61,10,27,30
9,1,0,17:55,9,0,76,0,3,0,0,0,0,34,26,76,2,39,41,22,12,61,10,27,30
10,1,0,17:44,5,1,12,39,3,0,0,0,0,34,26,76,2,39,41,22,12,61,10,27,30
11,1,0,17:38,1,0,76,0,3,54,1,0,0,34,26,76,2,39,41,22,12,61,10,27,30
12,1,0,17:32,1,0,76,0,3,17,6,0,0,34,26,76,14,39,41,22,12,61,10,27,30
13,1, ,17:30,3,0,0,0,0,0,0,0,0,34,26,76,14,39,41,22,12,61,10,27,30
14,1,0,17:30,4,0,4,28,3,0,0,0,0,4,20,91,44,54,41,28,20,41,5,44,30
15,1,0,17:27,1,0,54,0,3,64,1,0,0,4,20,91,44,54,41,28,20,41,5,44,30
16,1, ,17:26,3,1,0,0,0,0,0,0,0,4,20,91,44,54,41,28,20,41,5,44,30
17,1,0,17:26,4,1,4,28,2,0,0,0,0,4,20,91,44,54,41,28,20,41,5,44,30
18,1,0,16:53,5,0,91,5,3,0,0,0,0,4,20,91,14,22,41,28,20,41,5,44,30
19,1,0,16:38,8,0,22,0,3,0,0,0,0,4,20,91,14,22,41,28,20,41,5,44,30
20,1,0,16:10,5,0,9,6,3,0,0,0,0,9,36,52,14,22,41,9,42,21,6,52,30
21,1, ,15:42,3,6,0,0,0,0,0,0,0,38,9,52,44,54,41,9,42,21,10,52,30
22,1,0,15:42,4,1,9,55,3,0,0,0,0,38,9,52,44,54,41,55,29,26,10,27,30
23,1,0,15:37,1,1,55,0,3,12,6,0,0,38,9,52,44,54,41,55,29,26,10,27,30
24,1,0,15:12,9,0,8,0,1,0,0,0,0,38,8,26,2,54,41,55,29,26,10,27,30
25,1,0,15:02,9,0,2,0,2,0,0,0,0,38,8,26,2,54,41,55,29,26,5,44,30
26,1,0,14:51,13,0,26,44,2,0,0,0,0,38,8,26,2,14,41,55,29,26,5,44,30
27,1,0,14:36,9,0,26,0,LOUIS Off. Zone,0,0,0,0,38,8,26,2,14,41,55,29,26,5,44,30
28,1,0,13:45,13,0,44,61,2,0,0,0,0,4,34,76,44,54,41,22,12,61,6,52,30
29,1,0,13:19,8,0,36,0,1,0,0,0,0,20,91,36,14,22,41,28,20,41,10,27,30
30,1,0,12:53,5,0,20,10,3,0,0,0,0,20,91,36,14,22,41,28,20,41,10,27,30
31,1,0,12:49,7,0,14,0,3,55,2,0,0,20,91,36,14,22,41,28,20,41,10,27,30
32,1,0,12:28,1,0,8,0,3,36,1,0,0,38,8,26,2,44,41,9,42,20,5,44,30
33,1, ,12:27,3,0,0,0,0,0,0,0,0,38,8,26,2,44,41,9,42,20,5,44,30
34,1,0,12:27,4,1,38,9,2,0,0,0,0,38,8,26,14,22,41,9,42,21,6,52,30
35,1,0,12:19,5,0,26,52,3,0,0,0,0,38,8,26,14,22,41,9,42,21,6,52,30
36,1,0,12:12,5,1,21,22,3,0,0,0,0,38,8,26,14,22,41,9,42,21,6,52,30
37,1,0,12:06,1,1,52,0,3,62,2,0,0,38,8,26,14,22,41,9,42,21,6,52,30
38,1, ,12:05,3,1,0,0,0,0,0,0,0,4,20,36,44,54,41,55,29,26,5,44,30
39,1,0,12:05,4,1,4,55,3,0,0,0,0,4,20,36,44,54,41,55,29,26,5,44,30
40,1,0,12:03,1,1,29,0,3,23,1,0,0,4,20,36,44,54,41,55,29,26,5,44,30
41,1, ,12:02,3,1,0,0,0,0,0,0,0,4,20,36,44,54,41,55,29,26,5,44,30
42,1,0,12:02,4,1,4,55,3,0,0,0,0,4,20,36,44,54,41,55,29,26,5,44,30
43,1, ,11:37,3,6,0,0,0,0,0,0,0,4,20,76,44,54,41,55,29,26,5,44,30
44,1,0,11:37,4,0,4,55,3,0,0,0,0,4,20,76,44,54,41,55,29,26,5,44,30
45,1,0,11:35,7,0,44,0,3,68,2,0,0,4,20,76,44,54,41,55,29,26,5,44,30
46,1, ,11:34,3,4,0,0,0,0,0,0,0,4,20,76,44,54,41,55,29,26,5,44,30
47,1,0,11:34,4,0,34,22,1,0,0,0,0,34,9,52,2,54,41,22,12,61,10,27,30
48,1, ,11:29,3,2,0,0,0,0,0,0,0,34,9,52,2,54,41,22,12,61,10,27,30
49,1,0,11:29,4,1,34,22,1,0,0,0,0,34,9,52,2,39,41,22,12,61,10,27,30
50,1,0,11:19,1,1,12,0,3,58,1,0,0,34,9,52,2,39,41,22,12,61,10,27,30
51,1, ,11:17,3,1,0,0,0,0,0,0,0,34,9,52,2,39,41,22,12,61,10,27,30
52,1,0,11:17,4,1,36,22,3,0,0,0,0,38,8,36,2,14,41,22,12,61,10,27,30
53,1,0,11:06,5,0,8,27,2,0,0,0,0,38,8,36,2,14,41,22,12,61,10,27,30
54,1,0,10:52,13,1,27,2,2,0,0,0,0,38,8,36,2,14,41,22,12,61,10,27,30
55,1,0,10:48,1,1,12,0,3,39,1,0,0,38,8,36,2,14,41,22,12,61,10,27,30
56,1, ,10:47,3,1,0,0,0,0,0,0,0,38,8,36,2,14,41,22,12,61,10,27,30
57,1,0,10:47,4,1,4,28,3,0,0,0,0,4,20,26,22,44,41,28,20,41,5,44,30
58,1,0,10:37,13,1,44,4,2,0,0,0,0,4,20,26,22,44,41,28,20,41,5,44,30
59,1,0,10:33,1,1,28,0,3,45,1,0,0,4,20,26,22,44,41,28,20,41,5,44,30
60,1,0,9:42,9,1,21,0,2,0,0,0,0,34,91,26,2,14,41,9,42,21,6,44,30
61,1,0,9:39,2,0,26,0,3,22,0,91,0,34,91,26,2,14,41,9,42,21,6,44,30
62,1,0,9:39,4,0,91,55,1,0,0,0,0,34,91,76,44,54,41,55,29,26,6,52,30
63,1,0,9:13,13,1,55,91,2,0,0,0,0,34,91,76,44,54,41,55,29,26,5,52,30
64,1, ,8:26,3,0,0,0,0,0,0,0,0,38,8,52,14,22,41,22,12,61,10,27,30
65,1,0,8:26,4,1,38,28,1,0,0,0,0,38,8,26,2,14,41,28,20,41,6,52,30
66,1,0,8:10,13,0,8,52,2,0,0,0,0,38,8,26,2,39,41,28,20,41,6,52,30
67,1,0,7:27,7,0,26,0,2,176,0,0,0,4,20,26,2,39,41,9,42,21,10,27,30
68,1, ,7:25,3,6,0,0,0,0,0,0,0,4,20,26,2,39,41,9,42,21,10,27,30
69,1,0,7:25,4,1,4,9,3,0,0,0,0,4,20,26,2,39,41,9,42,21,5,44,30
70,1,0,7:20,13,1,44,20,2,0,0,0,0,4,20,26,2,39,41,9,42,21,5,44,30
71,1,0,7:09,9,1,9,0,1,0,0,0,0,4,20,9,14,39,41,9,42,21,5,44,30
72,1,0,7:00,9,1,5,0,2,0,0,0,0,4,20,9,14,22,41,9,42,21,5,44,30
73,1,0,6:52,5,1,42,22,1,0,0,0,0,4,20,9,14,22,41,9,42,21,5,44,30
74,1,0,6:46,8,1,9,0,2,0,0,0,0,4,20,9,14,22,41,9,42,21,5,44,30
75,1,0,6:16,7,0,54,0,3,59,2,0,0,34,91,76,44,54,41,55,29,26,10,27,30
76,1,0,5:49,9,1,26,0,1,0,0,0,0,91,76,52,44,54,41,55,29,26,10,27,30
77,1,0,5:39,1,1,26,0,3,35,1,0,0,28,36,52,2,54,41,55,29,26,10,27,30
78,1,0,5:09,6,0,28,22,0,0,0,0,0,28,8,26,2,39,41,22,12,61,6,52,30
79,1,-1,5:09,4,0,36,9,2,0,0,0,0,34,36,44,54,41,0,9,21,29,26,6,30
80,1,1,5:01,1,1,9,0,3,24,1,0,0,34,36,44,54,41,0,9,21,29,26,6,30
81,1,1,4:22,7,1,6,0,3,50,2,0,0,4,26,14,22,41,0,9,28,21,29,6,30
82,1,-1,3:49,13,1,9,4,2,0,0,0,0,4,26,14,22,41,0,9,28,12,29,6,30
83,1,1,3:47,6,1,42,0,0,0,0,0,0,38,8,44,54,41,0,9,28,12,29,6,30
84,1,0,3:47,4,0,38,12,3,0,0,0,0,38,8,44,54,41,0,12,61,5,44,30,0
85,1,0,3:44,1,0,54,0,3,61,2,0,0,38,8,44,54,41,0,12,61,5,44,30,0
86,1,0,3:42,2,0,8,0,3,12,1,54,38,38,8,44,54,41,0,12,61,5,44,30,0
87,1,0,3:42,4,0,38,9,1,0,0,0,0,38,8,44,54,41,0,9,41,10,27,30,0
88,1,1,2:41,1,0,20,0,3,56,2,0,0,4,20,91,26,14,41,55,29,5,44,30,0
89,1,-1,2:23,9,1,29,0,2,0,0,0,0,4,20,91,26,14,41,55,29,5,44,30,0
90,1,1,1:59,1,0,91,0,3,60,2,0,0,34,91,76,36,14,41,28,20,6,52,30,0
91,1,-1,1:50,1,1,28,0,3,43,3,0,0,34,91,76,36,14,41,28,20,6,52,30,0
92,1,0,1:45,5,0,36,20,2,0,0,0,0,34,91,76,36,14,41,28,42,20,6,52,30
93,1,0,1:42,6,1,28,34,0,0,0,0,0,34,91,76,36,14,41,28,42,20,6,52,30
94,1,1,1:42,6,0,34,28,0,0,0,0,0,34,91,76,36,14,41,42,20,6,52,30,0
95,1,0,1:42,6,0,34,9,0,0,0,0,0,91,8,76,36,14,41,42,20,6,52,30,0
96,1,-1,1:42,6,0,34,9,0,0,0,0,0,91,8,76,36,14,41,42,20,6,52,30,0
97,1,1,1:42,6,1,20,76,0,0,0,0,0,38,8,76,36,14,54,42,20,6,52,30,0
98,1,-1,1:42,6,0,76,20,1,0,0,0,0,38,8,76,36,14,54,9,21,29,26,6,30
99,1,-1,1:42,4,0,36,9,2,0,0,0,0,8,36,14,54,41,0,9,21,29,26,6,30
100,1,-1,1:07,13,1,21,14,2,0,0,0,0,8,36,14,54,41,0,9,21,29,26,6,30
101,1, ,1:06,3,11,0,0,0,0,0,0,0,8,36,14,54,41,0,9,21,29,26,6,30
102,1,-1,1:06,4,0,4,9,1,0,0,0,0,4,26,22,54,41,0,9,21,29,26,6,30
103,1,1,0:38,2,1,21,0,3,18,5,6,29,4,26,22,54,41,0,9,21,29,26,6,30
104,1,1,0:38,4,1,38,55,1,0,0,0,0,38,36,14,22,41,0,55,12,61,27,44,30
105,1,-1,0:01,13,1,44,2,2,0,0,0,0,8,26,2,54,41,0,55,12,61,27,44,30
106,1, ,0:00,11,0,0,0,0,0,0,0,0,8,26,2,54,41,0,55,12,61,27,44,30
107,2, ,20:00,10,0,0,0,0,0,0,0,0,38,8,44,54,41,0,9,21,29,26,6,30
108,2,1,20:00,4,1,38,9,1,0,0,0,0,38,8,44,54,41,0,9,21,29,26,6,30
109,2,1,19:35,1,1,9,0,3,20,2,0,0,38,8,44,54,41,0,9,21,29,26,6,30
110,2,1,19:25,7,1,29,0,3,38,1,0,0,38,8,44,54,41,0,9,21,29,26,6,30
111,2,1,18:38,9,1,44,0,2,0,0,0,0,4,26,14,22,41,0,42,55,12,5,44,30
112,2,0,18:04,5,0,20,44,3,0,0,0,0,20,91,36,14,22,41,22,42,61,5,44,30
113,2,0,17:59,13,1,44,14,2,0,0,0,0,20,91,36,14,22,41,22,42,61,5,44,30
114,2,0,17:46,1,0,91,0,3,12,1,0,0,20,91,36,2,39,41,12,61,26,5,44,30
