# 2008/12/17 
# N.J , BUF 
# 5 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,14,26,7,24,35,55,29,26,5,10,30
2,1,0,20:00,4,1,8,55,1,0,0,0,0,8,14,26,7,24,35,55,29,26,5,10,30
3,1,0,19:36,5,0,8,5,3,0,0,0,0,8,14,26,7,24,35,55,29,26,5,10,30
4,1,0,19:19,5,1,41,26,2,0,0,0,0,19,14,26,5,29,35,9,21,41,5,10,30
5,1,0,19:02,9,1,6,0,1,0,0,0,0,19,14,9,5,29,35,9,21,41,6,44,30
6,1,0,18:27,1,0,27,0,3,58,1,0,0,19,15,9,27,28,35,22,12,61,6,44,30
7,1,0,18:24,2,0,19,0,3,23,3,27,15,19,15,9,27,28,35,22,12,61,6,44,30
8,1,0,18:24,4,1,16,28,1,0,0,0,0,16,12,23,27,28,35,28,36,20,27,38,30
9,1,0,17:58,1,0,23,0,3,24,2,0,0,16,12,23,27,28,35,28,36,20,27,38,30
10,1, ,17:57,3,4,0,0,0,0,0,0,0,16,12,23,27,28,35,28,36,20,27,38,30
11,1,0,17:57,4,1,11,55,2,0,0,0,0,11,17,20,7,24,35,55,21,41,6,44,30
12,1,0,17:26,8,1,6,0,2,0,0,0,0,11,17,20,7,24,35,55,21,41,6,44,30
13,1,0,17:23,5,0,11,6,3,0,0,0,0,11,17,20,7,24,35,55,21,41,6,44,30
14,1,0,17:15,5,0,17,55,2,0,0,0,0,11,17,20,7,24,35,55,21,41,6,44,30
15,1,0,17:06,1,0,17,0,3,16,6,0,0,8,17,26,5,29,35,55,29,26,5,10,30
16,1,0,16:24,7,0,29,0,3,64,2,0,0,8,14,26,5,29,35,9,21,41,5,10,30
17,1,0,16:06,5,0,5,9,2,0,0,0,0,8,15,26,5,29,35,9,21,41,6,44,30
18,1,0,15:45,1,1,61,0,3,41,1,0,0,19,15,9,27,28,35,22,12,61,6,44,30
19,1,0,15:38,1,0,15,0,3,34,2,0,0,19,15,9,27,28,35,22,12,61,6,44,30
20,1,0,15:31,9,1,12,0,2,0,0,0,0,19,15,9,27,28,35,22,12,61,6,44,30
21,1,0,15:23,9,1,44,0,2,0,0,0,0,19,15,9,27,28,35,22,12,61,6,44,30
22,1,0,15:12,5,1,36,27,3,0,0,0,0,16,12,23,27,28,35,28,36,61,27,38,30
23,1,0,14:43,5,0,16,27,3,0,0,0,0,16,12,23,7,24,35,28,36,20,27,38,30
24,1,0,14:09,1,1,55,0,3,20,6,0,0,11,17,20,5,29,35,55,29,26,5,10,30
