# 2008/12/19 
# CHI , CGY 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,32,33,2,7,39,22,7,25,28,33,34
2,1,0,20:00,4,0,19,22,1,0,0,0,0,19,32,33,2,7,39,22,7,25,28,33,34
3,1,0,19:47,1,0,19,0,3,9,1,0,0,19,32,33,25,51,39,22,7,25,28,33,34
4,1, ,19:47,3,1,0,0,0,0,0,0,0,19,32,33,25,51,39,22,7,25,28,33,34
5,1,0,19:47,4,1,19,22,2,0,0,0,0,19,32,33,25,51,39,22,45,7,28,33,34
6,1,0,19:39,9,1,7,0,1,0,0,0,0,19,32,33,25,51,39,22,45,7,28,33,34
7,1,0,18:58,5,1,12,2,3,0,0,0,0,36,24,16,2,7,39,18,12,13,3,5,34
8,1,0,18:07,1,1,33,0,3,41,3,0,0,10,22,88,8,43,39,24,25,17,28,33,34
9,1,0,17:59,6,1,17,10,2,0,0,0,0,10,22,88,8,43,39,24,25,17,28,33,34
10,1,1,17:59,4,0,19,24,3,0,0,0,0,19,10,88,25,51,39,16,24,3,6,34,0
11,1,-1,17:44,13,0,25,16,2,0,0,0,0,19,10,88,25,51,39,16,24,3,6,34,0
12,1,-1,17:19,7,1,18,0,3,9,1,0,0,19,10,88,25,51,39,18,23,3,33,34,0
13,1,1,16:57,1,0,7,0,3,43,2,0,0,24,32,33,2,7,39,24,23,28,33,34,0
14,1,1,16:49,1,0,24,0,3,16,1,0,0,24,32,33,2,7,39,24,23,28,33,34,0
15,1,1,16:33,1,0,33,0,3,9,5,0,0,24,32,33,2,7,39,24,23,28,33,34,0
16,1, ,16:31,3,1,0,0,0,0,0,0,0,24,32,33,2,7,39,24,23,28,33,34,0
17,1,1,16:31,1,0,33,0,3,10,6,0,0,24,32,33,2,7,39,24,23,28,33,34,0
18,1,-1,16:31,4,1,10,16,2,0,0,0,0,19,10,88,25,51,39,16,25,3,6,34,0
19,1,0,15:57,1,0,88,0,3,11,1,0,0,19,10,88,25,51,39,16,25,17,3,6,34
20,1,0,15:47,1,0,51,0,3,44,1,0,0,19,10,88,25,51,39,18,12,13,3,6,34
21,1, ,15:47,3,1,0,0,0,0,0,0,0,36,10,88,7,25,39,18,12,13,3,6,34
22,1,0,15:47,4,1,36,18,2,0,0,0,0,36,24,16,2,7,39,18,12,13,28,33,34
23,1,0,15:33,1,1,18,0,3,13,1,0,0,36,24,16,2,7,39,18,12,13,28,33,34
24,1,0,15:22,9,1,18,0,3,0,0,0,0,36,24,16,2,7,39,18,12,13,28,33,34
25,1,0,14:33,8,0,8,0,2,0,0,0,0,46,28,55,8,43,39,45,7,25,6,55,34
26,1,0,14:00,9,1,25,0,2,0,0,0,0,19,32,33,25,51,39,22,25,17,3,5,34
27,1,0,13:51,9,1,17,0,3,0,0,0,0,19,32,33,25,51,39,22,7,17,3,5,34
28,1,0,13:35,1,1,3,0,3,41,2,0,0,10,22,88,25,51,39,24,25,17,3,28,34
29,1,0,13:31,1,1,3,0,3,28,1,0,0,10,22,88,25,51,39,24,25,17,3,28,34
30,1,0,13:26,7,1,17,0,3,48,1,0,0,10,22,88,25,51,39,24,25,17,3,28,34
31,1,0,13:16,2,1,17,0,3,26,1,12,24,10,22,88,25,51,39,24,12,17,28,33,34
32,1,0,13:16,4,0,36,18,1,0,0,0,0,36,24,16,2,7,39,18,12,13,28,33,34
33,1,0,12:26,8,0,55,0,1,0,0,0,0,46,28,55,8,43,39,16,23,27,6,55,34
34,1,0,12:18,1,1,27,0,3,53,2,0,0,46,28,55,8,43,39,16,23,27,6,55,34
35,1,0,12:03,7,0,46,0,3,17,0,0,0,46,28,55,8,43,39,16,23,27,6,55,34
36,1,0,11:56,8,0,28,0,3,0,0,0,0,46,28,55,8,43,39,16,23,27,6,55,34
37,1,0,11:39,7,0,33,0,3,27,2,0,0,19,32,33,25,51,39,22,45,7,6,55,34
38,1, ,11:33,3,0,0,0,0,0,0,0,0,19,32,33,25,51,39,22,45,7,6,55,34
39,1,0,11:33,4,1,19,22,1,0,0,0,0,19,32,33,25,51,39,22,45,7,3,55,34
40,1,0,11:02,9,1,7,0,2,0,0,0,0,19,32,33,25,51,39,22,45,7,3,55,34
41,1,0,10:38,9,0,51,0,1,0,0,0,0,36,24,16,43,51,39,24,25,17,28,55,34
42,1, ,10:04,3,6,0,0,0,0,0,0,0,36,24,16,8,43,39,24,25,17,28,33,34
43,1,0,10:04,4,1,46,24,2,0,0,0,0,46,28,55,2,7,39,24,25,17,28,33,34
44,1, ,9:55,3,6,0,0,0,0,0,0,0,46,28,55,2,7,39,24,25,17,28,33,34
45,1,0,9:55,4,0,46,24,3,0,0,0,0,46,28,55,2,7,39,24,25,17,28,33,34
46,1,0,9:50,13,0,2,24,2,0,0,0,0,46,28,55,2,7,39,24,25,17,28,33,34
47,1,0,8:33,13,0,43,55,2,0,0,0,0,36,24,32,8,43,39,16,13,23,3,55,34
48,1, ,8:33,3,0,0,0,0,0,0,0,0,36,24,32,8,43,39,16,13,23,3,55,34
49,1,0,8:33,4,1,10,24,2,0,0,0,0,10,22,88,8,43,39,24,25,17,28,33,34
50,1,0,8:27,5,0,43,25,1,0,0,0,0,10,22,88,8,43,39,24,25,17,28,33,34
51,1,0,8:02,9,0,8,0,1,0,0,0,0,10,22,88,8,43,39,24,25,17,28,33,34
52,1,0,7:53,8,1,45,0,1,0,0,0,0,10,22,88,8,43,39,24,45,17,3,28,34
53,1,0,7:30,8,0,33,0,2,0,0,0,0,19,32,33,8,43,39,22,45,7,3,55,34
54,1,0,7:28,13,1,3,33,2,0,0,0,0,19,32,33,8,43,39,22,45,7,3,55,34
55,1, ,7:25,3,0,0,0,0,0,0,0,0,19,32,33,25,51,39,22,45,7,3,55,34
56,1,0,7:25,4,1,36,18,1,0,0,0,0,36,24,16,25,51,39,18,12,13,5,6,34
57,1,0,7:15,7,1,13,0,3,65,2,0,0,36,24,16,25,51,39,18,12,13,5,6,34
58,1,0,6:36,6,0,36,5,3,0,0,0,0,46,28,55,2,7,39,18,7,12,13,5,6
