# 2008/12/23 
# NSH , FLA 
# 0 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,22,42,2,5,35,11,14,18,2,44,29
2,1,0,20:00,4,0,11,11,1,0,0,0,0,11,22,42,2,5,35,11,14,18,2,44,29
3,1, ,19:36,3,1,0,0,0,0,0,0,0,11,22,42,2,5,35,11,14,18,2,44,29
4,1,0,19:36,13,0,11,11,2,0,0,0,0,11,22,42,2,5,35,11,14,18,2,44,29
5,1,0,19:36,4,0,19,9,3,0,0,0,0,19,29,71,6,20,35,9,16,10,3,4,29
6,1,0,19:05,13,0,71,9,2,0,0,0,0,19,10,29,71,6,20,9,16,10,3,4,29
7,1,0,19:05,6,1,4,19,2,0,0,0,0,19,10,29,71,6,20,9,16,10,3,4,29
8,1,1,19:05,4,0,14,28,3,0,0,0,0,14,37,10,2,6,35,28,18,2,24,29,0
9,1,-1,18:23,1,1,14,0,3,23,1,0,0,19,37,10,2,6,35,11,14,3,44,29,0
10,1, ,18:21,3,1,0,0,0,0,0,0,0,19,37,10,6,20,35,11,14,3,44,29,0
11,1,1,18:21,4,0,11,9,2,0,0,0,0,11,19,71,6,20,35,9,53,3,44,29,0
12,1,-1,17:27,13,0,11,2,2,0,0,0,0,11,19,71,6,20,35,28,18,2,24,29,0
13,1,1,17:10,7,0,6,0,3,40,1,0,0,11,19,71,6,20,35,28,18,2,24,29,0
14,1,1,17:06,1,0,6,0,3,52,2,0,0,11,19,71,6,20,35,28,18,2,24,29,0
15,1,0,17:00,1,0,19,0,3,41,1,0,0,11,19,71,6,20,35,28,18,2,4,24,29
16,1,0,16:57,13,0,11,2,2,0,0,0,0,11,19,71,6,20,35,28,18,2,4,24,29
17,1,0,16:56,1,0,11,0,3,36,1,0,0,11,19,71,6,20,35,28,18,2,4,24,29
18,1,0,16:39,1,1,20,0,3,17,1,0,0,14,3,25,7,8,35,67,20,61,3,44,29
19,1, ,16:38,3,1,0,0,0,0,0,0,0,14,3,25,7,8,35,67,20,61,3,44,29
20,1,0,16:38,4,1,14,28,3,0,0,0,0,14,3,25,2,5,35,28,13,53,3,44,29
21,1,0,16:17,5,0,8,13,2,0,0,0,0,14,3,25,7,8,35,67,13,53,3,44,29
22,1,0,16:10,5,1,13,7,3,0,0,0,0,14,3,25,7,8,35,67,13,53,2,24,29
23,1,0,15:51,1,1,67,0,3,23,1,0,0,37,10,38,2,5,35,67,20,61,2,24,29
24,1,0,15:36,7,0,37,0,3,31,1,0,0,37,10,38,2,5,35,67,20,61,2,24,29
25,1,0,15:30,1,0,5,0,3,36,3,0,0,37,10,38,2,5,35,67,20,61,2,24,29
26,1,0,15:20,7,0,2,0,3,49,2,0,0,37,10,38,2,5,35,67,20,61,2,24,29
27,1,0,14:50,1,0,20,0,3,40,3,0,0,11,22,42,6,20,35,67,20,10,2,24,29
28,1, ,14:50,3,1,0,0,0,0,0,0,0,11,22,42,6,20,35,67,20,10,2,24,29
29,1,0,14:50,4,1,11,9,2,0,0,0,0,11,22,42,6,20,35,9,16,10,3,44,29
30,1,0,14:39,1,1,9,0,3,34,1,0,0,11,22,42,6,20,35,9,16,10,3,44,29
31,1, ,14:38,3,1,0,0,0,0,0,0,0,11,22,42,6,20,35,9,16,10,3,44,29
32,1,0,14:38,4,1,11,9,3,0,0,0,0,11,22,42,6,20,35,9,16,10,3,44,29
33,1,0,14:33,1,1,44,0,3,57,2,0,0,11,22,42,6,20,35,9,16,10,3,44,29
34,1,0,14:25,9,0,20,0,2,0,0,0,0,11,22,42,6,20,35,9,16,10,3,44,29
35,1,0,14:16,5,0,6,16,2,0,0,0,0,11,22,42,6,20,35,9,16,10,3,44,29
36,1,0,14:12,1,0,11,0,3,59,2,0,0,11,22,42,6,20,35,9,16,10,3,44,29
37,1,0,13:33,1,1,18,0,3,33,1,0,0,19,29,71,7,8,35,11,14,18,2,4,29
38,1,0,13:21,1,1,18,0,3,17,1,0,0,19,29,71,7,8,35,11,14,18,2,4,29
39,1, ,13:20,3,0,0,0,0,0,0,0,0,19,29,71,7,8,35,11,14,18,2,4,29
40,1,0,13:20,4,0,14,28,2,0,0,0,0,14,3,25,2,5,35,28,13,53,7,24,29
41,1,0,13:04,7,1,53,0,3,12,5,0,0,14,3,25,2,5,35,28,13,53,7,24,29
42,1,0,12:47,9,1,53,0,2,0,0,0,0,14,3,25,7,8,35,28,13,53,7,24,29
43,1,0,12:07,5,0,20,20,2,0,0,0,0,37,10,38,6,20,35,67,20,61,2,44,29
44,1,0,11:55,8,0,37,0,2,0,0,0,0,37,10,38,6,20,35,67,20,61,2,44,29
45,1,0,11:40,1,0,37,0,3,57,2,0,0,37,10,38,6,20,35,67,20,61,2,44,29
46,1,0,11:38,5,1,61,38,2,0,0,0,0,37,10,38,6,20,35,67,20,61,2,44,29
47,1,0,11:17,13,0,42,44,2,0,0,0,0,11,22,42,2,5,35,16,67,10,2,44,29
48,1,0,11:10,9,0,11,0,2,0,0,0,0,11,22,42,2,5,35,16,67,10,7,44,29
