# 2008/12/28 
# ANA , STL 
# 4 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,15,10,14,25,40,1,18,20,26,5,46,50
2,1,0,20:00,4,0,15,18,1,0,0,0,0,15,10,14,25,40,1,18,20,26,5,46,50
3,1,0,19:46,13,1,18,25,2,0,0,0,0,15,10,14,25,40,1,18,20,26,5,46,50
4,1,0,19:42,5,0,15,20,2,0,0,0,0,15,10,14,25,40,1,18,20,26,5,46,50
5,1,0,19:31,8,0,14,0,3,0,0,0,0,15,10,14,25,40,1,18,20,26,5,46,50
6,1,0,19:11,1,1,43,0,3,57,2,0,0,26,10,14,25,40,1,7,22,42,29,43,50
7,1,0,19:05,5,1,42,25,3,0,0,0,0,26,10,14,25,40,1,7,22,42,29,43,50
8,1,0,18:46,13,0,44,29,2,0,0,0,0,26,44,32,27,53,1,7,22,42,29,43,50
9,1,0,18:40,5,0,32,22,3,0,0,0,0,26,44,32,27,53,1,7,22,42,29,43,50
10,1,0,18:39,1,0,26,0,3,19,1,0,0,26,44,32,27,53,1,7,22,42,29,43,50
11,1,0,18:32,1,0,27,0,3,19,1,0,0,26,44,32,27,53,1,7,22,42,29,43,50
12,1,0,18:20,1,0,26,0,3,41,2,0,0,26,44,32,27,53,1,7,22,42,29,43,50
13,1,0,18:19,2,0,44,0,3,17,1,26,53,26,44,32,27,53,1,7,22,42,29,43,50
14,1,0,18:19,4,1,48,21,1,0,0,0,0,7,48,54,3,5,1,21,55,57,28,62,50
15,1,0,17:21,13,1,15,5,2,0,0,0,0,22,16,54,3,5,1,25,13,15,29,43,50
16,1,0,17:15,5,1,15,16,3,0,0,0,0,22,16,54,3,5,1,25,13,15,29,43,50
17,1,0,17:01,13,1,18,16,2,0,0,0,0,22,16,24,25,40,1,18,25,15,29,43,50
18,1,0,16:56,7,1,43,0,3,52,2,0,0,22,16,24,25,40,1,18,20,25,29,43,50
19,1,0,16:52,8,0,24,0,3,0,0,0,0,22,16,24,25,40,1,18,20,25,29,43,50
20,1,0,16:41,7,0,25,0,3,55,2,0,0,22,16,24,25,40,1,18,20,25,29,43,50
21,1,0,16:29,5,0,25,20,2,0,0,0,0,22,16,24,25,40,1,18,20,26,29,43,50
22,1,0,16:20,9,1,5,0,2,0,0,0,0,15,10,14,27,53,1,7,26,42,5,46,50
23,1,0,15:47,1,1,7,0,3,15,0,0,0,15,10,14,27,53,1,7,22,42,28,46,50
24,1,0,15:17,1,0,5,0,3,66,2,0,0,15,10,14,3,5,1,21,22,57,28,62,50
25,1, ,15:16,3,1,0,0,0,0,0,0,0,15,10,14,3,5,1,21,22,57,28,62,50
26,1,0,15:16,4,0,44,21,3,0,0,0,0,26,44,32,3,5,1,21,55,57,29,43,50
27,1,0,15:03,5,0,3,57,2,0,0,0,0,26,44,32,3,5,1,21,55,57,29,43,50
28,1,0,14:59,2,1,57,0,3,20,3,0,0,26,44,32,3,5,1,21,55,57,29,43,50
29,1,0,14:59,4,1,48,7,1,0,0,0,0,7,48,54,25,40,1,7,22,42,5,46,50
30,1,0,14:38,9,0,7,0,2,0,0,0,0,7,48,54,25,40,1,7,22,42,5,46,50
31,1,0,14:35,1,1,42,0,3,33,1,0,0,7,48,54,25,40,1,7,22,42,5,46,50
32,1,0,14:34,1,1,7,0,3,12,1,0,0,7,48,54,25,40,1,7,22,42,5,46,50
33,1, ,14:33,3,1,0,0,0,0,0,0,0,7,48,54,25,40,1,7,22,42,5,46,50
34,1,0,14:33,4,1,26,21,3,0,0,0,0,26,44,32,27,53,1,21,55,57,28,62,50
35,1,0,13:50,5,1,28,7,2,0,0,0,0,7,48,54,5,27,1,25,13,15,28,62,50
36,1,0,13:46,13,0,27,25,2,0,0,0,0,7,48,54,5,27,1,25,13,15,28,62,50
37,1,0,13:12,9,0,3,0,2,0,0,0,0,22,16,24,3,5,1,18,20,26,29,43,50
38,1,0,13:09,7,1,18,0,3,17,0,0,0,22,16,24,3,5,1,18,20,26,29,43,50
39,1,0,13:01,13,0,22,29,2,0,0,0,0,22,16,24,3,5,1,18,20,26,29,43,50
40,1,0,12:56,5,0,24,20,3,0,0,0,0,22,16,24,3,5,1,18,20,26,29,43,50
41,1,0,12:45,5,0,22,43,3,0,0,0,0,22,16,24,25,40,1,18,26,42,29,43,50
42,1,0,12:40,1,1,42,0,3,21,1,0,0,22,16,24,25,40,1,7,22,42,5,46,50
43,1, ,12:33,3,0,0,0,0,0,0,0,0,22,44,24,25,40,1,7,22,42,5,46,50
44,1,0,12:33,4,0,26,7,1,0,0,0,0,26,44,32,27,53,1,7,42,55,28,62,50
45,1,0,12:08,5,1,55,44,3,0,0,0,0,26,44,32,27,53,1,7,42,55,28,62,50
46,1, ,12:02,3,8,0,0,0,0,0,0,0,26,10,14,27,53,1,25,13,42,28,62,50
47,1,0,12:02,4,0,15,25,3,0,0,0,0,15,10,14,3,5,1,25,13,15,5,46,50
48,1,0,11:57,1,0,15,0,3,34,3,0,0,15,10,14,3,5,1,25,13,15,5,46,50
49,1,0,11:43,5,1,15,3,3,0,0,0,0,15,10,14,3,5,1,25,13,15,5,46,50
50,1,0,11:37,7,0,10,0,3,52,1,0,0,15,10,14,3,5,1,25,13,15,5,46,50
51,1,0,11:18,9,0,5,0,2,0,0,0,0,15,10,14,3,5,1,21,22,15,5,46,50
52,1, ,11:16,3,2,0,0,0,0,0,0,0,15,10,14,3,5,1,21,22,15,5,46,50
53,1,0,11:16,4,1,48,21,1,0,0,0,0,7,48,54,25,40,1,21,22,57,28,62,50
54,1, ,11:11,3,2,0,0,0,0,0,0,0,7,48,54,25,40,1,21,22,57,28,62,50
55,1,0,11:11,4,1,48,22,1,0,0,0,0,7,48,54,25,40,1,21,22,57,28,62,50
56,1,0,10:44,1,0,54,0,3,43,1,0,0,7,48,54,25,40,1,21,22,57,28,62,50
57,1, ,10:10,3,10,0,0,0,0,0,0,0,7,15,54,25,40,1,18,22,57,5,46,50
58,1,0,10:10,4,0,15,18,2,0,0,0,0,15,10,14,27,53,1,18,20,26,5,46,50
59,1,0,10:05,7,1,18,0,3,22,3,0,0,15,10,14,27,53,1,18,20,26,5,46,50
60,1,0,9:41,1,1,20,0,3,35,3,0,0,15,10,14,27,53,1,18,20,26,5,46,50
61,1, ,9:40,3,0,0,0,0,0,0,0,0,15,10,14,27,53,1,18,20,26,5,46,50
62,1,0,9:40,4,0,26,7,2,0,0,0,0,26,44,32,27,53,1,7,42,55,29,43,50
63,1,0,9:01,5,1,42,32,2,0,0,0,0,26,44,32,27,53,1,7,42,55,29,43,50
64,1,0,8:55,7,0,32,0,3,37,2,0,0,26,44,32,27,53,1,7,42,55,29,43,50
65,1, ,8:47,3,6,0,0,0,0,0,0,0,26,44,32,27,53,1,7,42,55,29,43,50
66,1,0,8:47,4,0,22,7,3,0,0,0,0,22,16,24,25,40,1,7,42,55,29,43,50
67,1,0,8:26,6,1,29,16,2,0,0,0,0,22,16,24,25,40,1,7,42,55,29,43,50
