# 2009/01/03 
# CGY , NSH 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,24,12,13,28,33,34,19,10,38,2,5,39
2,1,0,20:00,4,1,24,19,1,0,0,0,0,24,12,13,28,33,34,19,10,38,2,5,39
3,1,0,19:28,9,0,24,0,1,0,0,0,0,24,12,13,3,28,34,19,10,38,2,5,39
4,1,0,19:13,7,1,10,0,3,25,1,0,0,22,7,17,3,55,34,37,10,38,6,20,39
5,1,0,19:09,7,1,6,0,3,53,2,0,0,22,7,17,3,55,34,37,10,42,6,20,39
6,1,0,18:53,9,1,20,0,1,0,0,0,0,22,7,17,3,55,34,37,22,42,6,20,39
7,1,0,18:38,7,0,55,0,3,27,6,0,0,22,7,17,6,55,34,11,22,42,6,20,39
8,1,0,18:28,8,0,6,0,1,0,0,0,0,22,7,17,6,55,34,11,22,42,6,20,39
9,1,0,18:18,13,0,17,6,2,0,0,0,0,22,7,17,6,55,34,11,22,42,6,20,39
10,1,0,18:12,13,0,6,42,2,0,0,0,0,18,25,20,5,6,34,11,22,42,6,20,39
11,1,0,17:19,1,0,16,0,3,37,3,0,0,16,23,27,3,55,34,14,10,38,7,8,39
12,1,0,17:13,7,0,23,0,3,8,1,0,0,16,23,27,3,55,34,14,10,38,7,8,39
13,1, ,16:52,3,8,0,0,0,0,0,0,0,16,12,27,3,55,34,14,10,29,2,5,39
14,1,0,16:52,4,1,24,14,3,0,0,0,0,24,12,13,3,55,34,14,25,29,2,5,39
15,1,0,16:46,1,1,2,0,3,60,2,0,0,24,12,13,3,55,34,14,25,29,2,5,39
