# 2009/01/03 
# DAL , EDM 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,20,91,21,3,6,35,12,89,26,37,71,35
2,1,0,20:00,4,1,91,89,1,0,0,0,0,20,91,21,3,6,35,12,89,26,37,71,35
3,1, ,19:38,3,6,0,0,0,0,0,0,0,20,91,21,3,6,35,12,89,26,37,71,35
4,1,0,19:37,4,1,91,26,3,0,0,0,0,20,91,21,3,6,35,12,89,26,37,71,35
5,1,0,19:24,13,1,71,21,2,0,0,0,0,20,91,21,3,6,35,12,89,26,37,71,35
6,1,0,19:22,1,1,89,0,3,8,1,0,0,20,91,21,3,6,35,12,89,26,37,71,35
7,1, ,19:21,3,1,0,0,0,0,0,0,0,20,91,21,3,6,35,12,89,26,37,71,35
8,1,0,19:21,4,0,9,10,2,0,0,0,0,9,26,18,5,55,35,10,27,85,44,77,35
9,1,0,18:35,9,0,55,0,2,0,0,0,0,9,26,18,5,55,35,10,27,85,44,77,35
10,1,0,17:54,5,0,2,13,2,0,0,0,0,29,63,37,2,27,35,13,67,18,5,24,35
11,1,0,17:23,9,1,24,0,2,0,0,0,0,29,63,37,3,6,35,51,67,24,37,43,35
12,1,0,17:23,1,0,3,0,3,61,3,0,0,29,63,37,3,6,35,51,67,24,37,43,35
13,1,0,17:01,5,1,46,3,3,0,0,0,0,17,13,22,3,6,35,51,46,37,43,71,35
14,1,0,16:56,6,1,43,13,1,0,0,0,0,17,13,22,3,6,35,51,46,37,43,71,35
15,1,1,16:56,6,0,13,43,1,0,0,0,0,17,13,22,3,6,35,51,46,37,71,35,0
16,1,0,16:56,4,1,91,89,1,0,0,0,0,20,91,21,5,55,35,12,89,26,37,71,35
17,1,0,16:49,8,0,20,0,3,0,0,0,0,20,91,21,5,55,35,12,89,26,37,71,35
18,1, ,15:58,3,6,0,0,0,0,0,0,0,91,26,18,3,6,35,10,27,85,44,77,35
19,1,0,15:57,4,1,91,27,3,0,0,0,0,91,26,18,3,6,35,10,27,85,44,77,35
20,1,0,15:53,13,1,77,91,2,0,0,0,0,91,26,18,3,6,35,10,27,85,44,77,35
21,1,0,15:30,8,0,18,0,3,0,0,0,0,9,26,18,3,6,35,10,27,85,44,77,35
22,1,0,15:26,1,0,26,0,3,36,3,0,0,9,26,18,3,6,35,10,27,85,44,77,35
23,1, ,15:25,3,4,0,0,0,0,0,0,0,9,26,18,3,6,35,10,27,85,44,77,35
24,1,0,15:25,4,0,63,13,3,0,0,0,0,29,63,37,2,27,35,13,67,18,5,24,35
25,1,0,15:14,5,1,5,63,2,0,0,0,0,29,63,37,2,27,35,13,67,18,5,24,35
26,1,0,14:55,9,1,18,0,3,0,0,0,0,29,63,37,2,27,35,13,67,18,5,24,35
27,1,0,14:51,13,0,29,24,2,0,0,0,0,29,63,37,27,55,35,13,67,18,5,24,35
28,1, ,14:49,3,8,0,0,0,0,0,0,0,29,63,37,27,55,35,13,67,18,5,24,35
29,1,0,14:49,4,0,9,10,3,0,0,0,0,9,26,18,5,55,35,10,27,85,44,77,35
30,1,0,14:45,1,0,9,0,3,63,1,0,0,9,26,18,5,55,35,10,27,85,44,77,35
31,1,0,14:41,9,1,44,0,2,0,0,0,0,9,26,18,5,55,35,10,27,85,44,77,35
32,1,0,14:40,7,0,9,0,3,46,3,0,0,9,26,18,5,55,35,10,27,85,44,77,35
33,1,0,14:36,6,1,10,9,2,0,0,0,0,9,91,26,18,5,55,10,27,85,44,77,35
34,1,-1,14:36,4,1,63,51,2,0,0,0,0,9,63,26,18,3,35,51,18,24,37,35,0
35,1,1,14:26,9,0,26,0,3,0,0,0,0,9,63,26,18,3,35,51,18,24,37,35,0
36,1,-1,14:01,8,1,24,0,2,0,0,0,0,9,63,26,18,3,35,51,26,24,37,35,0
37,1,1,13:15,9,0,91,0,3,0,0,0,0,9,63,91,21,5,35,13,18,24,37,35,0
38,1,-1,12:45,8,1,77,0,2,0,0,0,0,91,37,21,5,6,35,51,18,44,77,35,0
39,1,0,12:31,7,0,37,0,3,13,6,0,0,91,37,21,2,6,35,10,27,85,44,77,35
40,1, ,12:21,3,9,0,0,0,0,0,0,0,91,37,21,2,6,35,10,27,85,44,71,35
41,1,0,12:21,4,1,17,51,1,0,0,0,0,17,29,22,2,27,35,51,27,46,5,71,35
42,1,0,12:07,7,1,46,0,3,13,1,0,0,17,29,22,2,27,35,51,27,46,5,71,35
43,1,0,11:59,13,0,22,5,1,0,0,0,0,17,29,22,2,27,35,51,27,46,5,71,35
44,1,0,11:53,6,1,27,22,1,0,0,0,0,17,29,22,2,27,35,51,27,46,44,71,35
45,1,1,11:53,6,0,22,27,1,0,0,0,0,17,29,22,2,27,35,51,46,44,71,35,0
46,1,0,11:53,4,0,91,89,1,0,0,0,0,20,91,21,5,55,35,12,89,26,37,71,35
47,1,0,11:19,2,1,26,0,3,53,3,89,71,20,91,21,5,55,35,12,89,26,37,71,35
48,1,0,11:19,4,0,9,10,1,0,0,0,0,9,26,18,3,6,35,10,18,85,44,77,35
49,1,0,11:14,9,0,9,0,1,0,0,0,0,9,26,18,3,6,35,10,18,85,44,77,35
50,1,0,11:14,1,1,18,0,3,43,3,0,0,9,26,18,3,6,35,10,18,85,44,77,35
51,1,0,10:46,9,1,77,0,2,0,0,0,0,9,26,18,3,6,35,10,18,85,44,77,35
52,1,0,10:41,7,0,9,0,3,47,3,0,0,9,26,18,3,6,35,10,18,85,44,77,35
53,1,0,10:23,2,1,44,0,3,22,3,10,85,9,26,18,3,6,35,10,18,85,44,77,35
54,1, ,10:23,3,0,0,0,0,0,0,0,0,9,26,18,3,6,35,10,18,85,44,77,35
55,1,0,10:23,4,1,63,51,1,0,0,0,0,29,63,37,2,27,35,51,46,5,24,43,35
56,1,0,10:06,5,1,46,2,3,0,0,0,0,29,63,37,2,27,35,51,46,5,24,43,35
57,1,0,9:53,6,1,5,63,3,0,0,0,0,29,63,37,2,27,35,51,46,5,24,43,35
58,1,-1,9:53,4,1,91,51,2,0,0,0,0,9,91,37,21,3,35,10,51,24,37,35,0
59,1,1,9:15,7,0,9,0,3,64,3,0,0,9,91,37,21,3,35,51,26,24,37,35,0
60,1, ,9:01,3,2,0,0,0,0,0,0,0,9,91,37,21,3,35,10,18,24,44,35,0
61,1,-1,9:00,4,1,29,10,1,0,0,0,0,29,63,26,5,55,35,10,18,44,77,35,0
62,1,1,8:33,1,0,26,0,3,24,5,0,0,29,63,26,5,55,35,10,18,44,77,35,0
63,1, ,8:32,3,1,0,0,0,0,0,0,0,29,63,26,5,55,35,10,18,44,77,35,0
64,1,-1,8:32,4,1,29,10,2,0,0,0,0,29,63,26,5,55,35,10,51,44,77,35,0
65,1,1,8:27,8,0,26,0,3,0,0,0,0,29,63,26,5,55,35,10,51,44,77,35,0
66,1,-1,8:10,13,0,55,51,2,0,0,0,0,29,63,26,5,55,35,10,51,44,77,35,0
67,1,0,7:42,1,0,29,0,3,20,5,0,0,9,29,63,26,5,6,51,26,5,44,77,35
68,1,0,7:38,6,1,35,5,0,0,0,0,0,9,91,37,21,3,35,10,18,24,37,35,0
69,1,-1,7:38,4,1,91,10,2,0,0,0,0,9,91,37,21,3,35,10,18,24,37,35,0
70,1,1,7:27,9,0,91,0,3,0,0,0,0,9,91,37,21,3,35,10,18,24,37,35,0
71,1,1,7:12,1,0,9,0,3,57,1,0,0,9,91,37,21,3,35,10,18,24,37,35,0
72,1,1,7:06,9,0,91,0,3,0,0,0,0,9,91,37,21,3,35,10,18,24,37,35,0
73,1,1,6:57,5,0,37,18,2,0,0,0,0,9,91,37,21,3,35,10,18,37,77,35,0
74,1,1,6:36,1,0,21,0,3,16,6,0,0,9,63,91,21,3,35,10,26,44,77,35,0
75,1,-1,6:15,13,0,26,77,2,0,0,0,0,29,63,26,5,6,35,51,26,44,77,35,0
76,1,1,6:07,1,0,6,0,3,15,5,0,0,29,63,26,5,6,35,10,18,24,44,35,0
77,1,1,5:42,7,0,6,0,3,62,2,0,0,29,63,26,5,6,35,10,18,24,44,35,0
78,1,0,5:07,9,0,13,0,2,0,0,0,0,17,20,13,2,6,35,10,18,85,24,71,35
79,1,0,5:06,7,1,10,0,3,40,2,0,0,17,20,13,2,6,35,10,18,85,24,71,35
80,1,0,4:57,13,1,71,20,2,0,0,0,0,17,20,13,2,6,35,10,18,85,24,71,35
81,1,0,4:33,8,0,20,0,1,0,0,0,0,17,20,13,2,27,35,12,13,89,44,77,35
82,1,0,4:25,5,1,44,13,2,0,0,0,0,17,20,13,5,55,35,12,13,89,44,77,35
83,1,0,4:16,13,1,77,5,2,0,0,0,0,17,20,13,5,55,35,12,13,89,44,77,35
84,1,0,4:14,9,0,5,0,2,0,0,0,0,17,20,13,5,55,35,12,13,89,44,77,35
85,1, ,4:05,3,0,0,0,0,0,0,0,0,17,20,13,5,55,35,12,13,89,44,77,35
86,1,0,4:05,4,1,9,10,3,0,0,0,0,9,26,18,3,6,35,10,27,85,44,77,35
87,1,0,4:02,7,1,44,0,3,65,2,0,0,9,26,18,3,6,35,10,27,85,44,77,35
88,1,0,3:35,1,0,26,0,3,47,3,0,0,9,26,18,3,6,35,10,27,85,44,77,35
89,1,0,3:22,5,0,2,27,2,0,0,0,0,9,26,18,2,3,35,10,27,46,5,77,35
90,1,0,3:14,5,1,46,3,3,0,0,0,0,9,26,18,2,3,35,10,46,5,24,43,35
91,1,0,2:59,5,0,2,43,2,0,0,0,0,9,26,18,2,3,35,51,46,5,24,43,35
92,1,0,2:53,5,1,46,18,3,0,0,0,0,9,26,18,2,3,35,51,46,5,24,43,35
93,1, ,2:39,3,10,0,0,0,0,0,0,0,20,91,21,5,55,35,12,51,46,5,24,35
94,1,0,2:39,4,0,91,89,1,0,0,0,0,20,91,21,5,55,35,12,89,26,37,71,35
95,1,0,2:08,5,0,5,26,2,0,0,0,0,20,91,21,5,55,35,12,89,26,37,71,35
96,1,0,2:02,1,0,55,0,1,72,2,0,0,20,91,37,5,55,35,12,89,26,37,71,35
97,1, ,2:00,3,1,0,0,0,0,0,0,0,20,91,37,5,55,35,12,89,26,37,71,35
98,1,0,2:00,4,1,29,51,2,0,0,0,0,29,63,37,2,27,35,13,51,18,5,24,35
99,1, ,1:52,3,10,0,0,0,0,0,0,0,29,63,37,2,27,35,13,51,18,5,24,35
100,1,0,1:52,4,1,29,10,2,0,0,0,0,29,63,37,2,27,35,10,13,18,5,24,35
101,1,0,1:07,1,1,13,0,3,39,3,0,0,63,37,18,3,6,35,13,67,27,44,77,35
102,1,0,1:05,6,1,67,3,3,0,0,0,0,63,37,18,3,6,35,13,67,27,44,77,35
103,1,-1,1:05,4,1,91,10,2,0,0,0,0,9,91,26,21,5,35,10,18,44,77,35,0
104,1,1,0:44,7,0,5,0,3,60,2,0,0,9,91,26,21,5,35,10,18,44,77,35,0
105,1,1,0:39,6,0,26,35,3,0,0,0,0,9,91,26,21,5,35,10,18,44,77,35,0
106,1,0,0:39,4,1,91,13,3,0,0,0,0,91,21,6,55,35,0,12,13,44,77,35,0
107,1,0,0:27,1,0,91,0,3,46,1,0,0,91,21,6,55,35,0,12,13,44,77,35,0
108,1,0,0:20,1,0,21,0,3,15,1,0,0,91,21,6,55,35,0,12,13,44,77,35,0
109,1,0,0:02,7,0,91,0,3,34,3,0,0,91,21,6,55,35,0,12,13,44,77,35,0
110,1, ,0:00,11,0,0,0,0,0,0,0,0,91,21,6,55,35,0,12,13,44,77,35,0
111,2, ,20:00,10,0,0,0,0,0,0,0,0,29,63,5,55,35,0,12,13,37,77,35,0
112,2,0,20:00,4,1,63,13,1,0,0,0,0,29,63,5,55,35,0,12,13,37,77,35,0
113,2,0,19:32,7,0,55,0,3,29,1,0,0,29,63,5,55,35,0,12,13,37,77,35,0
114,2,0,19:17,8,0,55,0,2,0,0,0,0,29,63,5,55,35,0,12,13,37,44,35,0
115,2,0,19:11,1,0,29,0,3,45,3,0,0,29,63,3,6,35,0,10,12,37,44,35,0
116,2,0,19:07,7,0,29,0,3,12,6,0,0,29,63,3,6,35,0,10,12,37,44,35,0
117,2,-1,19:04,1,0,6,0,3,61,2,0,0,29,63,3,6,35,0,10,12,67,37,44,35
118,2,1,18:53,1,1,44,0,3,39,2,0,0,29,63,3,6,35,0,10,67,26,44,71,35
119,2, ,18:52,3,1,0,0,0,0,0,0,0,29,63,3,6,35,0,10,67,26,44,71,35
120,2,-1,18:52,4,0,91,10,2,0,0,0,0,91,21,3,6,35,0,10,27,26,44,71,35
121,2,0,18:19,9,0,3,0,2,0,0,0,0,91,26,21,3,6,35,13,27,26,24,71,35
122,2,0,18:14,9,1,27,0,3,0,0,0,0,91,26,21,3,6,35,13,27,26,24,71,35
123,2,0,18:09,13,0,6,71,2,0,0,0,0,91,26,21,3,6,35,13,67,18,24,71,35
124,2,0,17:51,8,1,71,0,2,0,0,0,0,91,26,21,2,55,35,13,67,18,24,71,35
125,2, ,17:37,3,6,0,0,0,0,0,0,0,9,17,18,2,55,35,13,67,18,24,71,35
126,2,0,17:37,4,0,9,13,3,0,0,0,0,9,17,18,5,55,35,13,67,18,24,71,35
127,2,0,17:35,1,0,5,0,3,60,2,0,0,9,17,18,5,55,35,13,67,18,24,71,35
128,2,0,17:25,7,0,9,0,3,30,3,0,0,9,17,18,5,55,35,13,67,18,24,71,35
129,2,0,17:25,9,1,67,0,2,0,0,0,0,9,17,18,5,55,35,13,67,18,24,71,35
130,2,0,17:18,9,1,24,0,2,0,0,0,0,9,17,18,5,55,35,13,67,18,24,71,35
131,2,0,17:03,1,0,18,0,3,45,1,0,0,9,17,18,5,55,35,89,18,26,5,24,35
132,2, ,17:02,3,1,0,0,0,0,0,0,0,9,17,18,5,55,35,89,18,26,5,24,35
133,2,0,17:02,4,0,63,89,3,0,0,0,0,29,63,37,2,6,35,12,89,26,5,24,35
134,2,0,16:57,13,0,2,26,2,0,0,0,0,29,63,37,2,6,35,12,89,26,5,24,35
135,2,0,16:44,1,1,12,0,3,26,3,0,0,29,63,37,2,6,35,12,89,26,5,24,35
136,2,0,16:43,1,1,89,0,3,24,1,0,0,29,63,37,2,6,35,12,89,26,5,24,35
137,2,0,16:41,6,0,2,26,2,0,0,0,0,29,63,37,2,6,35,12,89,26,5,24,35
138,2,-1,16:41,4,0,9,13,2,0,0,0,0,9,26,3,6,35,0,12,13,89,44,71,35
139,2,-1,15:53,5,0,20,13,2,0,0,0,0,17,20,5,55,35,0,12,13,89,44,71,35
140,2,1,15:22,7,1,44,0,3,56,2,0,0,17,91,5,55,35,0,10,27,26,44,71,35
141,2, ,14:01,3,6,0,0,0,0,0,0,0,29,63,37,3,5,35,51,46,37,43,77,35
142,2,0,14:00,4,0,63,13,2,0,0,0,0,29,63,37,3,5,35,13,67,18,5,24,35
143,2,0,13:47,9,0,37,0,1,0,0,0,0,29,63,37,3,5,35,13,67,18,5,24,35
144,2,0,13:35,13,1,18,3,2,0,0,0,0,9,37,18,3,5,35,13,67,18,5,24,35
145,2,0,13:28,7,1,24,0,3,65,2,0,0,9,37,18,3,5,35,13,67,18,5,24,35
146,2,0,13:12,1,1,67,0,3,25,3,0,0,9,37,18,3,5,35,13,67,18,5,24,35
147,2,0,13:10,6,0,3,67,2,0,0,0,0,9,37,18,3,5,35,13,67,89,18,5,24
148,2, ,13:10,3,9,0,0,0,0,0,0,0,9,37,18,5,35,0,13,67,89,18,5,24
149,2,1,13:10,4,1,91,10,3,0,0,0,0,91,21,2,6,35,0,10,27,26,44,77,35
150,2,1,13:08,1,1,44,0,3,60,2,0,0,91,21,2,6,35,0,10,27,26,44,77,35
151,2, ,13:07,3,1,0,0,0,0,0,0,0,91,21,2,6,35,0,10,27,26,44,77,35
152,2,-1,13:07,4,0,91,10,2,0,0,0,0,91,21,2,6,35,0,10,27,26,44,71,35
153,2,1,12:39,7,1,44,0,3,59,2,0,0,91,21,2,6,35,0,10,27,26,44,71,35
154,2,1,12:37,2,1,27,0,3,12,1,44,10,91,21,2,6,35,0,10,27,26,44,71,35
155,2,0,12:37,4,0,9,13,1,0,0,0,0,9,26,18,5,55,35,13,67,18,5,24,35
156,2,0,12:25,1,0,18,0,3,34,2,0,0,9,26,18,5,55,35,13,67,18,5,24,35
157,2, ,12:24,3,1,0,0,0,0,0,0,0,9,26,18,5,55,35,13,67,18,5,24,35
158,2,0,12:24,4,0,9,10,3,0,0,0,0,9,26,18,5,55,35,10,27,85,5,24,35
159,2,0,12:22,1,0,18,0,3,47,1,0,0,9,26,18,5,55,35,10,27,85,5,24,35
160,2, ,12:21,3,1,0,0,0,0,0,0,0,9,26,18,5,55,35,10,27,85,5,24,35
161,2,0,12:21,4,1,9,51,2,0,0,0,0,9,26,18,5,55,35,10,51,27,5,24,35
162,2,0,12:03,5,1,10,55,3,0,0,0,0,9,26,18,5,55,35,10,27,85,5,24,35
163,2,0,11:50,5,1,85,9,3,0,0,0,0,9,26,18,5,55,35,10,27,85,5,24,35
164,2,0,11:23,8,1,37,0,2,0,0,0,0,29,63,13,2,27,35,51,46,37,43,71,35
165,2,0,11:13,5,1,43,2,3,0,0,0,0,29,63,13,2,27,35,51,46,37,43,71,35
166,2,0,10:31,1,1,26,0,3,30,3,0,0,20,91,21,3,6,35,12,89,26,37,71,35
167,2,0,10:22,8,1,26,0,1,0,0,0,0,20,91,21,3,6,35,12,89,26,37,71,35
168,2,0,10:17,7,1,12,0,3,17,3,0,0,20,91,21,3,6,35,12,89,26,44,77,35
169,2, ,9:45,3,6,0,0,0,0,0,0,0,20,91,21,3,6,35,13,67,18,5,24,35
170,2,0,9:45,4,0,91,13,2,0,0,0,0,20,91,21,3,6,35,13,67,18,5,24,35
171,2,0,9:21,9,1,5,0,2,0,0,0,0,20,91,26,2,27,35,13,67,18,5,24,35
172,2,0,9:10,1,1,67,0,3,47,2,0,0,91,26,18,2,27,35,13,67,18,5,24,35
173,2,0,8:23,6,1,27,37,3,0,0,0,0,9,37,18,2,27,35,10,27,85,37,71,35
174,2, ,8:23,3,9,0,0,0,0,0,0,0,9,37,18,2,27,35,10,85,37,71,35,0
175,2,1,8:23,4,0,29,51,3,0,0,0,0,9,29,63,18,3,35,51,26,24,37,35,0
176,2,1,8:14,7,0,63,0,3,51,2,0,0,9,29,63,18,3,35,51,26,24,37,35,0
177,2,1,7:49,1,0,9,0,3,55,3,0,0,9,29,63,18,3,35,51,26,24,37,35,0
178,2, ,7:48,3,1,0,0,0,0,0,0,0,9,29,63,18,3,35,51,26,24,37,35,0
179,2,1,7:48,4,0,91,10,3,0,0,0,0,9,91,26,21,3,35,10,18,44,77,35,0
180,2,-1,7:40,5,1,18,3,2,0,0,0,0,9,91,26,21,3,35,10,18,44,77,35,0
181,2,1,7:07,1,0,91,0,3,60,2,0,0,9,91,26,21,3,35,10,18,44,77,35,0
182,2, ,7:06,3,4,0,0,0,0,0,0,0,29,63,37,5,55,35,10,18,44,77,35,0
183,2,1,7:06,4,0,63,51,1,0,0,0,0,29,63,37,5,55,35,51,26,44,77,35,0
184,2,-1,6:39,7,1,26,0,3,36,1,0,0,29,63,37,5,55,35,51,26,44,77,35,0
185,2,1,6:31,7,0,37,0,3,32,2,0,0,29,63,37,5,55,35,13,51,5,71,35,0
186,2,0,6:18,7,1,51,0,3,18,6,0,0,29,63,37,5,55,35,13,51,27,5,71,35
187,2,0,6:10,8,0,55,0,2,0,0,0,0,29,63,37,5,55,35,10,13,27,5,71,35
188,2, ,6:02,3,6,0,0,0,0,0,0,0,29,63,37,5,55,35,10,13,18,5,71,35
189,2,0,6:02,4,1,63,10,3,0,0,0,0,29,63,37,5,55,35,10,27,85,5,24,35
190,2,0,5:58,7,1,10,0,3,16,5,0,0,29,63,37,5,55,35,10,27,85,5,24,35
191,2,0,5:53,5,0,5,85,2,0,0,0,0,29,63,37,5,55,35,10,27,85,5,24,35
192,2,0,5:31,9,1,27,0,3,0,0,0,0,9,26,18,2,27,35,10,27,85,5,24,35
193,2,0,5:22,9,1,5,0,2,0,0,0,0,9,26,18,2,27,35,10,12,26,5,24,35
194,2,0,5:14,9,1,24,0,2,0,0,0,0,9,26,18,2,27,35,10,12,26,5,24,35
195,2,0,5:00,13,0,9,5,2,0,0,0,0,9,26,18,3,27,35,12,89,26,5,24,35
196,2, ,4:59,3,0,0,0,0,0,0,0,0,9,26,18,3,27,35,12,89,26,5,24,35
197,2,0,4:59,4,0,91,89,3,0,0,0,0,20,91,21,3,6,35,12,89,26,37,71,35
198,2,0,4:54,1,0,21,0,3,42,1,0,0,20,91,21,3,6,35,12,89,26,37,71,35
199,2,0,4:14,9,1,12,0,3,0,0,0,0,20,91,21,3,6,35,12,89,26,44,71,35
200,2,0,3:30,13,0,17,44,2,0,0,0,0,17,29,13,2,27,35,13,67,18,44,77,35
201,2,0,3:17,7,1,18,0,3,18,5,0,0,17,29,13,2,27,35,13,67,18,5,77,35
202,2,0,3:11,1,0,27,0,3,45,2,0,0,17,29,13,2,27,35,13,67,18,5,77,35
203,2, ,3:10,3,1,0,0,0,0,0,0,0,17,29,13,2,27,35,13,67,18,5,77,35
204,2,0,3:10,4,1,63,10,2,0,0,0,0,20,63,37,5,55,35,10,27,85,5,24,35
205,2, ,3:05,3,3,0,0,0,0,0,0,0,20,63,37,5,55,35,10,27,85,5,24,35
206,2,0,3:05,4,1,63,10,2,0,0,0,0,20,63,37,5,55,35,10,27,85,5,24,35
207,2, ,2:47,3,2,0,0,0,0,0,0,0,20,63,37,5,55,35,10,27,46,5,24,35
208,2,0,2:47,4,0,9,10,1,0,0,0,0,9,26,18,2,27,35,10,27,46,44,77,35
209,2,0,2:15,13,0,27,44,2,0,0,0,0,9,26,18,2,27,35,10,27,46,44,77,35
210,2,0,2:14,2,0,18,0,3,26,1,26,0,9,26,18,2,27,35,10,27,46,44,77,35
211,2,0,2:14,4,0,63,13,1,0,0,0,0,29,63,13,3,6,35,13,67,18,37,71,35
212,2,0,1:53,9,1,71,0,2,0,0,0,0,29,63,13,3,6,35,13,67,18,37,71,35
213,2,0,1:52,1,0,6,0,3,60,2,0,0,29,63,13,3,6,35,13,67,18,37,71,35
214,2,0,1:50,1,0,29,0,3,22,1,0,0,29,63,13,3,6,35,13,67,18,37,71,35
215,2, ,1:49,3,1,0,0,0,0,0,0,0,29,63,13,3,6,35,13,67,18,37,71,35
216,2,0,1:49,4,1,9,10,2,0,0,0,0,9,26,18,3,6,35,10,27,26,5,24,35
217,2,0,1:24,5,0,18,5,3,0,0,0,0,9,26,18,3,6,35,10,27,26,5,24,35
218,2,0,1:14,5,1,26,18,3,0,0,0,0,9,26,18,3,6,35,10,27,26,5,24,35
219,2,0,1:10,5,1,27,3,3,0,0,0,0,9,26,18,3,6,35,10,27,26,5,24,35
220,2,0,0:51,13,0,20,5,2,0,0,0,0,20,91,21,5,55,35,51,27,26,5,24,35
221,2,0,0:32,13,0,91,43,2,0,0,0,0,20,91,21,5,55,35,51,26,5,43,71,35
222,2, ,0:17,3,2,0,0,0,0,0,0,0,20,91,21,5,55,35,51,46,37,43,71,35
223,2,0,0:17,4,1,63,51,1,0,0,0,0,29,63,13,2,27,35,51,46,37,43,71,35
