# 2009/01/03 
# PHI , L.A 
# 1 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,17,9,19,23,44,30,11,12,23,6,8,32
2,1,0,20:00,4,0,17,11,1,0,0,0,0,17,9,19,23,44,30,11,12,23,6,8,32
3,1,0,19:56,5,1,23,44,3,0,0,0,0,17,9,19,23,44,30,11,12,23,6,8,32
4,1,0,19:47,5,1,23,17,3,0,0,0,0,17,9,19,23,44,30,11,12,23,6,8,32
5,1,0,19:38,6,0,17,23,3,0,0,0,0,17,9,19,23,44,30,11,12,23,6,8,32
6,1,-1,19:38,4,0,18,28,2,0,0,0,0,18,22,23,44,30,0,26,28,54,24,27,32
7,1,1,19:03,7,1,28,0,3,57,2,0,0,18,22,23,44,30,0,26,28,54,24,27,32
8,1,1,18:48,7,1,27,0,3,53,2,0,0,18,22,23,44,30,0,26,28,54,24,27,32
9,1, ,18:40,3,2,0,0,0,0,0,0,0,13,19,23,44,30,0,26,28,54,24,27,32
10,1,1,18:40,4,1,13,11,2,0,0,0,0,13,19,5,41,30,0,11,12,23,5,8,32
11,1,-1,18:22,13,1,5,5,2,0,0,0,0,13,19,5,41,30,0,11,12,23,5,8,32
12,1,-1,18:17,5,0,19,23,2,0,0,0,0,13,19,5,41,30,0,11,12,23,5,8,32
13,1,1,18:13,1,1,11,0,3,13,1,0,0,13,19,5,41,30,0,11,12,23,5,8,32
14,1, ,18:12,3,1,0,0,0,0,0,0,0,13,19,5,41,30,0,11,12,23,5,8,32
15,1,1,18:12,4,1,18,11,3,0,0,0,0,18,22,23,44,30,0,11,12,23,5,8,32
16,1,1,18:03,1,1,5,0,3,53,2,0,0,18,22,23,44,30,0,11,12,23,5,8,32
17,1,-1,17:46,5,0,41,11,2,0,0,0,0,18,22,5,41,30,0,11,12,23,5,8,32
18,1,0,17:29,7,1,2,0,3,56,2,0,0,17,22,5,41,47,30,26,17,24,2,27,32
19,1,0,17:17,1,0,47,0,3,21,6,0,0,22,32,6,25,47,30,26,17,24,2,27,32
20,1,0,17:06,5,0,32,26,3,0,0,0,0,22,32,6,25,47,30,26,17,24,2,27,32
21,1,0,16:49,9,0,6,0,2,0,0,0,0,22,32,6,25,47,30,26,17,24,2,27,32
22,1,0,16:30,5,1,28,23,3,0,0,0,0,17,9,19,23,44,30,28,54,19,6,8,32
23,1,0,16:24,5,1,28,23,3,0,0,0,0,17,9,19,23,44,30,28,54,19,6,8,32
24,1,0,16:11,8,0,44,0,2,0,0,0,0,17,9,19,23,44,30,28,54,19,6,8,32
25,1,0,16:04,7,0,19,0,3,43,1,0,0,17,9,19,5,25,30,28,54,19,6,8,32
26,1, ,15:59,3,2,0,0,0,0,0,0,0,17,9,19,5,25,30,28,54,19,6,8,32
27,1,0,15:59,4,0,18,22,1,0,0,0,0,18,36,3,5,25,30,22,13,41,5,21,32
28,1,0,14:59,13,1,11,6,2,0,0,0,0,17,9,19,6,41,30,11,12,23,2,27,32
29,1,0,14:54,9,0,17,0,1,0,0,0,0,17,9,19,6,41,30,11,12,23,2,27,32
30,1,0,14:52,5,0,41,12,2,0,0,0,0,17,9,19,6,41,30,11,12,23,2,27,32
31,1,0,14:31,5,1,23,6,3,0,0,0,0,17,9,19,6,41,30,11,12,23,2,27,32
32,1,0,14:00,5,1,17,23,3,0,0,0,0,13,32,46,23,44,30,26,17,24,5,21,32
33,1,0,13:14,7,1,19,0,3,45,1,0,0,18,22,6,25,47,30,28,54,19,6,8,32
34,1,0,13:01,9,0,18,0,3,0,0,0,0,18,22,6,41,47,30,28,54,19,6,8,32
35,1, ,12:45,3,6,0,0,0,0,0,0,0,18,22,6,41,47,30,28,54,19,6,8,32
36,1,0,12:45,4,1,18,13,3,0,0,0,0,18,22,6,41,47,30,22,13,41,2,27,32
37,1,0,12:35,5,1,41,6,3,0,0,0,0,18,22,6,41,47,30,22,13,41,2,27,32
38,1,0,12:13,7,1,2,0,3,57,1,0,0,18,22,6,41,47,30,22,13,41,2,27,32
39,1,0,12:06,5,0,18,22,2,0,0,0,0,18,22,6,41,47,30,22,13,41,2,27,32
40,1,0,12:05,8,0,18,0,2,0,0,0,0,18,22,6,41,47,30,22,13,41,2,27,32
41,1,0,11:58,6,1,22,18,0,0,0,0,0,18,22,6,41,47,30,22,13,41,2,27,32
42,1, ,11:58,3,9,0,0,0,0,0,0,0,18,22,6,41,47,30,13,41,2,27,32,0
43,1,1,11:58,4,0,17,26,3,0,0,0,0,17,9,19,5,44,30,26,24,6,8,32,0
44,1,1,11:51,7,0,44,0,3,64,1,0,0,17,9,19,5,44,30,26,24,6,8,32,0
45,1,1,11:43,1,0,17,0,3,16,1,0,0,17,9,19,5,44,30,26,24,6,8,32,0
46,1,-1,11:22,9,1,24,0,2,0,0,0,0,17,9,19,5,44,30,26,24,6,8,32,0
47,1,1,11:14,1,0,17,0,3,36,1,0,0,17,9,19,5,44,30,26,24,6,8,32,0
48,1,-1,10:45,5,1,21,17,2,0,0,0,0,17,18,19,25,44,30,26,28,2,21,32,0
