# 2009/01/08 
# MIN , PHI 
# 1 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,9,96,15,5,55,32,18,22,12,23,44,43
2,1,0,20:00,4,1,9,18,1,0,0,0,0,9,96,15,5,55,32,18,22,12,23,44,43
3,1,0,19:49,1,1,44,0,1,74,1,0,0,9,96,15,3,55,32,18,22,12,23,44,43
4,1,0,19:37,9,1,44,0,2,0,0,0,0,9,96,15,3,55,32,18,22,12,23,44,43
5,1,0,19:27,5,1,18,9,1,0,0,0,0,9,96,15,3,55,32,18,22,12,23,44,43
6,1,0,19:04,1,1,19,0,1,81,1,0,0,25,11,20,8,55,32,17,9,19,5,44,43
7,1,0,18:52,8,1,25,0,2,0,0,0,0,25,11,20,8,55,32,17,9,19,5,25,43
8,1,0,18:43,1,1,9,0,3,44,3,0,0,25,11,20,8,55,32,17,9,19,5,25,43
9,1,0,18:15,5,1,19,2,3,0,0,0,0,51,20,22,2,36,32,17,45,19,6,41,43
10,1,0,18:10,7,0,22,0,3,43,1,0,0,51,22,19,3,5,32,13,45,19,6,41,43
11,1, ,18:09,3,1,0,0,0,0,0,0,0,51,22,19,3,5,32,13,14,45,6,41,43
12,1,0,18:09,4,1,51,13,2,0,0,0,0,51,22,19,3,5,32,13,14,45,6,41,43
13,1,0,17:51,5,0,3,14,1,0,0,0,0,51,22,19,3,5,32,13,14,45,6,41,43
14,1,0,17:40,5,1,45,22,3,0,0,0,0,51,22,19,3,5,32,13,14,45,6,41,43
15,1,0,17:19,5,1,36,12,2,0,0,0,0,39,12,67,2,36,32,36,24,32,23,44,43
16,1,0,17:02,6,0,36,24,0,0,0,0,0,9,12,67,2,36,32,36,24,32,23,44,43
17,1,1,17:02,6,1,24,36,0,0,0,0,0,9,12,67,2,32,0,36,24,32,23,44,43
18,1,0,17:02,4,1,9,18,2,0,0,0,0,9,96,8,55,32,0,18,12,5,25,43,0
19,1,0,16:48,8,0,8,0,2,0,0,0,0,9,96,8,55,32,0,18,12,5,25,43,0
20,1,0,16:41,7,0,8,0,3,20,1,0,0,9,96,8,55,32,0,18,12,5,25,43,0
21,1,0,16:32,9,0,8,0,2,0,0,0,0,9,20,8,55,32,0,18,12,5,25,43,0
22,1, ,16:32,3,2,0,0,0,0,0,0,0,9,20,8,55,32,0,18,12,5,25,43,0
23,1,0,16:32,4,0,25,17,1,0,0,0,0,25,20,3,5,32,0,17,19,6,41,43,0
24,1,0,16:17,7,0,5,0,3,8,0,0,0,25,20,3,5,32,0,17,19,6,41,43,0
25,1,0,16:07,13,1,17,3,2,0,0,0,0,25,20,3,5,32,0,17,19,6,41,43,0
26,1,0,15:44,8,0,20,0,2,0,0,0,0,25,20,3,5,32,0,17,19,6,25,43,0
27,1,0,15:36,1,0,8,0,3,33,3,0,0,51,20,8,55,32,0,17,19,6,25,43,0
28,1, ,15:35,3,1,0,0,0,0,0,0,0,51,20,8,55,32,0,17,19,6,25,43,0
29,1,0,15:35,4,1,51,18,2,0,0,0,0,51,11,8,55,32,0,18,9,5,25,43,0
30,1,0,15:04,7,0,8,0,3,16,6,0,0,51,11,5,8,32,0,18,9,5,25,43,0
31,1, ,15:02,3,8,0,0,0,0,0,0,0,51,11,5,8,36,32,18,9,24,5,25,43
32,1,0,15:02,4,0,9,17,3,0,0,0,0,9,96,15,3,5,32,17,14,19,23,44,43
33,1,0,14:48,13,1,19,3,2,0,0,0,0,9,96,15,3,5,32,17,14,19,23,44,43
34,1,0,14:27,1,0,3,0,3,21,1,0,0,9,96,15,3,5,32,17,14,19,23,44,43
35,1,0,14:18,9,0,15,0,3,0,0,0,0,9,96,15,3,5,32,17,14,19,23,44,43
36,1,0,14:01,8,0,55,0,2,0,0,0,0,51,22,19,3,55,32,17,45,19,6,41,43
37,1,0,13:48,1,1,13,0,3,50,1,0,0,51,22,19,2,36,32,13,36,45,6,41,43
38,1,0,13:43,5,1,45,51,3,0,0,0,0,51,22,19,2,36,32,13,36,45,6,41,43
39,1,0,13:27,5,0,22,6,3,0,0,0,0,51,22,67,2,36,32,13,36,45,6,41,43
40,1,0,13:08,1,0,39,0,3,37,1,0,0,39,12,67,8,36,32,13,36,45,6,41,43
41,1,0,13:03,5,0,12,45,3,0,0,0,0,39,12,67,8,55,32,13,36,45,6,41,43
42,1,0,12:54,13,0,67,6,2,0,0,0,0,9,12,67,8,55,32,18,22,12,6,41,43
43,1,0,12:39,9,0,55,0,2,0,0,0,0,9,96,15,8,55,32,18,22,12,5,25,43
44,1,0,11:32,8,0,20,0,3,0,0,0,0,25,11,20,8,55,32,17,9,19,23,44,43
45,1,0,11:16,6,1,19,22,1,0,0,0,0,51,22,19,8,36,32,17,9,19,23,41,43
46,1, ,11:16,3,9,0,0,0,0,0,0,0,9,96,11,15,3,32,18,22,23,44,43,0
47,1,1,11:16,4,0,9,18,3,0,0,0,0,9,96,11,15,3,32,18,22,23,44,43,0
48,1,-1,10:51,13,0,11,18,2,0,0,0,0,9,96,11,15,3,32,18,22,23,44,43,0
49,1,1,10:44,1,0,9,0,3,49,2,0,0,9,96,11,15,3,32,18,22,23,44,43,0
50,1, ,10:36,3,8,0,0,0,0,0,0,0,9,96,11,15,3,32,18,22,23,44,43,0
51,1,1,10:36,4,0,39,18,3,0,0,0,0,25,39,20,5,8,32,17,18,5,44,43,0
52,1,1,9:58,9,0,25,0,3,0,0,0,0,25,39,20,5,8,32,17,22,5,44,43,0
53,1,-1,9:55,1,1,17,0,3,43,1,0,0,25,39,20,5,8,32,17,22,5,44,43,0
54,1, ,9:54,3,1,0,0,0,0,0,0,0,9,96,11,15,3,32,13,14,6,41,43,0
55,1,-1,9:54,4,1,9,13,3,0,0,0,0,9,96,11,15,3,32,13,14,6,41,43,0
56,1,-1,9:52,1,1,6,0,3,65,1,0,0,9,96,11,15,3,32,13,14,6,41,43,0
57,1, ,9:51,3,1,0,0,0,0,0,0,0,9,96,11,15,3,32,13,14,6,41,43,0
58,1,1,9:51,4,0,9,13,2,0,0,0,0,9,96,11,15,3,32,13,14,6,41,43,0
59,1,0,9:07,5,0,3,14,1,0,0,0,0,9,11,15,3,5,32,13,14,19,6,41,43
60,1,0,8:02,9,1,44,0,2,0,0,0,0,51,22,19,3,5,32,36,24,32,23,44,43
61,1,0,7:49,2,0,19,0,3,19,1,22,5,51,22,19,3,5,32,36,24,32,23,44,43
62,1,0,7:49,4,1,39,17,1,0,0,0,0,39,12,67,5,36,32,17,14,19,6,41,43
63,1,0,7:23,9,1,6,0,1,0,0,0,0,25,11,20,3,5,32,17,14,19,6,41,43
64,1,0,7:16,7,1,19,0,3,36,3,0,0,25,11,20,3,5,32,17,14,19,6,41,43
