# 2009/01/08 
# T.B , PHX 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,20:00,4,0,11,39,1,0,0,0,0,11,76,12,44,54,41,39,13,17,53,55,30
3,1, ,19:18,3,6,0,0,0,0,0,0,0,11,76,12,44,54,41,39,13,17,53,55,30
4,1,0,19:18,4,0,4,13,3,0,0,0,0,4,20,26,2,14,41,39,13,17,53,55,30
5,1,0,19:07,1,0,2,0,3,59,2,0,0,4,20,26,2,14,41,39,13,17,53,55,30
6,1,0,18:38,1,1,19,0,3,16,1,0,0,4,20,26,2,14,41,12,28,19,4,44,30
7,1, ,18:36,3,1,0,0,0,0,0,0,0,4,20,26,2,14,41,12,28,19,4,44,30
8,1,0,18:36,4,0,34,11,2,0,0,0,0,34,8,24,44,54,41,11,18,41,3,53,30
9,1,0,17:43,7,0,91,0,3,44,2,0,0,91,18,36,22,32,41,88,91,89,21,55,30
10,1,0,17:41,1,0,36,0,3,51,1,0,0,91,18,36,22,32,41,88,91,89,21,55,30
11,1,0,17:36,1,0,18,0,3,14,5,0,0,91,18,36,22,32,41,88,91,89,21,55,30
12,1, ,17:35,3,1,0,0,0,0,0,0,0,91,18,36,22,32,41,88,91,89,21,55,30
13,1,0,17:35,4,0,11,39,3,0,0,0,0,11,76,12,2,14,41,39,13,17,53,55,30
14,1,0,17:29,13,0,12,55,2,0,0,0,0,11,76,12,2,14,41,39,13,17,53,55,30
15,1,0,17:18,1,0,2,0,3,49,1,0,0,11,76,12,2,14,41,39,13,17,53,55,30
16,1, ,17:17,3,1,0,0,0,0,0,0,0,11,76,12,2,14,41,39,13,17,53,55,30
