# 2009/01/14 
# BUF , CHI 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,55,29,10,27,40,10,88,55,8,51,38
2,1,0,20:00,4,1,19,10,1,0,0,0,0,19,55,29,10,27,40,10,88,55,8,51,38
3,1,0,19:32,5,1,10,10,3,0,0,0,0,19,55,29,10,27,40,10,88,55,8,51,38
4,1,0,19:20,13,1,8,55,2,0,0,0,0,19,55,29,10,27,40,10,88,55,8,51,38
5,1,0,18:26,5,1,33,28,3,0,0,0,0,22,28,21,5,52,40,19,33,16,2,7,38
6,1,0,18:20,1,1,19,0,3,46,5,0,0,22,28,21,5,52,40,19,33,16,2,7,38
7,1,0,17:27,1,1,37,0,3,62,2,0,0,20,37,41,10,27,40,46,28,37,8,51,38
8,1,0,16:18,1,0,29,0,3,26,2,0,0,19,55,29,5,52,40,19,32,33,8,51,38
9,1,0,16:01,1,1,2,0,3,64,2,0,0,19,55,29,5,52,40,10,32,33,2,7,38
10,1,0,15:49,1,1,7,0,3,63,2,0,0,19,55,29,5,52,40,10,32,33,2,7,38
11,1,0,15:22,5,0,12,55,2,0,0,0,0,22,28,12,6,44,40,10,88,55,2,7,38
12,1,0,15:16,1,0,28,0,3,18,6,0,0,22,28,12,6,44,40,10,88,55,2,7,38
13,1,0,15:08,13,0,12,2,2,0,0,0,0,22,28,12,6,44,40,10,88,55,2,7,38
14,1,0,14:36,5,1,16,6,3,0,0,0,0,9,21,26,6,44,40,36,24,16,25,43,38
15,1, ,14:30,3,2,0,0,0,0,0,0,0,9,21,26,6,44,40,36,24,16,25,43,38
16,1,0,14:30,4,1,37,46,1,0,0,0,0,20,37,41,10,27,40,46,28,37,8,51,38
17,1,0,13:36,13,0,41,8,2,0,0,0,0,20,37,41,10,27,40,46,28,37,8,51,38
18,1,0,13:24,5,1,33,27,2,0,0,0,0,19,55,29,10,27,40,19,32,33,8,51,38
19,1,0,13:18,1,0,29,0,3,21,2,0,0,19,55,29,5,52,40,19,32,33,2,51,38
20,1,0,12:47,5,0,5,7,2,0,0,0,0,19,55,29,5,52,40,19,32,33,2,7,38
21,1,0,12:32,1,0,12,0,3,32,2,0,0,22,28,12,6,44,40,19,88,55,2,7,38
22,1, ,12:32,3,0,0,0,0,0,0,0,0,22,28,12,6,44,40,19,88,55,2,7,38
23,1,0,12:32,4,0,22,10,3,0,0,0,0,22,28,12,6,44,40,10,88,55,25,43,38
24,1,0,12:07,5,0,12,10,2,0,0,0,0,22,28,12,6,44,40,10,88,55,25,43,38
25,1, ,11:53,3,2,0,0,0,0,0,0,0,9,21,26,10,27,40,10,88,55,25,43,38
26,1,0,11:53,4,0,9,36,1,0,0,0,0,9,21,26,10,27,40,36,24,16,8,51,38
27,1,0,11:22,1,1,24,0,3,12,1,0,0,9,21,26,10,27,40,36,24,16,8,51,38
28,1,0,11:13,1,1,8,0,3,37,2,0,0,9,21,26,10,27,40,36,24,16,8,51,38
29,1, ,11:13,3,0,0,0,0,0,0,0,0,9,21,26,10,27,40,36,24,16,8,51,38
30,1,0,11:13,4,1,19,19,3,0,0,0,0,19,55,29,5,52,40,19,32,33,2,7,38
31,1,0,10:54,7,1,2,0,3,57,2,0,0,19,55,29,5,52,40,19,32,33,2,7,38
32,1,0,10:41,1,1,2,0,3,58,2,0,0,19,55,29,5,52,40,19,32,33,2,7,38
