# 2009/01/15 
# CGY , S.J 
# 3 , 2 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,24,12,13,28,33,34,12,19,16,4,44,20
2,1,0,20:00,4,0,24,19,1,0,0,0,0,24,12,13,28,33,34,12,19,16,4,44,20
3,1,0,19:44,7,0,33,0,3,66,2,0,0,24,12,13,28,33,34,12,19,16,4,44,20
4,1,0,19:23,5,0,33,12,2,0,0,0,0,24,12,13,28,33,34,12,19,16,3,22,20
5,1,0,19:10,5,0,4,3,3,0,0,0,0,22,17,3,4,55,34,8,16,9,3,22,20
6,1,0,19:03,5,1,9,55,3,0,0,0,0,22,17,3,4,55,34,8,9,29,3,22,20
7,1,0,19:02,13,1,22,55,2,0,0,0,0,22,17,3,4,55,34,8,9,29,3,22,20
8,1,0,19:00,2,1,29,0,3,27,1,22,8,22,17,3,4,55,34,8,9,29,3,22,20
9,1,0,19:00,4,1,18,11,1,0,0,0,0,18,25,20,5,6,34,11,14,25,10,65,20
10,1,0,18:44,5,0,5,25,1,0,0,0,0,18,25,20,5,6,34,11,14,25,10,65,20
11,1,0,18:15,1,0,25,0,3,18,1,0,0,18,25,20,28,33,34,11,14,25,10,44,20
12,1, ,18:13,3,1,0,0,0,0,0,0,0,18,25,20,28,33,34,11,14,25,10,44,20
13,1,0,18:13,4,0,16,45,3,0,0,0,0,16,23,27,28,33,34,59,39,45,3,22,20
14,1,0,18:08,7,0,28,0,3,68,1,0,0,16,23,27,28,33,34,59,39,45,3,22,20
15,1,0,18:01,5,1,45,33,1,0,0,0,0,16,23,27,28,33,34,59,39,45,3,22,20
16,1,0,17:48,1,0,27,0,3,40,2,0,0,16,23,27,3,55,34,59,39,45,3,22,20
17,1,0,17:19,5,0,12,22,3,0,0,0,0,24,12,13,3,55,34,12,19,16,3,22,20
