# 2009/01/19 
# CAR , TOR 
# 2 , 0 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,24,13,6,77,30,11,19,55,2,7,35
2,1,0,20:00,4,1,8,19,1,0,0,0,0,8,24,13,6,77,30,11,19,55,2,7,35
3,1, ,19:52,3,3,0,0,0,0,0,0,0,8,24,13,6,77,30,11,19,55,2,7,35
4,1,0,19:52,4,0,8,19,1,0,0,0,0,8,24,13,6,77,30,11,19,55,2,7,35
5,1, ,19:44,3,2,0,0,0,0,0,0,0,8,24,13,6,77,30,11,19,55,2,7,35
6,1,0,19:44,4,0,8,19,1,0,0,0,0,8,24,13,6,77,30,11,19,55,2,7,35
7,1, ,19:28,3,6,0,0,0,0,0,0,0,8,24,13,6,77,30,11,19,55,2,7,35
8,1,0,19:28,4,1,12,19,2,0,0,0,0,12,11,14,6,77,30,11,19,55,2,7,35
9,1,0,19:14,9,0,77,0,2,0,0,0,0,12,11,14,6,77,30,11,19,55,15,77,35
10,1,0,19:14,7,1,19,0,3,46,1,0,0,12,11,14,6,77,30,11,19,55,15,77,35
11,1,0,19:06,1,0,11,0,3,42,1,0,0,12,11,14,6,77,30,11,19,55,15,77,35
12,1, ,19:05,3,1,0,0,0,0,0,0,0,12,11,14,6,77,30,11,19,55,15,77,35
13,1,0,19:05,4,1,17,14,2,0,0,0,0,17,15,59,4,25,30,14,12,23,15,77,35
14,1,0,18:58,1,0,59,0,3,30,1,0,0,17,15,59,4,25,30,14,12,23,15,77,35
15,1,0,18:58,9,1,12,0,2,0,0,0,0,17,15,59,4,25,30,14,12,23,15,77,35
16,1, ,18:47,3,2,0,0,0,0,0,0,0,17,15,59,4,25,30,14,12,23,15,77,35
17,1,0,18:47,4,0,17,84,1,0,0,0,0,17,15,59,4,25,30,80,84,9,24,36,35
18,1,0,18:16,13,1,24,59,2,0,0,0,0,17,15,59,4,25,30,80,84,9,24,36,35
19,1,0,17:08,5,1,10,33,2,0,0,0,0,12,44,14,7,33,30,39,10,55,2,7,35
20,1,0,16:49,13,1,55,44,2,0,0,0,0,12,44,14,7,33,30,39,10,55,2,7,35
21,1,0,16:39,5,1,2,18,2,0,0,0,0,16,44,18,6,77,30,11,19,55,2,7,35
22,1,0,16:27,5,0,18,2,3,0,0,0,0,16,24,18,6,77,30,11,19,55,2,7,35
23,1,0,16:13,8,0,16,0,2,0,0,0,0,16,24,18,6,77,30,11,19,55,15,77,35
24,1,0,15:44,13,1,12,8,2,0,0,0,0,8,24,13,6,77,30,14,12,23,24,36,35
25,1,0,15:39,7,1,36,0,3,63,2,0,0,8,24,13,6,77,30,14,12,23,24,36,35
26,1,0,15:33,7,1,23,0,3,10,6,0,0,8,24,13,6,77,30,14,12,23,24,36,35
27,1,0,15:28,13,1,12,8,2,0,0,0,0,8,24,13,6,77,30,14,12,23,24,36,35
28,1,0,14:51,1,1,80,0,3,35,1,0,0,17,15,59,4,25,30,80,84,9,2,7,35
29,1,0,14:40,7,0,15,0,3,44,1,0,0,17,15,59,4,25,30,80,84,9,2,7,35
30,1, ,14:23,3,2,0,0,0,0,0,0,0,17,11,15,4,25,30,39,21,9,7,36,35
31,1,0,14:23,4,0,12,39,1,0,0,0,0,12,11,14,7,33,30,39,21,10,15,36,35
32,1,0,14:14,13,0,11,15,2,0,0,0,0,12,11,14,7,33,30,39,21,10,15,36,35
33,1, ,14:13,3,4,0,0,0,0,0,0,0,12,11,14,7,33,30,39,21,10,15,36,35
34,1,0,14:13,4,1,12,39,2,0,0,0,0,12,11,14,7,33,30,39,21,10,2,7,35
35,1,0,13:20,9,0,8,0,2,0,0,0,0,8,24,13,6,77,30,11,19,55,15,77,35
36,1,0,12:33,7,0,25,0,3,39,1,0,0,16,24,18,25,77,30,11,19,55,15,77,35
37,1,0,12:25,9,1,11,0,2,0,0,0,0,16,44,18,4,25,30,11,19,55,15,77,35
38,1,0,12:03,5,0,4,14,3,0,0,0,0,16,44,18,4,25,30,14,12,23,24,36,35
39,1, ,11:54,3,0,0,0,0,0,0,0,0,17,15,59,4,25,30,14,12,23,24,36,35
40,1,0,11:54,13,1,14,25,2,0,0,0,0,17,15,59,4,25,30,14,12,23,24,36,35
41,1,0,11:54,4,1,17,14,3,0,0,0,0,17,15,59,7,33,30,14,12,23,15,36,35
42,1,0,11:20,7,1,23,0,3,35,1,0,0,17,15,59,7,33,30,80,84,23,2,7,35
43,1,0,11:14,7,1,80,0,3,36,1,0,0,17,15,59,7,33,30,80,84,9,2,7,35
44,1,0,11:07,8,0,7,0,2,0,0,0,0,17,15,59,7,33,30,80,84,9,2,7,35
45,1,0,10:34,5,0,12,84,2,0,0,0,0,12,11,14,6,77,30,80,84,9,15,77,35
46,1,0,10:24,5,1,9,11,3,0,0,0,0,12,11,14,6,77,30,80,84,9,15,77,35
47,1,0,10:17,8,1,15,0,1,0,0,0,0,12,11,14,6,77,30,80,84,9,15,77,35
48,1,0,10:13,1,1,9,0,3,32,1,0,0,12,11,14,6,77,30,80,84,9,15,77,35
49,1,0,9:59,1,0,12,0,3,38,1,0,0,12,24,13,4,25,30,39,21,10,24,36,35
50,1,0,9:55,6,1,24,12,2,0,0,0,0,12,24,13,4,25,30,39,21,10,24,36,35
51,1, ,9:55,3,9,0,0,0,0,0,0,0,17,15,13,25,77,30,39,21,10,36,35,0
52,1,1,9:55,4,0,17,19,3,0,0,0,0,17,15,13,25,77,30,19,55,2,7,35,0
53,1,-1,9:25,5,1,2,17,2,0,0,0,0,17,15,13,25,77,30,14,55,2,7,35,0
54,1,1,9:20,1,0,15,0,3,20,3,0,0,17,15,13,25,77,30,14,55,2,7,35,0
55,1, ,9:18,3,1,0,0,0,0,0,0,0,17,15,13,25,77,30,14,55,2,7,35,0
56,1,1,9:18,4,0,12,14,3,0,0,0,0,12,11,14,4,33,30,14,23,15,36,35,0
57,1,1,9:15,1,0,4,0,3,51,2,0,0,12,11,14,4,33,30,14,23,15,36,35,0
58,1, ,9:13,3,1,0,0,0,0,0,0,0,12,11,14,4,33,30,14,23,15,36,35,0
59,1,1,9:13,1,0,11,0,3,15,3,0,0,12,11,14,4,33,30,14,23,15,36,35,0
60,1,1,9:13,4,0,12,14,3,0,0,0,0,12,11,14,4,33,30,14,23,2,15,35,0
61,1,1,8:20,9,0,11,0,3,0,0,0,0,12,11,14,4,33,30,80,9,2,7,35,0
62,1, ,8:20,3,5,0,0,0,0,0,0,0,12,11,14,4,33,30,80,9,2,7,35,0
63,1,-1,8:20,4,1,17,21,3,0,0,0,0,17,15,13,6,77,30,39,21,15,36,35,0
64,1,-1,8:11,8,1,39,0,3,0,0,0,0,17,15,13,6,77,30,39,21,15,36,35,0
65,1,-1,7:55,13,0,6,39,2,0,0,0,0,17,15,13,6,77,30,39,21,15,36,35,0
66,1,0,7:50,13,0,17,39,2,0,0,0,0,17,15,13,6,77,30,39,21,15,24,36,35
67,1,0,7:31,13,0,25,7,2,0,0,0,0,17,15,59,4,25,30,80,84,9,7,15,35
68,1,0,7:22,13,0,25,9,2,0,0,0,0,17,15,59,4,25,30,80,84,9,7,15,35
69,1,0,7:07,5,1,80,25,3,0,0,0,0,8,24,59,4,25,30,80,84,9,7,77,35
70,1,0,6:39,8,0,4,0,2,0,0,0,0,8,24,18,4,25,30,11,84,55,24,36,35
71,1, ,6:31,3,4,0,0,0,0,0,0,0,8,24,18,4,25,30,11,19,55,24,36,35
72,1,0,6:31,7,0,8,0,3,36,1,0,0,8,24,18,4,25,30,11,19,55,24,36,35
73,1,0,6:31,4,0,16,19,3,0,0,0,0,16,44,18,6,7,30,11,19,55,24,36,35
74,1,0,6:25,7,0,6,0,3,53,1,0,0,16,44,18,6,7,30,11,19,55,24,36,35
75,1,0,6:02,5,0,7,55,2,0,0,0,0,16,44,18,6,7,30,11,19,55,2,15,35
76,1,0,5:40,7,1,55,0,3,39,1,0,0,12,44,18,6,7,30,19,23,55,2,15,35
77,1,0,5:09,13,0,14,77,2,0,0,0,0,12,11,14,4,25,30,14,12,23,15,77,35
78,1, ,5:09,3,0,0,0,0,0,0,0,0,12,11,14,4,25,30,14,12,23,15,77,35
79,1,0,5:09,4,1,12,14,2,0,0,0,0,12,11,14,6,77,30,14,12,23,2,7,35
80,1,0,4:50,9,1,7,0,2,0,0,0,0,12,11,14,6,77,30,14,12,23,2,7,35
81,1,0,4:45,1,1,23,0,3,38,1,0,0,12,11,14,6,77,30,14,12,23,2,7,35
82,1,0,4:40,13,1,14,6,2,0,0,0,0,12,11,14,6,77,30,14,12,23,2,7,35
83,1,0,4:25,5,0,6,23,2,0,0,0,0,12,11,14,6,77,30,14,12,23,2,7,35
84,1,0,4:23,1,1,23,0,3,6,4,0,0,12,11,14,6,77,30,14,12,23,2,7,35
85,1, ,4:22,3,1,0,0,0,0,0,0,0,12,11,14,6,77,30,14,12,23,2,7,35
86,1,0,4:22,4,1,17,39,3,0,0,0,0,17,15,59,4,25,30,39,21,10,15,77,35
87,1,0,4:02,5,1,10,17,3,0,0,0,0,17,15,59,4,25,30,39,21,10,15,77,35
88,1,0,3:50,1,1,10,0,3,25,1,0,0,17,15,59,4,25,30,39,21,10,15,77,35
89,1,0,3:30,13,0,15,39,2,0,0,0,0,8,15,59,7,77,30,39,21,9,24,36,35
90,1,0,3:23,7,0,7,0,3,35,1,0,0,8,15,59,7,77,30,39,21,9,24,36,35
91,1,0,2:59,8,1,24,0,2,0,0,0,0,8,24,13,7,77,30,80,84,9,24,36,35
92,1,0,2:42,9,1,2,0,2,0,0,0,0,8,24,13,6,77,30,80,84,9,2,7,35
93,1,0,2:34,1,0,24,0,3,37,1,0,0,8,24,13,6,33,30,80,84,9,2,7,35
94,1,0,2:23,13,0,33,7,2,0,0,0,0,12,24,13,6,33,30,80,84,9,2,7,35
95,1,0,2:17,13,0,12,7,2,0,0,0,0,12,24,14,6,33,30,80,84,9,2,7,35
96,1,0,1:49,13,0,14,77,2,0,0,0,0,12,11,14,4,25,30,11,19,55,15,77,35
97,1,0,1:30,5,0,4,55,2,0,0,0,0,12,11,14,4,25,30,11,19,55,2,36,35
98,1,0,1:04,8,0,59,0,2,0,0,0,0,17,15,59,6,77,30,11,19,12,2,7,35
99,1,0,1:00,1,1,23,0,3,42,1,0,0,17,15,59,6,77,30,14,12,23,7,15,35
100,1,0,0:45,7,0,59,0,3,36,1,0,0,17,24,59,6,77,30,14,12,23,7,15,35
101,1,0,0:37,5,1,12,24,2,0,0,0,0,17,24,59,6,77,30,14,12,23,7,15,35
102,1,0,0:31,13,0,24,15,2,0,0,0,0,17,24,13,6,77,30,14,12,23,7,15,35
103,1,0,0:28,5,1,15,24,2,0,0,0,0,17,24,13,6,77,30,14,12,23,7,15,35
104,1,0,0:20,13,0,77,15,2,0,0,0,0,17,24,13,6,77,30,14,12,23,7,15,35
105,1, ,0:00,11,0,0,0,0,0,0,0,0,8,24,13,4,7,30,80,84,9,7,15,35
106,2, ,20:00,10,0,0,0,0,0,0,0,0,8,24,13,6,77,30,0,0,0,0,0,0
107,2,0,20:00,4,1,8,14,1,0,0,0,0,8,24,13,6,77,30,14,12,23,2,7,35
108,2,0,19:45,13,1,7,6,2,0,0,0,0,8,24,13,6,77,30,14,12,23,2,7,35
109,2,0,19:30,5,0,77,12,2,0,0,0,0,8,24,13,6,77,30,14,12,23,2,7,35
110,2,0,19:13,13,1,84,77,2,0,0,0,0,8,24,14,6,77,30,80,84,9,15,77,35
111,2,0,18:58,13,1,9,4,2,0,0,0,0,12,11,14,4,25,30,80,84,9,15,77,35
112,2,0,18:55,5,0,4,9,2,0,0,0,0,12,11,14,4,25,30,80,84,9,15,77,35
