# 2009/01/27 
# DET , COL 
# 2 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
2,1,0,20:00,4,CBJ,40,27,1,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
3,1,0,19:44,13,CBJ,61,55,2,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
4,1,0,19:42,7,CBJ,8,0,3,46,2,0,0,81,40,96,28,55,30,27,20,61,8,22,1
5,1,0,19:28,8,CBJ,27,0,3,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
6,1, ,18:45,3,8,0,0,0,0,0,0,0,51,93,37,3,22,30,18,29,93,3,51,1
7,1,0,18:45,4,CBJ,11,19,2,0,0,0,0,26,33,11,14,24,30,19,15,14,3,51,1
8,1, ,18:36,3,10,0,0,0,0,0,0,0,26,33,11,14,24,30,19,15,14,3,51,1
9,1,0,18:36,4,0,33,19,1,0,0,0,0,26,33,11,14,24,30,19,15,14,3,51,1
10,1,0,17:24,1,0,93,0,3,56,1,0,0,93,82,18,3,22,30,17,40,25,10,55,1
11,1, ,17:23,3,1,0,0,0,0,0,0,0,93,81,82,3,22,30,17,40,25,10,55,1
12,1,0,17:22,4,0,40,27,3,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
13,1,0,17:14,7,0,28,0,3,55,2,0,0,81,40,96,28,55,30,27,20,61,8,22,1
14,1,0,17:03,5,0,40,8,3,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
15,1,0,16:44,1,CBJ,61,0,3,9,3,0,0,81,40,96,28,55,30,27,20,61,8,22,1
16,1,0,16:03,1,CBJ,93,0,3,23,6,0,0,51,93,37,3,22,30,18,29,93,3,51,1
17,1,0,15:52,8,CBJ,3,0,2,0,0,0,0,51,93,37,14,24,30,18,29,15,3,51,1
18,1,0,15:46,7,0,93,0,3,24,1,0,0,51,93,37,14,24,30,18,29,15,3,51,1
19,1,0,14:33,1,CBJ,17,0,3,15,6,0,0,51,82,18,3,22,30,17,40,25,8,22,1
20,1, ,14:31,3,1,0,0,0,0,0,0,0,51,82,18,3,22,30,17,40,25,8,22,1
21,1,0,14:31,4,CBJ,40,27,3,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
22,1,0,14:27,13,CBJ,22,96,2,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
23,1,0,14:23,9,CBJ,61,0,3,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
24,1,0,14:09,7,CBJ,61,0,3,22,3,0,0,81,40,96,28,55,30,27,20,61,8,22,1
25,1,0,13:30,13,0,37,3,2,0,0,0,0,51,93,37,3,22,30,18,29,93,3,22,1
26,1,0,13:24,13,0,22,22,2,0,0,0,0,51,93,37,3,22,30,18,29,93,3,22,1
27,1,0,12:52,1,CBJ,15,0,3,8,6,0,0,82,18,40,14,24,30,19,15,14,10,55,1
28,1, ,12:51,3,0,0,0,0,0,0,0,0,82,18,40,14,24,30,19,15,14,10,55,1
29,1,0,12:51,4,0,33,19,2,0,0,0,0,26,33,11,14,24,30,19,15,14,10,55,1
30,1,0,12:17,5,CBJ,14,24,2,0,0,0,0,26,33,11,14,24,30,19,15,14,10,55,1
31,1,0,12:08,5,CBJ,14,24,3,0,0,0,0,26,33,11,14,24,30,19,15,14,8,22,1
32,1,0,11:49,5,CBJ,40,14,1,0,0,0,0,26,33,40,96,14,24,17,19,40,8,22,1
33,1,0,11:48,6,CBJ,15,24,3,0,0,0,0,26,33,40,96,14,24,17,19,40,8,22,1
34,1,-1,11:48,4,CBJ,40,27,2,0,0,0,0,81,40,96,28,55,30,17,27,8,22,1,0
35,1,1,11:43,5,0,96,8,3,0,0,0,0,81,40,96,28,55,30,17,27,8,22,1,0
36,1,1,11:06,7,0,55,0,3,50,2,0,0,81,40,96,28,55,30,17,27,8,22,1,0
37,1,1,11:05,2,0,81,0,3,11,5,55,40,81,40,96,28,55,30,17,27,8,22,1,0
38,1,0,11:05,4,0,51,25,1,0,0,0,0,51,93,37,28,55,30,20,25,61,3,51,1
39,1,0,10:47,1,0,51,0,3,18,1,0,0,51,93,37,28,55,30,20,25,61,3,51,1
40,1, ,10:40,3,6,0,0,0,0,0,0,0,51,93,37,28,55,30,20,25,61,3,51,1
41,1,0,10:40,4,CBJ,40,25,2,0,0,0,0,81,40,96,28,55,30,20,25,61,3,51,1
42,1,0,10:18,5,CBJ,25,81,3,0,0,0,0,81,40,96,28,55,30,20,25,61,8,22,1
43,1,0,9:50,1,0,93,0,3,14,0,0,0,51,93,37,3,22,30,18,29,93,10,55,1
44,1,0,9:38,5,CBJ,10,93,2,0,0,0,0,51,93,37,3,22,30,18,29,93,10,55,1
45,1,0,9:07,5,CBJ,15,14,1,0,0,0,0,26,33,11,14,24,30,19,15,14,10,55,1
46,1,0,8:55,5,0,33,15,3,0,0,0,0,26,33,11,14,24,30,19,15,14,3,10,1
47,1, ,8:22,3,0,0,0,0,0,0,0,0,51,82,18,28,55,30,27,20,61,3,51,1
48,1,0,8:22,4,CBJ,40,27,1,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
49,1,0,8:05,5,CBJ,61,55,3,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
50,1,0,8:01,1,0,81,0,3,11,1,0,0,81,40,96,28,55,30,27,20,61,8,22,1
51,1, ,7:52,3,2,0,0,0,0,0,0,0,81,40,96,28,55,30,27,20,61,8,22,1
52,1,0,7:52,4,CBJ,93,29,1,0,0,0,0,51,93,37,3,22,30,18,29,93,3,51,1
53,1,0,7:23,5,0,3,29,2,0,0,0,0,51,93,37,3,22,30,18,29,93,3,51,1
54,1,0,6:27,9,CBJ,55,0,2,0,0,0,0,82,18,40,14,24,30,17,40,25,10,55,1
55,1,0,6:10,8,CBJ,10,0,2,0,0,0,0,82,18,40,14,24,30,17,40,25,10,55,1
56,1,0,6:03,1,CBJ,17,0,3,27,3,0,0,26,18,40,14,24,30,17,19,40,10,22,1
57,1,0,5:59,5,0,40,40,2,0,0,0,0,26,18,40,14,24,30,17,19,40,10,22,1
58,1,0,5:35,1,0,3,0,3,59,2,0,0,26,33,11,3,22,30,19,15,14,8,22,1
59,1,0,5:34,5,CBJ,14,11,2,0,0,0,0,26,33,11,3,22,30,19,15,14,8,22,1
60,1, ,5:33,3,0,0,0,0,0,0,0,0,26,33,11,3,22,30,19,15,14,8,22,1
61,1,0,5:33,4,CBJ,33,19,2,0,0,0,0,26,33,11,3,22,30,19,15,14,3,51,1
62,1, ,5:09,3,6,0,0,0,0,0,0,0,26,33,11,3,22,30,19,15,14,3,51,1
63,1,0,5:09,4,0,33,27,2,0,0,0,0,26,33,11,3,22,30,27,20,61,8,22,1
64,1,0,4:49,1,CBJ,27,0,3,13,1,0,0,26,33,11,3,22,30,27,20,61,8,22,1
65,1,0,4:27,5,CBJ,22,81,2,0,0,0,0,93,81,96,28,55,30,27,20,61,8,22,1
66,1,0,4:16,7,0,93,0,3,27,3,0,0,93,81,96,28,55,30,27,20,61,8,22,1
67,1,0,4:07,5,CBJ,22,96,2,0,0,0,0,93,81,96,28,55,30,29,93,20,8,22,1
68,1,0,3:46,13,CBJ,3,37,2,0,0,0,0,51,11,37,14,24,30,18,29,93,3,51,1
69,1, ,3:33,3,2,0,0,0,0,0,0,0,51,11,37,14,24,30,18,29,93,3,51,1
70,1,0,3:33,4,CBJ,82,25,1,0,0,0,0,26,33,82,14,24,30,17,40,25,10,55,1
71,1,0,2:58,5,0,14,17,2,0,0,0,0,26,33,82,14,24,30,17,40,25,10,55,1
72,1,0,2:49,13,CBJ,40,24,2,0,0,0,0,26,33,82,14,24,30,17,40,25,10,55,1
73,1, ,2:11,3,8,0,0,0,0,0,0,0,93,81,96,3,22,30,19,15,14,10,55,1
74,1,0,2:11,4,CBJ,51,19,2,0,0,0,0,51,11,37,3,22,30,18,19,14,3,51,1
75,1, ,2:02,3,8,0,0,0,0,0,0,0,51,11,37,3,22,30,18,19,14,3,51,1
76,1,0,2:02,4,0,51,19,2,0,0,0,0,51,11,37,3,22,30,18,19,14,3,51,1
77,1,0,1:54,1,CBJ,3,0,3,53,3,0,0,51,11,37,3,22,30,18,19,14,3,51,1
78,1,0,1:53,1,CBJ,18,0,3,11,1,0,0,51,11,37,3,22,30,18,19,14,3,51,1
79,1,0,1:23,5,CBJ,14,22,3,0,0,0,0,51,11,37,3,22,30,18,19,14,3,51,1
80,1,0,1:12,1,0,37,0,1,81,2,0,0,51,11,37,3,55,30,27,20,61,3,51,1
81,1,0,0:33,5,CBJ,61,28,3,0,0,0,0,93,81,82,28,55,30,27,20,61,10,55,1
82,1,0,0:03,5,0,82,10,3,0,0,0,0,33,81,82,3,22,30,27,20,61,10,55,1
83,1, ,0:00,11,0,0,0,0,0,0,0,0,33,81,82,3,22,30,27,20,61,10,55,1
84,2, ,20:00,10,0,0,0,0,0,0,0,0,93,81,96,28,55,30,27,20,61,8,22,1
85,2,0,20:00,4,CBJ,93,27,1,0,0,0,0,93,81,96,28,55,30,27,20,61,8,22,1
86,2,0,19:32,13,CBJ,8,28,2,0,0,0,0,93,81,96,28,55,30,27,20,61,8,22,1
87,2,0,19:15,5,CBJ,8,11,2,0,0,0,0,26,93,11,28,55,30,27,93,20,8,22,1
88,2,0,18:43,5,0,26,93,2,0,0,0,0,26,51,11,3,22,30,18,29,93,3,51,1
89,2,0,17:57,5,0,33,51,3,0,0,0,0,33,37,82,14,24,30,19,15,14,3,51,1
90,2,0,17:15,5,0,81,22,3,0,0,0,0,93,81,96,3,22,30,17,40,25,8,22,1
91,2,0,16:41,5,CBJ,8,96,2,0,0,0,0,93,81,96,3,22,30,17,40,25,8,22,1
92,2,0,16:18,5,CBJ,40,28,3,0,0,0,0,26,51,37,28,55,30,27,40,20,10,55,1
93,2,0,16:06,1,CBJ,20,0,3,13,6,0,0,26,51,37,28,55,30,27,20,61,10,55,1
94,2,0,15:17,5,CBJ,55,82,2,0,0,0,0,33,82,18,22,28,30,18,29,93,51,55,1
95,2,0,14:49,1,0,82,0,3,27,1,0,0,33,82,18,3,22,30,18,29,15,10,55,1
96,2,0,14:45,7,0,18,0,3,47,2,0,0,33,82,18,3,22,30,18,29,15,10,55,1
97,2, ,14:33,3,2,0,0,0,0,0,0,0,33,18,96,3,22,30,19,15,14,3,51,1
98,2,0,14:33,4,0,93,19,1,0,0,0,0,93,81,96,14,24,30,19,15,14,8,22,1
99,2,0,14:14,1,CBJ,14,0,3,42,1,0,0,93,81,96,14,24,30,19,15,14,8,22,1
