# 2009/02/04 
# PHX , DET 
# 4 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,34,19,4,21,30,13,11,40,5,55,30
2,1,0,20:00,4,0,11,40,1,0,0,0,0,11,34,19,4,21,30,13,11,40,5,55,30
3,1, ,19:52,3,2,0,0,0,0,0,0,0,11,34,19,4,21,30,13,11,40,5,55,30
4,1,0,19:52,4,1,34,40,1,0,0,0,0,11,34,19,4,21,30,13,11,40,5,55,30
5,1,0,19:40,5,0,11,11,2,0,0,0,0,11,34,19,4,21,30,13,11,40,5,55,30
6,1,0,19:33,1,1,11,0,3,13,3,0,0,11,34,19,4,21,30,13,11,40,5,55,30
7,1,0,19:21,1,0,19,0,3,24,1,0,0,34,91,19,6,55,30,13,11,40,5,55,30
8,1, ,19:17,3,4,0,0,0,0,0,0,0,34,91,19,6,55,30,13,11,40,5,55,30
9,1,0,19:17,4,0,91,51,1,0,0,0,0,12,91,18,6,55,30,51,93,81,3,28,30
10,1,0,18:57,13,0,6,93,2,0,0,0,0,12,91,18,6,55,30,51,93,81,3,28,30
11,1,0,18:34,1,1,51,0,3,26,2,0,0,12,91,18,2,3,30,51,93,81,3,28,30
12,1,0,17:59,5,1,55,26,2,0,0,0,0,26,36,19,2,21,30,13,11,40,5,55,30
13,1, ,17:51,3,2,0,0,0,0,0,0,0,26,36,19,2,21,30,13,11,40,5,55,30
14,1,0,17:51,4,0,11,43,1,0,0,0,0,11,15,89,4,21,30,26,43,37,22,24,30
15,1,0,17:35,5,0,15,22,3,0,0,0,0,11,15,89,4,21,30,26,43,37,22,24,30
16,1,0,17:29,9,1,24,0,2,0,0,0,0,11,15,89,4,21,30,26,43,37,22,24,30
17,1,0,17:25,13,0,4,43,2,0,0,0,0,11,15,89,4,21,30,26,43,37,22,24,30
18,1,0,17:12,8,1,26,0,3,0,0,0,0,11,15,89,4,21,30,26,43,37,22,24,30
19,1,0,17:08,1,1,26,0,3,18,5,0,0,11,15,89,4,21,30,26,43,37,22,24,30
20,1,0,16:58,5,0,4,26,2,0,0,0,0,11,15,89,4,21,30,26,43,37,22,24,30
21,1, ,16:35,3,10,0,0,0,0,0,0,0,23,19,17,6,55,30,33,82,18,3,28,30
22,1,0,16:35,4,1,19,33,1,0,0,0,0,23,19,17,6,55,30,33,82,18,22,24,30
23,1,0,16:25,5,0,19,22,1,0,0,0,0,23,19,17,6,55,30,33,82,18,22,24,30
24,1,0,16:02,9,1,33,0,2,0,0,0,0,23,19,17,6,55,30,33,82,18,22,24,30
25,1,0,15:45,1,1,93,0,3,53,2,0,0,12,91,18,2,3,30,51,93,81,3,28,30
26,1, ,15:44,3,1,0,0,0,0,0,0,0,12,91,18,2,3,30,51,93,81,3,28,30
27,1,0,15:44,4,0,11,51,2,0,0,0,0,11,12,34,4,55,30,51,93,81,3,28,30
28,1, ,15:41,3,1,0,0,0,0,0,0,0,11,12,34,4,55,30,51,93,81,3,28,30
29,1,0,15:41,4,1,11,51,3,0,0,0,0,11,12,34,4,55,30,51,93,81,3,28,30
30,1, ,15:29,3,2,0,0,0,0,0,0,0,11,12,34,4,55,30,13,11,40,5,55,30
31,1,0,15:29,4,1,12,40,1,0,0,0,0,12,23,15,2,3,30,13,11,40,5,55,30
32,1, ,15:19,3,1,0,0,0,0,0,0,0,12,23,15,2,3,30,13,11,40,5,55,30
33,1,0,15:19,4,1,11,40,3,0,0,0,0,11,12,18,2,55,30,13,11,40,5,55,30
