# 2009/02/04 
# TOR , BUF 
# 0 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,23,55,2,26,29,28,36,41,34,52,30
2,1,0,20:00,4,1,19,28,1,0,0,0,0,19,23,55,2,26,29,28,36,41,34,52,30
3,1, ,19:44,3,2,0,0,0,0,0,0,0,19,23,55,2,26,29,28,36,41,34,52,30
4,1,0,19:44,4,1,19,28,1,0,0,0,0,19,23,55,2,26,29,28,36,41,34,52,30
5,1,0,19:19,5,1,36,26,3,0,0,0,0,14,12,9,2,26,29,9,12,36,4,5,30
6,1,0,19:02,9,1,9,0,1,0,0,0,0,14,12,9,7,77,29,9,12,29,4,5,30
7,1,0,18:54,5,0,14,29,3,0,0,0,0,14,12,9,7,77,29,9,12,29,4,5,30
8,1, ,18:45,3,2,0,0,0,0,0,0,0,14,12,9,7,77,29,9,12,29,4,5,30
9,1,0,18:45,4,1,39,19,1,0,0,0,0,39,80,41,2,26,29,19,21,26,27,38,30
10,1,0,17:58,13,1,38,80,2,0,0,0,0,39,80,41,2,26,29,19,21,26,27,38,30
11,1,0,17:49,13,1,21,2,2,0,0,0,0,39,80,41,2,26,29,19,21,26,27,38,30
12,1,0,17:37,2,1,19,0,3,14,5,52,26,39,80,41,2,26,29,19,21,26,34,52,30
13,1,0,17:37,4,0,21,22,1,0,0,0,0,18,21,10,7,77,29,22,20,37,34,52,30
14,1,0,17:19,4,1,21,22,2,0,0,0,0,18,21,10,4,36,29,22,20,37,34,52,30
15,1,0,16:56,13,0,21,34,2,0,0,0,0,18,21,10,4,36,29,22,20,37,34,52,30
16,1,0,16:50,5,0,18,34,3,0,0,0,0,18,21,10,4,36,29,22,20,37,34,52,30
17,1, ,16:27,3,6,0,0,0,0,0,0,0,19,23,55,7,77,29,28,36,41,4,5,30
18,1,0,16:27,4,1,19,28,2,0,0,0,0,19,23,55,7,77,29,28,36,41,4,5,30
19,1,0,15:56,13,0,55,5,2,0,0,0,0,19,23,55,4,36,29,28,36,41,4,5,30
20,1, ,15:56,3,4,0,0,0,0,0,0,0,19,23,55,4,36,29,28,36,41,4,5,30
21,1,0,15:56,4,0,14,12,3,0,0,0,0,14,12,9,4,36,29,9,12,29,34,52,30
22,1,0,15:11,13,0,2,12,2,0,0,0,0,39,12,9,2,26,29,9,12,29,34,52,30
23,1,0,14:44,9,0,2,0,3,0,0,0,0,39,80,9,2,26,29,9,12,29,34,52,30
24,1,0,14:38,1,1,12,0,3,24,5,0,0,39,80,41,2,26,29,9,12,29,34,52,30
25,1, ,14:37,3,1,0,0,0,0,0,0,0,39,80,41,2,26,29,9,21,26,27,38,30
26,1,0,14:37,4,1,39,19,3,0,0,0,0,39,80,41,4,7,29,19,21,26,27,38,30
27,1,0,14:25,5,0,7,21,2,0,0,0,0,39,80,41,4,7,29,19,21,26,27,38,30
28,1,0,14:19,1,1,19,0,3,22,1,0,0,39,80,41,4,7,29,19,21,26,27,38,30
29,1,0,14:12,1,1,21,0,3,17,3,0,0,39,80,41,4,7,29,19,21,26,27,38,30
30,1,0,13:59,5,1,26,39,2,0,0,0,0,39,80,41,2,26,29,19,21,26,27,38,30
31,1, ,13:38,3,0,0,0,0,0,0,0,0,18,21,10,7,77,29,22,20,37,4,5,30
32,1,0,13:38,4,0,21,37,1,0,0,0,0,18,21,10,7,77,29,22,20,37,27,38,30
33,1,0,13:23,8,1,37,0,2,0,0,0,0,18,21,10,7,77,29,22,20,37,27,38,30
34,1,0,12:49,1,1,28,0,3,21,3,0,0,19,23,55,4,36,29,28,36,41,4,5,30
35,1,0,12:36,7,1,36,0,3,33,1,0,0,19,23,55,4,36,29,28,36,41,4,5,30
36,1,0,12:31,5,1,36,4,3,0,0,0,0,19,23,55,4,36,29,28,36,41,4,5,30
37,1,0,12:03,6,0,2,29,0,0,0,0,0,19,23,55,2,26,29,9,12,29,34,52,30
38,1,-1,12:03,4,0,14,9,2,0,0,0,0,14,9,4,26,29,0,9,19,29,26,5,30
39,1,1,11:20,1,1,26,0,3,13,4,0,0,39,21,26,77,29,0,9,19,29,26,5,30
40,1,1,11:00,9,1,9,0,3,0,0,0,0,39,21,26,77,29,0,9,19,29,26,5,30
41,1,1,10:32,9,1,21,0,3,0,0,0,0,19,55,4,7,29,0,28,12,21,41,52,30
42,1,-1,10:27,9,0,4,0,2,0,0,0,0,19,55,4,7,29,0,28,12,21,41,52,30
43,1, ,10:22,3,3,0,0,0,0,0,0,0,19,55,4,7,29,0,28,12,21,41,52,30
44,1,-1,10:22,4,0,14,28,2,0,0,0,0,14,9,26,77,29,0,28,21,41,27,52,30
45,1,0,9:43,5,1,4,12,2,0,0,0,0,14,12,9,2,7,29,21,37,41,4,27,30
46,1,0,9:38,9,0,14,0,3,0,0,0,0,14,12,9,2,7,29,21,37,41,4,27,30
47,1,0,9:24,1,0,7,0,3,46,3,0,0,14,12,9,2,7,29,21,37,41,4,27,30
48,1,0,9:06,1,0,41,0,3,44,3,0,0,39,80,41,4,36,29,22,36,20,5,34,30
49,1,0,8:56,6,0,39,34,0,0,0,0,0,39,80,41,4,36,29,22,36,20,5,34,30
50,1,1,8:56,6,1,34,39,0,0,0,0,0,80,41,4,36,29,0,22,36,20,5,34,30
51,1,0,8:56,4,0,19,9,1,0,0,0,0,19,55,2,4,29,0,9,29,5,52,30,0
52,1,0,8:48,13,0,19,52,2,0,0,0,0,19,55,2,4,29,0,9,29,5,52,30,0
53,1,0,8:12,1,1,5,0,3,50,2,0,0,19,55,2,4,29,0,9,29,5,27,30,0
54,1, ,8:11,3,1,0,0,0,0,0,0,0,19,55,2,4,29,0,9,29,5,27,30,0
55,1,0,8:11,4,1,14,19,3,0,0,0,0,14,12,7,77,29,0,19,26,4,38,30,0
56,1,0,8:04,9,0,29,0,2,0,0,0,0,14,12,7,77,29,0,19,26,4,38,30,0
57,1,0,7:38,1,0,7,0,3,36,1,0,0,14,12,7,77,29,0,19,26,4,38,30,0
58,1, ,7:38,3,1,0,0,0,0,0,0,0,14,12,7,77,29,0,19,26,4,38,30,0
59,1,0,7:38,4,1,80,21,2,0,0,0,0,80,18,2,26,29,0,21,41,5,27,30,0
60,1,0,7:29,5,0,18,27,3,0,0,0,0,80,18,2,26,29,0,21,41,5,27,30,0
61,1,0,7:26,1,1,21,0,3,10,6,0,0,80,18,2,26,29,0,21,41,5,27,30,0
62,1,0,7:08,2,1,21,0,3,9,1,41,27,80,18,2,26,29,0,21,41,27,38,30,0
63,1,0,7:08,4,1,19,28,1,0,0,0,0,19,55,4,36,29,0,28,12,38,52,30,0
64,1,0,6:43,1,0,36,0,3,53,1,0,0,19,39,55,4,36,29,28,12,34,38,52,30
65,1, ,6:42,3,1,0,0,0,0,0,0,0,19,39,55,4,36,29,28,12,34,38,52,30
66,1,0,6:42,6,1,52,36,0,0,0,0,0,19,39,55,4,36,29,28,12,34,38,52,30
67,1,-1,6:42,4,1,14,9,2,0,0,0,0,14,12,9,26,77,29,9,29,4,5,30,0
68,1,-1,5:51,13,0,12,4,2,0,0,0,0,14,12,9,26,77,29,9,29,4,5,30,0
69,1, ,5:51,3,4,0,0,0,0,0,0,0,14,12,9,26,77,29,9,29,4,5,30,0
70,1,-1,5:51,4,1,19,28,2,0,0,0,0,19,23,55,7,36,29,19,28,27,34,30,0
71,1,1,5:21,1,0,7,0,3,53,2,0,0,19,23,55,7,36,29,19,36,27,34,30,0
72,1, ,5:21,3,1,0,0,0,0,0,0,0,19,23,55,7,36,29,19,36,27,34,30,0
73,1,-1,5:21,4,1,19,28,2,0,0,0,0,19,23,55,7,36,29,28,26,4,5,30,0
74,1,1,5:06,6,0,19,4,0,0,0,0,0,19,23,55,7,36,29,28,26,4,5,30,0
75,1,0,5:06,4,0,21,28,2,0,0,0,0,39,21,2,4,29,0,28,12,27,38,30,0
76,1,-1,4:41,5,0,2,12,2,0,0,0,0,39,21,2,4,29,0,28,12,5,27,52,30
77,1,-1,3:53,13,1,29,9,2,0,0,0,0,14,9,7,77,29,0,9,19,29,26,5,30
