# 2009/02/07 
# COL , STL 
# 1 , 4 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,14,42,55,4,22,31,13,55,15,29,77,50
2,1,0,20:00,4,1,14,13,1,0,0,0,0,14,42,55,4,22,31,13,55,15,29,77,50
3,1, ,19:48,3,4,0,0,0,0,0,0,0,14,42,55,4,22,31,13,55,15,29,77,50
4,1,0,19:48,4,0,8,7,2,0,0,0,0,23,8,94,5,24,31,7,20,26,5,28,50
5,1,0,19:38,13,1,7,24,2,0,0,0,0,23,8,94,5,24,31,7,20,26,5,28,50
6,1,0,19:30,7,0,94,0,3,37,1,0,0,23,8,94,5,24,31,7,20,26,5,28,50
7,1,0,19:04,5,1,42,94,1,0,0,0,0,40,8,94,22,24,31,22,42,15,5,28,50
8,1,0,18:36,5,1,15,5,3,0,0,0,0,39,40,55,5,22,31,22,42,15,49,62,50
9,1,0,17:57,9,1,77,0,2,0,0,0,0,11,37,16,29,44,31,18,74,57,29,77,50
10,1,0,17:55,1,0,37,0,3,27,6,0,0,11,37,16,29,44,31,18,74,57,29,77,50
11,1, ,17:54,3,1,0,0,0,0,0,0,0,11,37,16,29,44,31,18,74,57,29,77,50
12,1,0,17:54,4,1,8,7,2,0,0,0,0,23,8,94,4,22,31,7,20,26,5,28,50
13,1,0,17:36,1,0,23,0,3,20,3,0,0,23,8,94,4,22,31,7,20,26,5,28,50
14,1,0,17:13,13,0,42,28,2,0,0,0,0,14,18,42,5,24,31,18,13,55,5,28,50
15,1,0,16:59,5,1,18,42,2,0,0,0,0,14,18,42,5,24,31,18,13,55,5,28,50
16,1,0,16:44,1,0,42,0,3,42,1,0,0,14,18,42,5,24,31,42,55,15,5,49,50
17,1, ,16:43,3,1,0,0,0,0,0,0,0,39,40,55,5,22,31,42,55,15,5,49,50
18,1,0,16:43,4,0,39,42,3,0,0,0,0,39,40,55,5,22,31,22,42,15,29,77,50
19,1,0,16:27,9,0,22,0,2,0,0,0,0,39,40,55,5,22,31,22,42,15,29,77,50
20,1,0,15:54,5,1,74,11,3,0,0,0,0,11,39,16,22,24,31,74,42,57,29,77,50
21,1,0,15:41,8,1,21,0,3,0,0,0,0,11,37,16,22,24,31,21,74,57,49,62,50
22,1,0,15:39,1,1,21,0,3,39,2,0,0,11,37,16,22,24,31,21,74,57,49,62,50
