# 2009/02/13 
# S.J , BUF 
# 5 , 6 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,8,9,29,4,44,20,9,42,21,34,52,30
2,1,0,20:00,4,0,8,9,1,0,0,0,0,8,9,29,4,44,20,9,42,21,34,52,30
3,1,0,19:28,5,1,42,29,3,0,0,0,0,8,9,29,4,44,20,9,42,21,34,52,30
4,1,0,19:26,1,1,52,0,3,63,2,0,0,8,9,29,4,44,20,9,42,21,34,52,30
5,1, ,19:25,3,1,0,0,0,0,0,0,0,12,19,16,3,22,20,9,42,21,34,52,30
6,1,0,19:25,4,1,19,19,3,0,0,0,0,12,19,16,3,22,20,19,55,29,5,6,30
7,1,0,18:56,1,1,55,0,3,7,6,0,0,12,19,16,3,22,20,22,55,29,27,44,30
8,1,0,18:26,5,1,44,39,2,0,0,0,0,14,25,39,10,21,20,22,12,20,27,44,30
9,1,0,17:41,5,1,36,53,3,0,0,0,0,32,53,64,4,44,20,36,37,41,34,52,30
10,1,0,17:03,13,1,5,29,2,0,0,0,0,8,9,29,22,44,20,9,42,21,5,6,30
11,1, ,16:58,3,2,0,0,0,0,0,0,0,8,9,29,3,22,20,9,42,21,5,6,30
12,1,0,16:58,4,1,12,19,1,0,0,0,0,12,19,16,3,22,20,19,55,29,34,52,30
13,1,0,16:49,9,1,34,0,2,0,0,0,0,12,19,16,3,22,20,19,55,29,34,52,30
14,1,0,16:41,9,1,34,0,2,0,0,0,0,12,19,16,3,22,20,19,55,29,34,52,30
15,1,0,16:39,7,0,19,0,3,56,1,0,0,12,19,16,3,22,20,19,55,29,34,52,30
16,1,0,16:38,1,0,16,0,3,12,6,0,0,12,19,16,3,22,20,19,55,29,34,52,30
17,1,0,16:16,7,1,29,0,3,26,1,0,0,12,19,16,3,22,20,19,55,29,34,52,30
18,1,0,16:14,1,1,29,0,3,10,6,0,0,12,19,16,3,22,20,19,55,29,34,52,30
19,1, ,16:13,3,1,0,0,0,0,0,0,0,12,19,16,3,22,20,19,55,29,34,52,30
20,1,0,16:13,1,1,55,0,3,17,1,0,0,12,19,16,3,22,20,19,55,29,34,52,30
21,1,0,16:13,4,1,39,22,3,0,0,0,0,14,25,39,10,21,20,22,12,20,27,44,30
22,1,0,16:09,1,1,27,0,3,60,2,0,0,14,25,39,10,21,20,22,12,20,27,44,30
23,1,0,15:58,1,1,20,0,3,56,1,0,0,14,25,39,10,21,20,22,12,20,27,44,30
24,1, ,15:57,3,1,0,0,0,0,0,0,0,14,25,39,10,21,20,22,12,20,27,44,30
25,1,0,15:57,4,0,8,37,2,0,0,0,0,8,9,29,10,21,20,36,37,41,27,44,30
26,1,0,14:21,9,1,42,0,1,0,0,0,0,14,25,39,22,44,20,19,42,29,5,34,30
27,1,0,13:26,5,0,32,22,2,0,0,0,0,32,53,64,10,21,20,22,12,20,44,52,30
28,1,0,13:20,2,1,22,0,3,20,5,52,12,32,53,64,10,21,20,22,12,20,44,52,30
29,1,0,13:20,4,1,8,37,1,0,0,0,0,8,9,29,10,21,20,36,37,41,27,44,30
30,1,0,12:40,7,1,42,0,3,37,1,0,0,8,9,29,4,21,20,9,42,21,5,6,30
31,1,0,12:16,5,1,21,4,3,0,0,0,0,8,19,16,4,44,20,9,42,21,5,6,30
32,1,0,12:10,1,1,5,0,3,60,1,0,0,8,19,16,4,44,20,9,19,42,21,5,6
33,1,0,12:08,6,0,4,21,0,0,0,0,0,8,19,16,4,44,20,9,19,42,21,5,6
34,1,-1,12:08,4,0,12,37,2,0,0,0,0,12,25,3,22,20,0,42,55,12,37,52,30
35,1,1,11:39,1,1,37,0,3,15,5,0,0,12,25,3,22,20,0,42,55,12,37,52,30
36,1, ,11:34,3,0,0,0,0,0,0,0,0,12,25,3,22,20,0,42,55,12,37,52,30
37,1,1,11:34,4,1,12,9,3,0,0,0,0,12,39,10,44,20,0,9,19,21,29,6,30
38,1,1,11:21,1,1,19,0,3,47,2,0,0,12,39,10,44,20,0,9,19,21,29,6,30
39,1,1,11:07,2,1,6,0,3,53,2,19,29,12,39,10,44,20,0,9,19,21,29,6,30
40,1,0,11:07,1,0,8,0,3,49,1,0,0,8,9,29,3,22,20,9,19,21,29,6,30
41,1,0,11:07,4,0,8,22,1,0,0,0,0,8,9,29,3,22,20,22,12,41,27,44,30
42,1, ,10:50,3,3,0,0,0,0,0,0,0,8,9,29,3,22,20,22,12,41,27,44,30
43,1,0,10:50,4,0,8,19,1,0,0,0,0,8,9,29,3,22,20,19,55,29,27,44,30
44,1,0,10:25,1,0,9,0,3,57,1,0,0,8,9,29,3,22,20,19,55,29,27,44,30
45,1,0,10:01,5,1,44,22,2,0,0,0,0,12,19,16,21,22,20,9,55,21,27,44,30
46,1,0,9:41,1,1,9,0,3,17,1,0,0,12,19,16,4,21,20,9,42,21,5,6,30
47,1,0,9:34,5,0,12,6,2,0,0,0,0,12,19,16,4,21,20,9,42,21,5,6,30
48,1,0,9:30,1,0,19,0,3,39,1,0,0,12,19,16,4,21,20,9,42,21,5,6,30
49,1,0,9:13,5,0,19,37,3,0,0,0,0,19,16,64,4,44,20,21,37,41,5,6,30
50,1,0,8:53,5,1,36,53,2,0,0,0,0,32,53,64,10,44,20,36,37,41,34,52,30
51,1,0,8:35,5,1,36,32,2,0,0,0,0,32,53,64,10,44,20,36,37,41,34,52,30
52,1,0,8:32,1,0,53,0,3,13,6,0,0,32,53,64,10,44,20,36,37,41,34,52,30
53,1,0,8:05,5,1,12,22,3,0,0,0,0,14,25,39,3,22,20,22,12,20,27,44,30
54,1,0,7:42,1,1,29,0,3,53,2,0,0,14,25,39,10,21,20,22,29,20,27,44,30
