# 2009/02/14 
# NYI , PHI 
# 1 , 5 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,11,10,28,24,32,34,17,15,19,5,25,43
2,1,0,20:00,4,0,10,17,1,0,0,0,0,11,10,28,24,32,34,17,15,19,5,25,43
3,1, ,19:40,3,2,0,0,0,0,0,0,0,11,10,28,24,32,34,17,15,19,5,25,43
4,1,0,19:40,4,1,12,17,1,0,0,0,0,12,21,57,24,32,34,17,15,19,5,25,43
5,1,0,18:57,13,1,22,24,2,0,0,0,0,12,21,57,24,32,34,18,22,12,44,77,43
6,1,0,18:55,1,1,22,0,3,8,1,0,0,12,21,20,24,32,34,18,22,12,44,77,43
7,1, ,18:55,3,1,0,0,0,0,0,0,0,12,21,20,24,32,34,18,22,12,44,77,43
8,1,0,18:55,4,0,51,28,2,0,0,0,0,11,51,20,8,14,34,36,9,28,44,77,43
9,1,0,18:41,9,1,77,0,2,0,0,0,0,11,51,20,8,14,34,36,9,28,44,77,43
10,1,0,18:32,8,1,77,0,2,0,0,0,0,11,51,20,8,14,34,36,9,28,44,77,43
11,1,0,18:26,1,1,9,0,3,51,1,0,0,11,51,20,8,14,34,36,9,28,44,77,43
12,1,0,18:14,1,1,25,0,3,68,3,0,0,11,51,20,8,14,34,36,9,28,5,25,43
13,1, ,18:14,3,1,0,0,0,0,0,0,0,11,51,20,8,14,34,36,9,28,5,25,43
14,1,0,18:14,4,0,10,13,2,0,0,0,0,89,10,16,8,14,34,13,45,32,6,41,43
15,1,0,18:01,9,0,28,0,3,0,0,0,0,10,13,28,26,38,34,13,45,32,6,41,43
16,1, ,17:40,3,6,0,0,0,0,0,0,0,89,10,13,26,38,34,13,45,32,6,41,43
17,1,0,17:40,4,0,10,18,2,0,0,0,0,89,10,13,26,38,34,18,22,12,44,77,43
18,1,0,17:31,9,0,13,0,1,0,0,0,0,89,10,13,26,38,34,18,22,12,44,77,43
19,1,0,17:25,1,1,44,0,3,42,3,0,0,12,89,21,26,38,34,18,22,12,44,77,43
20,1, ,17:24,3,1,0,0,0,0,0,0,0,12,89,21,26,38,34,18,22,12,44,77,43
21,1,0,17:24,4,1,12,18,3,0,0,0,0,12,21,57,8,14,34,18,22,12,44,77,43
22,1,0,17:10,1,1,12,0,3,19,3,0,0,12,21,57,8,14,34,18,22,12,44,77,43
23,1,0,17:05,5,1,22,21,3,0,0,0,0,12,21,57,8,14,34,18,22,12,44,77,43
24,1,0,16:52,7,0,14,0,3,57,3,0,0,12,21,57,8,14,34,18,22,12,44,77,43
25,1,0,16:43,5,0,57,44,3,0,0,0,0,12,21,57,8,14,34,18,22,12,44,77,43
26,1, ,16:29,3,6,0,0,0,0,0,0,0,11,12,20,24,32,34,17,15,19,25,77,43
27,1,0,16:29,4,0,51,17,3,0,0,0,0,11,51,20,24,32,34,17,15,19,25,77,43
28,1,0,16:23,1,0,20,0,3,9,0,0,0,11,51,20,24,32,34,17,15,19,25,77,43
29,1,0,16:14,1,0,24,0,3,59,2,0,0,11,51,20,24,32,34,17,15,19,25,77,43
30,1,0,15:56,13,0,51,19,2,0,0,0,0,11,51,20,24,32,34,17,15,19,25,77,43
31,1,0,15:47,8,1,25,0,2,0,0,0,0,11,51,20,24,32,34,17,15,19,25,77,43
