# 2009/02/14 
# OTT , MIN 
# 5 , 3 
Event Number,Period,STR,Game-Time,Event,Team,Acting Player,Recieving Player,Location,slot1,slot2,slot3,slot4,Away on Ice 1,Away on Ice 2,Away on Ice 3,Away on Ice 4,Away on Ice 5,Away on Ice 6,Home on Ice 1,Home on Ice 2,Home on Ice 3,Home on Ice 4,Home on Ice 5,Home on Ice 6
1,1, ,20:00,10,0,0,0,0,0,0,0,0,19,11,15,17,55,30,25,22,19,5,55,32
2,1,0,20:00,4,0,19,25,1,0,0,0,0,19,11,15,17,55,30,25,22,19,5,55,32
3,1, ,19:12,3,2,0,0,0,0,0,0,0,19,11,71,4,24,30,51,96,11,5,55,32
4,1,0,19:12,4,1,12,51,1,0,0,0,0,12,26,71,4,24,30,51,96,11,8,47,32
5,1,0,18:45,2,1,96,0,3,37,1,11,51,12,26,71,4,24,30,51,96,11,8,47,32
6,1,0,18:45,4,1,20,9,1,0,0,0,0,20,22,73,17,21,30,9,20,15,3,41,32
7,1,0,18:17,1,1,15,0,3,10,1,0,0,20,22,73,17,21,30,9,20,15,3,41,32
8,1, ,18:16,3,1,0,0,0,0,0,0,0,20,22,73,17,21,30,9,20,15,3,41,32
9,1,0,18:16,4,0,19,25,2,0,0,0,0,19,11,15,9,55,30,25,22,19,5,55,32
10,1,0,17:47,9,1,19,0,3,0,0,0,0,19,11,15,9,55,30,25,22,19,5,55,32
11,1,0,17:43,1,0,15,0,3,52,2,0,0,19,11,15,9,24,30,25,22,19,5,55,32
12,1,0,17:14,13,1,49,24,2,0,0,0,0,18,15,37,4,24,30,49,24,28,5,55,32
13,1,0,17:07,1,1,28,0,3,41,1,0,0,18,15,37,4,24,30,49,24,28,8,47,32
14,1, ,17:06,3,1,0,0,0,0,0,0,0,18,10,37,4,24,30,49,24,28,8,47,32
15,1,0,17:06,4,0,37,51,2,0,0,0,0,18,10,37,17,55,30,51,96,11,8,47,32
16,1,0,16:11,5,1,20,9,3,0,0,0,0,12,26,71,9,21,30,51,96,20,3,41,32
17,1,0,16:03,7,1,20,0,3,53,1,0,0,12,26,71,9,21,30,9,20,15,3,41,32
18,1,0,15:48,1,1,20,0,3,22,6,0,0,12,26,71,9,21,30,9,20,15,3,41,32
19,1, ,15:47,3,1,0,0,0,0,0,0,0,12,26,71,9,21,30,9,20,15,3,41,32
20,1,0,15:47,4,0,20,51,2,0,0,0,0,20,22,73,4,24,30,51,96,11,8,47,32
21,1,0,15:30,5,0,4,51,2,0,0,0,0,20,22,73,4,24,30,51,96,11,8,47,32
22,1,0,15:09,9,1,8,0,2,0,0,0,0,20,22,73,4,24,30,51,96,11,8,47,32
23,1,0,15:07,1,0,22,0,3,40,3,0,0,20,22,73,4,24,30,51,96,11,8,47,32
24,1,0,15:00,7,0,73,0,3,16,5,0,0,20,22,73,4,24,30,51,96,11,8,47,32
25,1, ,14:59,3,4,0,0,0,0,0,0,0,20,22,73,4,24,30,51,96,11,8,47,32
26,1,0,14:59,4,1,19,25,1,0,0,0,0,19,11,15,17,55,30,25,22,19,5,55,32
27,1,0,14:56,1,0,11,0,3,40,1,0,0,19,11,15,17,55,30,25,22,19,5,55,32
28,1, ,14:54,3,1,0,0,0,0,0,0,0,19,11,15,17,55,30,25,22,19,5,55,32
29,1,0,14:54,4,1,19,25,2,0,0,0,0,19,11,15,17,55,30,25,22,19,5,55,32
30,1,0,14:39,5,1,19,55,2,0,0,0,0,19,11,15,17,55,30,25,22,19,5,55,32
